j0_x,j0_y,j0_z,j1_x,j1_y,j1_z,j2_x,j2_y,j2_z,j3_x,j3_y,j3_z,j4_x,j4_y,j4_z,j5_x,j5_y,j5_z,j6_x,j6_y,j6_z,j7_x,j7_y,j7_z,j8_x,j8_y,j8_z,j9_x,j9_y,j9_z,j10_x,j10_y,j10_z,j11_x,j11_y,j11_z,j12_x,j12_y,j12_z,j13_x,j13_y,j13_z,j14_x,j14_y,j14_z,j15_x,j15_y,j15_z,j16_x,j16_y,j16_z,j17_x,j17_y,j17_z,j18_x,j18_y,j18_z,j19_x,j19_y,j19_z,j20_x,j20_y,j20_z
37.4739,76.0712,348.356,32.5099,64.3266,339.0773,35.5006,16.1834,401.3612,40.1808,34.2762,412.9691,43.7768,52.4597,417.1439,47.0601,67.0314,423.2051,7.4596,51.6898,389.6903,-9.1929,43.2894,423.3356,-16.5373,33.5237,448.5287,8.367,27.0099,436.9117,-11.5193,34.9446,462.9667,-28.2976,45.3796,466.0647,25.9924,31.0274,459.7573,12.739,31.2294,486.6702,-4.6451,35.2024,502.7328,37.3626,38.9797,458.534,13.1163,45.1006,471.1297,-7.6845,49.4089,484.3117,34.9216,66.9734,452.8134,17.1006,72.8127,455.8657,-3.5018,79.5218,459.6773
36.5392,76.4308,348.1211,32.2791,64.4408,338.8065,35.3433,16.8941,401.5434,39.017,35.2338,413.1262,41.8107,53.5697,417.2483,44.3752,68.2981,423.2773,6.8714,52.3307,389.5976,-10.0913,44.2458,423.507,-17.4539,34.5732,448.7306,7.4216,28.5415,436.7883,-13.2058,37.1462,462.8259,-30.074,47.5486,465.5192,21.8016,34.7244,459.479,11.1039,34.4078,488.2829,-4.6867,37.3325,506.1184,33.7395,39.4609,458.136,9.4323,45.4708,470.6676,-10.41,48.3112,485.6081,32.5266,65.5183,452.8726,14.5895,70.7113,456.3786,-5.6885,75.9514,463.1126
34.9698,77.0646,347.7865,31.1493,64.8881,338.5231,33.3686,18.1964,401.9342,36.44,36.74,413.3667,38.8251,55.1707,417.3192,40.9908,70.015,423.2189,4.9625,53.3017,388.7232,-12.4163,45.6124,422.0384,-20.0983,36.0564,447.2112,4.6715,30.4135,436.5896,-16.5948,39.467,462.2714,-33.6386,49.7265,464.3329,18.8408,35.8506,459.0984,8.0623,35.3058,487.1063,-6.6905,37.4988,505.9091,27.6293,35.5965,455.1015,4.0725,41.1829,469.1681,-15.0343,42.3766,485.2463,31.6873,62.6977,452.9494,13.7473,68.0186,456.2427,-5.7282,71.6391,465.8134
33.2927,77.1828,347.3453,30.0994,64.758,338.1748,31.5747,19.1713,402.4063,33.7782,37.9741,413.6133,35.536,56.5249,417.3254,37.1102,71.5163,423.0376,2.8091,53.9862,388.2329,-15.3926,46.8019,421.6198,-23.5699,37.4302,446.7057,1.7776,31.5176,436.2708,-20.3591,40.6899,461.4293,-37.5541,50.79,462.9531,15.9436,35.2837,459.173,2.326,34.9976,485.9027,-12.0546,36.6895,505.0426,18.5966,33.4767,450.7596,-3.6506,37.6302,467.2463,-22.2353,37.4002,483.9662,29.62,59.5879,451.771,12.3621,65.285,457.3124,-5.6239,67.5648,469.7747
31.8039,78.0521,347.5137,28.7742,65.5415,338.4045,30.1172,20.4015,402.9535,32.0932,39.2959,414.0485,33.6814,57.8842,417.6474,35.0983,72.9255,423.269,1.2004,55.1056,388.3156,-17.169,48.1534,421.5659,-25.62,38.9473,446.6224,-0.4626,33.2214,436.372,-23.3017,42.7961,461.3313,-40.5652,52.8216,462.5405,19.36,31.3531,460.6937,0.6236,34.1084,483.9608,-13.043,35.2509,503.6564,18.7599,30.9091,449.0431,-2.9771,35.3764,466.1178,-21.0875,34.5364,483.3314,28.6065,61.5439,452.4635,11.2108,67.1535,457.6524,-6.2961,68.8477,470.8674
30.3883,79.2585,347.7468,27.578,66.6891,338.6481,28.9875,21.7318,403.323,30.6522,40.6766,414.3829,31.9885,59.2919,417.9449,33.1814,74.3634,423.5375,-0.0183,55.8971,388.4131,-18.3828,48.7153,421.5303,-26.8863,39.4147,446.5341,-2.0337,34.1112,436.4697,-25.1941,43.3537,461.217,-42.5598,53.2276,462.186,19.3557,30.0898,460.8728,-0.5986,34.2084,482.8924,-13.8141,34.8707,502.9152,16.6261,31.6063,448.4982,-4.6882,37.1363,465.7934,-22.3943,36.0431,483.4087,25.6347,63.5013,452.6762,8.3475,68.3285,458.9094,-8.8507,69.4629,472.5818
30.0988,80.391,348.1415,27.8472,67.5755,339.2329,29.7723,23.8417,404.7283,30.6369,43.0244,415.465,31.2982,61.7341,418.707,31.9034,76.9337,424.0414,-0.1042,57.0756,388.9501,-18.7354,50.0768,422.0895,-27.3809,40.9635,447.1135,-2.0348,36.489,437.2294,-25.8399,45.9546,461.5539,-43.5103,55.3153,461.9159,16.1336,27.3895,459.5808,-2.8436,31.6999,482.4124,-16.1932,31.9767,502.3551,15.746,32.2391,447.4154,-5.3664,37.5097,465.0361,-23.0371,35.8544,482.6431,23.5559,66.5926,453.1512,5.9985,71.2905,458.6891,-11.1643,71.924,472.4381
30.657,81.3831,349.1034,29.2054,68.3445,340.3536,31.8789,25.7206,406.5507,31.6029,45.0782,417.0009,31.3003,63.8436,419.9621,31.067,79.1314,425.0689,0.9094,58.0126,390.0089,-17.9855,51.1134,423.1668,-26.6903,42.081,448.1996,-0.8066,37.4456,438.1228,-25.1583,46.1811,461.645,-43.1313,54.9544,461.6022,19.1574,26.9949,460.8084,-1.2652,33.1181,481.9135,-14.7706,33.0207,501.7527,18.8204,35.2027,450.9452,-3.4334,41.5827,466.6952,-21.4051,40.0555,484.0066,22.9567,69.9553,454.6328,5.1708,73.3549,460.3866,-12.1799,73.5212,473.9116
31.1365,82.6146,350.0027,30.1082,69.4672,341.3564,33.9326,27.4822,407.9044,33.0354,46.906,418.1958,32.1479,65.6764,421.0033,31.4315,80.9906,425.9848,1.9633,58.6002,390.961,-16.823,51.3467,424.0715,-25.4458,42.1892,449.0872,0.9075,38.4773,439.4658,-23.72,46.6766,463.0017,-41.9489,54.9035,462.8481,19.8162,29.7889,462.1646,-0.5263,36.1786,483.268,-13.7919,35.9604,503.2674,18.8853,36.1332,450.7909,-3.3316,41.3933,467.0002,-21.602,39.7753,483.9876,23.1161,71.2352,455.3052,5.107,74.8081,460.1947,-12.2894,74.5753,473.6599
31.0596,83.2851,350.1601,30.4271,70.1099,341.518,34.7135,28.2816,408.1365,33.2535,47.6853,418.4011,31.8827,66.4305,421.1829,30.7492,81.7262,426.1435,2.4404,59.5486,391.2828,-16.242,52.4984,424.503,-24.8395,43.1179,449.4447,1.1228,39.4217,439.7042,-24.1092,47.7897,463.4167,-42.4215,55.8286,463.2369,19.3414,27.2495,460.7076,-0.2213,34.3566,482.3129,-13.3041,33.7521,502.4244,19.952,36.1847,450.8284,-2.32,41.0998,467.0703,-20.5315,39.24,484.0962,22.982,72.5834,455.8096,4.8286,75.5641,460.5604,-12.5165,75.0253,474.0828
