j0_x,j0_y,j0_z,j1_x,j1_y,j1_z,j2_x,j2_y,j2_z,j3_x,j3_y,j3_z,j4_x,j4_y,j4_z,j5_x,j5_y,j5_z,j6_x,j6_y,j6_z,j7_x,j7_y,j7_z,j8_x,j8_y,j8_z,j9_x,j9_y,j9_z,j10_x,j10_y,j10_z,j11_x,j11_y,j11_z,j12_x,j12_y,j12_z,j13_x,j13_y,j13_z,j14_x,j14_y,j14_z,j15_x,j15_y,j15_z,j16_x,j16_y,j16_z,j17_x,j17_y,j17_z,j18_x,j18_y,j18_z,j19_x,j19_y,j19_z,j20_x,j20_y,j20_z
-5.6787,56.5177,341.8856,0.2452,45.6052,336.2003,-22.2285,5.7737,388.7059,-31.5534,24.0476,393.1904,-38.6895,40.4087,395.5119,-42.7288,58.2669,392.8093,-51.3651,23.6592,347.4969,-86.8577,8.5668,355.2656,-106.7387,15.1306,375.3321,-71.0443,2.1853,382.6951,-107.4413,-0.4902,378.2135,-123.7134,1.887,365.1532,-85.3362,6.948,400.2991,-130.2909,-7.3448,406.2409,-149.441,-11.2255,398.5457,-97.7835,20.4361,399.7037,-150.1439,2.7394,403.4179,-166.915,-0.9369,391.3259,-92.0678,46.8908,395.9951,-134.58,37.0887,398.74,-145.6595,28.1258,387.7441
-10.2169,57.5652,345.2161,-4.663,46.5206,339.4136,-28.5215,6.9019,391.4673,-37.223,25.4321,396.1487,-43.8003,42.0,398.6472,-47.2276,60.014,396.1397,-57.6353,27.776,348.7516,-93.8875,14.9479,355.1422,-115.8044,17.3874,373.9756,-76.2798,3.7092,384.0216,-111.3664,1.3636,378.5516,-127.719,3.8641,365.6156,-91.6973,12.6778,398.7539,-136.9202,2.0895,400.9166,-155.332,-1.1239,391.3416,-98.093,31.2445,398.7504,-144.3469,22.0815,398.8384,-160.7561,18.6943,386.1788,-94.4337,53.3463,395.8139,-134.163,47.7347,395.5398,-144.6668,39.2792,383.616
-15.7943,58.6114,347.5635,-10.7829,47.3698,341.6465,-36.0463,8.4946,393.5979,-43.8727,27.3636,398.4671,-49.6803,44.1923,401.125,-52.3101,62.3596,398.7646,-64.266,31.8978,349.8925,-100.3605,21.4561,355.4575,-125.1793,19.9694,370.3845,-82.6832,4.3357,386.0883,-116.3045,1.3375,380.6745,-132.8498,4.0343,368.0261,-97.0336,18.6923,397.5959,-140.3532,11.6263,396.886,-158.1381,9.2925,385.9658,-99.2945,38.3406,397.3381,-139.7646,33.5674,394.2492,-155.5973,31.2609,380.6476,-96.4833,58.3357,395.2129,-132.5099,55.0539,392.3163,-142.3767,47.3504,379.3818
-20.9769,58.9263,347.0924,-16.5066,47.6341,340.8473,-41.1124,8.7315,393.0929,-48.2048,27.7447,398.4962,-53.4168,44.6934,401.5908,-55.5868,62.963,399.5791,-69.729,33.8503,350.1726,-105.2432,24.6527,356.3952,-131.5378,21.5369,368.2225,-86.5687,3.2397,386.6889,-118.541,-0.623,382.1846,-134.878,2.7444,369.4268,-99.4332,21.2839,395.6714,-140.268,16.134,393.4197,-157.6118,14.499,381.6928,-100.2504,40.8279,395.5912,-137.297,37.7702,390.8452,-152.6955,36.6373,376.6114,-97.0324,59.5372,393.9467,-129.7599,56.832,389.499,-138.731,49.9111,375.5126
-24.2113,57.9126,346.1098,-19.7603,46.6322,339.8297,-42.8063,7.7734,392.814,-49.9783,26.7422,398.2679,-55.2992,43.6532,401.3838,-57.7047,61.8876,399.3207,-72.7117,34.2195,350.3162,-107.7446,26.0073,357.2541,-134.372,23.1691,368.3863,-87.7524,1.1203,387.584,-119.0114,-3.5067,383.9467,-134.9629,0.5533,370.9058,-100.1863,21.6754,394.8286,-139.6848,17.6893,392.1228,-156.8913,16.5189,380.1409,-100.5355,40.2023,394.0805,-135.6394,37.5243,388.413,-150.676,36.9265,373.7657,-97.0541,58.7418,391.7876,-127.2656,56.3266,386.004,-135.669,49.9211,371.4317
-26.4387,56.4429,343.9299,-22.2422,45.1794,337.4474,-43.1031,6.1848,391.2313,-50.0549,25.1373,397.0169,-55.2513,42.0383,400.3864,-57.7455,60.2764,398.466,-75.0784,33.9725,350.2198,-110.1262,26.5386,358.692,-136.984,24.1648,369.3702,-87.4759,-1.9417,388.8227,-117.9219,-7.5177,387.1701,-133.2635,-1.8077,374.0159,-100.0927,21.4421,393.8877,-139.3077,18.5461,391.4353,-156.6667,18.192,379.6226,-99.8815,40.1253,393.1552,-134.1568,38.6561,387.6017,-149.0653,38.7209,372.8121,-96.278,57.7711,391.1485,-125.3886,55.8783,385.6203,-133.7947,50.2131,370.7461
-29.3036,55.3925,340.3488,-25.2427,44.2711,333.5426,-42.283,4.4237,388.0429,-49.2907,23.1798,394.3753,-54.6381,39.9409,398.1797,-57.6089,58.1371,396.5651,-77.6347,34.1422,349.7831,-112.6067,27.381,360.6237,-139.9779,24.6505,369.8085,-86.2506,-5.0362,388.8729,-116.2721,-11.4954,389.4396,-131.0924,-3.7399,376.7428,-99.7881,20.2933,392.7295,-139.5272,18.0217,391.4343,-156.9209,18.9941,379.7077,-98.7223,38.9181,391.8252,-132.2029,38.1413,386.9992,-147.0235,39.5155,372.185,-95.6288,55.8677,391.0443,-123.886,54.181,386.9411,-132.4407,49.5173,371.8061
-32.6224,54.8454,337.6217,-28.6468,43.8223,330.6085,-42.3837,3.5342,385.714,-49.4802,22.1306,392.4082,-54.992,38.7712,396.4963,-58.4048,56.9053,395.0675,-79.9603,33.9439,349.4553,-114.0365,27.3838,361.9711,-141.7319,24.194,369.9577,-85.944,-6.0515,388.2947,-115.4537,-12.5453,390.043,-129.3854,-3.3647,377.2904,-99.3433,20.3055,391.9372,-138.237,18.8819,391.5699,-155.6291,20.4455,379.905,-98.3849,38.3316,391.1294,-130.8762,38.0025,387.1108,-145.7637,40.2939,372.4782,-95.8551,54.945,390.9887,-123.2241,53.5124,388.0079,-131.8827,49.5783,372.7255
-34.7254,54.951,335.0314,-30.9453,44.1135,327.6314,-40.427,2.8048,382.8777,-47.5055,21.1468,390.2577,-53.1185,37.6036,394.9126,-57.0049,55.6734,393.9559,-81.0228,32.8795,349.1338,-114.349,25.4033,363.4435,-141.9735,21.2701,371.2412,-83.9365,-7.1339,387.9105,-113.5934,-13.9083,391.341,-126.5736,-3.6258,378.4264,-97.6278,20.0676,390.9035,-136.8433,19.2232,391.4088,-154.5237,21.3801,380.2844,-96.6089,37.4871,390.5866,-129.1612,37.4,387.3486,-144.3454,40.4802,373.1729,-94.2293,53.4078,391.202,-121.2236,51.7649,389.2049,-129.9621,48.7491,373.7601
-36.7189,55.4753,333.4687,-32.7863,44.8529,325.84,-38.9232,2.7254,380.9406,-46.4275,20.7245,388.7328,-52.4879,36.9187,393.7347,-57.0671,54.8394,393.0887,-81.2114,31.5023,349.7851,-113.4399,22.6171,365.7214,-140.5181,16.4392,374.0642,-81.4329,-8.421,388.4583,-110.1607,-15.9537,393.5386,-122.0732,-5.0292,380.1315,-96.309,19.6364,389.9396,-135.2218,18.7876,390.881,-153.0998,21.3702,380.1708,-95.5433,37.0123,390.0007,-127.4814,37.0817,387.2308,-142.7825,40.7077,373.3121,-93.5988,52.4992,390.9842,-119.6075,50.8332,389.4859,-128.2565,48.4668,373.8784
-37.7888,55.427,332.6036,-33.8157,44.9748,324.7637,-37.7096,2.1355,379.5185,-45.4066,19.883,387.6907,-51.6896,35.8873,393.0186,-56.6661,53.7103,392.6844,-80.5521,29.0229,350.4994,-111.685,18.3967,367.6429,-137.7652,9.5424,376.7216,-79.5334,-9.8448,388.8306,-107.7264,-17.9207,395.1077,-118.8284,-6.6152,381.3261,-95.165,19.2038,389.2356,-133.9209,18.6749,390.4389,-151.8785,21.584,379.9478,-94.4774,36.2241,389.3772,-126.051,36.4727,386.6901,-141.3191,40.5225,372.8523,-92.6263,51.4049,390.7088,-117.822,49.7896,389.3246,-126.0961,47.9302,373.4475
-37.5558,55.1786,331.8199,-33.4999,44.8079,323.9144,-36.7266,1.6647,378.4737,-44.5835,19.2884,386.7608,-51.0183,35.198,392.1899,-56.1877,52.9677,391.9611,-79.2409,27.6698,350.779,-109.7511,16.2382,368.6983,-135.0002,5.8554,378.48,-77.7453,-11.2426,388.8826,-105.2086,-19.8845,395.8517,-116.1412,-8.3332,382.1387,-94.293,18.7307,388.745,-132.9932,18.2965,390.2898,-150.9991,21.3317,379.918,-93.5514,35.2054,388.8646,-124.7631,35.2108,386.4245,-140.1113,39.5454,372.7628,-91.928,50.2634,390.5707,-116.8103,48.3806,389.6026,-124.9539,46.8499,373.6233
