j0_x,j0_y,j0_z,j1_x,j1_y,j1_z,j2_x,j2_y,j2_z,j3_x,j3_y,j3_z,j4_x,j4_y,j4_z,j5_x,j5_y,j5_z,j6_x,j6_y,j6_z,j7_x,j7_y,j7_z,j8_x,j8_y,j8_z,j9_x,j9_y,j9_z,j10_x,j10_y,j10_z,j11_x,j11_y,j11_z,j12_x,j12_y,j12_z,j13_x,j13_y,j13_z,j14_x,j14_y,j14_z,j15_x,j15_y,j15_z,j16_x,j16_y,j16_z,j17_x,j17_y,j17_z,j18_x,j18_y,j18_z,j19_x,j19_y,j19_z,j20_x,j20_y,j20_z
205.0171,162.2995,334.0721,193.9919,154.8858,336.7513,226.5867,124.2637,388.735,241.8799,138.0094,384.4718,252.0769,151.0949,377.4867,256.9118,165.0187,366.0181,215.2545,172.2135,387.669,231.6007,185.5347,426.8136,249.1969,187.6764,447.18,252.0347,140.1486,424.4827,267.2138,149.6234,445.8052,265.595,169.3582,455.3926,268.5212,155.2202,420.7822,283.5269,164.9142,441.234,275.944,185.4755,443.1652,272.2019,170.4423,409.6646,283.5767,181.3777,427.852,272.4395,199.1809,427.9325,278.4999,179.7266,394.2298,289.4204,187.1667,408.5009,276.3064,198.8256,412.5124
186.2889,133.5511,321.0095,174.8605,126.2956,321.676,201.3154,88.3176,372.2748,217.3136,101.8822,371.2444,228.4952,115.3209,366.9582,234.8102,130.3455,357.8389,190.7482,136.7799,376.615,203.0069,144.8693,419.0051,218.2323,144.1482,441.2911,223.0711,98.5049,412.6065,236.1851,104.6457,436.9179,233.1136,122.7688,449.0057,239.6169,113.2831,412.4408,252.18,119.7051,435.6462,244.6049,139.8341,440.277,245.5183,128.8874,404.095,255.3491,136.722,425.5414,244.4827,154.6156,427.1967,252.4438,140.714,390.9052,261.6472,146.1256,408.1632,248.5181,157.4194,413.0699
166.7616,106.3021,306.2539,155.0353,99.666,304.7873,173.6715,54.9618,353.3328,190.2437,67.6441,355.6821,202.4175,80.8266,354.2607,210.4029,96.3834,347.7033,162.7933,101.3578,361.339,168.7043,102.6467,404.4267,180.5863,98.8217,428.368,189.6252,56.7287,396.5628,198.9308,57.7593,421.7783,194.0138,74.2012,435.5438,206.3353,71.6085,401.0535,215.4355,73.8505,426.7123,207.6919,93.17,433.8393,212.176,87.0326,395.4637,217.7449,90.5742,418.977,207.1633,108.3777,422.4505,223.2564,100.6476,384.7479,230.2129,102.9554,404.7973,217.192,113.7886,410.8881
145.4321,80.8492,289.7165,133.4161,75.5915,286.3011,142.346,24.6284,331.3062,159.5857,35.3021,336.7712,172.9513,47.285,338.1019,182.9721,62.5482,334.178,133.0651,70.2646,343.171,132.7976,66.2053,386.5085,140.7614,59.3292,411.374,152.0977,20.5363,376.3764,157.8286,18.1315,402.8631,151.3128,32.972,417.7393,168.1459,31.6307,384.0753,172.9675,29.5627,410.7196,164.8609,48.012,419.546,176.8267,47.3576,381.1272,179.0805,47.3998,406.1497,168.6968,65.0201,410.9145,189.3288,60.9699,373.955,192.9422,60.0727,396.5657,179.8288,70.004,403.8739
125.6656,58.7658,273.7483,113.8353,54.7639,268.4832,113.6341,-0.2438,309.4289,130.7505,8.562,317.8246,144.6327,19.31,321.7951,156.0776,34.0085,320.4729,103.9186,43.4322,323.3983,96.3788,34.8165,365.1515,99.882,25.4069,390.2152,116.0418,-9.7102,354.5196,117.4475,-15.2371,380.8456,109.1462,-1.9178,396.2626,131.2251,-0.1588,365.0048,131.4896,-5.0196,391.3022,122.6259,12.861,400.5607,140.3537,14.0287,364.8456,137.8227,10.9049,390.309,127.1498,28.4054,394.8724,155.5908,27.8124,360.8797,155.3062,24.1897,384.5046,141.6231,33.3523,391.7724
107.0069,38.895,258.4786,95.6412,36.3124,251.5616,85.7895,-20.8748,288.0993,102.3839,-14.1887,299.0957,116.4949,-5.0062,305.4644,129.1843,8.6503,306.5871,76.463,21.4802,302.6459,61.9563,10.261,341.2864,60.8632,-0.9137,365.8411,80.0526,-33.8995,331.7532,76.7346,-41.4325,357.0013,66.6131,-29.0575,372.1146,94.737,-26.7107,344.7004,90.4896,-33.6659,370.0312,80.9576,-16.0226,379.0785,104.9218,-13.4654,346.6673,98.0644,-18.4776,371.0811,87.3349,-0.808,374.777,121.1725,-0.2493,346.1672,116.3874,-5.5646,369.8068,102.1441,3.417,376.1675
91.3872,23.6352,246.5358,80.5239,22.4698,238.5154,62.2591,-35.2215,270.773,78.2979,-30.6639,283.5395,92.5251,-23.168,291.6265,106.2275,-10.8375,294.6232,53.9745,6.3363,285.4284,33.967,-5.8219,320.7819,28.9645,-17.9425,344.3842,50.1259,-50.2764,312.1096,43.195,-58.8763,335.7228,31.8989,-46.8828,350.302,63.4574,-44.8364,326.8671,55.2011,-52.7211,350.9719,45.3593,-35.0508,359.6262,74.5823,-32.8186,330.3439,63.8948,-38.5669,353.4059,53.6265,-20.4945,356.3975,92.0316,-20.9896,332.3965,83.4588,-27.1203,355.2074,69.0372,-17.7175,360.4614
76.9135,11.721,238.2806,66.225,11.9892,229.9513,41.6798,-45.1873,258.775,57.7013,-42.8076,272.141,72.3321,-37.1065,280.9408,87.0435,-26.3018,284.8923,35.3982,-4.7751,273.4854,12.2789,-17.3479,306.1349,5.348,-30.1649,328.8656,25.9176,-61.9446,297.7467,17.0717,-71.3489,319.6179,5.6701,-59.3221,334.0871,39.323,-58.1682,313.3882,29.216,-66.6156,336.0717,19.8228,-48.7393,344.8014,50.8298,-47.067,317.7992,37.9858,-53.0167,339.8159,28.7433,-34.3886,342.7429,69.2095,-36.8777,321.0664,58.4018,-43.2868,342.9887,44.3841,-33.0298,347.7107
64.611,3.2459,234.5956,53.6684,4.9576,226.7839,25.0199,-51.2237,253.7165,41.7204,-51.0726,266.4472,57.1668,-47.2385,274.8561,72.9794,-38.0696,278.6864,21.878,-12.0463,269.2725,-1.8996,-24.7644,301.0517,-9.1714,-38.1443,323.3474,7.9715,-69.4883,291.2281,-1.5104,-79.6466,312.0911,-12.1849,-67.6353,327.1172,22.1077,-67.8143,306.5399,11.3366,-77.0086,328.5584,3.1063,-59.1104,338.3521,34.8094,-58.1743,311.0652,21.3897,-64.7384,332.7993,13.4478,-45.7034,336.7482,54.2562,-49.1269,314.3696,42.8669,-55.8531,336.0758,29.7288,-44.5905,341.0299
56.1954,-2.8601,233.949,45.0471,-0.1352,226.7389,13.6332,-54.8112,253.6859,30.8917,-56.2376,265.5649,46.9667,-53.7792,273.2818,63.5825,-45.9002,276.5398,13.3357,-16.3009,269.5279,-10.361,-28.3809,301.5024,-17.5563,-41.672,323.876,-3.7458,-73.1515,290.9262,-13.3788,-83.3174,311.5682,-23.1158,-71.0642,327.0295,10.778,-72.8767,305.4706,-0.2767,-82.0218,327.4034,-7.2726,-64.0411,337.9747,24.8303,-64.772,309.5604,11.565,-71.3595,331.3005,5.0213,-51.9182,335.7967,44.9433,-56.8091,312.3785,33.579,-63.4603,334.2292,21.376,-51.2506,339.3292
