j0_x,j0_y,j0_z,j1_x,j1_y,j1_z,j2_x,j2_y,j2_z,j3_x,j3_y,j3_z,j4_x,j4_y,j4_z,j5_x,j5_y,j5_z,j6_x,j6_y,j6_z,j7_x,j7_y,j7_z,j8_x,j8_y,j8_z,j9_x,j9_y,j9_z,j10_x,j10_y,j10_z,j11_x,j11_y,j11_z,j12_x,j12_y,j12_z,j13_x,j13_y,j13_z,j14_x,j14_y,j14_z,j15_x,j15_y,j15_z,j16_x,j16_y,j16_z,j17_x,j17_y,j17_z,j18_x,j18_y,j18_z,j19_x,j19_y,j19_z,j20_x,j20_y,j20_z
86.113,75.1811,409.7757,77.3717,68.9199,400.9445,54.2411,26.7889,455.8016,66.2608,38.8903,466.2458,77.2612,51.781,467.5951,88.3439,64.1473,471.7618,28.1463,42.3819,419.7488,17.3596,12.5166,431.9023,2.2681,-11.0065,442.8068,49.8972,-2.5122,494.1031,47.4281,-19.1668,515.8736,41.1288,-23.9082,532.055,64.0761,7.5795,506.2053,62.6488,-12.8754,532.3102,59.9036,-21.4848,550.1523,76.5075,21.2832,503.838,76.0719,3.6616,524.779,73.6901,-9.159,541.2398,92.572,44.6004,504.8482,95.4022,31.5166,526.9947,90.4653,26.5545,543.5779
78.2315,77.0818,411.8482,68.944,71.6477,403.0269,42.0223,31.9133,457.9426,55.1165,42.8603,468.3688,67.266,54.6764,469.6993,79.4496,65.9661,473.8478,18.5183,46.7101,420.8137,5.4122,18.2257,433.9617,-10.7879,-4.3298,445.311,36.6976,2.5425,496.4119,33.6358,-14.3458,518.5319,27.3556,-19.0507,534.7314,50.9343,10.9103,508.1126,48.1771,-10.1538,534.315,44.9641,-18.7884,552.0666,64.586,24.0584,505.8534,63.0324,6.3085,526.8127,59.8811,-6.4204,543.2153,82.0595,46.9058,507.1335,83.7944,34.2363,529.2587,79.0217,28.9621,545.7936
68.5848,85.3273,413.3032,59.1055,80.3681,404.4065,28.1194,44.2125,459.6511,41.773,54.4266,470.1035,54.7433,65.3369,471.422,67.6482,75.7944,475.5707,6.759,59.7962,422.2289,-8.1607,32.6578,436.2612,-25.5913,11.3934,448.2614,21.008,16.4825,498.9893,16.9256,0.5639,521.5716,10.5809,-3.7135,537.8642,34.3836,25.8209,511.2731,29.574,7.2022,538.0694,26.0245,-0.6935,556.0988,49.8396,37.2955,508.7351,47.0602,21.4015,529.8842,43.2638,9.5007,546.765,68.6575,57.5068,509.4353,69.3296,45.3292,531.9856,64.7664,40.1891,548.6216
58.1979,95.4877,415.2926,48.4619,91.6351,406.1291,14.5244,55.2901,459.4828,28.7862,64.0077,470.4647,42.4908,73.8882,472.3518,56.0748,83.1921,477.0446,-5.9986,74.6802,421.2152,-22.081,48.561,435.8828,-41.2651,28.842,447.8465,5.1342,26.4563,497.3662,-0.2276,9.9924,518.9973,-6.7005,5.8557,535.2757,19.6956,35.7533,511.513,13.7817,17.3725,538.2168,9.3229,9.9512,556.2458,35.1468,47.5042,510.0522,31.048,32.7789,531.0936,26.0184,21.535,548.1017,56.2348,65.4784,510.4208,56.3388,53.9689,532.1071,51.7308,48.5967,548.6572
51.2851,100.4658,414.3934,41.2427,98.2018,405.0325,4.2392,61.0113,455.6974,19.2212,67.568,467.2104,33.7477,76.0262,469.7481,48.1041,83.7072,475.0402,-14.2737,83.1235,418.1312,-32.5112,58.3743,432.6525,-53.1112,39.8612,444.181,-8.9111,30.4047,491.023,-16.4293,12.9066,511.2192,-23.578,8.0821,527.0185,5.7569,39.7355,506.6221,-2.8664,21.9102,531.8634,-8.3849,14.094,549.4262,21.5035,49.0036,505.1444,14.807,34.2245,524.5033,8.3967,22.6438,540.8065,44.6655,65.028,507.1874,42.4685,53.093,527.7279,37.1657,46.9915,543.8105
47.2341,99.8165,413.3542,36.8844,99.0931,404.0826,-2.6162,62.1949,453.0475,13.0802,66.5935,464.6353,28.3619,73.5098,467.3986,43.4444,79.4892,472.8642,-19.2742,84.4468,414.6986,-38.5744,60.6341,429.4111,-59.7453,42.6568,440.7517,-16.6876,30.8727,486.6963,-24.5649,13.3384,505.5331,-31.8717,8.1659,521.149,-3.285,37.177,501.7876,-13.7787,18.3145,525.6106,-20.0569,9.9151,542.641,13.5516,45.8247,501.1657,5.4829,30.7418,519.5622,-1.7301,18.7224,535.1989,37.6509,58.6442,503.0744,33.9754,45.4196,522.2405,28.0277,38.5163,537.7636
44.7221,98.8924,411.9872,34.0765,99.6712,403.0615,-7.1928,63.6427,451.2083,9.1846,65.892,462.4654,25.1183,71.2116,465.0764,40.8479,75.4558,470.3371,-22.3417,86.2571,413.9264,-43.0908,63.3088,428.0279,-64.7134,45.7442,439.161,-22.2062,31.8748,484.75,-30.7972,13.6964,503.9434,-37.8158,7.9103,519.476,-8.6281,36.8388,498.7409,-19.93,18.405,521.7572,-26.0631,9.2994,538.4746,9.2492,42.9468,497.6992,0.6574,27.6437,515.3619,-6.9661,15.2242,530.4828,35.9213,53.5726,499.3874,32.8542,39.9493,517.4725,27.6676,32.4523,532.9932
43.9375,101.5428,412.4811,33.1563,104.1602,404.0836,-10.5514,70.797,451.9989,6.3807,70.3295,462.6331,22.945,73.4635,464.8248,39.2678,75.4028,469.6116,-23.495,93.9569,417.0269,-46.9044,73.2177,430.3643,-69.2962,56.6681,441.532,-27.148,40.0006,485.6835,-36.6403,22.3868,504.9492,-43.4182,16.5568,520.572,-13.6974,40.3807,497.3761,-26.5488,21.2114,519.614,-33.1578,11.5213,535.8135,4.9036,44.7157,495.9936,-4.9111,29.0766,512.9497,-13.6607,16.7419,527.5202,33.7387,52.4517,497.6851,30.2998,38.1772,515.1453,25.3545,30.1783,530.4933
43.5303,107.4652,415.5834,32.8525,111.7849,407.7778,-12.6825,78.4828,454.004,4.3704,75.5367,464.03,21.2015,76.9377,465.9669,37.7397,76.948,470.3937,-24.0371,104.1435,421.4228,-49.1645,85.1793,434.2669,-72.2214,69.48,445.3083,-31.3802,47.3325,486.2258,-42.0726,29.5188,504.6522,-48.8973,23.2075,520.0662,-17.949,45.6992,497.1834,-32.1538,26.7096,518.2833,-39.1925,16.752,534.1358,1.4128,46.4178,494.6394,-9.4814,29.6156,510.4246,-19.0605,17.2481,524.4348,32.47,53.1597,497.2985,29.2481,38.6152,513.7484,24.4379,30.1015,528.8606
45.0144,110.4621,418.0421,34.3444,116.0397,411.0676,-11.3842,83.4303,457.5957,5.8466,78.6075,466.531,22.8087,78.6279,467.6656,39.4898,77.1322,471.2173,-22.2548,110.0161,426.5999,-48.4606,92.2878,439.0482,-71.77,76.8937,449.9888,-31.1093,51.5894,488.8525,-42.4948,33.2105,506.8943,-49.3755,26.4889,522.1086,-18.0394,48.7056,498.9617,-33.3687,29.5157,519.7746,-40.7909,19.3125,535.2925,2.0472,48.6838,495.5749,-9.1397,32.5491,510.613,-19.0811,20.1912,524.3771,33.1634,52.6271,497.3044,29.2867,37.6109,513.2902,24.3933,28.7121,528.1517
47.1875,109.4829,420.4181,36.4178,115.5428,414.0233,-8.0756,85.5476,463.4192,9.3874,79.9261,471.3843,26.367,79.1065,471.5335,43.1324,76.8018,474.1257,-19.4,110.1834,432.3712,-46.9384,94.6727,444.9033,-70.3649,79.62,456.0666,-28.41,54.0896,494.8603,-40.2047,35.843,513.0972,-46.6693,29.1588,528.5093,-14.7133,50.7719,504.1058,-30.1143,32.1415,525.0158,-37.2473,21.9443,540.6726,5.1719,49.5425,499.9545,-6.4073,33.3913,515.4811,-16.063,20.9425,529.3662,36.6714,52.0009,499.9073,32.7112,36.7991,515.7102,28.4267,27.9106,530.7647
47.8447,108.2581,420.8842,37.0404,114.356,414.5846,-7.0924,84.7134,464.514,10.4231,79.0241,472.3138,27.399,78.119,472.2905,44.1784,75.736,474.7162,-18.7284,111.7106,433.6593,-45.706,95.0779,445.9704,-69.6981,80.7123,456.8335,-26.5702,54.0882,496.873,-37.7387,36.5276,515.4277,-43.8234,30.3763,531.2118,-10.7843,48.6504,505.8585,-24.321,29.263,527.27,-30.8072,18.8344,543.0552,8.2232,48.4637,501.812,-2.1808,32.374,517.829,-11.2606,19.6583,531.86,39.4911,51.0876,501.0497,36.6154,35.9654,517.2057,32.8975,27.0072,532.3691
45.199,103.5597,416.7908,34.5454,110.2101,410.8012,-10.4646,78.2706,458.4803,6.8932,71.8258,466.0413,23.8522,70.6466,466.0862,40.571,67.8448,468.4824,-21.8344,110.0591,428.1877,-50.8856,95.6465,438.4007,-76.437,82.7582,447.4017,-33.0728,47.7068,488.9971,-46.1039,30.0901,506.5866,-53.0437,23.5044,521.8336,-15.3636,40.8682,498.2634,-29.5469,21.1401,518.7972,-36.3286,9.9943,533.9556,3.5608,40.4456,494.0603,-7.3713,24.1746,509.1316,-16.9746,10.8296,522.1963,36.2951,41.992,493.155,33.7185,26.4131,508.0228,30.2568,16.303,522.5073
