j0_x,j0_y,j0_z,j1_x,j1_y,j1_z,j2_x,j2_y,j2_z,j3_x,j3_y,j3_z,j4_x,j4_y,j4_z,j5_x,j5_y,j5_z,j6_x,j6_y,j6_z,j7_x,j7_y,j7_z,j8_x,j8_y,j8_z,j9_x,j9_y,j9_z,j10_x,j10_y,j10_z,j11_x,j11_y,j11_z,j12_x,j12_y,j12_z,j13_x,j13_y,j13_z,j14_x,j14_y,j14_z,j15_x,j15_y,j15_z,j16_x,j16_y,j16_z,j17_x,j17_y,j17_z,j18_x,j18_y,j18_z,j19_x,j19_y,j19_z,j20_x,j20_y,j20_z
179.0497,155.3012,378.8661,170.4388,146.4024,369.102,197.4483,82.4608,406.3574,206.9087,96.651,420.2549,212.3431,113.032,428.2003,218.1747,125.3908,436.7505,165.6857,123.4315,422.3028,162.5073,108.0713,457.8773,174.3746,99.8696,481.8752,193.6491,67.5403,450.6772,190.8193,56.4266,483.6891,183.4217,57.6989,502.2271,218.6533,72.0174,460.9519,212.899,70.4563,490.3535,198.2194,83.3413,504.2992,229.5719,95.2011,464.549,217.9385,101.689,489.1776,199.1022,115.732,497.7211,224.8452,121.7786,467.8383,219.2784,124.9954,485.7175,201.2676,135.1705,493.2059
176.7464,125.6186,361.0424,167.9537,118.1458,350.2944,187.7482,49.8221,384.1479,197.6037,62.2097,399.4259,203.9342,77.5102,408.7436,210.3031,88.738,418.3989,158.4131,93.0854,401.8177,152.0415,76.3491,436.2269,162.2099,65.9823,460.1671,182.4938,33.5871,427.8009,178.5832,21.5044,460.2891,170.3536,22.3188,478.4993,207.1136,35.1213,439.1346,201.5471,31.1223,468.3411,187.2402,43.7511,482.8953,217.3957,55.4064,444.3274,205.886,59.5381,469.5158,187.7046,74.3135,478.2408,209.5589,84.7971,450.1971,209.1157,82.4505,469.1314,191.3858,93.1356,476.5798
172.5318,100.9888,344.2269,162.6025,95.1539,333.4549,173.0073,23.755,365.0765,184.7564,34.17,380.4871,193.3389,48.1408,390.087,201.3859,58.0664,399.9144,148.3549,68.5837,382.4149,138.9614,51.0661,414.694,146.9752,38.9313,438.6215,164.9649,6.0446,406.5121,159.0974,-6.8764,436.7424,150.1313,-6.1188,454.6039,190.6234,3.5359,418.2778,184.6276,-3.2058,446.8889,171.1165,9.4422,462.1689,200.4389,24.2616,426.3551,189.4346,26.1245,452.0346,172.4452,42.3352,460.6119,197.8794,51.9593,432.2076,195.6809,48.1302,452.4548,178.6005,59.8866,459.8065
166.1187,83.5574,332.1494,154.8192,79.4402,321.9492,155.8148,6.9545,352.7848,169.8772,15.2661,367.5213,181.0404,27.6418,376.6441,191.0628,36.101,386.0167,136.3795,52.392,368.601,124.3643,34.7676,398.9989,130.4549,21.4969,422.8902,144.9272,-11.3404,392.4341,137.1053,-24.4837,420.9188,127.5791,-23.1509,438.4537,171.4964,-18.3767,403.1097,163.4833,-25.3977,431.1543,150.8715,-12.117,446.6645,183.5894,1.3802,411.8554,171.888,3.3386,437.2176,156.715,21.1487,446.0257,184.6913,27.7936,418.1375,180.5665,22.4155,438.9321,164.5464,35.5108,446.4068
157.9945,69.8708,324.5502,145.7148,67.3033,314.9957,138.4159,-4.5153,346.5364,154.2422,1.8453,360.4314,167.4597,12.6077,368.826,179.0262,19.6481,377.5724,123.7589,41.7336,360.3961,109.6079,25.2535,389.6574,113.9129,11.6943,413.7741,125.6195,-22.3071,385.3687,116.507,-34.9769,413.0217,106.7471,-32.7686,430.3384,151.6829,-32.2973,395.4846,142.4226,-39.2291,423.1649,130.7378,-24.949,438.5124,165.4149,-14.1252,403.714,153.511,-12.0873,428.9755,140.2663,7.1015,437.9956,170.5126,11.3732,409.6905,164.9004,5.9183,430.863,150.0647,20.2202,438.5674
150.2698,60.3189,321.5788,137.5676,58.7667,312.3639,123.7748,-11.0702,346.1065,140.4933,-5.9932,359.475,154.9322,3.5816,367.275,167.3598,9.6332,375.5686,114.1577,36.1184,357.9241,99.2753,21.7202,386.888,102.4012,8.6436,411.4488,109.6663,-26.7951,384.9197,99.7085,-37.8937,412.314,90.2266,-34.342,429.5616,136.2206,-39.4417,395.027,126.2418,-43.2096,423.0667,115.7779,-27.6231,438.019,150.6615,-21.6866,403.042,139.1128,-18.1983,428.3098,127.5126,2.2364,436.8456,158.5664,2.2278,407.7433,152.7864,-2.6398,428.892,139.1838,12.8306,436.6146
144.2089,53.8893,322.0572,130.7292,53.8138,313.8741,110.0467,-12.0112,351.8912,128.3082,-8.8639,363.749,144.5077,-1.1547,370.0058,158.2701,3.3751,377.0717,106.2471,35.0018,360.672,90.6591,23.024,390.4687,92.3068,10.9716,415.6883,94.4665,-24.8998,390.8759,83.5396,-33.939,418.2174,74.8184,-28.5727,435.3972,120.1308,-39.973,400.7132,110.0671,-42.0615,428.8976,101.6294,-25.0242,443.5447,137.2138,-23.9893,406.9027,126.2115,-18.4417,432.0457,116.9886,3.3847,440.0173,148.1865,-1.6576,409.9605,141.4113,-5.0391,432.0588,129.5657,11.8551,439.6922
138.4552,49.7659,324.6653,124.8613,50.3372,316.6935,100.3724,-12.5207,357.3773,119.0114,-10.2317,368.838,135.8091,-3.4485,374.5674,149.9715,0.3623,381.2573,100.2711,35.5428,365.0439,84.5489,26.0837,395.9575,85.917,14.9475,421.6112,84.998,-22.4673,397.4105,74.1888,-29.4605,425.5567,66.3843,-22.8615,442.7481,109.3027,-37.4984,408.3762,100.0341,-38.852,436.8764,93.1028,-20.7499,451.0282,127.2658,-23.8545,412.6017,117.5618,-18.4805,438.3107,110.3433,4.187,445.9969,140.9045,-3.1008,414.7233,134.7955,-5.4341,437.2712,124.3432,12.2177,445.2189
134.14,48.2196,330.0975,120.225,49.9605,322.8854,92.4595,-10.0052,365.7712,111.8484,-9.328,376.1448,129.4911,-4.0604,380.834,144.2976,-1.5019,386.6713,95.4581,37.67,371.2728,79.8291,29.9141,401.8075,81.7469,19.3095,427.6505,77.5163,-18.5818,406.1155,67.0476,-24.5902,434.3791,59.9784,-17.1053,451.5255,101.3251,-36.3151,415.6664,92.2528,-35.5937,444.2527,86.6353,-16.5203,457.6932,120.9596,-23.6248,419.3105,112.1291,-15.7777,444.6965,106.4128,7.5084,451.7732,135.3886,-3.2554,420.7046,129.3094,-4.4519,443.9279,119.9851,13.7955,451.9333
130.4661,48.2256,332.9825,116.5768,50.1937,325.7793,86.6228,-6.1903,371.927,106.1128,-5.8199,382.1252,124.0068,-1.0894,386.4176,138.9605,1.1215,392.0168,92.2682,41.6237,375.5073,76.8127,36.1749,407.1246,78.6185,26.6208,433.3821,72.4675,-11.9874,412.9738,62.5662,-16.0424,441.685,56.3543,-7.4041,458.6199,95.5105,-30.746,422.9575,87.3872,-27.6332,451.6685,83.1733,-7.7589,464.4457,115.0948,-18.0976,426.0067,107.2885,-9.3816,451.4447,103.0612,14.4388,457.7468,131.1556,0.0013,426.0632,125.8785,-0.7561,449.0828,117.7277,18.1587,456.8155
