j0_x,j0_y,j0_z,j1_x,j1_y,j1_z,j2_x,j2_y,j2_z,j3_x,j3_y,j3_z,j4_x,j4_y,j4_z,j5_x,j5_y,j5_z,j6_x,j6_y,j6_z,j7_x,j7_y,j7_z,j8_x,j8_y,j8_z,j9_x,j9_y,j9_z,j10_x,j10_y,j10_z,j11_x,j11_y,j11_z,j12_x,j12_y,j12_z,j13_x,j13_y,j13_z,j14_x,j14_y,j14_z,j15_x,j15_y,j15_z,j16_x,j16_y,j16_z,j17_x,j17_y,j17_z,j18_x,j18_y,j18_z,j19_x,j19_y,j19_z,j20_x,j20_y,j20_z
44.5317,112.6603,541.7193,33.281,109.0643,534.3646,28.8554,47.7566,573.6215,43.8185,56.5476,583.5624,54.8402,69.2248,586.1725,66.8581,80.4128,591.0207,-0.4681,84.3423,575.9677,-6.0007,88.1167,609.3015,-16.9016,84.3398,636.9946,28.5881,19.872,610.2053,24.2281,23.0596,632.5622,20.6798,26.335,649.9024,44.1991,19.2694,612.184,34.2033,21.263,637.1862,25.5531,31.7691,651.8421,65.0302,35.0478,611.9426,59.8809,36.945,632.213,50.7198,51.2971,644.5049,82.9946,59.8695,614.3141,76.8969,62.7206,633.1473,65.2159,72.9826,642.2163
44.893,109.5321,537.411,34.5361,105.2173,529.1817,32.1149,42.9691,567.111,45.559,52.6997,578.2722,55.3162,66.1441,581.8839,66.0173,78.1368,587.7807,-3.4835,83.7398,568.8582,-6.751,83.4494,602.6996,-15.9639,79.1966,630.9314,32.2466,18.3791,605.9867,26.8856,20.9389,628.2062,22.1043,25.0644,645.0621,46.2808,17.2378,609.1094,36.2393,18.066,634.1589,26.9837,27.8019,648.9761,65.0604,34.2223,610.5554,60.3531,34.1512,631.0209,50.5157,47.488,643.9188,80.5213,60.0706,614.0151,73.0942,63.2531,632.3102,60.6133,72.8027,641.0868
45.9094,104.5818,531.4909,36.0247,99.9633,522.8559,34.89,37.1437,559.893,47.5346,47.2581,571.6325,56.6003,61.0378,575.7473,66.5909,73.3738,582.1598,-5.4348,80.4855,560.0409,-10.423,77.4028,593.5315,-18.1933,73.1994,622.2012,35.5576,11.9019,598.343,28.0723,17.6139,619.3274,22.0827,22.516,635.5784,48.2751,11.41,602.0195,37.1047,12.5995,626.5716,27.2463,20.5845,642.0329,63.9301,31.3671,607.4004,57.0645,32.2942,627.2247,46.0121,43.62,641.0295,75.0582,60.5777,613.6172,67.5587,62.5465,632.0531,54.1205,71.051,640.4844
46.0574,99.1163,523.5542,37.7391,93.8054,513.7458,37.0163,30.7473,550.3857,47.2317,41.7271,563.6178,54.5712,56.1471,568.8328,62.6529,69.18,576.4447,-4.1568,73.5997,550.0427,-10.6211,69.6092,583.1831,-15.7882,66.3282,612.5521,36.6111,5.4174,588.7814,28.6555,9.1983,610.0279,21.6624,14.561,625.7231,48.0026,5.4208,593.455,36.3892,4.2222,617.8003,25.8404,10.4071,633.6265,58.4102,28.8227,603.1059,50.8719,27.5252,622.6633,38.537,36.5286,637.0782,71.2555,56.7202,608.0002,62.3099,58.2698,625.8208,47.9614,65.3344,634.0798
48.235,88.3016,512.8805,42.9621,82.2245,501.5285,42.8729,18.632,537.2401,48.5056,30.481,552.3356,52.5945,45.5846,558.981,57.0785,59.3446,568.128,0.4854,67.9725,539.9161,-13.1338,62.585,570.5999,-15.9164,60.4373,600.3933,32.7889,-0.8147,577.6893,24.2855,-0.9056,599.0595,16.3916,5.2621,614.0143,44.4136,-1.0381,586.9593,32.4923,-4.2081,610.9767,21.132,1.2658,626.5002,51.0432,27.5586,599.0891,43.9936,25.5723,618.7705,30.356,33.6858,632.5249,55.3687,52.2293,602.3544,46.2372,52.7617,620.1402,30.7986,59.112,626.8724
47.0453,81.8321,503.7824,41.8614,75.9557,492.2846,38.8384,12.3142,527.7804,44.4752,23.9389,543.0478,48.8835,38.8865,549.84,53.5814,52.4725,559.1385,-1.8815,62.7649,529.615,-16.993,57.7219,559.6519,-19.0428,56.3055,589.5482,29.7712,-11.4012,566.1388,20.2905,-10.1545,587.0568,11.8982,-3.6423,601.5882,38.3719,-6.8355,578.0434,25.5168,-10.6924,601.4713,13.3343,-5.671,616.517,42.2618,28.4103,592.0585,33.115,29.4512,610.9332,18.2888,38.5412,622.7042,42.8863,49.7768,592.3552,33.8019,50.0151,610.1714,17.7523,57.1171,614.1677
48.0784,75.4578,491.9852,44.1105,69.6025,480.003,38.651,5.6352,514.6108,42.6217,17.2136,530.4277,46.1331,32.1665,537.7134,49.7126,45.7414,547.5123,-0.3566,59.1972,517.358,-17.2761,54.8562,546.528,-18.0913,53.9178,576.5022,22.5291,-11.6937,554.0544,13.3542,-16.9014,574.4921,4.6898,-10.1975,588.7745,32.1874,-11.4061,566.2193,19.4314,-17.506,589.221,6.8309,-12.2463,603.8348,36.0869,21.9955,579.3262,25.7814,23.9057,597.5237,10.762,35.5617,606.4431,37.0861,44.1522,580.1167,23.9472,47.3688,594.8484,7.9966,55.6984,595.2915
47.1036,71.3602,482.1935,42.5261,66.0462,470.1764,32.9209,1.9887,503.6982,37.9835,12.9343,519.6533,42.7012,27.4446,527.1495,47.4253,40.5269,537.1317,-2.973,57.8738,506.8377,-18.0324,54.7919,537.1645,-18.1317,54.1542,567.1575,17.3738,-16.6972,542.751,7.6728,-19.4692,563.42,-0.8476,-12.4731,577.6487,25.8032,-16.2287,554.4407,11.5283,-20.2817,576.9973,-1.1843,-13.978,591.0918,32.9319,17.3713,568.8519,20.7776,25.0359,584.1661,7.2931,40.5513,588.4605,36.1045,41.5478,570.2345,21.0516,48.8337,581.2039,6.2757,58.5298,577.7891
48.6711,68.7532,469.9273,44.6009,63.4678,457.7166,32.6054,-0.3807,490.8649,37.045,10.5395,507.0216,41.5862,25.0077,514.7059,45.9978,38.054,524.8764,1.0459,58.4874,497.2028,-18.9285,56.104,524.6134,-18.9621,55.7801,554.6117,13.5293,-13.4256,531.1708,3.7128,-20.1384,551.9121,-4.8698,-12.8265,565.9433,17.3297,-9.9053,544.5247,5.9822,-21.6726,566.1101,-6.8082,-14.8011,579.8646,29.701,17.3624,556.3748,17.6722,25.6465,571.4639,5.4745,42.7295,572.0877,31.1918,41.6148,556.39,16.7296,49.1329,567.9797,3.774,59.5167,561.0278
46.0671,66.9821,460.3917,42.3177,61.7518,448.0552,27.9524,-1.786,480.8566,32.0444,9.0788,497.1419,36.5983,23.4719,504.9586,40.9096,36.451,515.2575,0.838,58.8177,490.0621,-23.1532,57.1206,514.3581,-22.7665,56.7483,544.3533,7.72,-14.3552,520.8476,-2.7447,-20.8563,541.5318,-11.4938,-13.3311,555.3458,10.6798,-11.0408,534.3931,-1.8126,-22.8053,556.1747,-14.7203,-15.7002,569.6991,21.3685,17.1253,545.748,8.8057,25.5189,560.333,-2.1784,43.3184,558.4549,27.568,38.0938,547.5731,11.8528,48.2756,554.5992,1.0347,59.0903,545.1118
