j0_x,j0_y,j0_z,j1_x,j1_y,j1_z,j2_x,j2_y,j2_z,j3_x,j3_y,j3_z,j4_x,j4_y,j4_z,j5_x,j5_y,j5_z,j6_x,j6_y,j6_z,j7_x,j7_y,j7_z,j8_x,j8_y,j8_z,j9_x,j9_y,j9_z,j10_x,j10_y,j10_z,j11_x,j11_y,j11_z,j12_x,j12_y,j12_z,j13_x,j13_y,j13_z,j14_x,j14_y,j14_z,j15_x,j15_y,j15_z,j16_x,j16_y,j16_z,j17_x,j17_y,j17_z,j18_x,j18_y,j18_z,j19_x,j19_y,j19_z,j20_x,j20_y,j20_z
96.0712,156.1132,438.316,91.2012,144.3903,433.1426,87.1801,115.9084,499.802,93.0504,136.9454,502.4446,97.5737,153.3134,503.2383,102.2266,171.1676,496.0696,70.8155,137.2647,483.6214,54.7745,131.6577,523.3419,39.2875,118.7479,544.1863,68.8853,121.6518,534.6469,57.7137,125.1589,555.9249,47.2812,137.1875,540.7434,83.5143,134.4367,547.3753,59.2933,147.2556,559.5827,55.159,153.5287,539.9726,92.9094,161.076,543.2256,66.3578,169.3468,546.4822,58.766,168.4317,526.9239,89.4048,176.1532,528.2526,73.0728,179.7411,545.4687,58.0,179.5077,530.8483
96.2449,154.1492,438.1391,91.2924,142.4184,433.0627,86.2501,114.8336,500.0292,92.3375,135.8335,502.4684,97.0427,152.157,503.1036,101.9773,169.8639,495.7602,70.2571,135.5339,483.3918,53.6908,130.1121,523.0285,37.8579,117.6471,543.8838,69.1034,121.1962,534.7089,58.892,124.9854,555.3617,49.1677,137.0292,539.7289,82.9281,132.4071,547.3652,57.6213,145.2034,557.154,55.9417,150.2133,536.8297,93.0919,159.468,543.2526,65.6483,165.0168,543.0004,60.2386,162.8492,522.8253,84.6635,173.8995,525.9089,70.5566,176.5395,545.145,57.0573,174.8809,529.1444
97.6583,146.6005,435.8204,93.9353,134.4037,430.7919,89.4684,107.3461,498.0138,93.5599,128.8417,500.2939,96.7504,145.5318,500.8053,100.2753,163.5168,493.3269,71.4384,130.0094,480.7754,53.7195,126.5485,520.1433,37.4704,114.6135,540.9885,69.0706,115.375,531.6741,56.4106,120.3582,552.5653,47.2376,132.5556,536.7198,82.5589,127.3605,544.9345,57.8298,142.5798,552.474,57.4649,146.932,531.9332,94.256,154.1256,540.8169,66.9258,159.706,538.3835,62.9321,156.5006,518.0175,82.1426,167.9556,523.0495,69.6694,171.009,543.4953,56.7881,168.3659,527.1219
93.6563,138.0947,431.6879,89.2968,126.0679,426.7623,85.089,99.2929,494.114,90.1645,120.5909,496.2667,94.092,137.1258,496.6792,98.2394,154.9326,489.0942,68.1071,122.8147,477.1055,51.4686,120.2601,516.636,35.1944,108.9934,537.8306,65.6838,109.4807,527.7998,53.6309,115.8085,548.7226,44.7491,127.9658,532.6816,78.6017,119.5561,540.7778,54.7984,135.9244,548.8699,55.3132,140.0879,528.2932,92.1171,147.1103,536.3959,64.8875,152.0899,532.1825,61.6614,147.9125,511.8566,84.8023,161.3693,520.7646,67.3,164.3028,536.9221,54.6019,160.3548,520.6687
89.4563,129.0244,422.421,84.9927,116.9788,417.6369,82.6704,90.3196,485.1258,87.7537,111.6329,487.1021,91.6531,128.1773,487.3784,95.553,145.9792,479.6519,63.7086,114.663,468.0239,46.9904,112.8439,507.6019,30.6536,102.3382,529.1364,63.2203,100.9843,518.3886,51.2399,107.5532,538.877,42.6367,119.7832,522.7397,76.5592,110.5059,531.7049,53.1367,127.9194,538.6445,54.0136,131.922,518.0482,92.1867,138.4207,527.0746,64.9606,141.6923,521.4145,62.1558,136.9072,501.1602,83.8483,152.6593,511.9532,65.3295,154.6705,527.0863,54.3119,149.6436,509.9299
85.8369,118.1226,412.2779,80.9685,106.3278,407.2688,77.7925,78.4682,474.2361,83.5896,99.5569,476.615,88.0424,115.9528,477.2042,92.5332,133.7591,469.8163,59.3259,102.8618,457.3395,42.3432,100.142,496.6291,25.4458,89.5343,517.6756,57.4649,88.3144,507.3113,44.9079,94.3968,527.743,36.915,107.0745,511.6374,70.9895,97.7708,520.8196,47.5931,114.7879,528.7587,49.0388,119.2176,508.2821,87.1349,125.913,516.9657,60.2044,129.1043,509.9971,57.9594,124.4967,489.6322,79.3871,140.2674,501.594,60.5494,142.3052,516.3245,50.6836,137.3227,498.4684
81.587,106.6572,398.7134,76.337,95.2373,393.2422,70.3539,65.6088,459.2515,76.9949,86.3456,462.3951,82.1343,102.5069,463.5785,87.5642,120.3068,456.8336,53.6018,89.6683,442.6151,35.7654,85.2992,481.3495,17.8988,74.2166,501.3235,49.7669,74.5514,492.1598,37.1629,80.0263,512.3072,29.9728,93.3372,496.3347,63.7928,82.5553,506.2965,40.0931,99.8772,512.4835,42.271,104.8368,492.1942,80.4589,111.0434,503.6449,53.664,114.0492,496.0952,52.0198,110.0952,475.5365,73.099,125.2739,488.3152,53.8732,126.5337,502.6253,44.8107,122.2388,484.1747
77.3293,93.0085,384.3708,72.0369,81.9841,378.1771,63.0069,49.4333,442.4404,69.9757,69.8387,446.8055,75.4168,85.8022,448.9418,81.4733,103.7678,443.2526,47.2853,75.0763,425.9947,27.9467,69.6792,463.3548,9.1226,58.064,482.1095,40.6688,57.2829,474.6171,26.9271,62.1117,494.411,20.7539,76.4258,478.8869,54.7165,64.8787,489.9164,31.2856,82.742,495.5644,34.2581,88.5712,475.6099,71.7057,92.3821,489.2398,45.3486,96.2225,480.6052,44.2589,93.4099,459.8229,64.5757,107.9775,473.6129,45.5817,109.6788,488.1846,36.9828,106.4987,469.2916
71.6065,78.3661,367.3368,65.9904,68.0169,360.3182,53.3058,32.1375,422.1457,61.1097,51.8648,427.971,67.2458,67.3755,431.2523,74.348,85.3242,426.8689,38.8585,58.8656,407.1012,17.5221,51.669,443.8912,-2.5444,39.7518,461.105,29.9383,38.5871,454.164,15.4405,42.5886,474.029,10.3175,57.9879,459.1759,43.7861,44.7261,469.9821,20.0719,61.9185,476.4672,23.9357,68.8363,457.0195,60.566,71.8395,471.4575,34.5172,76.5224,462.318,33.943,75.0352,441.3786,54.9555,87.8944,455.8918,35.9581,89.2094,470.4989,27.712,87.5542,451.2567
66.044,63.7715,350.8107,60.302,54.1245,342.9447,43.8881,14.9774,401.8425,52.2242,33.9609,409.2002,58.8282,48.9686,413.6899,66.7835,66.8501,410.7271,31.1596,43.1355,387.8262,8.2993,34.5153,423.0327,-12.8837,22.3698,438.6776,19.5526,20.2697,433.3923,4.4333,23.5577,452.9937,0.3036,39.8143,438.7575,32.8415,25.621,450.0751,9.2104,42.8541,456.7527,14.0025,50.5313,437.8029,49.88,51.4613,453.6238,24.2764,57.612,444.1041,24.1789,57.4692,423.1049,45.3965,68.6268,438.3756,26.1433,69.9704,452.6413,18.313,69.9082,433.1559
