j0_x,j0_y,j0_z,j1_x,j1_y,j1_z,j2_x,j2_y,j2_z,j3_x,j3_y,j3_z,j4_x,j4_y,j4_z,j5_x,j5_y,j5_z,j6_x,j6_y,j6_z,j7_x,j7_y,j7_z,j8_x,j8_y,j8_z,j9_x,j9_y,j9_z,j10_x,j10_y,j10_z,j11_x,j11_y,j11_z,j12_x,j12_y,j12_z,j13_x,j13_y,j13_z,j14_x,j14_y,j14_z,j15_x,j15_y,j15_z,j16_x,j16_y,j16_z,j17_x,j17_y,j17_z,j18_x,j18_y,j18_z,j19_x,j19_y,j19_z,j20_x,j20_y,j20_z
40.4042,124.8789,353.3471,43.5534,113.398,343.0058,50.701,63.3329,403.4078,43.9774,80.138,415.913,38.1999,97.5125,420.9875,33.2148,111.2599,427.7705,18.0804,84.8095,384.0557,1.8314,66.5732,410.241,-8.6824,46.2678,426.4011,15.4846,52.3319,428.8468,-9.7151,44.46,447.0502,-28.9376,43.2887,452.447,6.0746,65.6689,443.3907,-21.7881,60.8619,453.4188,-44.666,57.8521,460.0177,5.5137,94.4261,450.2806,-22.1326,90.633,447.9785,-46.8571,87.2638,446.4468,15.5982,105.5521,455.0811,4.5815,101.9827,472.16,-14.602,94.7002,480.0948
40.2654,125.0018,353.2416,43.4439,113.5041,342.9279,50.511,63.557,403.4369,43.7498,80.3801,415.8975,37.9489,97.7595,420.9283,32.9398,111.5156,427.6758,18.0876,84.9722,384.1267,1.9014,66.7589,410.4258,-8.6233,46.3748,426.4794,15.3297,52.5153,428.8413,-9.8249,44.6205,447.0054,-29.0532,43.4326,452.3779,6.1635,65.7122,443.7027,-21.9594,61.1836,453.1152,-44.8157,58.0802,459.7452,5.0134,95.3464,450.0045,-22.6207,91.4636,447.7059,-47.3432,88.0338,446.28,15.658,105.59,455.1253,4.8627,101.8885,472.2718,-14.2779,94.537,480.2466
40.3621,125.0193,353.1474,43.6455,113.4938,342.8979,50.5552,63.8131,403.6439,43.6559,80.6584,415.9985,37.758,98.0345,420.9267,32.6561,111.7973,427.5906,18.1823,85.04,384.1555,1.9061,66.8522,410.5275,-8.5977,46.3966,426.5036,15.2812,52.8369,428.9125,-9.9291,44.9922,446.9719,-29.174,43.7196,452.2649,5.4231,66.3393,443.0949,-22.413,61.3235,453.0944,-45.2735,58.1189,459.6617,4.8763,95.3244,450.0377,-22.7458,91.4028,447.6626,-47.4638,87.937,446.2456,15.8218,105.9082,455.159,5.376,102.254,472.2652,-13.577,94.7619,480.5507
39.7917,125.5748,353.1493,42.8585,113.9716,342.9203,49.5995,64.4359,403.8035,42.9977,81.4107,416.1434,37.3497,98.8763,421.048,32.4658,112.7255,427.6962,17.8659,85.4946,384.2367,1.9554,67.3659,410.5392,-8.3446,46.887,426.6179,14.7885,52.9139,428.9782,-9.9403,44.7289,446.8616,-29.1852,43.405,452.142,5.1858,66.4242,443.4686,-22.7737,61.425,453.1266,-45.6253,58.116,459.6729,4.6819,95.3024,450.3062,-22.8863,91.3163,447.4595,-47.5958,87.784,446.0579,16.2961,106.8062,455.6886,6.2481,103.1279,473.0835,-12.3633,95.4871,481.9848
39.9963,125.5251,352.8094,43.3315,113.9628,342.6182,50.1715,64.5546,403.5938,43.2038,81.4381,415.8574,37.2571,98.823,420.6953,32.1089,112.6035,427.2864,18.1401,85.7022,384.0037,2.0903,67.6968,410.3711,-8.1371,47.1992,426.4724,14.8593,53.2543,428.7298,-10.3977,45.1718,446.7083,-29.6477,43.8171,451.9622,4.7011,67.1431,442.5819,-23.0866,61.9232,452.6116,-45.9034,58.5255,459.2336,4.9083,95.5884,450.3447,-22.6134,91.464,447.2552,-47.3255,87.8422,446.1611,16.1783,106.8892,455.4148,6.2966,103.3446,472.8628,-12.2798,95.6821,481.8183
39.8112,125.5498,352.6751,43.1637,113.9822,342.4956,49.8362,64.5914,403.504,42.8492,81.483,415.7456,36.9007,98.8727,420.5637,31.7446,112.6583,427.1381,18.0287,86.1172,384.0928,2.0428,68.3948,410.5488,-8.1215,47.8465,426.6253,14.5619,53.3215,428.5907,-10.6329,45.272,446.509,-29.8837,43.8945,451.7542,4.7841,67.4139,443.2067,-23.332,62.6486,452.5219,-46.1426,59.2512,459.1656,4.2522,96.0088,449.9213,-23.2923,91.8722,447.0594,-48.0055,88.2536,445.9806,15.9176,106.8896,455.3121,6.1009,103.3115,472.787,-12.4945,95.6275,481.6844
39.6135,125.8546,352.5058,43.0177,114.263,342.3707,49.5647,65.0581,403.5426,42.5109,81.9738,415.7124,36.5196,99.3679,420.4608,31.3203,113.1643,426.9785,17.9311,86.3351,383.981,1.9678,68.5637,410.4588,-8.1454,48.0067,426.5564,14.2993,53.781,428.5394,-10.8589,45.7361,446.372,-30.1219,44.3105,451.5588,4.6217,67.5885,443.2528,-23.5529,62.8461,452.4015,-46.3716,59.4281,459.0066,4.2218,96.2786,450.1814,-23.2945,92.1357,447.0693,-48.0047,88.505,445.9625,15.8993,107.0986,455.4009,6.2998,103.3228,473.0935,-12.2681,95.6095,482.0231
39.744,126.23,352.4734,43.1731,114.6074,342.3823,49.5848,65.5941,403.7223,42.5008,82.5467,415.823,36.4963,99.9548,420.5033,31.2803,113.7707,426.9659,18.0637,86.6608,384.0737,2.0526,68.8406,410.6584,-8.0251,48.2776,426.7706,14.1595,54.6449,428.8095,-11.1647,46.8176,446.7433,-30.4518,45.357,451.8298,4.2721,67.8234,442.7077,-23.6643,62.6774,452.3555,-46.4863,59.211,458.9235,4.0258,96.5212,449.9969,-23.517,92.3879,447.1136,-48.2224,88.7426,445.9499,15.6713,107.6187,455.4129,5.8967,103.7662,473.2269,-12.6974,96.0541,482.1028
39.6866,126.5341,352.7121,42.8664,114.8335,342.6296,49.0154,65.9034,404.0627,42.2755,82.9933,416.1668,36.5654,100.5017,420.8412,31.604,114.4117,427.3024,17.9874,87.0371,384.4806,2.1474,69.3397,411.1264,-7.9285,48.7703,427.2316,13.906,55.109,429.1645,-11.0407,47.4392,447.0004,-30.3387,45.963,452.041,4.5636,67.9445,443.5956,-23.7859,63.3223,452.2525,-46.611,59.8371,458.7999,3.9142,96.7362,450.0938,-23.6231,92.6204,447.1342,-48.3269,88.9774,445.9297,15.8705,108.1708,455.4693,6.0949,104.2932,472.97,-12.5612,96.5628,481.6985
40.0572,126.6208,352.8995,43.5306,114.9662,342.8607,49.7604,66.1687,404.3911,42.6211,83.1574,416.4082,36.5872,100.577,421.0073,31.3381,114.4111,427.4038,18.3784,87.29,384.5757,2.3807,69.687,411.1078,-7.691,49.1292,427.2303,14.2918,55.3146,429.366,-11.0353,47.564,447.1999,-30.3459,45.9877,452.1615,4.1235,68.7729,443.0921,-23.8904,63.6431,452.5208,-46.7207,60.0971,459.0174,4.273,97.4714,450.7083,-23.1837,93.2624,447.1844,-47.8778,89.58,445.9039,15.826,108.459,455.8005,6.17,104.754,473.4768,-12.5173,96.9894,482.1078
40.512,126.9919,353.018,44.0018,115.3337,342.9891,50.2382,66.5825,404.5555,43.0766,83.5729,416.5571,37.0245,100.9901,421.1411,31.7594,114.8238,427.5253,18.638,87.5872,384.5775,2.4904,69.9228,411.0541,-7.5779,49.3798,427.1976,14.6284,55.7416,429.3885,-10.8159,47.9955,447.1325,-30.1378,46.3486,452.0264,3.5365,69.7538,441.9858,-23.8945,63.8964,452.6266,-46.7251,60.2953,459.0917,4.5823,97.8481,450.6983,-22.8594,93.5904,447.1165,-47.5435,89.8654,445.7681,15.8645,108.8012,455.8076,5.9244,105.0348,473.4944,-12.8212,97.2688,481.9968
41.1854,127.4449,353.0328,44.6946,115.7751,343.0241,50.9395,67.1247,404.6694,43.7515,84.1258,416.64,37.6777,101.5436,421.1931,32.3933,115.3814,427.5524,19.2584,87.9708,384.6129,3.0387,70.241,411.1325,-7.0039,49.6998,427.2944,15.6368,56.1343,429.5637,-9.4938,48.3106,447.2849,-28.811,46.6042,452.1771,5.6614,69.532,443.7908,-22.6041,64.5885,452.5443,-45.415,60.8986,459.0287,5.0346,98.4303,450.5313,-22.427,94.1069,447.1894,-47.1001,90.321,445.8075,16.7459,109.492,455.7988,7.0417,105.8395,473.3167,-11.7121,98.0639,481.7922
42.1691,127.4811,353.2101,45.7419,115.8105,343.2248,51.9437,67.246,404.9421,44.6708,84.2393,416.8725,38.5331,101.6444,421.3882,33.1899,115.4738,427.7165,20.1635,87.987,384.6583,3.8705,70.2638,411.0508,-6.1244,49.727,427.2478,16.5983,56.2527,429.5751,-8.5015,48.446,447.0677,-27.823,46.6797,451.9217,6.9846,69.2317,444.3591,-21.4959,64.4129,452.4613,-44.3094,60.598,458.8637,5.6331,98.8061,450.4663,-21.7938,94.3265,447.0464,-46.4434,90.4229,445.576,17.407,109.4763,455.8536,7.6233,105.7585,473.2956,-11.1424,97.9669,481.73
43.0358,128.1223,353.1168,46.4133,116.3975,343.1272,52.7349,67.9194,404.9002,45.7229,85.0045,416.8556,39.7828,102.4744,421.3854,34.6213,116.3657,427.729,21.4571,88.5106,384.7458,5.6071,70.7992,411.1783,-4.2811,50.2726,427.4535,17.6742,56.6283,429.654,-7.1772,48.6251,447.1997,-26.4974,46.7428,452.0149,7.6783,70.0298,443.8624,-20.509,64.7064,452.6452,-43.3142,60.7805,459.0099,6.3605,98.5885,449.7376,-21.1457,94.0858,447.0659,-45.7791,90.0975,445.5526,18.3338,109.8885,455.8145,8.0961,105.8172,473.468,-10.6706,97.9346,481.8152
44.2578,128.8332,352.7646,47.9955,117.142,342.8642,54.4782,69.0203,404.8986,46.9756,86.0056,416.6974,40.6328,103.3702,421.0837,35.1158,117.1789,427.3072,22.9897,89.4808,384.5871,7.1132,71.9184,411.0773,-2.6895,51.4119,427.4294,19.3058,57.4243,429.7121,-5.7349,49.1686,447.3779,-25.0602,47.1511,452.1173,9.2357,70.7445,443.9701,-18.9737,65.2687,452.5866,-41.7745,61.1866,458.8685,8.1032,99.3749,450.4412,-19.2999,94.6766,447.1253,-43.908,90.528,445.6314,18.8076,110.9159,455.5338,8.515,106.9631,473.3484,-10.3009,99.0015,481.5077
46.1198,128.9748,352.6508,50.2469,117.3498,342.8275,56.8441,69.4733,405.0394,48.8139,86.3146,416.6965,42.0427,103.548,420.9579,36.1455,117.2467,427.075,24.7928,89.7434,384.6182,8.5363,72.1122,411.3083,-1.0914,51.5776,427.729,21.0684,58.2874,429.6057,-4.5327,50.2828,447.1853,-23.8633,48.1672,451.8599,10.5659,71.728,443.6283,-17.5692,66.0199,452.3364,-40.3591,61.776,458.5501,8.6693,99.9395,449.4042,-18.7937,95.0729,446.9341,-43.3674,90.7631,445.3345,19.8546,111.3077,455.2645,9.62,107.5765,472.9744,-9.183,99.5192,481.0692
47.0879,129.029,352.5754,51.2807,117.3914,342.7948,57.7146,69.6632,405.1375,49.6003,86.5127,416.7241,42.7753,103.7411,420.9196,36.8238,117.4406,426.9821,25.8575,89.9834,384.7281,9.6228,72.4812,411.5058,0.1416,51.9577,428.0253,21.9149,58.4281,429.7834,-3.7442,50.3755,447.4481,-23.0813,48.174,452.0554,10.0486,72.4591,442.0057,-17.3596,65.9271,452.3073,-40.1459,61.5699,458.4556,9.5835,100.3311,449.6019,-17.8298,95.3079,446.9037,-42.3837,90.8788,445.3258,20.8597,111.3342,455.2368,10.8645,107.511,472.927,-7.9438,99.4254,480.9813
48.0466,129.3822,352.6535,52.2825,117.7451,342.8909,58.6787,70.0787,405.2848,50.5071,86.9215,416.841,43.6397,104.1399,421.0085,37.6488,117.8325,427.0477,26.6873,90.3435,384.7262,10.3419,72.8446,411.4426,0.9214,52.3242,428.0006,22.9414,58.7184,429.8275,-2.6322,50.589,447.3903,-21.9733,48.3237,451.95,10.4009,72.7665,441.1746,-16.5834,65.7133,452.2246,-39.3707,61.2665,458.3045,10.3876,100.742,449.6224,-16.9668,95.6288,446.5251,-41.5083,91.1432,444.9155,21.1661,111.7666,454.9534,10.8702,107.9775,472.3846,-8.0217,99.8536,480.201
49.6959,129.7399,352.2026,54.2116,118.1674,342.4888,60.7341,70.6304,404.9683,52.1837,87.3468,416.4337,45.0049,104.4564,420.5235,38.7394,118.0553,426.4954,28.5116,90.8452,384.4173,12.0661,73.3616,411.2475,2.7063,52.8599,427.8629,24.6352,59.4824,429.475,-1.3149,51.4685,447.0919,-20.6591,49.1513,451.6124,11.8515,73.6229,440.6406,-15.0715,66.5939,451.8541,-37.8426,62.104,457.9632,11.1292,100.989,448.3876,-16.3203,95.8996,446.2378,-40.8544,91.3782,444.6139,21.9098,112.4022,454.6222,11.2565,108.8238,472.4269,-7.6683,100.6967,480.1602
49.8609,130.3445,352.0668,54.1431,118.6874,342.3484,60.3825,71.188,404.8853,52.1529,88.0509,416.3707,45.2518,105.272,420.4709,39.225,118.9732,426.4547,29.0964,91.475,384.4013,13.175,74.1769,411.1331,3.9252,53.7149,427.8587,24.7138,59.9866,429.4653,-0.7704,51.9835,447.0269,-20.1138,49.6372,451.5355,11.9975,73.9869,440.676,-14.9837,66.9131,451.7204,-37.7471,62.3866,457.8311,11.8965,101.7833,448.9533,-15.4545,96.6082,445.9292,-39.9881,92.0663,444.3569,22.6461,113.0989,454.4917,12.2295,109.4081,472.1074,-6.6857,101.2859,479.8691
51.3056,130.6684,351.7418,55.6249,118.9978,342.0561,61.7576,71.6222,404.6974,53.4808,88.4976,416.1304,46.5508,105.7188,420.1809,40.4941,119.4246,426.1238,30.2187,91.8758,384.1212,14.015,74.5777,410.9499,4.8104,54.1371,427.7266,25.9749,60.2261,429.2712,0.3347,52.0603,446.8795,-19.0079,49.6848,451.3763,12.5803,74.9019,439.4394,-13.9901,67.512,451.2463,-36.6964,62.8653,457.478,12.9097,102.1321,448.3129,-14.4833,96.9201,445.7717,-39.0125,92.3244,444.2885,23.8152,113.5807,454.0635,13.3541,109.9153,471.5876,-5.5885,101.8433,479.3349
52.3311,130.6599,351.6693,56.6674,118.9849,341.9966,62.658,71.6293,404.6668,54.3618,88.5108,416.0768,47.4279,105.7352,420.107,41.3625,119.4446,426.0326,31.1176,92.0079,384.0511,14.8276,74.808,410.8641,5.6101,54.3883,427.6591,26.8075,60.6721,429.0427,1.2082,52.8481,446.4484,-18.1409,50.4354,450.8973,15.121,74.2036,441.6984,-12.9113,67.9385,450.3552,-35.4866,63.0728,456.888,13.562,102.8213,448.0464,-13.7675,97.435,445.2027,-38.283,92.741,443.8045,24.6474,113.7035,453.7835,14.2422,110.1296,471.0584,-4.7114,102.0595,478.7807
53.0797,130.9236,351.4946,57.4145,119.2442,341.8266,63.432,71.9221,404.5196,55.137,88.8084,415.9235,48.202,106.0339,419.9469,42.1365,119.7455,425.8673,32.091,92.5247,383.9979,16.0038,75.5507,410.7879,6.7672,55.2098,427.6677,27.76,60.7528,428.9081,2.3341,52.7917,446.2916,-17.0252,50.3598,450.6852,15.1494,74.9877,440.6414,-12.7051,68.2907,449.5452,-35.0232,62.96,456.5797,14.0403,102.8707,447.4963,-13.2694,97.3665,444.688,-37.7685,92.5704,443.3501,25.407,113.994,453.6002,14.9959,110.4148,470.8589,-3.953,102.3728,478.6219
54.5727,131.0105,351.4673,58.948,119.3556,341.7878,64.9514,71.943,404.4137,56.6025,88.7938,415.8306,49.6257,105.9987,419.8701,43.5221,119.6883,425.8023,33.3222,92.8159,383.9659,17.0184,75.9306,410.8007,7.8202,55.641,427.7631,28.9304,61.4022,428.8542,3.1696,53.8637,446.3331,-16.2287,51.4337,450.5522,15.6908,75.8676,439.4981,-11.9428,68.7645,448.7678,-33.9924,63.0559,456.3327,15.0772,103.7394,447.0232,-12.1495,97.9191,444.0508,-36.6239,92.9444,442.9309,26.6153,114.0667,453.4781,16.0837,110.5648,470.7179,-2.8623,102.5523,478.5186
55.7537,131.1261,351.3087,60.152,119.4629,341.6497,65.9615,72.0917,404.3251,57.5866,88.9534,415.7067,50.6047,106.1636,419.7146,44.4895,119.8596,425.6201,34.5081,93.3308,383.9319,18.2378,76.7509,410.7586,9.0112,56.5484,427.8094,29.7214,61.818,428.6546,3.774,54.4623,446.0743,-15.6594,52.0519,450.1404,15.5555,76.5413,437.6232,-11.664,68.9972,447.7319,-33.4933,62.9668,455.6762,15.2107,104.1617,445.7771,-12.1013,98.3175,443.8019,-36.5575,93.2315,442.7887,27.1736,114.3869,452.9853,16.4247,110.9896,469.9724,-2.5515,102.998,477.7209
56.1306,131.6657,351.2476,60.3264,119.9221,341.5959,65.7687,72.6159,404.3534,57.6753,89.6157,415.7333,50.9466,106.9284,419.7326,45.0451,120.7197,425.6338,35.0065,93.7686,383.8245,19.0184,77.2542,410.4893,9.7778,57.1115,427.6032,29.738,62.1026,428.6345,4.0174,54.5977,445.9677,-15.4335,52.136,449.9175,16.8907,77.3676,439.9739,-11.1233,69.4603,447.2324,-32.8143,63.2019,455.3771,15.4131,104.8583,445.5993,-11.8424,98.8075,443.4729,-36.272,93.5809,442.536,27.7665,115.0374,452.861,17.0925,111.5271,469.6809,-1.8981,103.5827,477.4427
56.8049,131.7654,350.8613,61.0271,120.0288,341.2126,66.2078,72.6533,403.9399,58.0855,89.6471,415.3082,51.3549,106.9606,419.3012,45.442,120.75,425.1953,35.7004,94.0919,383.3628,19.7767,77.7846,409.8641,10.4891,57.7262,427.0512,30.3371,62.2838,428.2877,4.8006,54.9018,445.6209,-14.6612,52.4182,449.5031,16.3938,78.077,438.3067,-11.1549,69.6767,446.7033,-32.7699,63.2679,454.9326,15.3114,105.102,444.4688,-11.925,98.9251,442.4633,-36.3343,93.596,441.5764,28.0082,114.99,452.4605,17.1711,111.4095,469.4088,-1.8832,103.504,477.0533
57.2128,131.9374,350.5227,61.1894,120.1303,340.8556,65.6607,72.6276,403.5414,57.8873,89.7625,414.9418,51.491,107.1957,418.9632,45.8518,121.089,424.8815,35.9506,94.2353,383.0801,20.0835,77.9558,409.6255,10.8257,57.922,426.8574,29.9174,62.6374,427.9166,4.5691,55.5525,445.2028,-14.9018,53.0627,449.0347,16.9931,78.7909,439.6054,-10.8468,69.6611,446.054,-32.3883,63.1326,454.3812,15.2442,106.0018,443.8779,-11.9704,99.7389,441.8422,-36.3774,94.3862,441.0376,27.866,115.5887,451.8685,16.6733,112.1657,468.6626,-2.4487,104.3227,476.2015
57.902,132.26,349.935,62.1606,120.4998,340.3312,66.435,73.1033,403.1109,58.2873,90.1419,414.3937,51.6093,107.4919,418.3159,45.7102,121.3136,424.1478,36.777,94.8582,382.3737,20.9029,78.8228,408.6657,11.9174,58.9409,426.2148,30.4274,62.9005,427.4122,4.7674,55.6297,444.7298,-14.701,53.118,448.5601,16.507,79.0167,437.4509,-10.9317,69.9297,445.485,-32.4351,63.3271,453.8521,15.164,105.4775,442.8859,-12.1082,99.3171,441.3778,-36.5124,93.9441,440.6247,27.7919,115.719,451.1774,16.6336,112.235,468.0096,-2.5542,104.4139,475.4026
57.9292,132.378,349.4634,62.2238,120.6244,339.8675,66.2131,73.1724,402.6242,58.0244,90.2046,413.8869,51.3367,107.5539,417.7956,45.4184,121.373,423.6143,36.9022,95.3416,381.9768,21.1308,79.5943,408.2044,12.34,59.7998,425.9498,30.2387,63.2561,426.9587,4.6433,56.2007,444.2724,-14.8323,53.6738,448.056,16.473,79.5639,437.5778,-10.9843,70.0558,445.0405,-32.467,63.3793,453.4022,15.0917,105.564,442.662,-12.139,99.3013,440.8541,-36.5363,93.8952,440.1149,27.1209,115.7367,450.3458,15.7417,112.2315,466.9701,-3.5425,104.4364,474.1363
57.9006,132.4073,349.4494,62.1825,120.6529,339.8488,65.8019,73.0899,402.5438,57.6397,90.1343,413.8072,51.0029,107.5018,417.7219,45.1166,121.3333,423.5435,36.7864,95.6363,381.9517,21.0102,80.096,408.1061,12.3117,60.325,425.9231,29.9045,63.3398,426.8342,4.4333,56.4216,444.0697,-15.0555,53.8896,447.7814,15.8698,79.4418,437.0869,-11.5163,69.9917,444.8777,-33.0222,63.2724,453.1451,14.7544,105.5201,442.584,-12.4629,99.266,440.5588,-36.8668,93.896,439.7748,26.8199,115.6469,450.358,15.3999,112.0978,467.0944,-3.948,104.3283,474.1155
57.9008,133.0362,349.4618,61.919,121.2154,339.8288,65.039,73.5431,402.4676,57.2449,90.7209,413.789,50.9407,108.2006,417.7534,45.3345,122.13,423.618,36.7185,96.3613,381.9264,21.2997,80.6644,407.8468,12.7808,60.9718,425.8365,29.4537,63.481,426.898,4.2629,56.3581,444.1922,-15.2551,53.7523,447.6933,15.5815,79.7558,437.1327,-11.9721,70.5274,444.5915,-33.5568,63.8572,452.6913,14.4143,105.7235,442.1602,-12.8742,99.6777,440.4915,-37.2873,94.38,439.5255,26.4645,116.2448,450.2192,14.5845,112.5396,466.9665,-4.817,104.7863,473.8561
58.3673,133.4333,349.1635,62.6943,121.6609,339.6054,65.6538,74.124,402.3548,57.4485,91.1988,413.5406,50.8304,108.5879,417.3904,44.9366,122.44,423.1552,37.6193,96.6276,381.7093,22.1053,81.1395,407.759,13.8736,61.5561,425.9999,30.206,64.0155,426.7092,5.193,56.8826,443.8944,-14.3531,54.2711,447.231,15.5199,79.3485,435.9585,-11.8818,70.7195,444.6006,-33.5278,64.0686,452.5516,14.5017,105.8558,442.0635,-12.7706,99.7888,440.2167,-37.1709,94.4639,439.088,26.247,116.6937,449.8348,14.5151,113.0866,466.5822,-4.9217,105.3358,473.3746
