j0_x,j0_y,j0_z,j1_x,j1_y,j1_z,j2_x,j2_y,j2_z,j3_x,j3_y,j3_z,j4_x,j4_y,j4_z,j5_x,j5_y,j5_z,j6_x,j6_y,j6_z,j7_x,j7_y,j7_z,j8_x,j8_y,j8_z,j9_x,j9_y,j9_z,j10_x,j10_y,j10_z,j11_x,j11_y,j11_z,j12_x,j12_y,j12_z,j13_x,j13_y,j13_z,j14_x,j14_y,j14_z,j15_x,j15_y,j15_z,j16_x,j16_y,j16_z,j17_x,j17_y,j17_z,j18_x,j18_y,j18_z,j19_x,j19_y,j19_z,j20_x,j20_y,j20_z
75.9748,-29.5011,420.9114,65.679,-30.6699,412.016,74.2333,-99.7635,410.854,87.8777,-94.2324,425.8285,99.0611,-87.7114,438.3349,108.0744,-75.7433,449.2005,51.145,-73.1023,439.7058,42.1956,-99.2304,456.756,42.4838,-121.6785,475.1135,55.8847,-135.7244,426.2083,43.9779,-159.0603,436.1721,34.0023,-169.5741,451.3691,89.3622,-128.8004,450.1203,90.3629,-152.104,466.4963,75.6448,-145.5403,479.9608,100.4875,-118.9925,458.4895,101.3831,-138.6341,471.1447,88.3835,-132.5646,486.4801,108.2116,-104.364,468.5876,108.3031,-123.4606,481.5232,94.9437,-123.3047,493.5856
79.7068,-30.495,420.5435,68.7116,-31.8324,412.5551,77.0549,-100.961,412.2662,91.8937,-95.1355,425.9364,104.0777,-88.3686,437.3276,113.9705,-76.1862,447.1388,53.0818,-73.5308,439.8712,43.6009,-98.8245,456.4409,45.1102,-120.5469,475.5945,60.4826,-136.4797,426.863,50.2318,-158.4498,435.8919,40.5252,-166.5934,452.6389,93.2885,-128.0396,451.6049,94.2145,-149.885,468.6465,79.2037,-143.836,482.0288,107.31,-119.7594,456.9684,109.3337,-139.4133,469.2656,95.5343,-133.9212,484.1119,116.9992,-105.2159,464.8843,118.9894,-124.2911,476.5448,105.0164,-125.5011,487.8272
84.3276,-29.7407,418.6218,73.2377,-31.2024,410.7876,82.4051,-100.2255,410.3033,97.3642,-94.2353,423.7696,109.6255,-87.3333,434.9956,119.5088,-75.0424,444.6801,56.4225,-73.0803,437.2146,46.2045,-98.5283,453.2735,49.9878,-119.4323,473.0145,67.916,-136.3424,423.9833,59.1591,-158.1706,432.2512,49.3591,-161.9278,450.4403,99.2174,-126.7445,450.4421,100.4602,-148.5446,468.3282,85.0788,-143.6776,481.7717,114.273,-119.3155,454.0142,117.222,-139.6092,466.0821,102.8058,-134.7586,480.5613,126.0565,-104.143,460.0766,130.2571,-122.8127,469.9542,115.3934,-122.977,480.1052
88.7883,-30.3785,413.4334,77.9757,-31.9728,405.2454,89.048,-100.699,403.6375,103.4381,-94.5931,417.6605,115.1728,-87.6015,429.3828,124.4281,-75.2555,439.6031,60.4865,-73.8776,431.3205,49.8361,-99.3965,447.1994,55.4937,-119.539,467.281,77.8515,-136.1273,418.2636,71.4916,-156.2514,426.5715,60.8862,-155.7585,444.6901,105.1809,-126.8647,444.956,106.3567,-148.6372,463.3713,90.7517,-145.4969,477.0687,120.1831,-118.9303,449.1877,123.3499,-138.7321,461.7056,108.0205,-134.5387,475.4324,131.6525,-103.3218,455.6489,136.1977,-120.9797,465.744,120.5495,-119.9508,474.5801
90.3986,-31.7619,407.0397,80.5965,-33.2122,397.6422,93.7101,-101.5096,394.1831,106.3009,-95.7503,409.9724,116.4802,-89.0579,423.2236,124.2096,-77.0041,434.9496,62.1356,-74.6118,425.1408,50.6614,-100.3434,442.2325,57.7988,-119.603,462.7051,84.9547,-135.2752,412.2123,80.1629,-153.755,422.0796,68.7672,-150.2601,439.369,108.5753,-129.7995,436.5795,110.1498,-153.3723,454.9999,94.6431,-152.899,469.1533,121.4519,-120.0046,444.3433,124.643,-139.8673,457.8986,108.5073,-136.0202,470.7765,129.8017,-105.3782,451.4553,133.3476,-123.3696,461.9213,117.1535,-120.4403,469.2131
92.679,-32.5742,400.4033,83.7578,-33.8078,390.1374,99.4622,-101.3945,384.3172,110.4744,-96.122,401.4032,119.2664,-89.8534,415.8047,125.5621,-78.2247,428.7536,64.4759,-75.5301,416.9928,52.4149,-101.6279,433.7911,61.2476,-120.415,454.0403,98.2606,-137.0142,400.1535,89.9934,-146.1044,417.1835,78.4533,-139.7258,433.5279,113.7076,-131.5064,426.5599,115.9606,-156.1637,444.0901,100.4904,-157.9215,458.1821,121.6518,-119.89,438.084,123.1638,-138.9299,452.2065,106.5188,-134.7129,464.2962,125.8493,-105.5573,447.1605,126.0285,-122.6153,458.648,109.7364,-117.5111,464.3503
96.352,-34.1388,392.6823,88.4935,-35.1564,381.5599,106.5862,-102.037,374.6242,115.7579,-97.221,392.8913,122.9495,-91.3511,408.3129,127.645,-80.1271,422.2596,67.463,-77.1149,408.5799,53.9667,-104.0417,425.92,63.0204,-122.9318,445.9749,105.019,-136.6274,392.57,96.0584,-144.9276,409.6525,83.6285,-136.6415,424.4119,119.8153,-134.1139,416.3046,122.6661,-160.0363,432.7557,107.1832,-163.2488,446.5745,123.316,-121.3894,431.6065,123.5531,-140.8262,446.679,106.532,-136.6853,458.2607,123.3636,-106.0044,441.7701,120.7259,-121.9473,453.7904,104.3919,-116.3253,458.8495
99.6076,-32.8978,385.3684,93.0584,-33.7053,373.4121,113.3256,-99.9653,366.5332,120.2996,-95.5685,385.8472,125.5983,-90.0644,402.1453,128.4591,-79.2102,416.8606,71.1196,-75.5565,400.0685,57.0046,-102.4828,417.2189,65.214,-121.7036,437.3228,110.9852,-133.5044,386.2982,101.0057,-141.1102,403.1374,87.5559,-130.9624,415.6724,122.8134,-132.1134,409.2646,124.5625,-157.5426,425.5592,108.4096,-159.8734,438.7747,124.3242,-119.9502,426.0122,123.4922,-139.4653,441.597,106.1254,-136.8718,453.1151,121.7482,-105.5908,436.0964,117.4868,-122.3426,448.3112,100.7528,-118.6552,453.8226
99.9804,-32.1009,381.3354,94.6289,-32.7077,368.7858,116.6446,-98.4509,362.3359,121.646,-94.4355,382.3325,125.2509,-89.2632,399.1923,126.4864,-78.7409,414.3677,71.4593,-75.3614,392.7083,56.6063,-102.7047,408.0439,63.5274,-122.4617,428.1128,113.1623,-132.7113,380.6416,101.9262,-141.2174,396.2107,87.7138,-129.5367,406.3383,121.0826,-130.8255,405.1092,120.6959,-155.8015,420.7418,103.157,-156.1102,432.2871,122.3246,-120.487,421.7816,120.3886,-141.1434,436.7258,102.3964,-140.9092,447.553,117.0296,-106.581,432.187,110.7631,-125.0291,443.995,93.6332,-125.697,449.4833
101.3902,-29.9418,378.6267,97.4901,-30.214,365.5419,120.5487,-95.6647,359.7997,123.2387,-92.1971,380.3361,124.8862,-87.4898,397.6313,124.332,-77.396,413.1344,72.2445,-73.3697,386.864,55.9592,-101.2084,400.6184,61.5814,-121.3823,420.6784,115.1052,-130.2785,376.9243,104.9745,-142.7708,390.4266,90.9686,-129.1774,398.1762,119.6078,-127.5308,402.9874,117.1705,-151.2496,418.1929,98.6403,-149.0452,427.8246,119.7749,-118.8242,419.7684,116.3873,-139.5917,434.4401,97.7137,-140.2639,444.0237,113.2167,-105.1824,430.5527,105.7848,-123.7611,442.199,89.1388,-128.2619,447.3617
