j0_x,j0_y,j0_z,j1_x,j1_y,j1_z,j2_x,j2_y,j2_z,j3_x,j3_y,j3_z,j4_x,j4_y,j4_z,j5_x,j5_y,j5_z,j6_x,j6_y,j6_z,j7_x,j7_y,j7_z,j8_x,j8_y,j8_z,j9_x,j9_y,j9_z,j10_x,j10_y,j10_z,j11_x,j11_y,j11_z,j12_x,j12_y,j12_z,j13_x,j13_y,j13_z,j14_x,j14_y,j14_z,j15_x,j15_y,j15_z,j16_x,j16_y,j16_z,j17_x,j17_y,j17_z,j18_x,j18_y,j18_z,j19_x,j19_y,j19_z,j20_x,j20_y,j20_z
250.2427,116.9806,281.4997,248.7912,105.8857,273.581,269.815,63.2145,328.4266,268.3469,83.5575,336.6734,266.8866,99.6679,341.9004,263.269,119.0389,340.0324,242.4933,78.3132,315.9483,237.7905,57.7242,347.5849,241.0531,45.047,373.4623,264.9535,54.8593,372.1863,261.4951,48.9156,403.3162,259.8673,43.3449,424.5369,267.205,70.8593,384.7827,266.3902,61.7991,419.1092,254.4663,59.0076,436.1688,257.5591,93.5436,385.4777,250.5996,88.9741,417.9919,231.7269,85.0408,426.3197,258.8329,116.8147,376.9491,255.5965,115.1921,403.8816,236.2536,110.4941,410.5736
248.4621,113.7806,298.3831,247.2555,102.2844,291.0148,266.158,62.5424,348.7567,264.4674,83.2956,355.8591,262.8776,99.6624,360.172,259.3967,118.9132,357.1546,240.43,76.0178,333.9263,235.3465,56.4552,365.8854,237.6186,44.0939,392.0204,260.069,55.6958,391.8933,255.8072,50.9036,422.0858,253.4101,46.1431,443.4304,261.2065,71.8666,404.1792,258.8803,63.7133,438.6495,246.2725,61.1992,455.2544,251.1296,94.8701,403.3821,242.3562,91.2913,435.6516,223.2248,87.1757,443.2707,252.7731,117.6851,393.9778,247.9198,116.7852,420.9587,228.4498,111.6723,426.9402
245.4551,110.541,312.8695,245.2881,98.7074,305.9523,262.2372,62.3635,366.4726,259.0904,83.2768,372.5331,256.4377,99.7043,376.0118,252.2439,118.6147,371.935,236.6796,74.6452,349.7281,230.2768,56.7482,382.2876,231.3339,44.3986,408.5054,253.4273,58.3247,410.0147,247.1887,55.4646,440.8488,243.6951,51.7485,462.2494,253.0013,75.1652,421.3876,248.6462,69.3634,456.3304,235.1433,67.1785,472.2646,242.5824,97.199,419.0667,232.1877,95.3194,451.3682,212.8304,90.7578,458.1125,244.5481,119.5795,408.7328,238.8872,120.2891,435.801,219.3904,114.6413,441.1839
240.7249,111.998,326.4639,241.4016,99.7819,320.2817,256.7013,67.8491,383.6621,252.3878,88.9233,388.2743,248.885,105.3936,390.6105,244.1303,123.8272,385.1876,232.8005,77.2458,364.6296,226.4244,60.5394,397.5055,226.8409,49.1285,424.163,246.5162,65.3363,425.999,239.4702,63.5979,455.2873,235.3167,60.8833,476.7204,245.0597,81.7981,437.053,239.8242,76.7075,471.9026,225.5424,74.4639,487.1341,233.5759,103.7091,432.2084,222.2833,102.4665,462.8927,202.8525,97.0187,468.7034,233.988,125.6148,421.2321,226.5476,126.9263,447.6744,207.1389,120.2286,452.0841
237.1676,114.0104,337.5646,239.1052,101.6441,331.9762,253.2927,73.5961,397.4199,247.1485,94.4387,400.8601,242.2849,110.6664,402.2765,236.4504,128.4378,395.7997,229.4133,80.0615,376.738,222.2116,64.0241,409.9992,222.2802,53.7686,437.1252,239.9979,72.1429,440.0682,230.5647,71.1119,470.3286,225.5163,69.2633,491.6616,238.4211,89.9982,449.7806,232.1794,86.8224,484.7671,216.9782,84.7103,499.101,224.3343,110.0473,443.0862,211.0363,109.5887,473.3186,191.5088,103.3952,477.9359,224.577,131.041,431.1777,215.8824,132.9472,457.0839,196.6054,125.3336,460.4646
234.9717,113.4342,347.0771,237.26,100.9048,342.009,250.2678,75.5785,408.794,243.6847,96.4213,411.2927,238.5112,112.6006,411.9753,232.5401,130.0101,404.6907,227.8515,80.4231,387.1804,220.8768,65.2399,420.6662,220.6724,55.9293,448.1302,236.9545,75.3122,450.8133,227.6406,75.1258,480.2097,222.2898,74.0336,501.5211,232.9182,94.1666,460.0252,225.2083,92.552,494.9223,208.6632,90.4434,507.6821,219.9782,112.6188,452.2167,206.3214,112.6323,481.8702,186.704,105.9278,485.2179,219.8691,133.0021,439.4529,210.6532,135.1782,464.7362,191.6224,126.76,467.5581
235.7129,115.8313,352.9521,238.3088,103.1534,348.4309,250.9843,80.8492,416.348,243.9636,101.6403,417.9101,238.4659,117.7268,417.8661,232.2452,134.7,409.8023,229.0438,84.1368,394.2855,222.1737,70.0361,428.2867,221.9885,62.2974,456.2345,238.0656,82.0061,458.3992,229.0434,82.8141,487.7673,223.5661,82.4712,509.0718,232.2273,100.1869,466.4234,223.827,99.1466,501.1473,206.4516,97.1123,512.7643,219.0106,119.0294,457.292,204.7624,119.9834,486.1657,185.1298,112.8891,488.4527,218.6708,138.7526,443.9279,208.8387,141.6879,468.6455,190.0206,132.708,471.1436
238.6459,121.3362,356.8197,241.8193,108.6512,352.7053,254.9728,88.9983,421.3465,247.0485,109.5027,422.2289,240.8606,125.3262,421.6593,233.968,141.7596,413.0425,232.0169,91.1287,399.2626,224.7245,78.0933,433.898,224.6351,71.2947,462.0897,240.6415,91.4963,463.3212,230.5348,93.2579,492.9227,225.0091,93.6422,514.214,235.0455,109.4229,470.2587,226.5254,109.3663,504.3518,208.9475,107.5506,515.6974,221.0349,128.0824,460.8992,206.4967,130.1035,489.6737,186.9032,122.8371,491.746,220.2557,146.8163,446.8468,210.3535,150.468,471.2585,191.6565,141.2442,473.7772
237.3114,129.5804,361.7942,240.7085,116.8031,358.1734,254.5112,100.1586,427.4793,246.2025,120.5291,427.5819,239.7129,136.198,426.4119,232.4744,152.1415,417.1802,232.059,100.8437,405.2795,225.647,89.0129,440.1998,225.9771,83.2852,468.6266,240.2761,103.0562,469.3099,230.27,105.093,498.7134,224.6946,106.1433,519.9692,234.2551,121.9957,475.7085,225.7572,123.0389,509.9395,208.0239,121.2525,521.0454,219.8026,139.5508,465.6078,205.1908,142.0114,494.3729,185.7287,134.4024,496.453,219.1528,157.9257,451.1301,209.5093,162.1128,475.7064,191.0291,152.5439,478.5201
236.2354,135.6885,366.5303,239.7068,122.8337,363.2724,253.8011,108.2999,432.9932,245.3591,128.6104,432.5277,238.7635,144.1963,430.9215,231.3962,159.8175,421.2512,231.6953,107.8265,410.9036,225.747,96.6844,446.2675,226.3965,91.9178,474.8657,239.9583,112.8187,474.4222,230.3121,115.9675,503.2917,224.7519,117.7305,524.5043,233.8293,131.3867,481.091,225.5678,133.376,515.8879,207.3645,131.6575,526.2168,219.1141,148.7388,470.0892,204.7039,152.0701,498.8135,185.2394,144.3959,500.6137,217.7322,165.9623,455.0952,207.82,170.4199,479.6465,189.4404,160.6893,482.5631
239.6106,138.0048,368.5452,243.2049,125.119,365.5545,258.12,112.387,435.4565,249.432,132.5807,434.5991,242.6361,148.0463,432.6936,234.993,163.3494,422.7331,235.4805,111.658,413.1428,229.7948,101.7497,448.1714,230.8323,97.8011,476.8826,244.5484,118.2818,476.8534,235.0801,122.3944,505.7339,229.799,124.8394,526.9502,238.0885,137.4571,482.5794,230.0307,140.921,516.6621,211.6095,139.5206,526.647,222.974,153.899,471.6484,208.5624,158.1888,500.2008,189.0732,150.5921,502.0612,221.7773,171.6478,456.2317,212.2037,177.6593,480.4987,193.8516,168.0129,483.8375
243.8029,138.6417,369.0323,246.791,125.5514,366.2712,262.4104,113.7139,436.1767,254.5755,134.2386,435.0138,248.4106,149.9366,432.8774,241.2471,165.3337,422.7073,240.165,112.6186,414.4606,235.265,103.0549,450.0962,236.5878,99.7822,478.8806,249.3652,120.6487,477.4672,240.288,125.4742,506.1986,235.1828,128.373,527.4008,244.332,139.232,483.2403,237.054,142.7799,517.5055,218.3944,141.6184,527.0695,230.1808,155.7942,471.7753,216.9998,160.0295,499.9003,197.4471,152.6338,501.8991,228.0301,174.2945,455.8465,218.4956,180.7586,479.7526,200.1321,171.2502,483.4094
245.5625,138.5824,370.7143,248.4402,125.4311,368.131,264.4981,114.5477,438.0921,256.7956,135.1064,436.6744,250.7227,150.8128,434.3444,243.5893,166.1032,423.9938,242.0496,113.7073,416.0588,237.37,105.1223,451.1552,238.9536,102.5733,479.9995,251.6064,122.3364,479.3849,242.6142,127.7692,508.1874,237.639,130.9995,529.3726,247.0977,141.7339,484.1268,240.3011,146.3785,517.3824,221.1773,145.3304,525.9953,233.3374,157.6503,472.7654,220.9396,162.5263,500.1642,201.3257,155.2488,501.9893,231.5701,175.1155,456.9876,223.0188,181.5274,480.4617,204.597,172.2146,484.3231
244.8375,139.4295,372.7976,247.9443,126.295,370.4012,264.4469,116.7615,440.4557,256.3674,137.1536,438.7588,250.002,152.7106,436.2163,242.5552,167.7113,425.6647,241.4822,115.1288,418.7073,236.7301,106.9174,454.2307,238.3716,104.7882,483.1059,252.0111,125.9215,482.1412,243.235,132.3859,511.5593,238.5104,136.2365,532.6982,246.0855,144.6862,486.2352,238.8384,149.9954,519.6981,219.3938,148.878,527.5502,232.3456,159.9982,474.5611,219.7214,165.2087,501.9774,200.098,157.9133,503.6202,230.7549,176.8926,458.854,222.326,183.4508,482.5609,203.8954,174.1788,486.4779
242.2665,139.8344,375.7886,245.3968,126.6852,373.5064,261.9344,117.7952,443.6373,253.817,138.1569,441.7641,247.4223,153.6793,439.0874,239.9454,168.5734,428.4068,238.1539,115.4846,422.032,232.7985,107.2028,457.912,234.29,105.5409,486.8259,249.3531,126.7961,485.1665,240.5022,133.1282,514.3819,235.7262,137.1175,535.4835,242.6436,146.0652,489.025,234.7609,151.6445,522.3674,214.9933,150.3045,529.3279,229.3588,160.9343,477.337,216.4207,166.1308,504.7335,196.8046,158.7573,506.0901,227.1849,177.7197,461.6344,217.988,184.3118,485.5827,199.5778,174.9577,489.3991
241.0111,138.5911,377.121,244.549,125.5534,374.7951,261.6425,117.0356,444.8388,252.874,137.1329,443.0463,245.9781,152.4499,440.4318,237.9883,167.1227,429.8164,237.1547,115.1816,423.7374,231.6653,107.4817,460.0716,233.2227,106.286,489.0051,248.4078,126.5994,486.0407,239.0967,133.3279,515.0279,234.2237,137.335,536.1038,241.123,145.8821,490.0809,232.8226,152.0623,523.3044,212.9275,150.6344,529.8729,228.0114,160.7732,478.5433,215.134,166.7387,505.859,195.5236,159.3329,507.1173,225.3704,176.9092,463.1317,216.2322,183.9969,487.2596,197.8393,174.6316,491.1316
239.476,138.2024,378.4537,242.7519,125.0787,376.23,259.7448,116.787,446.3253,251.3752,137.0394,444.3784,244.7822,152.4688,441.6464,237.0744,167.2115,430.92,235.8554,115.1077,424.8435,230.7749,107.7625,460.6553,232.3363,106.9664,489.6023,246.9656,126.0456,487.0901,238.1042,132.4659,515.3577,233.0701,136.4901,536.3925,239.4698,145.9798,491.114,231.0972,152.2673,523.9813,211.1296,150.8128,530.32,226.9135,160.852,479.6082,214.1524,166.8388,506.7188,194.5566,159.3837,507.9124,224.8424,177.7453,464.1852,215.977,185.3799,488.2949,197.6251,175.9755,492.265
235.2771,136.2189,380.1332,238.2998,123.0244,377.9702,254.967,114.6866,448.1381,247.0012,135.0912,446.0898,240.7186,150.6358,443.2802,233.3262,165.4831,432.4763,232.6802,113.2772,426.4376,228.565,106.1391,461.9312,230.1577,105.465,490.8796,243.1609,124.521,488.4554,235.0919,131.2425,516.0106,229.7536,135.2856,536.9667,235.6225,143.865,492.6399,227.6766,149.9918,525.1466,207.6161,148.5028,531.1764,223.699,158.7404,481.4938,211.5929,164.5051,508.6754,192.0021,157.0197,509.7566,222.0399,175.2841,465.8163,213.9495,182.3099,489.7157,195.5767,172.9367,493.6634
