j0_x,j0_y,j0_z,j1_x,j1_y,j1_z,j2_x,j2_y,j2_z,j3_x,j3_y,j3_z,j4_x,j4_y,j4_z,j5_x,j5_y,j5_z,j6_x,j6_y,j6_z,j7_x,j7_y,j7_z,j8_x,j8_y,j8_z,j9_x,j9_y,j9_z,j10_x,j10_y,j10_z,j11_x,j11_y,j11_z,j12_x,j12_y,j12_z,j13_x,j13_y,j13_z,j14_x,j14_y,j14_z,j15_x,j15_y,j15_z,j16_x,j16_y,j16_z,j17_x,j17_y,j17_z,j18_x,j18_y,j18_z,j19_x,j19_y,j19_z,j20_x,j20_y,j20_z
-2.1041,138.3926,326.9184,-15.1943,144.5785,320.6691,-57.6721,98.0457,367.959,-38.3742,92.3549,376.8586,-19.6603,91.4849,380.0263,-4.4169,89.0297,384.6589,-35.609,139.8867,373.7041,-48.9206,136.8274,408.2863,-62.5524,141.6318,432.2674,-62.5497,105.6172,408.9819,-64.2538,119.4517,433.2657,-62.0768,139.2038,435.5278,-56.4558,65.664,414.9401,-67.8498,48.8449,438.937,-77.8225,41.3979,459.4574,-32.139,64.1617,413.3313,-40.296,46.3012,435.102,-51.0811,37.3732,455.8136,-8.2733,80.4304,417.9667,-10.8508,74.6832,440.2278,-17.5169,82.3044,459.7593
-0.3594,126.2749,321.6688,-13.6162,129.5953,313.8009,-52.4046,80.9131,362.0865,-33.3796,79.3568,373.0239,-15.1547,81.9316,377.7381,-0.2253,82.4946,383.7917,-36.9487,126.3726,365.8168,-52.1911,124.2673,399.7974,-67.9504,128.7281,422.5075,-61.1155,89.4497,402.2767,-66.4556,105.0371,424.9155,-67.4072,125.0016,425.6312,-50.1296,54.995,413.0346,-60.6369,39.7127,438.1336,-70.924,34.5226,459.1868,-26.4025,57.9814,413.94,-33.753,42.33,437.598,-44.8681,35.6469,458.9706,-5.085,76.4845,417.2877,-8.3048,72.5026,439.4799,-17.384,81.2258,457.5207
2.7934,111.5949,317.3867,-10.0255,111.4121,308.2044,-43.3877,61.0419,358.7594,-25.5647,64.3975,371.2125,-8.7024,71.002,376.9607,5.1912,75.1229,384.0204,-36.8312,108.6916,358.5463,-54.342,106.9145,391.4321,-72.3971,110.3031,412.5634,-57.189,75.4946,395.7005,-66.8715,89.2949,418.0567,-71.541,108.6766,416.4604,-41.0266,44.6193,414.1263,-50.7167,32.2242,441.0206,-61.8034,29.9633,462.186,-18.4009,51.7166,416.3107,-24.7467,39.098,442.0577,-36.7115,34.8842,463.6003,-1.3431,71.8284,417.8044,-5.7027,69.6304,440.3448,-17.8723,78.48,456.3943
7.3747,95.4787,315.4784,-4.3934,92.1263,305.5312,-32.1353,40.7485,358.4151,-16.3098,48.4187,371.6335,-1.4599,58.5314,377.8149,10.8227,65.7639,385.3435,-33.9928,88.9032,354.4801,-53.4163,86.7881,386.601,-73.1365,88.6168,406.3941,-51.5651,58.0285,391.7116,-64.6123,69.6321,414.0702,-72.5699,87.6094,410.3972,-31.4701,32.5906,416.3205,-40.9873,22.6542,444.3738,-53.5196,22.5084,464.8413,-10.6755,42.4379,418.6402,-16.6978,31.9211,445.3189,-30.0166,29.447,466.3305,2.3616,63.8186,418.7927,-3.2816,62.5212,441.1018,-18.0434,70.8666,455.1176
12.7656,79.3279,316.7335,2.5238,73.3033,306.366,-21.0846,22.5628,361.81,-7.7935,33.7605,375.2992,4.7331,46.6285,381.5041,15.0727,56.3553,389.1416,-30.2237,69.219,353.2547,-51.7353,66.536,384.0554,-72.7813,66.8167,402.5212,-45.3597,38.955,392.0712,-61.5984,49.9204,412.3143,-72.1199,65.9408,406.6009,-24.6426,20.4804,420.1546,-35.2035,12.1565,448.2695,-49.9837,13.2,467.1496,-5.939,34.0816,423.4386,-12.9572,25.8305,451.0155,-28.6264,24.8187,470.4694,4.0412,56.3497,422.0686,-3.3606,56.346,444.1614,-20.767,63.9224,455.2796
18.4684,62.6009,321.3297,10.8154,53.7209,310.7822,-8.1398,4.0677,368.9308,1.1172,18.8878,382.2977,10.0901,34.5587,388.206,17.4005,46.8354,395.6688,-24.7072,48.7057,355.6919,-48.1173,45.4007,385.2883,-69.9469,43.973,402.7648,-37.1693,19.6552,396.2079,-56.9519,30.2776,414.7963,-69.684,43.6371,407.0879,-17.1029,8.6083,427.2943,-28.4873,2.1854,455.4096,-45.3562,3.5836,472.4239,-1.8708,24.6955,430.3196,-9.6957,18.2429,457.8704,-27.2125,17.3219,475.6837,5.6776,46.8691,427.8157,-2.043,46.8914,448.9875,-21.152,52.4376,458.3729
23.8122,48.9094,328.527,17.3648,38.7191,318.3653,1.7154,-9.1244,378.9631,9.0985,7.2888,391.616,16.3267,24.0878,396.7681,22.1888,37.4399,403.639,-18.8219,32.408,362.5753,-42.6693,28.2488,391.7101,-64.7522,25.6446,408.7266,-29.4339,4.8582,404.4884,-50.5775,14.3494,421.8145,-64.4331,25.6176,412.8117,-10.4121,-1.7742,436.4936,-22.6584,-7.4627,464.662,-40.4596,-6.6302,480.7375,4.2868,14.6241,439.0424,-3.6098,8.4171,466.7688,-21.7838,6.7103,483.8507,9.6373,37.6234,435.6707,1.313,37.7451,456.9143,-18.5411,41.3391,465.6835
27.9985,36.9246,338.3682,23.1582,25.4625,328.6798,10.2185,-19.974,391.7202,15.1963,-2.0805,403.5119,20.3058,15.7117,407.7932,24.3616,30.039,413.9682,-14.0327,17.7069,371.8349,-38.5507,12.594,400.2849,-60.7461,8.9745,416.9661,-23.1416,-7.9621,415.5519,-45.8425,0.2118,431.7689,-60.5182,9.328,421.6933,-4.5506,-10.9527,448.3748,-16.9626,-16.5293,476.5736,-35.2583,-16.5813,492.1063,7.9263,7.4849,450.1404,-0.1731,2.1024,477.8466,-18.5964,-0.3919,494.5607,11.7706,29.6767,445.6449,3.5191,29.4393,466.404,-16.5986,31.3125,475.1084
30.5323,26.9374,349.5327,27.2822,14.5371,340.3489,17.0802,-28.7446,405.3767,19.7077,-9.8366,416.3122,22.7379,8.6004,419.7609,25.025,23.5803,425.2585,-10.5237,6.0929,383.0735,-35.546,0.504,411.3512,-57.557,-3.8034,428.1132,-18.1709,-17.9769,427.8016,-42.4285,-10.5673,443.233,-57.6972,-3.3145,432.5437,-0.1402,-17.5591,461.2098,-12.5693,-22.3951,489.3255,-31.1012,-23.1187,504.5586,10.7504,1.3539,462.4628,2.8933,-3.3958,490.4516,-15.4668,-6.6564,507.1032,13.0487,23.223,457.3778,5.1422,22.9871,478.5824,-14.6542,23.1796,488.1776
29.0044,20.0774,360.8787,25.9436,7.412,351.9966,19.0517,-35.0475,417.9943,21.3091,-15.8702,428.5363,23.7811,2.7188,431.5922,25.6884,17.8634,436.774,-10.3557,-1.6663,395.8157,-34.3539,-7.6682,424.7853,-55.5731,-12.147,442.4965,-15.9087,-24.906,441.2975,-40.0137,-17.9135,457.365,-55.8678,-11.4525,447.0256,2.6165,-22.9118,473.9637,-9.0644,-27.312,502.3511,-27.2958,-28.2629,517.9303,13.3344,-3.6898,474.5403,6.5441,-7.8554,502.4561,-11.1894,-11.3643,519.7249,15.1548,17.2978,469.1549,8.2608,16.9277,490.3475,-10.4857,16.1472,501.835
25.554,16.4837,370.2252,22.2775,3.751,361.518,17.0058,-38.2008,427.9879,19.5194,-18.9436,438.3243,22.0643,-0.332,441.1763,24.0969,14.8517,446.1937,-13.4567,-5.388,406.1185,-37.2146,-11.4642,435.7714,-57.9382,-15.6523,454.1287,-17.7985,-27.9925,451.7453,-41.8794,-20.9294,468.1829,-58.0035,-14.6409,458.1595,1.3747,-25.9603,484.1276,-10.0129,-30.364,512.8736,-27.8512,-31.2926,528.9028,13.4103,-7.7608,484.4781,7.7655,-12.6064,512.723,-8.8717,-16.4968,530.9732,16.5539,13.6357,479.6672,11.5641,12.8312,501.81,-5.0652,11.1728,516.1178
20.8954,12.609,379.7008,17.2347,-0.142,371.1753,12.3461,-41.3619,438.1307,15.3924,-22.0583,448.2347,18.3283,-3.4712,450.8615,20.7266,11.7187,455.6954,-17.9541,-9.1991,415.9635,-41.2455,-15.1939,445.6087,-61.6516,-18.9098,464.4179,-21.7237,-30.0525,462.0969,-45.1793,-22.2664,478.5967,-61.4688,-16.2069,468.7005,-1.1818,-28.9996,494.2314,-11.4589,-33.3036,522.7523,-28.9551,-34.0553,539.1632,11.6101,-10.7468,494.2431,7.2655,-15.4517,522.297,-7.9935,-19.6563,541.6486,15.3295,10.7507,489.3514,11.7911,10.116,511.4166,-1.9228,7.8023,528.4628
16.2839,9.1076,388.454,12.6959,-3.7855,380.1133,8.5677,-44.1857,447.6172,11.4885,-24.7263,457.456,14.264,-6.0804,459.828,16.5461,9.192,464.4535,-21.8393,-11.6553,425.329,-44.577,-16.8367,455.0986,-64.4246,-19.9165,474.6071,-25.224,-32.6361,471.6085,-48.4031,-24.7137,488.0651,-64.85,-18.7104,478.3976,-4.5047,-30.2867,503.6609,-14.3656,-33.715,532.1495,-31.7295,-34.0936,548.7131,7.7837,-12.3925,503.3495,3.5991,-16.4685,531.4535,-10.9904,-20.5796,551.3343,12.6463,8.2414,498.2258,10.0985,7.6203,520.2895,-1.5016,4.9565,538.792
12.2699,6.5357,397.6531,8.6263,-6.5369,389.6217,5.0413,-45.4659,458.0152,8.0251,-25.7964,467.4071,10.8068,-7.1021,469.353,13.1147,8.2681,473.6287,-26.3521,-14.4563,434.8701,-49.5369,-19.7055,464.8622,-68.9292,-22.4915,484.8667,-28.7053,-33.2991,482.0213,-51.9393,-24.9225,498.5491,-68.5557,-19.126,489.0468,-7.5146,-30.2224,513.98,-17.1232,-32.9592,542.7773,-34.2776,-32.9853,559.562,5.036,-12.9572,512.7303,1.3455,-16.7016,540.4708,-12.4776,-20.7784,560.8988,10.7005,7.7035,507.5303,9.1244,7.3349,529.6629,-0.7264,4.6011,549.1433
8.2274,4.8368,406.1566,4.0633,-8.3073,398.5038,0.8107,-45.5652,467.8383,4.5241,-25.7792,476.7111,7.8566,-7.1306,478.168,10.672,8.262,482.04,-30.5834,-15.5944,444.0049,-53.5053,-20.4155,474.1079,-72.384,-22.9344,494.6322,-32.5983,-32.5781,491.7487,-55.5544,-23.6543,508.178,-72.2827,-18.111,498.7209,-10.7972,-29.6145,523.4607,-20.286,-31.9898,552.414,-37.2141,-31.7066,569.4246,2.7584,-11.2861,522.4293,-0.5639,-13.9941,551.2729,-13.3164,-17.7683,572.442,8.8704,8.9286,515.7671,7.7042,9.3602,537.5996,-0.2455,6.8438,557.9581
4.3743,4.0689,414.0134,0.0512,-9.2102,406.689,-2.3241,-45.0505,476.802,1.5902,-25.1045,485.2184,5.0114,-6.4435,486.2497,7.9389,9.0128,489.7686,-33.7736,-15.7968,452.9668,-56.1746,-20.1588,483.6148,-74.4101,-22.0634,504.7771,-35.2568,-31.7813,501.0953,-57.8463,-22.6796,517.7587,-74.6666,-17.1887,508.4352,-13.8859,-27.4349,532.2929,-23.5517,-28.8904,561.6937,-40.179,-28.1579,578.9852,0.8126,-11.394,530.5581,-1.9264,-14.6234,559.462,-13.6164,-18.5062,581.2167,8.7102,8.8147,523.6452,9.2117,8.6858,545.6676,3.2045,6.1066,566.6738
1.4943,2.9426,421.7908,-2.2813,-10.6396,414.7238,-3.9547,-45.029,485.5797,-0.8388,-24.7775,493.5901,1.8942,-5.9864,494.2415,4.2288,9.6384,497.4458,-36.6957,-15.7547,461.0277,-59.5974,-19.1587,491.8415,-77.7713,-20.6015,513.093,-37.2251,-30.3369,509.717,-60.4113,-20.098,526.5383,-77.2866,-14.9016,517.1456,-16.7367,-26.1648,540.5778,-26.6707,-27.0317,569.9389,-43.1612,-26.1334,587.3532,-1.7045,-10.0124,538.5858,-4.0442,-12.6301,567.4172,-15.1033,-16.4734,589.5062,5.2001,10.8095,531.2092,5.8293,11.5681,553.0795,0.5523,9.1941,574.3049
-1.2471,2.3988,429.643,-4.6589,-11.5203,423.0634,-5.7314,-43.3528,495.1157,-3.1482,-22.7531,502.3944,-0.8853,-3.8883,502.3708,1.0489,11.8956,505.0123,-39.2657,-16.2756,469.199,-62.2703,-19.4367,499.8672,-80.4554,-20.4162,521.1355,-39.9938,-28.8768,517.9593,-63.8706,-18.7888,533.8785,-80.8394,-14.4514,524.222,-19.8103,-22.5639,548.9627,-30.1678,-22.4463,577.9105,-46.4942,-21.3873,595.4698,-4.4668,-6.3865,546.6009,-6.7791,-7.9993,575.1564,-17.1779,-11.5103,597.6183,2.9359,14.5596,538.5118,4.1512,16.2752,560.0861,-0.4451,14.9071,581.557
-2.9127,1.0476,435.6588,-6.3521,-13.0277,429.4354,-7.5475,-43.001,502.2789,-4.9217,-22.2275,509.0293,-2.6151,-3.3748,508.5241,-0.6462,12.4671,510.7617,-40.5404,-16.8096,475.78,-63.19,-19.3151,506.4831,-81.3694,-19.9104,527.7705,-41.9429,-28.2805,524.349,-65.7878,-18.0754,539.6492,-82.7135,-14.2739,529.696,-22.0672,-20.75,555.9758,-32.906,-19.816,585.6536,-49.2886,-18.5989,603.1501,-6.6748,-4.6981,552.3871,-9.2643,-5.5421,580.3652,-19.6221,-8.622,602.9092,1.4699,17.8236,543.9023,2.8315,21.2703,565.2267,-1.5567,20.8652,586.7808
-5.16,1.0283,441.3319,-8.4229,-13.2443,435.4738,-9.6517,-41.2637,509.0904,-7.2746,-20.2901,515.2917,-5.1623,-1.4345,514.2904,-3.3692,14.4817,516.1103,-43.1035,-16.7168,481.6077,-66.1328,-19.0226,512.2424,-84.3182,-19.0869,533.5329,-43.6843,-26.5089,531.0967,-67.0946,-16.3594,546.2344,-84.0484,-13.0348,536.1587,-23.4275,-19.2411,562.1301,-33.4996,-18.587,591.3359,-49.8162,-17.1841,608.8802,-8.4356,-2.361,558.4667,-10.5396,-2.9565,586.8627,-20.6963,-5.6409,609.5483,-1.3106,19.4672,548.9826,-0.0045,22.6303,569.8385,-4.4072,22.6579,591.3935
-7.927,0.5552,445.5638,-11.1088,-13.8099,439.8901,-11.3618,-41.0468,513.8096,-9.1268,-19.9861,519.7637,-7.2054,-1.123,518.541,-5.5479,14.8281,520.1737,-45.9244,-16.771,486.4679,-69.2466,-18.7546,517.6692,-86.7845,-18.4145,539.4937,-45.9522,-25.48,536.2414,-70.2977,-14.5238,552.0294,-87.3928,-11.0947,542.2315,-24.7137,-17.1169,567.1857,-34.5668,-15.3032,597.1634,-50.4874,-13.5657,615.0384,-8.8536,-0.8504,563.2842,-9.9286,-0.6726,592.4658,-19.2762,-3.082,615.5269,-2.8004,20.5265,553.4698,-1.0139,24.2317,575.1199,-4.9614,24.6302,596.7592
-11.1184,2.2614,450.6135,-15.0517,-11.9969,445.1453,-15.4972,-38.4185,519.3592,-12.1921,-17.425,525.0467,-9.408,1.3132,523.5873,-6.982,17.1851,525.019,-48.4902,-14.2837,492.0054,-70.5929,-15.7953,522.9798,-88.0036,-15.1171,544.8979,-49.2851,-21.6255,541.3641,-72.8479,-9.9144,556.7096,-89.9653,-6.3248,547.0087,-27.7152,-14.1508,571.9326,-37.3762,-12.1131,601.1129,-53.1556,-10.0308,619.0761,-10.8369,1.3537,567.6518,-11.7488,1.3795,595.7746,-20.9401,-0.7839,618.9228,-4.3777,22.9381,557.7062,-2.7269,26.5848,578.426,-6.5564,27.2784,600.079
-12.8222,2.7556,454.8741,-16.6169,-11.6218,449.624,-17.1719,-36.8281,524.2586,-14.0605,-15.7182,529.6149,-11.4211,3.0156,527.8602,-9.1292,18.9279,529.0416,-49.9873,-11.9206,496.6966,-72.0889,-12.1185,527.8733,-90.0259,-11.3767,549.3608,-51.239,-19.9736,545.7142,-74.9778,-8.2289,560.665,-92.0563,-4.4039,550.9855,-29.4055,-12.7282,576.3663,-38.8937,-10.8794,605.274,-54.5773,-8.5983,623.2968,-13.1145,3.5469,571.835,-14.1925,3.8851,599.8289,-23.3801,2.0843,623.0096,-5.9739,26.1092,561.9159,-3.9302,30.7608,583.2097,-7.8615,32.2552,604.8039
