j0_x,j0_y,j0_z,j1_x,j1_y,j1_z,j2_x,j2_y,j2_z,j3_x,j3_y,j3_z,j4_x,j4_y,j4_z,j5_x,j5_y,j5_z,j6_x,j6_y,j6_z,j7_x,j7_y,j7_z,j8_x,j8_y,j8_z,j9_x,j9_y,j9_z,j10_x,j10_y,j10_z,j11_x,j11_y,j11_z,j12_x,j12_y,j12_z,j13_x,j13_y,j13_z,j14_x,j14_y,j14_z,j15_x,j15_y,j15_z,j16_x,j16_y,j16_z,j17_x,j17_y,j17_z,j18_x,j18_y,j18_z,j19_x,j19_y,j19_z,j20_x,j20_y,j20_z
116.3612,328.7756,436.0484,114.9914,315.4746,438.2622,121.3454,325.5389,505.7957,121.1668,345.8968,500.6454,120.6902,361.652,491.9537,119.7603,373.4173,477.4799,93.4995,299.8329,490.0905,76.8966,287.7494,530.1289,69.9773,276.6439,553.7465,123.9384,342.7886,550.2621,125.5475,353.4926,577.855,123.9812,363.5604,597.3533,118.9553,369.1175,547.1242,117.5338,384.0434,576.9999,107.7807,393.9893,594.028,116.2991,382.9685,536.4646,113.2037,397.9952,567.8417,102.917,406.4372,584.0871,118.1019,394.2979,516.277,117.0091,408.0561,541.8403,109.7123,413.9593,557.1997
101.7254,289.9246,461.2476,99.2553,276.6355,462.244,98.4317,281.3957,530.6479,100.1599,302.0262,527.127,101.7035,318.3507,519.7023,103.2059,331.1491,506.1848,72.6481,259.5459,509.7162,52.3927,246.5359,545.8557,42.533,233.2502,567.1929,99.5168,294.246,577.5927,100.2099,302.4545,607.5804,99.3515,310.557,628.016,96.0115,319.2578,577.8273,93.2292,330.8152,611.8322,84.1034,339.7517,629.7447,96.6139,334.5914,567.0489,92.9717,346.2137,600.9313,83.4249,353.8058,618.0257,99.5652,349.1932,547.2193,97.1063,361.3802,574.934,89.7263,366.6191,590.4933
83.5942,258.5621,486.5449,79.3445,245.6923,486.5778,71.459,247.9316,554.6604,76.2024,268.2663,552.425,80.6504,284.5087,546.0689,85.2902,297.4946,533.4745,47.7097,225.6282,531.5476,23.192,210.0782,566.4001,10.5345,195.6576,585.3957,71.1009,255.8369,603.1787,70.869,260.9568,634.6012,70.0296,267.7721,655.502,69.461,282.7694,604.1072,64.8998,292.582,639.0749,56.1232,301.0068,657.4051,72.4206,298.0243,594.7276,66.4389,307.8479,630.0942,57.0557,314.8037,647.5462,77.7709,310.9971,576.5139,72.5941,320.2932,606.1455,65.1096,324.9093,621.8514
68.5723,233.8885,512.147,64.6012,220.9353,511.773,52.8934,222.039,579.3315,57.3216,242.4963,577.6323,61.7709,258.9155,571.7489,66.8279,272.1723,559.6055,29.2408,201.5621,553.4861,1.9986,186.6366,585.6226,-12.6047,172.251,603.1953,51.1415,229.1551,627.4491,50.0229,233.6992,658.1754,49.547,239.6692,679.3446,51.3206,254.7829,629.2403,47.3254,262.9627,663.5985,39.2085,270.9704,682.4132,55.3509,269.672,621.326,50.6873,277.4858,657.3399,42.1859,283.9927,675.4061,57.5003,285.1488,601.9179,51.1582,293.9718,630.6872,43.6549,298.4364,646.4278
56.1856,218.2639,535.5094,51.6716,205.4962,534.959,38.5208,206.7017,602.2498,43.8595,226.9591,600.7893,49.1392,243.2062,595.1185,55.0295,256.3048,583.1808,14.789,187.0813,576.2855,-13.7447,172.8349,608.2572,-29.574,159.5253,625.6148,39.6832,214.7101,651.2552,40.4465,219.9696,683.4386,40.3519,225.935,704.6142,36.8752,238.8182,653.2256,32.1381,246.8615,688.7902,24.6487,254.6186,707.9666,40.5982,255.2947,644.4864,34.3506,264.1373,680.5981,26.2209,270.4682,698.8964,44.5575,271.513,624.9855,37.3529,281.9761,653.7467,30.0895,286.649,669.5394
47.0632,207.8503,557.2229,42.138,195.2344,556.6959,29.8769,196.654,624.1503,35.8399,216.7356,622.6758,41.5634,232.8233,616.9816,47.7181,245.7639,605.005,5.4227,178.1257,599.3678,-23.1307,164.8204,632.5535,-39.3131,152.7042,650.4512,29.2581,205.9162,672.1511,28.8605,211.8688,703.0002,28.6458,217.9719,724.1356,29.7179,229.6847,674.5778,25.5994,238.396,709.4939,18.3667,246.1574,728.7668,34.8847,244.2447,666.4211,30.0294,252.5478,702.3627,22.2909,258.7405,720.8767,36.5348,260.3507,647.6915,28.7006,270.5691,677.5946,21.9509,274.983,693.6868
40.0463,203.4847,582.7093,37.3266,190.2108,583.0277,25.6544,193.6992,650.5113,28.1117,214.3691,647.7331,30.9693,230.8094,640.9842,34.7249,243.8391,628.1428,-2.822,176.2688,622.5307,-33.7565,165.5264,652.9679,-50.7273,155.013,671.1466,22.6533,203.1484,697.2405,20.7907,209.0128,726.2414,20.179,215.1366,747.3631,19.2984,230.686,697.6273,13.4531,241.508,730.719,5.9926,249.7196,749.7167,24.5666,246.6115,687.3262,20.0688,257.7123,719.8811,12.4587,264.4575,738.2547,27.1964,258.6567,669.3609,22.1851,268.5199,696.7978,15.7872,273.1444,712.9743
30.7413,207.9565,599.361,26.7667,194.9996,599.4862,8.8858,200.5868,665.4521,13.5385,220.8937,662.8094,18.5809,236.8921,656.2807,24.792,249.3187,643.7994,-12.499,177.2652,637.765,-42.6122,163.6646,667.1214,-61.618,157.4168,685.2526,6.3045,209.488,711.64,4.739,214.8862,739.6511,2.1317,221.3751,760.51,5.3235,235.622,713.4097,-0.139,245.4154,747.0557,-8.4291,254.2055,765.4407,9.983,251.6113,703.5266,3.8401,262.1275,737.2818,-4.6656,269.4731,755.0215,14.2606,265.4052,683.8863,7.2471,276.1182,710.5826,0.2243,281.55,726.2407
30.325,216.1304,609.5888,28.0297,202.7733,609.7109,3.3257,207.083,673.5355,5.6018,227.7742,670.7622,9.1819,244.1806,664.2803,14.9406,257.0989,652.0846,-14.0023,182.8476,645.2465,-46.5808,167.4034,672.7897,-67.0995,165.806,690.2663,-12.2854,215.4884,717.9794,-21.9999,220.719,745.636,-31.5762,226.8592,764.4666,-16.8513,240.8299,717.7149,-31.8932,249.5762,749.1697,-45.1697,257.1616,764.9872,-9.9553,256.1806,707.832,-23.309,264.554,738.2219,-36.4493,270.5941,753.4485,-5.6386,272.6447,689.586,-19.7318,283.291,715.268,-30.2614,287.9821,729.0926
27.6102,220.2834,613.3428,25.0792,206.9851,612.6753,-1.6704,208.3863,675.8017,1.0584,229.1478,674.215,5.1396,245.8022,668.7401,11.5283,259.2345,657.447,-17.8481,192.48,645.7736,-50.1301,181.572,670.664,-70.5769,185.0252,687.9557,-20.4109,218.5824,719.387,-32.3256,225.0648,747.0975,-45.9894,230.2117,763.5538,-32.1949,240.494,714.8132,-54.4889,248.1009,742.0315,-73.6053,252.652,751.9233,-26.7764,253.985,704.9237,-48.9875,259.6797,730.1047,-68.5558,261.6232,737.4738,-18.6311,269.2891,689.9767,-39.27,276.1697,712.2378,-55.0234,276.7291,720.9279
21.6886,229.9245,613.3422,17.4539,217.104,612.1604,-7.6337,218.9692,675.9536,-2.2869,239.2633,675.2046,3.7948,255.4968,670.3586,11.634,268.5145,659.5019,-23.6294,200.7283,648.8194,-55.0639,188.1985,676.8686,-74.2158,194.1676,694.94,-22.846,223.1582,720.7972,-32.2134,225.7376,748.4107,-46.0179,230.6095,764.8333,-32.1773,249.3205,715.6127,-50.9864,255.6492,741.0401,-71.4783,259.2516,748.1887,-27.7796,262.5828,704.5268,-48.7794,267.2956,727.2516,-69.2475,269.2491,731.522,-17.7951,277.388,693.8407,-38.2287,283.5491,717.6834,-54.844,283.2796,724.6016
22.5892,236.493,615.1211,18.2387,223.6921,614.1704,-1.3208,224.9178,679.8847,3.9912,245.2108,678.895,9.6769,261.4857,673.7183,16.5942,274.6061,662.37,-21.6238,207.2704,651.7833,-52.0367,194.7415,680.4799,-69.4958,201.0734,700.078,-14.892,230.7135,725.025,-23.2352,234.2765,752.7758,-38.7927,238.9812,767.6025,-25.0648,254.055,718.7683,-42.6987,259.4224,742.9671,-64.6575,259.6424,741.6389,-20.0977,269.8211,707.5597,-39.215,275.173,729.2881,-60.103,275.8428,727.2281,-11.2343,280.969,695.8357,-29.5142,285.1486,717.8186,-46.7006,284.8129,723.1585
27.0427,242.6492,617.7678,22.6259,229.8959,616.5272,7.9093,227.9367,683.4751,13.1486,248.2685,683.07,18.4528,264.7874,678.2749,24.5332,278.4526,667.0914,-13.9018,209.0255,655.2982,-41.7692,193.1031,684.8771,-58.5992,197.2539,705.5779,-6.9068,231.1218,728.6457,-16.0635,233.0902,756.5621,-34.0656,237.5165,768.4084,-14.3709,253.9164,722.0197,-29.7396,257.0706,743.7718,-50.178,255.2781,735.8307,-11.1151,269.5529,711.7435,-29.5267,272.5202,732.5839,-49.6829,271.9043,726.7232,-0.6833,284.0894,702.0249,-16.9743,287.731,724.5935,-34.7455,287.1102,727.3863
35.8709,240.4689,621.1011,31.2455,227.8906,619.0794,19.1818,220.9823,686.2298,24.6603,241.2341,687.1522,29.9801,258.0178,683.4095,35.7847,272.4351,673.0545,1.7796,200.2729,657.6251,-20.2919,179.5858,686.4978,-36.9015,181.043,707.7345,7.5766,219.8481,730.6837,0.8522,219.191,756.4414,-18.2882,222.5864,766.7427,-3.246,242.5357,725.1506,-18.1838,243.2324,745.4905,-36.9821,240.6943,734.3467,0.2237,256.395,716.1794,-17.8892,255.4071,736.1265,-36.886,253.9023,727.3028,11.5699,273.3907,707.8706,-3.527,273.9864,729.577,-21.4073,272.1415,730.5206
45.9574,221.0359,624.3449,44.356,207.7448,622.2288,36.5762,197.4382,689.5764,37.1621,218.3993,690.7127,38.2496,236.0048,687.1264,40.1374,251.499,676.8723,14.8271,177.8614,660.3982,-7.5722,155.1932,689.3517,-23.9593,156.1583,710.7884,18.1801,195.3265,732.7405,7.081,194.0525,758.783,-12.7979,197.0497,767.7186,11.8885,215.9014,729.0664,-4.2131,214.194,745.4012,-22.3849,211.829,733.2278,8.1066,232.9078,719.0107,-10.0215,231.0452,738.1862,-28.3194,229.3698,728.0186,19.6444,247.9781,713.006,7.2281,245.8449,734.8986,-10.6229,243.5371,734.7639
40.309,178.5506,618.2917,38.211,165.3664,615.9529,33.3431,153.6605,683.3452,34.6103,174.5623,684.9296,36.0528,192.2109,681.6974,37.9135,207.8879,671.72,6.0754,142.6926,655.3092,-17.9318,125.7539,684.7107,-32.7425,129.1408,707.0305,16.8905,161.3204,727.558,6.6719,166.078,755.0185,-13.1139,170.3972,763.6131,8.8564,182.6642,722.8433,-4.4619,186.8539,742.4498,-23.1678,185.2107,730.9873,8.0892,196.6018,714.6697,-8.3597,199.1847,734.0649,-26.9304,198.512,724.2835,18.7285,214.1822,708.1793,7.1107,217.9937,730.2577,-10.8391,216.6533,730.1776
23.6207,144.9792,609.1721,19.9697,132.1699,606.6652,14.1253,120.1318,673.9212,17.8574,140.7131,675.7873,21.3534,158.1142,672.7907,24.9952,173.6074,663.0195,-11.6297,112.7969,648.0886,-35.2183,98.3353,679.0106,-47.3249,103.1794,702.6531,4.6233,128.5202,718.7749,-1.0318,133.5125,745.4696,-19.2295,140.0125,755.9858,-5.9203,152.1604,716.0279,-19.2589,158.5819,738.6015,-38.8805,158.9717,728.6597,-4.1193,165.5891,706.7024,-18.8438,169.91,726.305,-37.9357,171.6028,717.724,6.3017,181.217,700.026,-5.2357,185.9136,722.866,-23.2034,186.8173,723.4545
7.3155,116.8965,596.7048,3.118,104.2949,594.0071,-0.6492,90.636,661.1016,3.8834,111.0165,663.358,7.8858,128.3609,660.6832,11.7135,143.9791,651.1859,-28.9848,87.8866,636.1514,-52.9064,75.6599,667.5556,-62.7381,80.1432,692.299,-7.7228,100.7814,705.9603,-11.9198,106.8009,732.5762,-27.4711,115.5344,745.4558,-13.8679,125.0678,705.2506,-23.5926,132.7656,728.2009,-44.0535,135.6789,720.6599,-13.1668,138.5578,696.9322,-25.3779,144.4724,717.9578,-44.8467,148.3587,711.1121,-5.0883,150.8984,688.8776,-15.3323,155.1171,711.8582,-33.0343,158.0289,713.3271
-3.2684,93.3404,587.0083,-7.0252,80.6362,584.1473,-6.1712,64.8132,650.8657,-2.4696,85.3131,653.5209,0.5532,102.9034,651.1873,3.0785,118.9655,641.9998,-38.9982,69.7953,628.8743,-63.0177,61.651,662.4754,-71.1424,64.8739,688.0215,-9.2569,78.9989,696.2361,-11.1633,87.7635,724.2679,-23.6454,98.4066,738.9281,-20.1604,104.3192,694.9481,-30.4164,115.3377,718.965,-50.9734,120.8332,713.3784,-16.0425,119.0878,688.4821,-25.9933,128.7921,710.8443,-45.51,134.7425,705.8751,-8.9098,127.5197,681.0717,-16.193,132.7165,704.8089,-33.3996,137.2813,707.4728
-5.4524,84.0991,582.8062,-10.4917,71.7957,580.1745,-7.4238,55.731,646.77,-1.7468,75.804,649.1874,2.7197,93.0577,646.6651,6.1789,108.8579,637.3288,-41.0246,63.4405,627.4504,-64.2255,57.0916,663.3737,-71.3592,60.2382,689.2235,-6.1771,70.6085,692.126,-5.4039,79.8358,720.2565,-15.4118,91.8269,735.7502,-13.9847,95.6908,693.5541,-21.4151,107.7653,720.492,-41.7319,115.155,716.4152,-11.8321,108.4132,685.6865,-20.7215,117.7935,709.5237,-39.9558,125.3766,705.8441,-2.8737,120.509,675.798,-8.2446,127.4216,698.6222,-24.865,133.2863,702.2787
-0.4256,89.5674,582.9653,-6.8807,77.8225,580.9447,-2.403,63.2683,647.807,5.5126,82.6586,649.343,11.6877,99.25,646.0883,16.3823,114.3286,636.1196,-36.0435,71.7469,629.6909,-58.2691,67.1165,666.8414,-64.4403,71.7266,692.7192,2.9513,77.8812,692.8796,6.2648,86.9242,720.7721,-2.4406,99.6658,736.4522,-4.3533,101.579,692.6527,-9.9273,112.2685,717.1213,-30.0118,120.5342,713.6159,-2.5206,116.1792,685.0766,-11.3382,126.6853,709.2725,-30.4278,134.7906,705.9721,7.8326,124.0386,676.1207,2.5786,130.0057,700.7024,-13.728,136.2739,705.0388
6.1983,103.9519,588.5664,0.4466,91.784,586.9681,7.711,78.9828,653.9442,14.4214,98.8605,654.8647,19.4386,115.733,651.1036,22.8865,130.8585,640.706,-30.4001,86.0431,636.1899,-54.2641,81.6017,674.2694,-60.1562,87.2989,699.9954,12.6585,94.5304,700.0204,15.8372,104.5194,729.6233,6.871,117.1725,745.2279,3.9248,118.1128,699.087,-2.273,129.4805,725.1984,-22.2014,138.1043,721.6644,10.3784,135.6268,690.4001,4.7259,148.0384,714.9167,-14.3651,156.3847,712.2948,17.91,144.5707,680.9376,14.7651,153.236,706.3617,-1.1942,159.7279,711.5728
17.5464,133.9548,601.9105,12.2833,121.5947,600.1152,21.5491,107.436,666.5691,27.4274,127.5546,667.8681,31.6396,144.7168,664.445,34.2132,160.2336,654.3761,-16.8843,116.3955,648.8183,-39.0794,112.4392,685.879,-43.8255,117.9668,711.8775,21.6897,119.9385,712.2312,21.7758,127.5848,740.1575,11.1413,139.4846,755.3003,18.0971,143.6714,713.1155,12.6797,153.0292,739.3873,-7.1978,161.5766,735.4088,20.612,159.4683,705.3317,13.762,168.6316,730.7294,-4.9976,177.6789,728.0414,29.9705,167.9707,694.7188,27.4426,172.5805,718.7552,12.0443,179.7326,724.7337
25.8056,167.521,611.6462,19.4266,155.6914,609.8959,29.1401,140.0919,675.9621,36.8036,159.6004,677.2611,42.4238,176.3592,673.8614,46.0933,191.6915,663.8496,-8.8222,145.9044,659.519,-30.5646,138.3716,697.7127,-34.3038,143.009,724.0473,31.5607,147.0522,723.0643,33.0582,151.3583,752.2043,20.2669,162.67,766.0761,27.7092,171.4659,722.8836,22.6336,178.0879,748.3452,2.6656,186.1073,743.7661,32.5839,187.3596,715.159,26.6974,193.9404,739.8645,7.8535,202.6024,736.5663,41.1879,197.157,704.2014,38.302,200.3724,727.9403,23.0385,207.8975,733.8051
30.3943,184.5008,618.5825,24.5779,172.3711,616.929,35.2797,157.6549,683.0452,42.0126,177.513,684.1964,46.8167,194.4987,680.674,49.7144,209.9264,670.5563,-3.5402,161.7066,665.8677,-25.0532,153.5472,703.3104,-28.43,158.5895,729.6196,35.0703,167.8097,729.2462,34.9425,174.0117,757.4633,19.909,184.9447,769.2304,32.9754,192.269,729.2895,27.8655,200.6123,754.786,7.6855,207.184,748.9915,35.5942,206.092,722.0273,28.7379,213.1747,747.2915,9.6228,220.5517,742.688,46.0719,215.3721,712.3246,43.8129,218.7495,738.2285,28.0493,225.5711,743.6114
34.7641,188.3225,620.0608,29.7859,175.8252,618.4088,40.7871,162.1258,684.6941,46.1695,182.3933,685.8161,49.8655,199.647,682.2597,51.8288,215.1923,672.0975,1.3039,164.1257,665.6803,-20.2029,155.2913,701.3751,-23.9683,160.9709,727.501,36.1566,170.9696,730.1535,33.4081,176.219,757.1369,17.1691,186.6484,767.6973,36.9978,195.7614,730.6109,31.9683,203.0919,755.1746,11.8389,208.4064,748.064,35.7349,211.6584,721.4526,27.458,218.6939,744.4095,8.3747,224.8895,738.2095,45.6594,221.9473,712.6847,41.9345,226.0257,737.1899,25.4923,231.9562,741.4889
29.1154,178.7859,612.7118,24.1489,166.3296,610.7443,34.4425,151.2291,676.8386,39.8226,171.4646,678.4442,43.5642,188.7869,675.2914,45.6422,204.5413,665.4803,-4.8854,153.9793,658.3716,-27.0138,144.5666,694.6705,-31.3034,150.4649,720.6668,33.2091,163.3656,722.4443,32.4584,170.7528,750.2034,15.9437,181.0027,760.509,32.8945,186.2857,722.6698,29.1876,194.2157,746.3329,9.106,199.087,738.7831,29.6461,202.3998,713.936,21.5255,210.3424,736.4836,2.5063,215.9686,729.5832,40.6577,213.0371,705.5078,37.6977,218.0823,729.2776,20.9062,223.3489,733.0601
23.4733,168.2046,599.8022,17.6626,156.182,597.481,26.3805,138.701,663.2142,33.1507,158.4615,665.3797,38.1182,175.5541,662.703,41.3663,191.3714,653.3198,-8.0136,140.3448,644.4468,-27.2443,128.4833,679.6228,-31.6635,133.933,705.6952,26.9331,147.9215,708.7855,27.2606,153.3848,735.7876,10.934,163.2062,746.7868,21.6664,169.3316,710.3001,15.3738,175.2876,734.9135,-4.7243,179.894,727.2424,22.4802,185.8393,701.6855,13.3676,191.8326,724.4014,-5.6694,196.9657,717.1734,36.7372,194.8072,694.3156,33.9668,196.8635,718.851,16.8373,201.0105,722.5091
21.9718,152.7985,587.1328,17.9142,140.3715,583.5551,26.5685,118.4482,647.9516,30.5425,138.6554,652.0598,33.261,156.4198,651.0424,34.6855,173.2918,643.163,-8.2897,121.4948,629.2327,-27.949,107.3328,663.5017,-33.3502,109.9331,689.8279,25.8547,124.2545,695.2047,25.414,127.8391,724.3772,9.7213,136.6683,737.0179,18.5114,149.1271,697.5972,11.7235,155.0352,723.2892,-8.7519,159.7064,716.7365,19.4005,164.9725,690.3452,11.5885,169.7929,712.497,-7.7759,174.5208,705.8888,29.2085,177.8385,683.6605,25.9711,180.526,707.5982,8.6169,183.6996,711.1701
