j0_x,j0_y,j0_z,j1_x,j1_y,j1_z,j2_x,j2_y,j2_z,j3_x,j3_y,j3_z,j4_x,j4_y,j4_z,j5_x,j5_y,j5_z,j6_x,j6_y,j6_z,j7_x,j7_y,j7_z,j8_x,j8_y,j8_z,j9_x,j9_y,j9_z,j10_x,j10_y,j10_z,j11_x,j11_y,j11_z,j12_x,j12_y,j12_z,j13_x,j13_y,j13_z,j14_x,j14_y,j14_z,j15_x,j15_y,j15_z,j16_x,j16_y,j16_z,j17_x,j17_y,j17_z,j18_x,j18_y,j18_z,j19_x,j19_y,j19_z,j20_x,j20_y,j20_z
72.3398,119.6948,321.302,62.2454,122.7385,311.6786,62.7974,53.8838,288.8389,76.4623,52.5331,306.0274,86.5774,54.2476,319.5827,96.1669,58.2055,333.1485,26.1775,90.3138,285.7412,13.9437,58.5931,286.0965,3.0929,32.7909,285.3812,54.8991,0.529,286.2165,46.7491,-20.8234,293.5414,38.1157,-35.8205,303.569,61.8512,-3.3188,314.9384,53.9205,-33.6343,319.7752,45.6382,-50.354,331.4309,75.6319,3.6803,328.019,68.6441,-28.6028,333.4049,57.6315,-45.8496,341.4839,90.3702,15.9078,341.3785,86.8595,-9.7096,346.3629,77.3569,-24.2592,351.0544
74.8481,121.3409,316.9089,64.6752,124.2488,307.3262,67.3838,55.8793,283.2181,81.0646,54.6335,300.402,91.1064,56.4084,314.0038,100.5535,60.4088,327.6568,30.8931,91.6384,278.6849,19.2871,59.6887,277.9662,9.3112,33.5537,276.765,60.9642,2.576,277.4266,53.3227,-19.3341,283.5546,44.8941,-34.7908,293.0442,68.7895,-2.3821,306.3846,62.0691,-33.5968,309.66,54.3837,-51.1894,320.4041,83.3385,4.7014,319.2324,78.3621,-28.4241,322.582,67.9862,-46.2704,330.1879,96.5129,17.2301,333.1786,94.0428,-9.1654,336.5541,85.3017,-24.4822,340.1582
77.356,121.9362,313.1328,67.1772,124.748,303.5277,70.8801,56.5217,279.1473,84.5188,55.3871,296.3722,94.4905,57.2393,310.0153,103.8376,61.3086,323.7167,34.7155,92.0897,273.4497,23.2652,60.1088,271.9969,13.4871,33.9299,270.2499,65.8158,3.2675,271.776,60.2185,-19.9379,274.2622,52.7414,-36.9008,281.7691,75.9807,-3.1976,297.1847,71.2008,-35.9951,297.6395,65.4516,-55.8758,305.1031,90.9207,4.3008,310.4631,88.6025,-30.079,310.7539,80.2585,-49.7925,315.8287,104.8473,17.1426,325.3666,105.4759,-10.3516,326.3936,99.2112,-27.143,328.068
80.8877,121.2098,309.9329,70.3507,123.9973,300.7149,73.839,56.0038,275.662,88.0862,54.8673,292.387,98.5144,56.7097,305.6858,108.2993,60.7624,319.083,38.0206,92.1839,269.6074,25.9434,60.5174,266.8915,15.7027,34.6001,264.1682,69.2032,3.0876,265.9472,65.9414,-20.5813,263.6788,59.7816,-39.0583,268.2237,83.1941,-4.5103,286.2614,80.3881,-38.5682,282.7479,77.0249,-60.0723,285.9513,99.1007,3.2938,299.8435,99.488,-31.9864,295.9847,93.9595,-53.2524,297.0766,113.8303,16.5119,315.8673,117.3338,-11.5171,313.8305,114.0866,-29.1899,312.7699
83.4143,118.6963,307.6795,72.7501,121.5444,298.6278,76.2402,53.8758,272.7106,90.7005,52.6057,289.242,101.2855,54.3373,302.4313,111.2183,58.2749,315.7539,40.2192,90.4408,267.0159,27.7496,59.0386,263.22,17.1938,33.3553,259.6225,71.9194,1.043,261.3923,69.97,-22.7939,256.2858,64.7507,-41.9664,258.5599,87.8938,-6.7378,279.226,86.2647,-41.182,273.4126,84.3413,-63.0918,273.9251,104.0627,1.1197,292.643,105.9162,-34.3983,286.1102,102.0905,-55.9988,284.4422,119.5692,14.4469,309.5221,124.9177,-13.6231,305.5309,123.392,-31.3383,302.7298
82.998,115.0061,307.8628,72.1975,117.6402,298.9083,76.2817,49.8085,273.5094,90.9402,48.8638,289.8873,101.6476,50.8424,302.9424,111.6756,55.0193,316.1199,40.145,87.288,266.1001,27.8617,55.7925,262.4724,17.2305,30.1819,258.59,73.5034,-2.5755,259.834,72.2493,-26.2214,253.661,67.9747,-45.7543,254.1008,90.2429,-10.0597,277.0327,89.8373,-44.3328,269.5557,89.1915,-66.2811,268.1941,106.1972,-1.9866,291.2154,109.2422,-37.3453,283.3665,106.804,-58.9486,279.997,121.0517,11.4738,308.8485,127.0726,-16.4895,304.1791,126.6021,-34.0906,300.4399
78.5626,111.3413,311.4881,67.8477,113.5061,302.308,72.9011,44.761,279.6918,87.3662,44.6193,296.2671,97.893,47.2257,309.3587,107.7178,52.0266,322.4767,37.5269,81.3807,269.5421,25.0727,50.0042,265.4909,14.4188,24.4413,261.3643,71.6532,-7.6491,265.3569,71.0843,-31.5414,258.822,67.4168,-51.2006,258.5724,89.0152,-14.4156,282.5889,89.9838,-49.0918,274.5545,90.2789,-71.0054,272.6287,104.1366,-5.8658,297.7879,108.3518,-41.7096,289.9761,106.8634,-63.3284,286.1798,118.8237,8.2913,315.8763,126.059,-20.2017,311.5762,126.5131,-37.8215,307.9246
72.6511,107.265,319.2067,62.0641,108.855,309.7642,66.8901,38.6725,292.0429,81.1521,39.591,308.7687,91.5384,43.0338,321.7791,101.2384,48.6721,334.6545,32.0647,75.2513,278.2075,18.9869,44.0612,274.722,7.8312,18.6496,271.0071,66.6902,-14.1523,278.7982,66.5983,-38.4192,272.7137,63.5152,-58.1744,272.2367,83.6371,-20.0052,296.7585,85.1068,-55.2543,289.6549,85.9933,-77.1763,288.0305,97.7851,-10.7368,312.655,102.0208,-47.1969,306.4682,101.0925,-68.9034,303.0092,112.7126,4.442,330.096,120.2574,-24.6413,327.0986,121.189,-42.3597,324.0668
63.9145,102.322,331.5195,53.5074,103.2753,321.7957,57.4997,31.7999,310.0375,71.5038,33.8982,326.8744,81.7332,38.2593,339.7329,91.3135,44.8068,352.263,22.639,67.2984,293.9065,8.2732,36.6113,291.0914,-4.0123,11.676,287.7303,58.3988,-21.7463,298.9094,58.8186,-46.7401,293.7151,56.3843,-66.5858,293.2411,75.3432,-26.5787,317.9349,77.642,-62.7889,312.5824,79.3013,-84.6981,311.4718,89.4417,-16.1961,333.4139,94.7196,-53.481,329.0874,94.5273,-75.3028,326.2995,103.6768,0.3282,351.27,111.8647,-29.1287,350.6124,113.5552,-46.9371,348.6111
58.1254,93.3008,351.3496,46.4574,93.5558,343.1298,46.4481,21.0638,340.3289,62.7979,24.5376,354.6334,74.911,29.9475,365.2638,86.4037,37.5157,375.3779,13.3468,55.1241,321.8767,-5.0557,27.273,315.4222,-19.5783,3.6236,311.7072,44.4175,-33.2931,333.763,43.464,-58.8175,330.6799,41.1051,-78.6328,332.0168,62.8513,-36.3347,351.63,62.883,-72.4496,349.8481,64.0696,-94.3748,351.2185,77.253,-24.8917,366.5565,78.8414,-62.0831,367.4331,78.1179,-84.0711,367.3933,97.4525,-5.3817,378.8644,104.3856,-32.2996,381.0522,106.4725,-50.1777,381.1832
57.0576,79.6257,348.628,44.1737,79.427,342.4849,48.4411,7.3831,335.1093,66.716,11.3322,346.7038,80.0749,17.0807,355.5069,92.5949,24.9584,364.0419,4.7706,40.6486,339.9695,-19.8289,16.4391,338.3991,-37.0814,-5.3754,341.6367,47.4761,-47.3886,333.0858,47.0222,-73.1538,332.134,45.0318,-92.4597,336.9632,63.4949,-46.9822,360.3908,61.6415,-80.5354,368.266,58.4979,-97.3459,382.1053,79.8965,-32.8712,374.3159,79.7797,-65.5724,386.6294,74.3822,-83.1232,398.747,106.5882,-17.6016,370.3306,115.6044,-45.0242,374.3825,117.6457,-62.7406,376.8244
66.0047,63.5997,329.5679,53.7457,62.8638,322.2914,61.2425,-9.0443,316.2951,78.2387,-4.3069,329.4361,90.5306,2.0191,339.33,101.9356,10.4391,348.8529,17.3947,21.2723,317.2839,-5.3778,-4.7832,314.147,-21.0973,-27.9345,315.1035,62.4442,-64.0915,315.8358,63.0182,-90.3875,315.6163,61.5539,-109.7538,320.3913,80.4855,-63.7372,339.6392,81.7935,-98.3365,345.5792,81.206,-117.7105,355.9861,96.3582,-51.7901,347.6118,100.2975,-88.1647,353.2102,97.9491,-109.0211,359.8054,113.999,-32.1116,357.5726,121.7323,-59.3892,363.1624,122.3055,-77.1352,366.1205
