j0_x,j0_y,j0_z,j1_x,j1_y,j1_z,j2_x,j2_y,j2_z,j3_x,j3_y,j3_z,j4_x,j4_y,j4_z,j5_x,j5_y,j5_z,j6_x,j6_y,j6_z,j7_x,j7_y,j7_z,j8_x,j8_y,j8_z,j9_x,j9_y,j9_z,j10_x,j10_y,j10_z,j11_x,j11_y,j11_z,j12_x,j12_y,j12_z,j13_x,j13_y,j13_z,j14_x,j14_y,j14_z,j15_x,j15_y,j15_z,j16_x,j16_y,j16_z,j17_x,j17_y,j17_z,j18_x,j18_y,j18_z,j19_x,j19_y,j19_z,j20_x,j20_y,j20_z
88.6334,41.7112,261.5428,82.1706,35.3507,250.5179,78.4811,-26.6391,288.0223,86.5056,-13.1035,303.3975,92.6305,-0.6893,313.2653,98.596,13.1379,321.3199,57.4715,20.1872,305.1935,39.7994,9.3377,344.3135,24.1268,2.4414,366.4678,54.7986,-48.3967,331.4014,40.5379,-33.8133,344.0488,38.8303,-15.0675,337.29,55.7441,-21.266,349.4746,37.8965,-17.0118,369.2829,26.2914,1.668,369.9039,66.459,-8.7351,352.6902,48.9414,-8.2978,371.8981,35.5156,8.2958,366.569,71.1077,8.3037,351.4301,56.3082,5.7011,367.6412,41.7322,15.9932,365.2726
87.2416,40.4165,260.4689,80.5658,34.1628,249.5101,76.0416,-27.6948,287.141,84.4507,-14.2905,302.4254,90.8919,-1.9795,312.2208,97.1846,11.7447,320.2022,55.4874,19.1961,303.8457,37.5982,8.5199,342.6051,21.9568,1.6857,364.8006,52.2289,-49.4658,330.442,38.0106,-34.4858,342.6666,36.4424,-15.798,335.7163,53.6117,-22.442,348.4527,35.642,-17.8272,368.0689,24.0118,0.8365,368.7058,63.6969,-9.0172,351.1425,46.3702,-9.0752,370.5276,33.0289,7.5453,365.0717,69.1945,7.063,350.0583,54.004,4.5222,366.2616,39.4708,14.8644,363.8484
85.7343,39.4556,259.3141,79.0274,33.2498,248.347,73.8021,-28.502,286.0609,82.3,-15.156,301.3472,88.8342,-2.8927,311.1409,95.2384,10.7823,319.1181,53.4911,18.3738,302.479,35.2789,7.7644,341.0852,19.5381,1.082,363.2566,49.9305,-50.1978,329.3672,35.7491,-35.1523,341.5542,34.3952,-16.5296,334.3873,51.4649,-23.4667,347.3486,33.3874,-18.4357,366.7624,21.8701,0.3015,367.2816,61.3232,-9.3116,349.9474,44.1071,-9.4072,369.4306,30.8865,7.276,363.873,67.152,6.3881,348.8086,51.9858,4.0154,364.8411,37.5557,14.4839,362.3544
83.9124,38.5193,258.1815,77.2094,32.3866,247.171,71.2773,-29.3767,284.7614,79.8091,-16.1256,300.1112,86.396,-3.9323,309.9569,92.8739,9.6764,317.9877,51.479,17.7053,301.1601,33.1548,7.2499,339.609,17.3492,0.5748,361.7365,47.2932,-51.0554,328.0141,33.1658,-35.8787,340.1007,31.9006,-17.2582,332.9121,48.4418,-23.6767,345.8832,30.3409,-18.7336,365.2977,18.9573,0.0883,365.6832,59.3771,-11.1331,348.9714,41.5883,-10.2932,367.9148,28.5381,6.4951,362.2715,64.6869,5.4773,347.6539,49.4387,3.2057,363.7024,35.0997,13.776,361.1215
82.6543,37.7642,256.9261,75.943,31.6817,245.8929,69.4026,-30.0283,283.4698,77.9822,-16.8411,298.8479,84.6283,-4.6975,308.7152,91.1827,8.8621,316.767,49.4646,17.2072,299.6618,30.5854,6.8868,337.9994,15.0168,0.1278,360.269,45.0428,-51.8228,326.4536,30.8438,-36.4548,338.2101,29.8298,-17.9117,330.7854,46.39,-24.1156,344.5099,28.3029,-19.2305,363.9519,17.048,-0.3307,364.308,54.9985,-8.7635,346.3465,38.8941,-10.9735,366.7997,25.9629,5.8866,361.0972,62.6452,4.7475,346.255,47.1129,2.508,362.3046,32.841,13.1567,359.6738
81.0351,37.1144,255.9395,74.3656,31.0739,244.8579,67.1502,-30.5869,282.3922,75.7021,-17.4532,297.8315,82.3542,-5.3514,307.746,88.9371,8.1666,315.8443,47.6601,16.6231,298.361,28.6606,6.3422,336.4255,13.513,-0.5818,358.9334,42.6807,-52.4933,325.2566,28.557,-36.8406,336.7246,27.7759,-18.3676,329.0998,43.9484,-25.5832,343.2364,25.5899,-20.3051,362.3179,14.1552,-1.5253,363.0717,52.4834,-9.2972,345.1865,36.2559,-11.4408,365.5263,23.3547,5.4453,359.8322,60.1851,4.2747,345.1801,44.5189,2.1542,361.1643,30.2243,12.7738,358.5402
79.5689,36.4927,255.0574,72.9084,30.4855,243.9523,65.092,-31.0789,281.5243,73.6643,-17.9867,296.9875,80.355,-5.9198,306.9184,86.9947,7.5618,315.0312,45.8285,16.4321,297.3409,26.5712,6.4384,335.3072,11.479,-0.4477,357.864,40.4553,-52.8662,324.3536,26.3948,-37.0336,335.651,25.8397,-18.6342,327.831,41.7923,-25.2057,342.4634,23.5441,-19.9076,361.645,12.1345,-1.1119,362.3833,50.4808,-9.8286,344.3201,34.2768,-11.9489,364.6071,21.4426,4.987,358.9096,58.2149,3.6766,344.2776,42.5742,1.5651,360.1719,28.2974,12.212,357.5606
78.6295,35.9999,254.3064,71.9713,30.0068,243.1923,63.7108,-31.4425,280.8576,72.3051,-18.3663,296.3222,79.0293,-6.316,306.2507,85.7158,7.1456,314.3582,44.8131,16.2381,296.6903,25.48,6.4366,334.7737,10.4808,-0.411,357.4041,39.1194,-53.1567,323.75,25.0689,-37.2995,335.0253,24.5905,-18.9543,327.0737,39.9119,-24.7827,341.5496,21.7702,-20.1825,361.0102,10.4667,-1.3202,361.678,49.0217,-10.0978,343.5724,32.7365,-12.1502,363.8269,19.9753,4.8257,358.0847,56.7104,3.4407,343.5729,40.8393,1.4136,359.5584,26.6174,12.1178,356.8834
77.8817,35.7585,253.9552,71.2446,29.7753,242.8232,62.7099,-31.6304,280.4985,71.2867,-18.5663,295.9828,78.0089,-6.5267,305.9258,84.7026,6.9231,314.0467,43.8118,15.8987,296.0584,24.3088,6.0332,333.9056,9.3465,-0.8232,356.5578,37.8412,-53.518,323.1421,23.655,-37.7324,334.3477,23.238,-19.3923,326.3812,38.7619,-25.262,341.075,20.4571,-20.2899,360.2898,9.2325,-1.3781,360.8875,47.8071,-10.2535,343.0634,31.4371,-12.2735,363.1928,18.7383,4.7304,357.3955,55.5431,3.3263,343.1445,39.5728,1.3564,359.0809,25.3859,12.0889,356.3342
77.4013,35.4549,253.7926,70.777,29.5036,242.6359,62.0374,-31.9482,280.1889,70.6057,-18.9271,295.7142,77.3296,-6.9176,305.6922,84.0319,6.5053,313.8506,43.1709,15.7001,295.8316,23.5362,5.8824,333.6669,8.553,-0.9784,356.3039,37.1316,-54.0097,322.7211,22.9855,-38.1057,333.8095,22.664,-19.7803,325.8048,38.0839,-25.7345,340.7918,19.751,-20.6564,359.952,8.5604,-1.7245,360.5476,47.0523,-10.4894,342.8123,30.6231,-12.4275,362.9545,17.9504,4.5898,357.1396,54.7826,2.8736,342.8498,38.7657,0.8849,358.7298,24.6064,11.6498,355.9675
