j0_x,j0_y,j0_z,j1_x,j1_y,j1_z,j2_x,j2_y,j2_z,j3_x,j3_y,j3_z,j4_x,j4_y,j4_z,j5_x,j5_y,j5_z,j6_x,j6_y,j6_z,j7_x,j7_y,j7_z,j8_x,j8_y,j8_z,j9_x,j9_y,j9_z,j10_x,j10_y,j10_z,j11_x,j11_y,j11_z,j12_x,j12_y,j12_z,j13_x,j13_y,j13_z,j14_x,j14_y,j14_z,j15_x,j15_y,j15_z,j16_x,j16_y,j16_z,j17_x,j17_y,j17_z,j18_x,j18_y,j18_z,j19_x,j19_y,j19_z,j20_x,j20_y,j20_z
-21.0424,81.541,315.861,-27.0716,76.0139,304.9248,-11.6704,12.2824,328.3674,-5.2836,24.1798,344.4504,-0.3398,35.8668,357.2164,2.6615,51.8232,366.1002,-52.49,34.4451,326.4319,-68.402,8.4228,339.8953,-85.3926,-14.2601,346.0437,-25.7748,-20.0977,351.6261,-34.6516,-40.4765,366.2642,-47.1839,-46.3575,382.0552,-7.2995,-4.7756,377.1375,-8.7104,-25.0397,400.0132,-24.9917,-25.6827,413.2611,-6.2681,15.2624,390.5894,-10.3156,1.1949,413.3746,-26.0806,0.1879,427.2112,-7.5829,38.2856,396.7741,-14.5354,29.0982,417.5913,-26.4358,24.8212,430.4009
-16.6608,78.1741,313.6943,-22.8658,72.824,302.7684,-6.9779,8.7284,324.8544,-0.3377,20.3606,341.0284,4.804,31.8365,353.9073,7.9317,47.6441,363.0109,-47.2063,30.5959,324.2849,-62.452,4.1464,337.7617,-78.7439,-19.0693,343.8117,-23.0212,-20.8771,350.3413,-33.097,-39.4707,366.3482,-46.2607,-42.9601,382.3339,-3.4407,-8.6481,373.5865,-5.6124,-28.9508,396.3734,-21.9995,-29.5498,409.4922,-0.1637,10.2891,386.7175,-3.5455,-4.3794,409.0531,-19.1588,-5.7415,423.0307,-2.5344,33.6903,393.1876,-9.5886,24.2855,413.5265,-21.7246,19.7287,426.0146
-11.4636,74.2463,311.4779,-17.7623,69.0107,300.5503,-1.5188,4.6971,321.725,5.2521,16.1537,337.97,10.4929,27.4893,350.9329,13.6736,43.196,360.1914,-41.6235,27.1569,323.6941,-56.6421,0.8136,338.2611,-72.7058,-22.0411,346.047,-19.3982,-22.116,349.2255,-30.682,-39.0378,366.5812,-44.3451,-40.6973,382.442,1.3641,-12.3495,370.4642,-1.3362,-32.1449,393.0313,-17.8767,-32.0282,405.9696,5.4759,6.1732,383.467,2.096,-8.187,405.3845,-13.6356,-9.0508,419.2687,3.6359,28.8925,389.9177,-3.0404,19.3789,409.6893,-15.6481,15.0067,421.7694
-7.3752,70.2645,310.895,-14.4376,65.16,300.38,1.5467,0.5184,320.7374,9.5436,11.8397,336.5133,15.814,23.0706,349.1049,19.908,38.7136,358.109,-37.4091,23.3204,324.6649,-51.9109,-3.0927,339.9957,-66.8365,-25.5994,350.5633,-16.6583,-24.997,348.88,-28.0472,-40.9592,366.4857,-42.0892,-41.0054,382.1004,4.3278,-16.1286,368.9989,0.725,-35.4478,391.4384,-15.9672,-34.3475,404.1334,10.4157,0.9243,381.0693,6.7744,-14.0145,402.6309,-9.1915,-14.0878,416.2722,8.8514,23.7102,387.1033,1.5011,13.7363,406.378,-12.2497,10.035,417.3877
-3.3198,66.2198,310.8993,-10.8728,61.3197,300.6308,5.1256,-3.7354,319.6135,13.9067,7.3101,335.1663,20.8306,18.3219,347.6082,25.4877,33.8118,356.6032,-33.2588,19.6543,325.6907,-47.3803,-6.6291,341.4989,-61.761,-29.0769,352.9137,-13.1883,-28.2772,348.3552,-24.5911,-43.5578,366.2508,-38.7254,-42.1072,381.7142,7.1981,-19.6184,367.9008,2.596,-38.0914,390.3567,-14.1209,-35.8384,402.8655,14.732,-2.8738,379.5072,10.6797,-16.9572,400.7024,-5.6358,-15.6125,413.8551,13.3331,19.2235,384.7686,5.4056,9.7086,403.1388,-10.28,7.8649,411.7738
0.0079,61.4763,311.0883,-7.9621,56.7258,301.0678,8.0454,-8.6206,319.0141,17.4972,2.2247,334.3126,24.98,13.0772,346.5694,30.1188,28.4548,355.4945,-30.2735,15.3031,326.3889,-44.3094,-10.7556,342.3181,-58.6147,-33.1315,353.9664,-9.7071,-31.6154,349.0419,-20.669,-45.8144,367.5837,-34.9161,-41.5044,382.3975,8.923,-22.6366,367.6528,3.1122,-39.4853,390.2476,-13.6969,-35.4018,402.1548,17.2534,-6.5017,378.3598,12.2332,-19.2225,399.0148,-4.6542,-15.5495,410.9448,15.7076,15.4658,382.3591,6.6362,7.2897,399.2694,-10.6359,8.5139,404.1865
2.3228,56.7589,311.527,-5.8143,52.1115,301.5928,10.2663,-13.422,318.7755,19.9846,-2.7262,334.0121,27.6876,8.0067,346.2378,33.0095,23.2979,355.204,-28.445,10.9628,326.9275,-42.6527,-14.8706,342.8328,-57.1824,-37.1601,354.3681,-6.6056,-36.5008,348.8189,-16.8969,-50.5781,367.1444,-31.3068,-43.9297,380.8977,9.6872,-25.7589,367.8694,2.7556,-41.2633,390.6602,-14.1099,-35.2265,401.6197,17.6156,-9.3096,377.9586,11.2201,-20.3052,398.1007,-6.0677,-14.166,408.3204,17.3643,12.0744,381.0375,7.9598,5.3278,396.5664,-9.5374,8.9641,398.7176
3.6326,53.1565,312.7071,-4.9192,48.6663,303.0529,10.7099,-17.1614,319.512,21.1229,-6.6638,334.4241,29.4175,3.9113,346.3977,35.2913,19.091,355.2074,-27.624,7.5265,328.1033,-41.8331,-18.2194,343.7803,-56.4524,-40.4731,355.2716,-5.0324,-39.69,349.8297,-14.4125,-53.1136,367.8945,-28.4784,-43.2828,379.9984,10.4612,-27.9796,368.7839,3.3696,-42.1578,391.6383,-13.2159,-34.6224,402.0853,19.905,-12.6058,378.1105,12.031,-21.1988,397.9387,-5.0363,-13.0589,407.0738,23.6949,6.5837,382.2831,10.1574,3.2814,395.1995,-7.0274,8.5948,395.871
5.2661,50.2949,315.1383,-3.911,46.0704,305.9495,10.5491,-20.2081,321.6508,22.0413,-10.0374,335.9855,31.2678,0.2763,347.4964,38.0525,15.2672,355.9685,-27.099,5.1631,330.6014,-41.5434,-20.3191,345.9578,-55.9099,-42.5758,357.758,-4.2362,-41.1741,352.632,-12.762,-53.2639,370.497,-25.5085,-39.2911,379.6231,11.5754,-29.9065,370.637,4.727,-42.9077,393.3111,-11.2119,-32.9987,402.7324,25.1715,-18.1975,378.9695,13.468,-21.6627,398.4636,-2.9883,-11.3896,406.5044,28.4167,2.3923,383.6342,13.4173,1.3709,395.252,-3.2159,8.2421,394.9021
7.2075,48.2735,318.2638,-2.5776,44.327,309.5935,11.0801,-22.3726,324.1915,23.6162,-12.5665,337.8915,33.7348,-2.5464,348.9011,41.3618,12.2262,357.0334,-26.0439,3.6487,334.2377,-40.6366,-21.6475,349.563,-54.8006,-43.8928,361.6265,-2.8103,-42.6069,355.3507,-10.5881,-53.9369,372.7978,-21.8415,-37.5571,379.585,12.7232,-29.9452,372.8204,5.7846,-41.015,395.0693,-9.1955,-28.2466,402.3879,28.4368,-20.6993,380.7036,15.5892,-20.9522,399.7791,-0.1474,-8.9899,406.869,32.6358,-0.5151,385.0605,17.2209,-0.0367,396.1578,1.2007,8.0816,394.9549
