j0_x,j0_y,j0_z,j1_x,j1_y,j1_z,j2_x,j2_y,j2_z,j3_x,j3_y,j3_z,j4_x,j4_y,j4_z,j5_x,j5_y,j5_z,j6_x,j6_y,j6_z,j7_x,j7_y,j7_z,j8_x,j8_y,j8_z,j9_x,j9_y,j9_z,j10_x,j10_y,j10_z,j11_x,j11_y,j11_z,j12_x,j12_y,j12_z,j13_x,j13_y,j13_z,j14_x,j14_y,j14_z,j15_x,j15_y,j15_z,j16_x,j16_y,j16_z,j17_x,j17_y,j17_z,j18_x,j18_y,j18_z,j19_x,j19_y,j19_z,j20_x,j20_y,j20_z
-50.0513,84.7099,353.4168,-60.6892,90.1907,346.8368,-84.9076,26.5043,332.4848,-68.6195,21.9467,344.9319,-54.3328,19.8908,355.6865,-39.6553,23.9072,366.221,-98.6505,54.9131,364.6779,-123.4198,31.8949,376.3189,-145.6138,17.5214,388.2282,-111.0182,9.5627,362.4654,-127.9744,-1.4393,381.9348,-139.9844,-8.9342,397.4456,-96.8451,1.4356,372.3085,-116.889,-13.1299,391.7496,-130.4077,-17.762,407.1375,-79.453,-0.6625,382.3785,-97.6426,-15.5453,401.7063,-110.2888,-17.2013,418.3896,-60.0976,1.1839,388.6963,-75.111,-15.5047,405.2028,-87.2917,-21.2673,417.137
-53.0388,87.3385,356.2583,-63.5468,92.694,349.3736,-86.5854,28.7277,334.3404,-70.61,24.3612,347.2525,-56.6158,22.4729,358.4148,-42.2966,26.661,369.3672,-100.6491,56.3518,366.6923,-124.8219,32.6742,377.9757,-146.6007,17.4691,389.6156,-112.7789,12.7779,364.7435,-129.7716,2.4306,384.4671,-141.686,-4.3483,400.376,-99.362,5.444,375.1333,-119.7542,-7.973,394.9076,-133.2504,-11.0839,410.6929,-82.2757,3.1239,385.0956,-100.7533,-10.8091,404.3084,-113.6296,-10.7261,420.8973,-63.9981,5.2045,391.5829,-79.8668,-10.4851,407.8277,-92.7359,-15.1062,419.5338
-54.1751,88.5795,358.2558,-64.4947,93.9355,351.0921,-86.7771,29.9722,334.9474,-71.1792,25.5884,348.3073,-57.52,23.6859,359.8748,-43.5573,27.8624,371.2824,-101.2557,57.0843,368.1754,-125.2274,33.0537,379.3154,-146.6684,17.3836,390.9659,-112.9286,14.9907,365.9557,-129.9254,5.2537,386.1091,-141.578,-0.9253,402.4504,-99.6669,7.5762,376.4403,-119.6926,-5.0857,396.2166,-132.9872,-6.6651,412.3955,-83.475,6.2589,386.5305,-101.8707,-6.0925,405.4229,-114.6743,-4.239,421.9648,-66.0805,7.5279,393.0813,-82.4012,-7.2068,408.877,-95.8187,-10.6225,420.3794
-54.5472,90.3138,359.703,-64.8064,95.6516,352.4397,-86.5061,31.6556,335.6438,-71.0533,27.2843,349.1754,-57.5309,25.3935,360.9045,-43.7387,29.5842,372.5126,-101.3851,58.3622,369.0947,-125.263,34.0202,379.9669,-146.4662,17.9836,391.5535,-112.5269,16.951,366.5344,-129.2985,7.4732,386.4447,-140.8679,1.9923,403.0913,-99.7704,10.1531,377.2811,-119.8521,-1.8266,396.9352,-133.1387,-2.016,413.1965,-83.8958,8.8725,387.452,-102.4986,-2.7844,406.1835,-115.2825,0.2019,422.5742,-66.7176,9.6885,393.9642,-83.3033,-4.6719,409.4476,-97.1576,-6.9404,420.7132
-54.6122,91.8425,359.7743,-64.6571,97.0438,352.1228,-85.3569,32.7512,335.1981,-70.3382,28.6084,349.2792,-57.2047,26.9164,361.4713,-43.8378,31.3063,373.4959,-101.0639,59.5348,368.7719,-124.8491,35.0294,379.6492,-145.6724,18.4892,391.2168,-111.7842,18.3501,366.0702,-128.8908,9.0281,386.0539,-140.5238,4.4986,402.9405,-99.0545,11.6602,377.2917,-119.072,-0.1541,396.8185,-132.4202,0.7595,413.0047,-83.7151,11.7536,388.0419,-102.2231,1.1679,406.5919,-115.0497,5.4066,422.6702,-67.2067,12.4211,394.6477,-83.8781,-1.0516,409.7374,-98.1289,-2.1961,420.6738
-55.1191,91.0259,358.4622,-65.0737,95.7622,350.4017,-83.9387,30.5302,334.9953,-69.2013,27.1617,349.5714,-56.3524,26.1415,362.1358,-43.3971,31.199,374.3473,-101.3005,58.3361,367.1299,-124.8797,33.9763,378.0179,-145.31,17.0482,389.7243,-110.6178,17.5203,365.9229,-127.7477,9.167,385.7808,-139.408,5.643,402.887,-98.4013,11.2383,377.3445,-118.6463,0.1982,396.6003,-132.3071,2.2564,412.4164,-83.4261,12.0778,388.4488,-102.2319,2.3089,406.7262,-115.3736,7.7248,422.1847,-67.2756,13.2566,395.5254,-84.2521,0.5005,410.582,-98.9445,0.2907,420.9786
-55.6885,88.8815,355.3484,-65.3269,92.6828,346.4517,-81.4691,25.9117,335.0711,-67.4457,24.1111,350.5985,-55.2662,24.441,363.8481,-43.1349,30.806,376.2922,-101.405,55.4969,364.3255,-124.9456,31.2335,375.988,-145.2516,14.411,388.0574,-109.4591,14.6333,365.5707,-127.4539,7.3823,385.179,-139.4425,5.5662,402.3247,-97.7103,9.0443,377.8553,-118.7437,-1.4268,396.7983,-133.1263,2.0953,411.6891,-82.9237,10.5742,389.5779,-102.1101,0.9545,407.427,-116.0264,7.6055,421.6784,-67.4681,13.3053,397.5914,-84.839,0.8119,412.7965,-100.0626,1.1837,422.3937
-55.1999,85.8405,350.9771,-64.3095,88.3662,341.1213,-77.4837,20.222,335.5286,-64.529,20.512,352.0541,-53.3214,22.6235,365.98,-42.2977,30.6542,378.4909,-100.1825,52.1576,360.7096,-123.4712,28.6511,373.4263,-143.5949,12.099,386.1568,-106.554,11.7836,365.7515,-125.1624,6.382,385.0976,-137.7321,6.8052,401.915,-95.846,6.7911,379.0567,-117.686,-2.7776,397.888,-132.9788,2.4419,411.3002,-81.9098,10.2502,391.3746,-101.7159,1.6779,408.9679,-116.5688,9.5236,421.571,-67.3064,14.5695,400.0756,-85.1471,3.095,415.4737,-100.9686,4.0277,424.0066
-53.7289,82.3915,346.4197,-62.056,83.4605,335.6486,-72.689,14.6553,336.7599,-61.1715,17.2667,354.1244,-51.2316,21.333,368.5696,-41.5326,31.115,380.9301,-97.9348,48.3757,357.6212,-121.3304,25.4979,371.9488,-141.1389,9.472,385.7976,-103.0007,8.4895,366.7784,-122.6147,4.4998,386.2027,-135.9191,6.9709,402.2616,-93.1823,5.2531,381.1769,-115.5228,-3.1313,400.057,-131.5323,3.503,411.918,-80.4272,10.2802,393.6176,-100.5625,2.6574,410.8923,-116.3224,11.4054,421.6672,-66.5786,16.1694,402.6264,-84.2579,5.6197,417.9413,-100.5516,6.8601,425.4896
-52.542,77.8941,341.9979,-60.3075,77.408,330.7747,-68.8358,8.8388,339.3765,-58.355,13.8546,356.8692,-49.3373,19.9206,371.2179,-40.6261,31.4119,382.8197,-95.6873,43.6742,355.1536,-118.6685,21.7622,370.989,-138.273,6.49,385.9364,-99.8846,5.0436,368.8714,-119.9032,2.5966,387.8881,-133.9245,7.1473,402.8446,-90.9995,3.2652,383.8113,-113.8001,-4.131,402.629,-130.5875,3.4852,412.6877,-79.1435,10.4373,396.1865,-99.6987,3.8974,413.4056,-116.2724,13.2555,422.2789,-65.784,17.7417,405.4227,-83.6046,8.0583,421.4336,-100.3031,9.4565,428.0068
-50.3695,74.1104,338.4158,-57.5203,72.1431,326.9486,-64.7853,4.7265,342.7813,-55.3657,11.973,360.0948,-47.2674,19.8685,374.0977,-39.4655,32.8385,384.7487,-93.2497,40.119,353.305,-116.5256,19.257,370.4749,-136.1099,4.838,386.272,-97.098,2.7827,371.3266,-118.044,1.5226,389.8305,-132.9295,8.1918,403.0572,-88.9743,3.3905,386.7105,-112.4992,-2.6169,405.3406,-129.9356,5.7737,413.4994,-77.942,11.9572,398.6334,-99.1231,6.4944,415.5756,-116.3908,16.331,422.3628,-65.4702,20.8402,407.3291,-83.8865,12.3431,423.3203,-100.943,13.9144,428.8526
-48.0138,68.1845,334.9736,-54.3486,64.5046,323.4485,-61.0825,-0.4458,347.6262,-52.99,9.304,364.3729,-46.0132,19.2206,377.6765,-39.2288,33.716,386.9712,-90.8334,35.1458,351.9835,-114.6578,15.9748,370.6166,-134.4434,2.6092,387.0755,-94.697,0.1934,374.5957,-116.4462,0.607,392.0455,-132.1525,9.4137,402.8507,-87.9799,3.8797,390.2656,-112.5547,0.07,408.4511,-130.5473,9.2469,414.1997,-77.5729,13.8978,401.284,-99.1842,10.2529,417.4498,-116.9985,20.5106,421.7431,-66.204,24.0768,409.5274,-85.3025,17.2522,425.4972,-102.7052,19.1127,429.7027
-45.0655,62.3063,333.2612,-50.8628,57.0792,322.0554,-58.5914,-4.1307,354.3367,-51.2856,7.8196,369.9833,-44.9377,19.4692,382.1484,-38.6062,35.1224,389.7263,-88.0931,30.4254,352.2084,-112.3957,13.0268,371.891,-132.5996,1.2068,389.0108,-93.2057,-0.7998,379.3127,-115.3916,1.3351,395.321,-131.6088,12.2785,402.9529,-87.303,5.382,394.7177,-112.5373,3.6742,412.047,-130.8416,13.4061,415.3999,-77.6278,16.4768,404.7403,-100.0637,14.4231,420.2455,-118.2333,24.8119,421.9589,-66.3021,27.1918,412.3743,-86.0088,21.5489,428.4892,-103.6227,23.2989,431.7585
-37.7765,57.0952,333.2023,-43.3445,50.5222,322.6055,-53.7027,-5.5624,362.5517,-46.5949,8.2401,376.6927,-40.3399,21.293,387.393,-33.8494,37.6898,393.0104,-82.2967,28.1347,354.4297,-107.8668,13.4384,375.3207,-129.1038,3.815,392.5654,-89.3235,0.9068,385.2448,-112.0885,5.0411,399.7478,-128.3722,17.3849,404.5923,-83.2811,8.7556,400.337,-108.9153,9.1159,416.8583,-127.3353,19.1107,418.2027,-73.5758,21.1985,409.4571,-96.4139,21.1335,424.6185,-114.6699,31.5112,424.4659,-61.6736,32.5004,416.847,-81.6569,28.7734,433.9664,-99.3165,30.4567,437.0167
-29.1149,53.5886,334.3823,-34.476,45.9778,324.3907,-46.6309,-5.4229,369.7634,-39.735,9.7388,382.5529,-33.6076,23.7966,391.9779,-27.0637,40.6347,396.002,-74.249,26.7351,357.4671,-100.4427,14.0624,379.2504,-122.5818,6.3822,396.3347,-82.6243,2.897,390.8615,-105.4815,8.1805,404.2596,-121.6628,21.389,406.4268,-77.0175,12.8553,404.9355,-103.0359,15.0302,420.5556,-121.5055,25.0115,420.0579,-67.7225,26.2306,413.1929,-91.393,27.9194,427.9129,-109.7905,37.8522,425.9452,-55.3452,37.4645,420.3071,-75.8692,35.1638,437.9453,-93.5796,36.7202,440.7595
-21.3721,53.5485,336.4318,-26.1794,45.0615,326.8735,-37.8974,-3.3997,375.4807,-31.8941,12.8675,387.3272,-26.5234,27.7685,395.878,-20.674,45.0733,398.8552,-66.3475,26.6817,360.2706,-92.9161,14.5246,382.3608,-115.2705,7.7096,399.5316,-74.9137,5.3772,395.0351,-98.6074,10.9952,407.5517,-114.5944,24.6063,407.1602,-70.3282,16.7316,407.6344,-97.1785,19.4311,421.8211,-115.7027,29.0927,419.6981,-61.2535,30.2736,415.435,-85.1475,31.9972,428.89,-103.6554,41.2866,425.4023,-49.3674,42.0316,422.564,-70.1502,39.8285,439.7364,-88.0034,40.843,441.7937
-15.0576,52.5027,337.5403,-19.5268,43.4197,328.3738,-31.4053,-2.5078,379.3446,-25.9181,14.4893,390.3895,-20.9736,29.9305,398.2075,-15.4785,47.4748,400.338,-59.6806,26.0548,362.3407,-86.2452,14.5667,384.8122,-108.7953,8.2048,401.9007,-68.6286,6.4412,398.0551,-92.3232,12.1377,409.9654,-108.2957,25.6072,407.8555,-64.2981,19.0465,410.0503,-90.9294,22.2087,423.6926,-109.4548,31.5693,420.5004,-55.9929,32.8658,417.1372,-80.0722,34.8841,430.1532,-98.6655,43.5311,425.6237,-43.6791,44.4453,424.3365,-64.0089,42.2613,441.637,-81.9142,42.7841,443.4054
-10.8405,52.0017,338.7415,-15.3494,42.499,330.0313,-28.1296,-0.5398,383.2553,-22.5239,16.9531,393.4324,-17.4557,32.7284,400.4649,-11.7716,50.2975,401.7115,-55.7167,26.3407,364.0045,-82.2936,15.7024,386.3717,-105.1131,10.0878,403.3642,-65.6813,8.561,400.4434,-89.3152,14.2888,411.261,-105.1219,27.5043,407.1994,-61.3416,21.7332,411.5891,-88.1123,25.0298,424.111,-106.5885,33.9515,419.6352,-53.0862,35.8993,418.1022,-77.563,38.0777,430.2185,-96.15,46.0195,424.522,-40.8472,48.6573,425.7425,-62.1127,47.4578,443.3184,-80.0584,47.6689,444.6987
-9.7155,51.1288,339.3488,-14.0126,41.3258,330.8673,-27.003,-0.2738,385.1736,-21.7131,17.5705,394.8997,-16.9026,33.6,401.5266,-11.4225,51.2597,402.3255,-54.4542,25.9806,364.9081,-80.9937,15.9104,387.2471,-103.8812,10.9434,404.3494,-64.8636,9.1017,401.7383,-88.7657,15.0207,412.1959,-104.3196,28.0809,406.8566,-60.677,22.2879,412.1593,-87.3788,25.5208,423.9873,-105.7191,34.2714,418.6899,-52.9286,36.6835,418.1367,-77.6123,38.7963,429.5174,-96.0589,46.3903,422.9558,-40.1664,49.7267,426.28,-61.0376,48.6135,443.6736,-79.0034,48.5612,444.7814
-8.7976,50.7978,340.0071,-13.15,40.8625,331.7098,-26.8182,0.5351,386.8037,-21.3995,18.5259,396.1829,-16.4629,34.6423,402.499,-10.812,52.2602,402.9579,-53.2135,26.0114,365.7707,-79.2476,16.3609,387.9041,-102.2794,11.6987,404.8982,-64.1027,10.1367,402.6377,-86.9899,16.0306,412.3575,-102.3509,28.9009,406.0808,-60.2931,23.5769,412.8712,-86.767,27.015,424.2305,-104.9738,35.6088,418.2588,-52.6358,37.7009,418.3515,-77.2937,39.786,429.1576,-95.6822,47.0018,422.0306,-39.6385,50.8978,427.0981,-60.6568,49.9043,444.6995,-78.6271,49.6353,445.6977
-5.0705,50.0468,339.5963,-8.9038,39.7564,331.4776,-21.8349,0.2226,387.3196,-17.267,18.6273,396.3419,-13.0606,35.0688,402.3404,-8.1089,52.9015,402.4582,-49.0054,25.5986,365.9957,-75.149,16.3687,388.4992,-98.2106,11.6819,405.4461,-59.5315,10.1471,403.2131,-83.0901,16.3495,413.1457,-98.3847,29.0318,406.3461,-56.3685,23.5672,413.169,-83.1492,26.9506,424.694,-101.3744,35.3319,418.4813,-49.1951,37.8977,418.2035,-73.7926,39.8234,429.0017,-92.2183,46.73,421.6674,-35.9734,51.5045,427.2713,-56.1519,50.4928,445.2401,-74.1004,49.9463,446.4856
-2.7219,49.5335,339.0321,-6.5624,39.235,330.9272,-18.8356,-0.4571,386.8053,-14.2981,17.9583,395.8211,-10.1352,34.4134,401.8128,-5.281,52.2728,401.9204,-46.0052,24.6449,365.6603,-71.5721,15.1875,388.1745,-94.4015,10.3,405.3772,-56.1957,9.0068,403.1144,-79.3267,14.8663,413.212,-94.6934,27.4504,406.3925,-53.1069,22.5871,412.8017,-79.5161,25.7371,424.3569,-97.8402,33.9833,418.2555,-46.1595,36.8212,418.0334,-70.6938,38.461,429.0803,-89.2224,45.2245,421.873,-32.2829,50.3048,427.5242,-51.8012,48.8821,446.0319,-69.7033,48.1082,447.7391
-0.2607,48.7464,337.5539,-4.0715,38.5346,329.3262,-15.2621,-2.1893,384.6868,-10.8382,16.1313,393.9487,-6.7997,32.5361,400.1596,-2.1517,50.4474,400.5026,-43.3271,23.5563,364.6753,-69.004,13.7591,387.797,-91.536,8.5904,405.3069,-52.8792,7.1583,401.9662,-76.6802,13.0727,412.8992,-92.1523,25.6951,406.396,-50.0496,21.1846,411.7328,-77.2501,24.69,424.0695,-95.6463,32.9438,418.1997,-42.8253,34.7926,417.2517,-67.6118,36.3452,429.0115,-86.2561,43.2256,422.2254,-28.9262,48.4699,426.9751,-48.4847,47.0253,446.313,-66.3303,46.1702,448.505
1.4341,47.7617,334.9065,-2.7958,38.0918,326.2406,-12.8384,-5.5853,379.5315,-7.837,12.1116,389.6707,-3.3482,28.0764,396.6691,1.5854,45.8734,397.878,-41.6403,21.1635,361.7683,-67.285,9.9876,385.2232,-89.1107,3.9539,403.3403,-49.5776,2.7611,398.7772,-72.7143,8.0173,410.8973,-88.5105,20.9909,406.0839,-46.1793,15.8257,409.6207,-72.7964,18.4039,423.47,-91.4584,27.1818,419.5101,-38.1606,29.8403,416.2391,-62.1368,31.0552,429.7176,-81.1128,38.7692,425.0909,-23.7199,42.5166,425.9361,-42.3021,40.0517,446.5397,-59.8995,39.5042,450.2859
1.5609,48.1747,331.5867,-3.5142,39.4208,322.4154,-13.3008,-7.837,372.6089,-7.0,8.7593,383.8278,-1.4341,23.902,391.8102,4.4085,41.3073,394.1465,-41.8105,20.6463,358.1843,-67.3079,8.1464,381.999,-88.4126,0.5173,400.3671,-49.4878,-0.3993,394.4349,-72.7552,4.3829,408.4685,-88.8218,17.6014,405.616,-44.5016,11.9797,406.7603,-70.9689,14.2525,422.9452,-89.9049,23.2851,422.0271,-35.6801,25.3456,414.087,-59.8313,26.3636,429.7972,-78.9672,34.8159,427.96,-19.6044,37.3568,423.8628,-37.4224,34.4254,445.9128,-54.3423,34.2886,452.0527
2.0379,49.7621,327.6075,-4.0693,42.1269,318.0732,-13.6884,-8.7332,364.6477,-5.7783,6.4588,376.7982,1.1255,20.5266,385.6545,8.1099,37.3226,389.068,-41.6436,21.3435,353.6065,-66.7001,7.484,377.302,-87.5567,-2.2993,394.917,-48.5394,-2.709,389.3795,-71.1295,1.1959,405.4103,-87.4303,14.3821,406.596,-41.887,8.0486,403.1099,-67.7287,9.1863,421.9403,-86.6111,18.0376,424.4116,-31.6884,20.5195,411.204,-55.2212,20.5144,429.5272,-74.1702,29.4488,430.9801,-13.7051,32.0557,420.6286,-29.9995,28.1217,444.2024,-45.8752,28.0632,452.6852
4.0738,52.5315,323.2788,-2.9403,46.2719,313.3733,-12.7092,-8.8308,354.8067,-3.3529,4.5637,367.9994,4.7613,17.2467,377.8637,12.8052,33.2253,382.6086,-40.9216,23.9799,347.8636,-66.3641,9.0473,370.9676,-88.9577,-1.343,385.8864,-45.6135,-5.2994,384.027,-67.5849,-2.9414,403.5384,-83.8622,8.4849,410.2829,-36.865,3.8974,398.2765,-61.0798,3.4159,420.1538,-79.2608,11.8225,426.461,-25.4426,15.7426,406.9665,-47.2885,14.6548,428.016,-65.5275,23.8783,432.8396,-6.1809,25.4621,415.5279,-20.3799,19.6563,440.1469,-34.911,19.2332,450.7614
6.4554,55.4929,319.9532,-1.6953,50.9069,310.0016,-11.8318,-8.2692,345.2706,-0.6307,2.8487,359.1243,9.0317,13.7427,369.7054,18.446,28.5391,375.6193,-39.9648,27.2131,342.7404,-65.4407,11.4402,364.5346,-89.368,1.3121,377.415,-41.8298,-8.0609,377.6627,-61.8617,-7.9218,399.2933,-77.1668,1.3666,410.2696,-31.3735,-0.951,392.0676,-53.6103,-3.6994,415.8961,-70.7887,3.8575,425.3191,-18.7398,9.618,401.0494,-38.874,6.6277,423.7736,-56.0685,15.571,431.8585,2.2327,17.4189,409.0243,-9.8863,9.1068,433.9937,-23.0942,7.6323,446.1336
9.6084,58.6302,317.6277,0.6209,55.7286,307.7634,-9.7665,-7.3055,335.463,2.8097,1.4257,349.8368,13.6253,10.4342,361.056,24.0569,23.9502,368.1998,-37.5913,30.4822,339.0809,-62.9277,13.7427,359.8459,-87.5599,4.4271,371.9899,-38.0002,-10.8692,369.7836,-57.0798,-13.2774,392.9766,-71.1867,-6.1876,406.8233,-26.0519,-6.028,383.9461,-46.9613,-11.428,408.6573,-62.9717,-5.3937,420.8332,-12.1325,3.059,393.747,-30.8814,-2.3093,417.5424,-46.8877,5.6946,428.5304,9.9449,8.8844,401.1279,-0.6254,-2.4003,425.792,-12.6606,-5.142,438.893
13.4326,63.8654,316.7363,3.5288,62.6364,307.414,-7.4627,-3.1409,327.439,6.6623,3.1278,341.6583,18.7851,10.1575,352.9553,30.3979,22.2123,360.852,-33.9277,35.6448,337.8577,-58.6596,17.8228,357.959,-83.2248,9.1793,370.72,-33.0668,-11.6925,362.8871,-50.3566,-17.4673,386.8242,-63.11,-12.8887,402.8675,-19.6654,-8.2179,376.7802,-38.7533,-16.4437,402.2441,-53.4172,-12.2101,416.6679,-4.8544,-0.9907,386.4196,-22.1306,-9.1381,410.8761,-36.8105,-2.5369,424.3641,18.2542,3.3795,392.5815,9.1616,-10.7214,416.3386,-1.7886,-14.7728,430.0381
18.757,69.6867,317.1996,8.0335,70.0788,308.7526,-4.3694,2.667,321.0115,11.225,6.4568,334.5561,24.6105,11.4642,345.4993,37.4383,21.921,353.7843,-28.7698,41.8547,338.1755,-52.8527,23.3856,357.429,-76.8326,15.2017,371.5352,-28.2202,-9.4757,356.2569,-44.1943,-17.6084,379.8626,-55.7013,-14.7604,397.1969,-13.5207,-7.8992,369.5632,-31.4162,-18.281,394.8794,-44.9526,-15.4966,410.6912,2.8513,-3.058,378.8313,-13.0214,-13.6516,403.1461,-26.4024,-8.5465,418.5046,26.1697,-0.1336,383.9706,17.6986,-16.7131,406.6633,7.4757,-22.0551,420.4819
24.7267,74.8011,318.7136,13.6796,76.5594,310.8797,-0.646,8.5706,315.4358,15.6305,10.1839,328.6068,29.6368,13.3927,339.4477,43.1733,22.3506,348.3391,-22.7426,47.1551,339.5024,-46.5427,27.9409,358.2059,-69.3348,19.0895,373.7999,-23.7883,-5.6472,350.5417,-39.3439,-15.2041,374.1389,-49.7784,-13.53,392.2861,-7.9879,-6.2344,363.1961,-24.9904,-18.0536,388.0965,-37.5073,-16.487,404.8856,8.5489,-3.1908,372.1108,-6.801,-15.2619,395.8861,-19.1353,-11.306,412.4153,32.6674,-2.551,376.1793,24.808,-21.1794,397.006,15.018,-27.538,410.7072
30.0643,79.0732,320.586,18.632,81.961,313.6967,1.757,14.41,312.946,18.8811,14.1844,325.0998,33.6629,15.8479,335.2354,48.0972,23.4317,343.9918,-17.2843,51.7546,341.7165,-40.6326,32.1182,359.9314,-62.3526,22.6198,376.6354,-20.515,-1.0755,347.4145,-35.266,-11.3317,370.2433,-44.7552,-10.7262,388.9673,-4.0762,-3.379,359.1973,-20.5038,-15.9469,383.5967,-32.1757,-15.2623,401.0409,13.202,-2.5943,367.1177,-1.6492,-15.9802,390.2587,-13.0391,-13.0475,407.656,37.1778,-3.0113,370.4493,28.9818,-22.8589,390.3077,19.4363,-29.8467,403.8744
34.6596,81.6297,322.0447,23.2083,85.3315,315.59,4.1218,18.5475,310.6833,21.4409,16.9683,322.4543,36.4455,17.4822,332.384,51.2722,24.0035,341.3382,-12.3393,54.4112,343.1111,-35.3927,34.3587,360.9592,-56.3902,24.1762,378.1761,-18.0505,2.6226,345.0048,-32.7317,-7.9219,367.7305,-41.8049,-7.9599,386.6692,-1.5739,-0.9848,356.1634,-18.0038,-13.8013,380.2278,-29.3155,-13.3303,397.9146,15.7629,-1.6674,363.743,0.741,-15.5758,386.5192,-10.2476,-13.054,404.2362,39.7541,-3.3432,366.5721,31.1116,-23.8628,385.5064,21.4513,-31.1539,398.8301
