j0_x,j0_y,j0_z,j1_x,j1_y,j1_z,j2_x,j2_y,j2_z,j3_x,j3_y,j3_z,j4_x,j4_y,j4_z,j5_x,j5_y,j5_z,j6_x,j6_y,j6_z,j7_x,j7_y,j7_z,j8_x,j8_y,j8_z,j9_x,j9_y,j9_z,j10_x,j10_y,j10_z,j11_x,j11_y,j11_z,j12_x,j12_y,j12_z,j13_x,j13_y,j13_z,j14_x,j14_y,j14_z,j15_x,j15_y,j15_z,j16_x,j16_y,j16_z,j17_x,j17_y,j17_z,j18_x,j18_y,j18_z,j19_x,j19_y,j19_z,j20_x,j20_y,j20_z
-81.6045,151.2697,371.794,-89.71,149.4474,360.8904,-110.989,85.0071,386.6881,-98.3659,94.0165,402.2922,-88.4446,101.9568,413.5847,-76.9873,116.5404,420.503,-122.1572,120.0474,387.3342,-146.4654,98.0222,407.1448,-164.4096,79.782,420.7939,-134.0112,68.6836,419.3152,-149.7433,57.5291,441.6107,-165.0857,66.1686,454.8005,-125.9083,77.9412,438.398,-144.9107,66.8503,463.3085,-159.6213,78.356,472.9114,-115.0695,88.4405,447.7789,-135.0778,78.2831,473.4754,-153.6306,86.4136,479.0149,-97.0035,102.913,451.2349,-112.1953,92.5701,474.5596,-130.9138,97.7777,482.5282
-86.245,148.0786,373.0189,-94.4241,146.8944,362.0823,-116.1484,81.3938,384.6342,-103.362,89.4722,400.6106,-93.3098,96.73,412.2415,-81.6846,110.8349,419.8389,-125.8946,117.023,388.3069,-149.3053,94.8018,407.8153,-166.9484,75.6109,420.5209,-138.8222,66.0582,417.765,-154.2486,55.6244,440.3059,-169.2392,64.4527,453.7723,-131.2862,75.6854,436.4214,-150.2273,66.3338,460.712,-164.3978,78.3666,470.4798,-119.783,84.0251,446.0716,-139.4697,74.5772,471.2292,-157.6107,83.1763,477.3901,-102.4763,98.0861,449.7496,-118.0948,88.5093,472.2181,-136.6056,94.1233,480.3933
-84.6635,148.1704,372.5309,-93.0822,147.9389,361.7151,-116.8322,82.0451,380.8151,-103.458,88.6858,396.9716,-92.9268,94.8663,408.7993,-80.6412,108.0604,416.972,-124.8946,118.4727,388.2824,-148.6176,96.4994,408.0941,-168.1351,78.7949,420.2027,-138.5291,65.6632,414.498,-153.4124,54.4257,437.6034,-167.5128,62.2962,452.5445,-131.2734,74.4747,433.088,-150.2751,64.7666,457.7605,-163.464,76.2075,469.4292,-119.0159,82.0888,443.0828,-138.4656,72.563,468.6414,-155.976,81.1539,476.4249,-101.4687,96.2477,447.0034,-117.0555,87.4073,469.4781,-134.8363,92.8388,479.2424
-83.645,148.5375,372.8072,-92.8066,149.5248,362.6583,-119.4416,84.1174,379.4904,-104.5457,88.8632,394.969,-92.8168,93.6058,406.3242,-79.138,105.4628,414.3314,-125.4173,120.6986,388.8157,-149.7073,99.2275,408.299,-172.5615,84.8588,418.8928,-140.2863,65.6265,412.3885,-154.5204,52.9999,434.8534,-167.8073,59.9977,450.9309,-131.59,74.5193,431.3829,-149.9859,64.7624,456.1521,-162.2536,75.5919,469.3136,-118.7019,80.6711,441.0295,-138.0843,70.9857,467.0164,-154.9115,79.2239,476.5021,-100.4331,94.5115,444.5114,-116.4079,86.2963,467.1513,-133.1609,91.5253,478.6837
-84.5486,148.3554,372.3213,-93.7472,149.5282,362.2258,-120.4286,83.8906,378.0584,-105.4656,88.3511,393.5571,-93.6853,92.8829,404.9452,-79.9559,104.5812,413.0978,-125.8618,120.4205,388.5623,-149.7585,98.7613,408.1594,-172.2643,84.2191,419.2504,-140.7308,64.8719,411.2564,-154.6673,51.8165,434.0451,-167.9417,58.3765,450.3165,-132.6545,73.743,429.9433,-151.2121,63.7724,454.7784,-163.4325,74.1821,468.3172,-119.8216,79.6644,439.5194,-139.4346,69.7451,465.4643,-156.2237,77.4797,475.4293,-100.8648,93.9438,443.5843,-116.5313,85.9735,466.4272,-133.0401,90.8341,478.4619
-86.5738,146.6153,371.1208,-95.887,147.8324,361.1363,-120.9879,81.2558,375.5711,-105.9855,85.6634,391.0469,-94.2038,90.1729,402.4423,-80.6589,101.9672,410.7637,-125.9644,117.0206,387.5511,-148.2727,94.1675,407.1429,-167.8865,77.2014,420.1217,-140.5949,62.6343,409.296,-154.0241,49.8801,432.3948,-167.1895,56.7842,448.6122,-132.4439,71.1938,427.9344,-150.4733,61.3339,453.0706,-162.6273,71.3331,466.9737,-119.3256,77.1957,437.7958,-138.1638,67.4644,464.3063,-154.8351,74.8158,474.7479,-101.2062,91.5145,441.2743,-116.53,83.7191,464.0287,-132.7338,88.1612,476.6265
-85.9147,142.5667,370.5227,-95.4067,144.1338,360.7577,-120.1236,77.0001,373.1271,-104.8558,80.8621,388.4888,-92.8812,84.9708,399.8346,-79.2119,96.4788,408.351,-124.672,112.8977,387.198,-146.3059,89.8068,406.7435,-165.2989,72.4415,420.1119,-138.9881,58.957,407.7407,-151.9512,46.5583,431.5261,-164.4534,53.4372,448.2705,-130.5191,66.9872,426.1805,-148.0142,57.5285,451.8755,-159.8625,66.5935,466.6555,-117.4243,73.3857,435.4104,-135.659,64.7783,461.8419,-151.8283,71.186,473.6102,-99.4205,86.8436,438.8376,-114.358,79.7216,461.3723,-130.0889,84.0005,474.6097
-80.5979,139.8585,370.953,-90.7312,141.9149,361.9532,-116.2123,75.0849,374.4164,-99.7728,78.1652,388.7082,-86.9024,81.679,399.2442,-72.3566,92.6226,407.0203,-119.2198,109.9492,388.6851,-140.337,86.2546,408.5001,-159.0518,69.1194,422.5407,-133.2789,57.1552,409.7408,-144.9396,44.9048,433.8761,-156.5827,52.1965,451.0595,-124.4436,65.3657,427.0995,-141.1522,56.6972,453.1003,-152.53,65.5193,468.388,-110.7085,70.9936,435.6514,-128.4105,63.048,462.7236,-144.0117,68.8815,475.5131,-92.3124,84.1099,437.8524,-107.0227,77.8347,460.5801,-122.0779,82.5851,474.4283
-75.8238,133.1641,370.6489,-86.1465,135.5503,361.9508,-112.7166,69.1187,374.2691,-95.8402,71.666,388.1508,-82.6215,74.7706,398.3795,-67.6421,85.303,405.8962,-113.7582,104.5999,389.827,-134.0547,81.8494,410.3178,-152.9324,65.4749,425.0321,-127.993,52.5637,411.1878,-138.4619,41.2184,436.4883,-149.0029,49.4913,453.9367,-118.0055,60.6588,428.2013,-132.8974,53.2635,455.1094,-143.6438,61.8109,470.9982,-104.2225,66.2761,436.0909,-120.1335,60.0192,463.8686,-134.9358,65.3155,477.7913,-86.0667,78.3301,437.451,-99.4926,73.249,460.4448,-113.5799,78.3118,475.173
-75.013,128.8947,370.9987,-85.4794,131.8817,362.6656,-114.1691,66.1803,374.1149,-96.8252,67.7473,387.5586,-83.2166,70.0995,397.472,-67.6467,79.8767,404.8067,-112.8607,100.2968,390.9898,-133.1623,76.8784,411.9905,-152.4005,60.8377,426.6052,-128.9799,49.7233,411.473,-139.1764,38.3934,437.1924,-148.7896,47.3155,454.8554,-117.4581,57.171,428.7163,-131.377,50.0363,456.4811,-141.4246,58.5106,472.8589,-104.2157,62.2481,435.8409,-119.7291,56.4478,464.1864,-133.8349,61.5189,478.894,-85.7357,74.0294,436.5611,-98.8572,69.7878,459.5954,-112.2237,75.4774,474.76
