j0_x,j0_y,j0_z,j1_x,j1_y,j1_z,j2_x,j2_y,j2_z,j3_x,j3_y,j3_z,j4_x,j4_y,j4_z,j5_x,j5_y,j5_z,j6_x,j6_y,j6_z,j7_x,j7_y,j7_z,j8_x,j8_y,j8_z,j9_x,j9_y,j9_z,j10_x,j10_y,j10_z,j11_x,j11_y,j11_z,j12_x,j12_y,j12_z,j13_x,j13_y,j13_z,j14_x,j14_y,j14_z,j15_x,j15_y,j15_z,j16_x,j16_y,j16_z,j17_x,j17_y,j17_z,j18_x,j18_y,j18_z,j19_x,j19_y,j19_z,j20_x,j20_y,j20_z
1.3476,64.7444,380.6109,-11.8459,61.2558,380.1004,3.6526,-1.8741,405.058,22.3123,7.6792,406.3021,37.4725,17.3781,406.6189,49.2386,31.5062,404.4995,-25.9147,37.6846,425.6573,-34.7032,22.96,454.1162,-46.1937,11.8219,478.3012,7.467,-0.9021,448.0389,9.9397,-0.272,475.9019,11.4222,8.9267,494.7217,26.4064,9.6281,446.3188,28.992,10.8589,471.591,22.1426,27.9837,481.6323,47.6696,7.9046,440.9011,42.8067,18.9742,460.4668,32.5263,36.041,467.1029,60.2068,22.8777,433.2962,51.5956,29.2456,448.9901,37.4992,39.9061,452.4025
-2.2113,62.2967,381.3361,-15.4918,59.124,381.0912,-0.908,-4.7023,404.7974,17.9962,4.395,405.7297,33.3845,13.7326,405.82,45.4281,27.612,403.6173,-27.926,36.7322,427.6947,-35.6912,22.7485,456.7987,-45.0853,12.1872,482.1208,4.9137,-2.2349,446.9784,8.6248,-0.662,473.8665,10.842,10.0774,491.776,26.702,1.0747,444.6293,27.8965,8.1378,468.5811,20.7377,26.6063,475.5572,44.5616,4.2252,439.786,39.1338,17.2378,457.9577,28.5434,34.9654,461.7754,57.3759,17.6068,431.5663,47.7886,25.1303,446.1429,33.8306,36.3484,447.9673
-3.9449,59.6564,382.3266,-17.2868,56.7426,382.2942,-3.4337,-7.9659,403.9591,15.6598,0.7445,404.7106,31.2253,9.7842,404.7057,43.4857,23.4884,402.6048,-29.0771,34.6851,428.9213,-36.3819,21.0193,457.8093,-43.1615,10.5638,483.9955,2.9294,-5.0664,445.7444,6.9453,-3.2365,472.1156,9.4462,8.3719,489.4359,24.9335,-5.8532,443.0573,24.2262,4.7984,465.6636,16.6196,24.0715,469.0821,42.8222,-0.9696,438.1551,36.7467,13.0675,455.3321,25.8916,31.0046,456.5267,54.9343,12.5684,430.42,44.3313,21.1343,443.6564,30.6638,32.8464,443.82
-4.6915,58.0251,382.9245,-18.0817,55.3575,383.2181,-4.8804,-9.7369,404.1206,14.3845,-1.3843,404.4333,30.1097,7.3675,404.0828,42.5644,20.8574,401.751,-29.1431,34.0908,430.3902,-35.9966,20.9142,459.6176,-39.7466,10.252,486.3245,2.7925,-5.1219,445.4448,7.6205,-2.218,471.447,10.7858,10.3507,487.97,25.2373,-8.855,442.2011,24.7649,3.9914,463.6427,17.3732,23.6178,464.7237,42.7441,-5.054,436.5648,36.1957,10.392,452.2981,25.3272,28.247,450.2787,54.2077,9.7342,429.4043,43.4934,19.2838,441.8546,30.296,31.3603,439.8581
-4.9759,56.2474,383.6568,-18.3709,53.5892,383.7284,-5.5852,-11.3979,405.2147,13.6769,-3.055,405.822,29.4119,5.6855,405.7017,41.915,19.1553,403.5167,-29.2651,33.5168,431.3777,-35.9999,21.108,460.8346,-37.3815,10.2539,487.6912,2.5193,-6.5446,445.9983,7.5399,-3.5382,471.2627,10.7488,10.1817,486.834,24.2741,-10.6199,443.6436,23.5537,3.3284,464.3783,16.3152,23.0318,463.7613,40.6346,-4.1999,439.5444,32.873,12.7028,453.0742,21.9545,30.0783,448.6157,52.3287,9.0378,432.0332,41.0455,19.5951,443.0891,28.3441,31.6399,438.894
-4.7932,56.1362,383.6997,-18.1605,53.3706,383.2906,-5.6614,-11.4211,405.523,13.4988,-2.9209,406.8007,29.1581,5.9455,407.2198,41.6264,19.5062,405.4357,-28.6534,34.0171,431.6835,-35.2038,21.9353,461.8936,-35.4282,10.8251,488.68,2.387,-6.5236,446.4666,7.4013,-3.4724,471.9751,10.5705,10.9716,486.8857,24.5713,-9.7286,444.63,24.5,4.2344,465.3672,17.3377,23.9234,463.9378,39.0783,-1.0694,442.1681,30.1984,17.1272,453.0782,19.27,34.0706,447.2053,51.8378,10.0068,434.2366,40.3858,21.712,443.8718,28.2495,33.7174,438.1638
-4.1461,56.0675,384.0057,-17.4892,53.4177,382.8069,-6.7544,-11.752,404.8554,12.3663,-3.4271,407.3238,28.0431,5.3037,408.7422,40.694,18.7826,407.8428,-27.5721,34.2998,431.2216,-33.8394,22.4165,461.3156,-33.5356,10.7641,487.8698,2.0671,-7.3392,446.1903,7.6599,-4.5415,472.3964,11.4362,10.2546,486.8122,23.1446,-11.3469,445.0213,24.1318,2.4567,465.8416,18.3151,22.5871,464.4514,34.6914,1.157,444.903,25.0181,20.5714,452.5523,14.8256,37.8747,446.4118,47.0669,10.0039,437.948,35.1751,22.942,445.1724,24.4307,35.3844,437.8413
-1.4393,54.9449,383.5953,-14.7114,52.6934,381.2974,-7.7442,-12.7947,403.9076,11.3466,-5.0437,407.9653,27.1045,3.2166,410.6959,40.1778,16.3157,410.8864,-25.7334,34.1977,430.0953,-32.6486,22.5935,460.7111,-32.8236,10.293,486.9726,-0.1653,-9.1332,446.2428,4.7483,-6.7593,473.6897,8.4343,8.2396,487.9181,21.3645,-13.9945,445.6419,23.5841,-0.1017,466.3073,19.6614,20.4734,464.7981,31.0262,0.8141,447.409,21.4117,20.8478,453.3429,12.0193,38.7063,447.5242,42.546,9.1851,441.9918,31.0053,23.2853,447.3766,21.8647,36.1525,438.7229
2.5974,54.5559,381.4065,-10.6028,52.6751,378.4544,-7.1205,-12.2964,403.2545,11.9825,-5.0603,408.124,27.848,2.7544,411.4732,41.3373,15.4151,412.0041,-22.7582,34.7206,427.0291,-30.3528,23.5025,457.3786,-32.9686,12.097,483.9129,-2.5457,-9.8799,446.9405,0.4956,-8.2735,475.9819,2.4935,6.7083,490.5611,18.6875,-14.2437,446.4738,21.1545,-2.2164,468.2513,19.352,18.675,467.1099,29.5672,-0.4601,448.2932,20.1161,19.2631,455.4116,11.276,37.5954,450.2371,41.3088,8.3462,443.2136,29.8818,22.0537,449.7351,21.4248,35.2968,440.9545
5.9691,53.7408,378.7691,-7.1342,52.4385,375.1491,-8.4755,-11.692,402.2406,10.6966,-5.2806,407.9261,26.7534,1.8206,411.8948,40.8523,13.7795,412.7582,-21.6304,36.441,424.0499,-30.7561,26.3703,454.834,-36.7181,16.2911,481.3644,-7.4321,-10.1493,446.5323,-6.7319,-9.114,476.2589,-5.9561,5.9945,490.8236,13.6158,-15.4646,446.4977,15.8671,-5.915,469.4919,16.5747,15.0716,469.7407,27.7369,-2.6475,448.6109,19.6877,16.6846,458.1228,12.1241,35.6255,453.1193,38.7518,6.8062,443.9185,27.8749,19.8499,452.4364,20.4703,33.5146,443.3564
