j0_x,j0_y,j0_z,j1_x,j1_y,j1_z,j2_x,j2_y,j2_z,j3_x,j3_y,j3_z,j4_x,j4_y,j4_z,j5_x,j5_y,j5_z,j6_x,j6_y,j6_z,j7_x,j7_y,j7_z,j8_x,j8_y,j8_z,j9_x,j9_y,j9_z,j10_x,j10_y,j10_z,j11_x,j11_y,j11_z,j12_x,j12_y,j12_z,j13_x,j13_y,j13_z,j14_x,j14_y,j14_z,j15_x,j15_y,j15_z,j16_x,j16_y,j16_z,j17_x,j17_y,j17_z,j18_x,j18_y,j18_z,j19_x,j19_y,j19_z,j20_x,j20_y,j20_z
3.9117,15.7245,329.3974,-9.7498,15.8793,321.5228,-30.0905,-50.3716,358.9805,-11.5408,-47.5487,370.467,4.8569,-40.0617,376.4719,18.8113,-35.7475,383.292,-50.4699,-16.2422,341.0534,-75.9476,-36.3399,353.2732,-89.7832,-57.8241,364.719,-41.1263,-70.3835,394.2187,-51.4182,-73.6882,420.0481,-59.4901,-61.1507,433.3768,-24.0319,-57.508,416.7897,-34.6882,-30.9298,425.7365,-36.683,-10.2494,413.7224,-6.0092,-47.6664,418.4254,-17.7005,-25.438,430.8033,-23.2573,-2.2993,423.1404,6.1341,-27.4058,413.0089,-1.9289,-22.1003,431.9094,-13.4076,-3.4394,433.9122
3.6657,13.1733,326.1079,-10.3264,13.5929,318.8471,-30.2814,-52.2249,357.2635,-11.1881,-49.7618,367.9115,5.604,-42.5959,373.1721,19.9295,-38.5537,379.3602,-50.387,-18.8652,339.0354,-75.4177,-39.1456,351.6494,-89.8311,-60.785,362.0412,-39.5502,-74.9681,391.3345,-49.2749,-76.4281,417.5509,-56.4662,-63.4406,430.9529,-21.6859,-58.768,414.9188,-31.5191,-32.0005,424.2358,-33.7668,-11.4167,412.1009,-3.2254,-50.6218,415.5233,-14.2051,-28.116,428.0507,-19.8445,-5.041,420.257,8.8647,-29.9153,409.3787,1.8994,-24.4775,428.2752,-9.245,-5.603,430.1612
2.7456,11.6986,323.5622,-11.3658,11.94,316.5278,-30.6043,-52.9889,356.7784,-11.3393,-50.2664,367.0473,5.5299,-42.9684,371.8609,19.9518,-38.7738,377.7146,-51.022,-20.467,337.669,-75.8241,-40.7354,350.8913,-90.2064,-62.4447,361.1798,-39.7876,-74.955,391.3784,-49.1629,-74.8736,417.762,-55.6668,-60.9433,430.5545,-20.7808,-58.5648,414.4075,-30.8593,-31.7093,423.1942,-33.4893,-11.6721,410.2484,-2.3493,-48.9235,414.7381,-13.2278,-25.7484,426.0772,-19.1806,-3.1575,417.177,8.9195,-28.5742,407.1185,2.0128,-22.1888,425.5267,-8.874,-3.0776,426.014
0.0813,11.6664,321.7276,-14.0664,11.7136,314.7624,-32.4038,-53.1761,355.4941,-13.1189,-50.1847,365.6502,3.694,-42.6767,370.336,18.0984,-38.292,376.0926,-52.5333,-21.6876,336.6105,-76.6092,-42.5929,350.2849,-89.2106,-65.0236,361.3333,-41.5562,-74.9866,390.2005,-50.345,-73.1316,416.7207,-55.5676,-57.5851,428.1676,-20.4155,-57.7459,413.5103,-30.4499,-30.9386,422.4926,-33.6468,-11.5266,408.7465,-3.2698,-47.665,413.4941,-13.8634,-23.975,424.0088,-19.8163,-1.7564,414.216,7.6416,-26.6594,404.9048,1.169,-19.459,422.7392,-9.3392,-0.1694,421.5185
-1.8782,12.4194,321.1895,-16.0251,12.2401,314.2249,-32.8318,-53.6585,353.9856,-13.6192,-50.3694,364.1863,3.0153,-42.5416,368.9843,17.3151,-37.908,374.8064,-53.4886,-22.4063,335.4336,-76.8232,-43.9862,348.6436,-86.2379,-66.8696,361.7475,-41.9217,-75.6767,388.5771,-50.3298,-72.1012,415.0444,-54.7715,-55.7621,425.689,-20.557,-57.2314,412.2048,-30.4747,-30.1631,420.5081,-33.5838,-11.2547,406.058,-3.5587,-47.1293,412.2479,-14.4555,-22.8567,420.9716,-20.4962,-1.3114,409.8222,6.0988,-25.6275,403.1685,-0.876,-17.9909,420.8054,-11.0782,1.2872,417.9296
-2.9808,13.3025,321.0192,-17.0049,12.8704,313.8213,-32.4815,-54.3849,351.8107,-13.5373,-50.7715,362.3965,2.7812,-42.5739,367.6413,16.8445,-37.66,373.7997,-53.8177,-22.7652,334.0018,-76.6192,-44.8374,346.5014,-82.7051,-67.7562,361.3908,-42.4319,-75.992,386.4246,-50.614,-71.7789,412.869,-54.2634,-55.1132,423.3063,-20.4907,-57.2382,410.4676,-30.0955,-29.7908,417.8426,-32.9399,-11.1588,402.9846,-4.0656,-46.6186,410.9167,-15.1541,-22.0236,418.409,-21.1231,-0.8593,406.5159,5.1987,-25.66,401.5327,-1.8642,-18.3824,418.3522,-11.5635,0.9464,414.312
-3.7954,14.3121,320.9732,-17.8401,14.0081,313.8088,-32.8579,-54.3528,349.9647,-13.8984,-50.9377,360.5888,2.3954,-42.8056,366.0093,16.4535,-37.9925,372.2587,-56.8426,-20.8391,330.8229,-76.6241,-45.1386,344.0223,-81.129,-68.2594,359.1594,-43.0944,-76.4396,384.1902,-50.8679,-71.6625,410.6619,-53.8172,-54.8227,421.0408,-20.857,-56.9938,408.7126,-30.1423,-29.2535,415.3655,-32.7635,-10.8255,400.215,-4.5557,-47.1773,409.2362,-15.3998,-22.3447,416.2896,-20.9834,-1.2551,404.081,4.4818,-26.1943,399.786,-2.7278,-19.0891,416.3634,-11.6588,0.4778,411.7405
-3.5733,14.6708,321.0946,-17.6662,14.5462,314.0202,-32.2249,-54.9657,348.1104,-13.2028,-51.8241,358.7071,3.1032,-43.8131,364.2694,17.1894,-39.1529,370.5711,-56.8995,-20.8356,329.3131,-76.4093,-45.7048,341.8387,-80.0862,-69.0654,356.8308,-43.5479,-78.055,381.3169,-51.6166,-72.7206,407.5931,-54.2384,-55.8137,417.9509,-21.2891,-57.7098,406.6755,-30.5266,-29.8976,413.0902,-32.638,-11.552,397.7611,-5.2092,-48.2755,407.246,-16.0587,-23.4056,414.1581,-21.0401,-2.2725,401.7656,3.9686,-27.4587,398.0353,-4.1593,-20.2694,414.9197,-12.3937,-0.4908,409.9197
-4.0831,15.3874,321.0371,-18.1062,15.351,313.8243,-32.5019,-55.1202,345.9579,-13.605,-52.126,356.818,2.59,-44.1517,362.7451,16.582,-39.5613,369.3029,-58.6889,-19.356,326.9952,-76.5782,-45.349,339.6576,-79.3392,-69.0819,354.2564,-43.8544,-78.9803,378.6047,-51.7409,-73.7319,404.9535,-54.109,-56.8646,415.4362,-21.773,-57.8862,404.7878,-30.9071,-30.0688,411.327,-32.843,-11.8719,395.7988,-5.7987,-48.856,405.6811,-16.4898,-23.8563,412.368,-21.241,-2.7475,399.8444,3.435,-27.8771,396.533,-4.552,-20.7787,413.0756,-12.4322,-0.906,407.8818
-4.4379,17.3457,320.4981,-18.5563,18.4737,313.5648,-36.0141,-53.1221,341.4082,-16.8209,-51.7806,352.0769,-0.1498,-45.0223,358.1923,14.159,-41.5676,364.7629,-61.2609,-14.4037,324.537,-80.2883,-40.2562,335.7445,-83.6881,-64.7178,348.938,-49.4038,-79.9206,370.8455,-57.5657,-76.205,397.3706,-59.0965,-59.9947,408.9844,-25.5216,-62.0562,399.1907,-33.4588,-34.3989,407.6805,-34.215,-15.305,393.1598,-8.8269,-53.3327,400.5201,-18.6598,-28.4727,408.8444,-22.2388,-6.6776,397.1327,1.1304,-32.296,393.0384,-6.8127,-26.6434,410.2768,-13.7012,-6.2316,405.8152
