j0_x,j0_y,j0_z,j1_x,j1_y,j1_z,j2_x,j2_y,j2_z,j3_x,j3_y,j3_z,j4_x,j4_y,j4_z,j5_x,j5_y,j5_z,j6_x,j6_y,j6_z,j7_x,j7_y,j7_z,j8_x,j8_y,j8_z,j9_x,j9_y,j9_z,j10_x,j10_y,j10_z,j11_x,j11_y,j11_z,j12_x,j12_y,j12_z,j13_x,j13_y,j13_z,j14_x,j14_y,j14_z,j15_x,j15_y,j15_z,j16_x,j16_y,j16_z,j17_x,j17_y,j17_z,j18_x,j18_y,j18_z,j19_x,j19_y,j19_z,j20_x,j20_y,j20_z
54.5156,54.5516,262.2084,43.5649,58.8477,255.1704,1.2276,12.3285,291.4247,21.146,11.0086,300.6723,36.9323,10.8306,306.9778,55.9902,16.0396,308.1937,6.8135,46.3316,295.4798,-22.4374,36.3699,327.5626,-41.7131,32.903,348.9502,-20.9734,5.459,328.2167,-36.2932,0.7188,353.605,-43.0216,11.3778,371.6359,0.2866,-13.7816,340.4562,-15.0143,-31.966,369.639,-24.109,-24.5824,387.068,18.7963,-12.6226,344.1571,4.7093,-30.8396,373.0357,-8.2172,-24.5309,388.3362,41.2416,1.5832,343.0843,29.7681,-9.6632,370.2272,17.6459,-5.0364,386.7392
54.3841,45.2704,256.9039,43.5175,49.8021,249.8832,0.3291,3.828,285.8276,20.2128,2.0995,295.0823,35.988,1.6035,301.3987,55.1343,6.4657,302.6602,7.0893,38.106,290.4708,-21.8479,28.8151,322.7119,-40.7547,25.5278,344.4542,-20.4543,-1.1684,323.5474,-34.7368,-4.6019,349.4687,-40.1396,7.7179,366.8766,-0.8338,-22.7144,334.7915,-16.2799,-40.9252,363.9341,-25.0043,-33.8167,381.6642,17.9812,-21.9042,338.4401,4.0199,-40.1306,367.1596,-8.5747,-33.9849,382.7995,40.5356,-8.4387,337.4442,29.1756,-20.0366,364.5114,17.3427,-15.2851,381.197
54.251,36.9106,252.351,43.4313,42.0228,245.6645,-0.8947,-2.4702,282.0848,19.1115,-5.2177,290.8142,34.9982,-6.5087,296.7255,54.3696,-2.5274,297.5686,6.8599,31.8065,286.6555,-22.2206,23.6828,319.2505,-40.9842,20.851,341.1801,-21.1263,-7.652,320.2447,-35.0815,-11.2263,346.5664,-39.741,1.7862,363.6825,-2.1719,-29.7295,330.6288,-17.8007,-47.7288,359.8653,-26.0809,-40.9489,377.9338,16.438,-30.3091,333.6216,1.9986,-48.8252,362.3257,-10.2,-43.0333,378.4082,39.6856,-17.3981,332.4773,28.2364,-28.9929,359.6958,16.8433,-24.2376,376.6836
53.2078,28.0383,247.8579,42.4089,33.111,241.108,-2.008,-11.3023,277.515,17.9659,-13.9905,286.3364,33.8301,-15.2382,292.3174,53.1927,-11.2284,293.2245,5.45,22.5727,281.6055,-23.9248,14.1968,313.7929,-42.9185,11.0245,335.4764,-21.7805,-17.0046,315.9115,-35.4404,-20.944,342.4379,-40.4134,-7.5924,359.2011,-3.9036,-38.0645,326.1821,-19.9797,-55.761,355.4722,-28.4602,-49.1048,373.4937,14.794,-38.7279,329.4609,-0.0607,-57.058,358.4458,-12.4336,-51.5027,374.4785,38.3343,-25.9359,328.1031,26.7531,-37.3996,355.2889,15.3156,-32.5618,372.2235
53.4632,18.5889,244.0907,42.6422,23.6189,237.3444,-1.4633,-21.6673,273.0478,18.4965,-24.237,281.9361,34.3447,-25.3795,287.9799,53.6583,-21.1716,289.0247,5.9093,12.3998,277.6245,-23.2325,3.4991,309.5805,-42.1624,0.0171,331.2724,-21.2246,-27.7045,311.4351,-34.8877,-31.8787,337.9764,-40.2509,-18.6926,354.7502,-3.6378,-48.7169,321.5228,-19.9366,-66.7429,350.6729,-28.525,-60.1429,368.6639,15.2859,-48.7654,325.0779,0.4289,-66.9956,353.9971,-12.1207,-61.4343,369.8899,38.0521,-35.8442,323.7638,25.8596,-47.3073,350.9038,14.182,-42.1598,367.5812
54.3537,8.9393,239.75,43.4519,13.8958,233.0798,-0.0702,-31.8216,268.949,19.9629,-34.2485,277.7116,35.8559,-35.2755,283.6577,55.1408,-30.9135,284.5957,7.0682,2.7769,273.6232,-21.7789,-6.0389,305.7683,-40.4842,-9.3061,327.6872,-18.6778,-37.8784,307.7516,-31.4987,-42.0516,334.4869,-36.3865,-26.9774,349.7472,-1.9715,-57.9679,317.5151,-18.0495,-75.3543,346.6913,-26.5566,-68.4504,364.6068,16.7717,-58.0978,320.9912,1.9107,-75.8696,350.0629,-10.5772,-70.2374,365.9793,39.9516,-45.0581,319.7512,28.0825,-56.1108,347.2222,16.4466,-51.0536,363.9562
54.5207,0.3216,235.2683,43.542,4.8577,228.4272,0.6638,-39.76,266.3953,20.7498,-41.5728,275.1854,36.6713,-42.1571,281.1153,55.9066,-37.5361,281.7965,7.426,-4.489,269.6818,-21.2156,-11.9014,302.3985,-39.7404,-13.901,324.6209,-17.0992,-44.0373,305.66,-29.291,-46.9731,332.6097,-33.4706,-29.1514,344.8129,-0.9854,-63.582,316.0748,-16.9193,-79.7168,346.0505,-25.4892,-71.8062,363.5142,17.7775,-64.1879,319.2024,3.0355,-81.3776,348.9201,-9.5144,-75.3978,364.66,40.6305,-51.4259,317.1407,28.6736,-62.2977,344.8054,16.9131,-56.9461,361.3599
53.2785,-8.097,231.298,42.2889,-4.4376,223.9669,-0.0404,-46.6298,265.1849,19.9643,-47.1872,274.3227,35.8153,-46.8696,280.4582,54.9275,-41.7416,280.9501,6.3824,-11.1741,266.1402,-22.1457,-16.5264,299.6474,-40.3318,-17.2618,322.2244,-17.2696,-48.9097,305.0132,-29.1399,-50.4805,332.4534,-33.3172,-30.8229,341.4047,-1.2365,-66.1866,316.9998,-16.7864,-80.1219,348.3015,-25.5337,-70.877,365.0053,17.2531,-66.1152,320.3479,2.7432,-81.1592,351.5293,-10.0011,-74.0552,366.6329,39.6596,-53.4157,317.1619,27.6974,-62.5622,345.5332,15.7496,-56.0685,361.5358
52.3169,-15.7028,229.0097,41.3098,-12.719,221.404,-0.5183,-52.9537,265.021,19.436,-52.5636,274.277,35.2404,-51.5675,280.4599,54.255,-46.0728,280.7196,5.8008,-17.5374,264.2662,-22.4327,-21.3687,298.3464,-40.1234,-21.5793,321.3246,-17.3289,-54.1353,305.4135,-29.0014,-54.9557,333.4604,-33.5813,-34.5931,340.4165,-1.326,-68.409,318.5001,-16.569,-80.0424,350.9676,-25.2905,-69.5595,366.9377,17.2596,-67.1432,322.0191,3.2296,-79.2965,354.4465,-9.5953,-70.9801,368.8466,38.9723,-54.9435,317.6458,27.0096,-61.8872,346.5503,14.9712,-54.1105,361.8995
50.2937,-21.3914,226.9641,39.1932,-18.707,219.3823,-2.0629,-57.2946,264.987,17.9993,-56.5375,273.9835,33.8747,-55.2947,279.9356,52.8839,-49.7783,279.7606,4.411,-21.9467,262.9384,-23.2348,-24.5218,297.5579,-40.4259,-24.0141,320.9076,-18.0755,-57.6734,305.6682,-29.1814,-57.9361,333.8834,-33.9526,-37.1408,339.249,-2.4744,-70.0537,318.9852,-17.4792,-79.9595,351.9662,-26.0609,-68.5492,367.3662,15.9559,-68.5959,322.359,1.9652,-78.9812,355.4825,-10.8016,-69.8397,369.4267,37.9015,-57.0902,317.2994,26.149,-62.8258,346.7455,14.1891,-54.3571,361.7869
