j0_x,j0_y,j0_z,j1_x,j1_y,j1_z,j2_x,j2_y,j2_z,j3_x,j3_y,j3_z,j4_x,j4_y,j4_z,j5_x,j5_y,j5_z,j6_x,j6_y,j6_z,j7_x,j7_y,j7_z,j8_x,j8_y,j8_z,j9_x,j9_y,j9_z,j10_x,j10_y,j10_z,j11_x,j11_y,j11_z,j12_x,j12_y,j12_z,j13_x,j13_y,j13_z,j14_x,j14_y,j14_z,j15_x,j15_y,j15_z,j16_x,j16_y,j16_z,j17_x,j17_y,j17_z,j18_x,j18_y,j18_z,j19_x,j19_y,j19_z,j20_x,j20_y,j20_z
-14.7584,143.5494,335.4863,-21.4812,139.1601,324.4393,-35.5889,79.0523,356.6339,-26.4212,89.8939,372.1069,-18.3453,100.5833,384.1284,-9.9392,115.2892,391.5857,-56.7229,113.2418,353.6008,-78.3309,97.3503,371.4808,-91.9348,82.1573,392.0989,-51.1417,61.4106,387.7447,-64.556,66.6372,403.0332,-78.0914,75.3723,416.5051,-54.3647,89.9987,405.9731,-74.0094,90.0723,429.7817,-89.445,94.8038,443.2113,-47.1744,104.5653,412.0854,-67.2351,107.3362,431.5392,-83.0186,113.983,443.6926,-37.0538,117.2166,413.298,-55.2877,118.5127,427.8989,-71.7687,125.4082,430.0963
-13.0861,144.3824,330.3514,-20.0476,140.4169,319.2919,-32.3819,78.6309,348.9369,-22.9482,88.8691,364.659,-14.6991,99.1019,376.957,-6.3048,113.5683,384.8813,-57.5289,113.3962,343.5451,-80.2214,97.037,358.2287,-89.9065,82.9698,381.6662,-48.2335,58.0429,378.0206,-61.6225,65.4918,392.3819,-74.8341,74.9457,405.6889,-50.9373,88.6668,398.0334,-70.4517,88.5258,421.3025,-85.757,93.0819,434.9404,-43.8481,101.8226,404.3439,-63.9868,103.7023,423.2652,-79.6965,110.0243,435.6844,-33.3984,114.3395,406.9093,-51.7043,114.8606,421.7926,-68.2228,121.3227,424.8554
-10.0164,142.3464,325.003,-16.3974,138.5061,313.556,-27.9484,75.505,340.8671,-19.4852,85.5467,357.2542,-12.0671,95.6505,370.1726,-4.4621,110.1205,378.8513,-56.1071,112.1838,335.1,-80.2298,96.1937,348.1875,-89.4463,82.8761,372.2436,-45.7754,54.7336,368.6474,-59.2992,62.3853,382.7739,-72.2756,73.1152,395.323,-48.2449,84.3247,390.2017,-68.3898,83.4688,413.28,-83.8651,87.4484,426.9063,-41.5297,97.4068,397.5177,-61.9659,98.6251,416.4851,-77.9951,104.0974,428.8996,-31.1639,110.365,400.734,-48.9511,110.5279,415.311,-65.4869,116.1047,419.7232
-4.253,137.4494,319.6766,-10.607,133.9084,308.1186,-24.0662,70.9133,334.556,-15.5247,80.5421,351.149,-7.9888,90.3001,364.2636,-0.1084,104.4671,373.1929,-52.1971,108.834,328.0578,-77.6352,93.4975,340.2534,-90.0286,81.0023,363.3028,-42.6669,48.7358,360.6935,-56.639,56.0236,374.574,-69.6399,67.5759,386.3435,-44.2205,77.1656,384.2662,-64.4146,74.7895,407.5718,-79.6186,77.2664,421.8441,-37.9111,89.7466,391.972,-58.9635,89.3572,411.4669,-75.0423,93.4521,424.3394,-26.9809,103.4298,396.0714,-45.3679,102.72,411.7256,-61.535,107.1082,418.311
2.663,132.0507,315.1047,-3.99,128.6264,303.6805,-19.1168,66.3442,330.8939,-9.9941,75.8221,347.2629,-1.9278,85.4334,360.1686,6.5627,99.4039,368.8446,-45.7883,102.6318,322.0859,-71.3965,86.7059,333.3621,-88.3101,72.7379,352.3312,-37.0314,42.7258,356.2364,-51.7405,49.9872,369.348,-65.453,61.6548,380.1569,-38.6846,69.7668,380.4147,-59.0176,65.4753,403.9094,-74.1007,66.5052,418.4847,-31.4396,81.8756,388.74,-52.4296,79.3451,409.0611,-68.4852,82.1429,422.3046,-20.2708,97.5897,392.9404,-39.0837,96.3178,409.8339,-55.0198,99.8622,417.4154
12.2192,123.6728,310.8262,6.337,119.5727,299.2034,-10.4306,58.842,328.8528,-2.4199,69.2787,345.2206,4.7639,79.6472,358.0614,12.6409,94.1317,366.4692,-36.4146,93.9446,317.1803,-62.9624,78.0301,328.3435,-86.8662,64.1587,337.1294,-29.936,36.6844,354.3396,-46.1313,42.1056,366.5594,-61.2398,53.5948,375.5446,-32.2726,60.8234,377.6448,-53.7144,54.7504,400.9336,-69.3328,54.3739,414.9665,-25.2626,73.9207,386.5392,-46.8886,69.7963,407.0498,-63.4342,71.5327,419.8648,-14.7664,91.5381,390.355,-34.1639,89.7025,407.2601,-50.135,92.076,415.2156
22.9328,116.1043,308.3674,17.7331,111.4609,296.6242,-0.4117,51.9678,327.9259,6.6179,63.1632,344.243,13.021,74.1311,356.9986,20.3479,89.0222,365.1905,-25.881,86.4392,314.6477,-53.3058,70.7053,325.981,-79.5081,58.3839,327.6011,-21.3121,30.5522,352.9368,-38.5872,33.262,364.5655,-55.1379,43.6537,372.2524,-23.4464,51.1628,375.8692,-45.2083,42.4765,398.7617,-61.1749,40.4798,412.2553,-17.1983,66.0345,385.4354,-39.1994,60.1399,406.1387,-55.9638,60.4904,418.7812,-7.8362,85.4265,388.9635,-28.0997,82.8413,406.0554,-43.9536,84.0771,414.489
31.1215,111.2378,306.0323,26.0158,106.451,294.3055,7.7103,47.3024,326.1615,14.6033,58.6963,342.3992,20.8969,69.8205,355.0738,28.1436,84.8157,363.1463,-17.0287,80.7278,312.9075,-44.1492,64.5207,324.6277,-70.1719,51.8165,326.1844,-14.3792,26.3452,350.5306,-30.8995,24.0919,363.2978,-47.6208,33.9834,371.2701,-14.7783,44.4955,374.144,-36.1603,34.1611,397.2458,-51.9293,31.2094,410.7967,-8.5666,60.1535,383.9601,-30.0626,53.1006,405.0349,-46.6936,52.7653,417.8528,0.5204,80.141,387.4848,-19.3723,76.7745,405.0121,-35.0639,77.4209,413.8073
38.4844,106.2881,303.9046,33.9239,101.055,292.1438,16.1784,42.2478,324.9352,22.1841,54.2512,341.0861,27.7219,65.8756,353.664,34.2638,81.2767,361.5728,-8.321,74.3203,311.1447,-34.9365,57.4766,323.1159,-59.9493,43.3532,327.1023,-8.7066,23.8046,349.1236,-22.3536,13.6902,362.3885,-39.6472,23.3013,369.4282,-7.8638,40.0918,372.4963,-29.8108,29.7497,395.4384,-45.4692,26.413,409.0282,-1.9233,55.6627,382.1894,-23.5565,48.21,403.0053,-40.1134,47.3623,415.8951,6.1025,76.1829,385.4017,-14.2426,72.503,402.6169,-30.0354,72.7806,411.2489
47.062,101.5323,303.1819,43.4066,95.7377,291.3684,25.2175,37.6727,325.2222,29.8493,50.4342,341.2438,34.2529,62.6721,353.6874,39.8531,78.5407,361.392,1.0755,68.1496,309.6297,-25.7769,50.6494,321.2137,-50.2689,35.5415,324.8042,0.0143,16.4168,348.2531,-14.5136,4.1641,361.529,-32.6866,13.4773,366.4286,-1.0387,35.9607,371.7144,-23.6089,25.3847,393.9797,-39.6112,21.8363,407.1073,3.509,52.1928,381.1922,-19.0055,44.5186,401.3345,-35.9549,43.2266,413.6653,10.4661,73.3015,383.705,-10.7791,69.5138,399.8361,-26.9033,69.2821,407.8334
