j0_x,j0_y,j0_z,j1_x,j1_y,j1_z,j2_x,j2_y,j2_z,j3_x,j3_y,j3_z,j4_x,j4_y,j4_z,j5_x,j5_y,j5_z,j6_x,j6_y,j6_z,j7_x,j7_y,j7_z,j8_x,j8_y,j8_z,j9_x,j9_y,j9_z,j10_x,j10_y,j10_z,j11_x,j11_y,j11_z,j12_x,j12_y,j12_z,j13_x,j13_y,j13_z,j14_x,j14_y,j14_z,j15_x,j15_y,j15_z,j16_x,j16_y,j16_z,j17_x,j17_y,j17_z,j18_x,j18_y,j18_z,j19_x,j19_y,j19_z,j20_x,j20_y,j20_z
112.3982,102.2542,257.4959,108.5877,95.3323,246.484,81.2866,46.4238,286.0447,86.053,59.4573,301.8057,91.814,73.2143,311.8831,99.6317,89.7137,315.8118,59.3361,76.6766,263.0226,22.7744,62.8277,275.3,-1.345,51.7959,280.3553,67.9038,16.13,319.7982,59.7351,-2.361,340.401,42.0268,-10.4787,350.6246,57.7228,36.8605,336.616,40.4559,23.088,357.8326,19.8444,30.5958,359.5048,60.8711,53.2333,343.2461,39.6058,39.5016,364.7999,19.0039,40.2281,368.8037,75.7121,74.4078,351.2483,59.3735,63.9528,375.4538,42.9291,60.0475,381.6451
118.2218,106.2777,258.0223,113.4986,99.2259,247.4555,89.3472,50.9855,289.7876,95.4335,64.2078,304.9246,102.0491,78.0721,314.3063,110.2214,94.5857,317.3544,65.4931,82.356,269.6311,29.6984,69.7772,286.1661,6.0995,60.0389,294.9556,77.871,22.2535,325.3281,70.908,4.8209,346.8916,53.074,-1.5492,358.0885,70.5466,42.5911,342.937,55.3447,29.3869,366.1564,35.162,37.3158,369.8699,73.9222,60.498,348.8225,54.8247,48.5656,372.2582,34.4995,50.9058,376.9919,87.22,82.2703,354.0163,71.6749,73.9473,378.7936,54.6364,71.7452,384.1638
123.3209,109.8322,258.3994,116.8018,103.0589,248.6363,96.2892,56.0979,294.2031,105.1206,68.953,308.2656,113.7049,82.4307,316.5517,123.0835,98.482,318.3337,71.4955,88.2258,277.374,37.6367,77.1405,298.8505,15.1119,68.8251,311.1991,88.2065,28.2605,331.3805,83.2987,11.3573,353.955,66.3715,6.5898,367.174,84.5022,48.7269,349.552,71.8778,36.3428,374.8311,52.7345,45.1849,381.1041,89.917,66.6999,354.9516,73.7798,56.0285,381.0012,54.3506,59.8694,387.9836,102.9896,88.6324,356.816,89.5866,82.0625,382.4844,72.5835,81.5824,388.372
127.9232,111.51,260.126,119.902,104.9409,251.3966,103.5824,59.3234,299.9265,114.7129,71.9056,312.5281,124.868,85.0694,319.4266,135.0655,100.712,319.7363,78.1508,93.3434,286.5421,46.8921,84.6605,312.8551,25.9917,77.7425,328.4856,99.0241,32.8174,338.7711,96.2458,16.6622,362.4466,80.6634,13.6415,377.6803,98.8623,53.6965,356.7995,89.1445,42.5328,383.9419,71.6797,52.5892,392.7652,105.8061,71.6904,361.0655,92.9141,62.6419,389.227,74.9259,68.1108,398.5818,120.17,92.6708,360.7905,110.2648,87.3237,388.0904,94.1715,88.0236,396.1224
133.2033,113.5851,263.8111,123.9164,107.3959,256.1207,110.3986,63.3982,306.9529,123.5368,75.453,318.0466,135.1189,88.0778,323.5664,146.1672,103.0961,322.4874,85.7911,99.0341,296.2834,57.1628,92.7553,326.4415,37.7925,87.5362,344.5122,108.6079,38.122,346.7692,107.5184,22.7445,370.9926,93.3268,21.425,387.7514,111.6657,59.0723,364.2163,104.3922,49.0357,392.5049,88.8182,60.2944,403.2144,120.5411,76.6037,367.4171,110.7053,68.8621,397.0037,94.3811,75.7481,408.2777,135.8731,96.3829,365.06,129.0466,91.9311,393.2919,114.1296,93.719,403.2059
138.4825,116.6474,269.2403,128.2931,110.8093,262.4736,116.4828,68.8641,315.4223,131.0937,80.4209,325.1156,143.7446,92.5017,329.3593,155.4707,106.8446,327.0011,93.3092,106.2838,306.0193,67.0268,102.8839,338.7339,49.1169,99.4088,358.6378,116.2592,45.0393,356.1387,116.1233,30.5555,380.8915,103.2131,30.6247,398.7051,122.0392,66.2766,372.6203,116.4952,57.6163,401.7065,102.6225,69.9752,413.488,132.1167,83.1069,374.5607,124.272,76.7688,405.0555,109.4202,84.8523,417.5087,148.1043,102.3335,370.3756,143.2313,99.3493,399.0691,129.4286,102.2068,410.2637
142.47,121.2207,275.9182,131.6312,115.658,269.9793,121.0138,76.259,325.0922,136.7065,87.4146,333.4763,150.1457,98.9967,336.5167,162.3776,112.6476,332.9374,99.1013,114.2923,315.658,74.6445,113.2654,350.0005,57.8562,111.4013,371.0642,122.0969,53.901,366.7785,122.7586,40.2401,392.249,110.9897,41.7915,410.7716,130.077,74.9925,381.9851,126.0012,67.3554,411.8083,113.6026,80.7744,424.0641,140.8749,91.9982,382.7184,134.6156,87.2732,413.9117,121.0041,96.5597,426.9304,157.1574,109.8501,377.0678,153.6744,107.9836,406.5118,140.8504,111.8862,418.5249
146.6278,126.2121,283.9459,135.2365,120.9495,278.8235,125.8089,84.3464,336.0404,142.4334,95.0529,343.1111,156.5403,106.0808,344.9498,169.1798,118.9677,340.1592,105.3841,123.6994,326.2804,82.9284,125.7679,361.9784,67.1873,125.7066,383.915,127.6131,64.3158,378.6129,128.7064,52.1791,404.4081,117.9858,55.221,423.3769,137.7995,85.5862,392.4817,134.9531,79.7713,422.8073,123.9227,94.1939,435.2298,149.3703,102.1478,391.8727,144.5305,99.493,423.5454,132.1757,109.9537,436.922,166.5618,118.4738,384.3404,164.8282,118.1468,413.5972,153.0569,123.0764,426.2911
149.4409,131.4593,292.1093,137.5829,126.5774,287.7219,128.9868,92.9075,346.8395,146.423,103.035,352.7059,161.1242,113.3949,353.4459,174.1503,125.4097,347.5516,110.4855,133.0878,336.4422,90.1036,137.9848,373.0881,75.4405,139.7531,395.6905,131.7775,74.1926,390.1292,133.4783,62.7868,416.5119,123.9157,67.1913,435.8292,143.866,96.0637,402.5361,142.3008,91.7961,433.0405,132.7144,107.3054,445.3517,156.4734,111.2882,400.792,153.3349,109.8665,432.7426,142.2719,121.4852,446.2932,173.2256,127.0593,391.8013,172.6128,128.1526,421.1279,161.7757,134.2804,434.1281
151.8662,137.0978,300.2676,139.6456,132.5943,296.5167,131.8557,101.643,357.2108,149.932,111.1865,362.024,165.0914,120.8894,361.8093,178.3965,132.0657,354.9651,115.0239,142.9409,346.0815,96.4602,150.7418,383.4512,82.9463,154.3261,406.5494,135.4308,84.4297,401.0494,137.6087,73.9436,427.7553,129.2884,79.6757,447.298,148.9381,105.8212,412.1145,148.3296,102.5361,442.7847,140.3111,119.0076,454.9663,162.7177,120.6568,409.2798,161.1195,120.5002,441.2417,151.4975,133.3272,454.8022,180.1497,134.9646,398.8533,181.3024,136.8705,427.7096,171.5883,144.1502,441.0003
