j0_x,j0_y,j0_z,j1_x,j1_y,j1_z,j2_x,j2_y,j2_z,j3_x,j3_y,j3_z,j4_x,j4_y,j4_z,j5_x,j5_y,j5_z,j6_x,j6_y,j6_z,j7_x,j7_y,j7_z,j8_x,j8_y,j8_z,j9_x,j9_y,j9_z,j10_x,j10_y,j10_z,j11_x,j11_y,j11_z,j12_x,j12_y,j12_z,j13_x,j13_y,j13_z,j14_x,j14_y,j14_z,j15_x,j15_y,j15_z,j16_x,j16_y,j16_z,j17_x,j17_y,j17_z,j18_x,j18_y,j18_z,j19_x,j19_y,j19_z,j20_x,j20_y,j20_z
-42.1007,32.2034,311.7986,-37.0974,31.2831,298.4609,-18.3648,-37.8612,309.9103,-28.8635,-33.3682,328.7143,-37.302,-27.3211,342.1763,-45.8751,-19.2497,354.5459,-71.5076,-17.4378,298.6727,-95.2151,-51.0051,298.8187,-110.2157,-74.5609,300.845,-48.2065,-81.6696,320.2204,-67.4248,-95.7782,322.978,-86.909,-100.2899,323.0786,-66.3011,-75.4012,333.9422,-84.8994,-96.2825,336.5393,-102.1786,-109.6537,339.1163,-68.265,-65.3459,349.9154,-86.3039,-87.4989,354.4242,-103.5872,-100.9516,352.3476,-69.3445,-51.3521,364.1943,-81.8769,-68.4945,369.3464,-93.9326,-81.7083,367.3326
-45.9675,34.7672,325.8499,-41.074,33.3919,312.5107,-22.4952,-35.4111,326.0718,-32.8278,-30.2653,344.8004,-41.1372,-23.7488,358.1229,-49.5829,-15.2443,370.2883,-76.0356,-15.1127,316.869,-100.2569,-48.7165,319.8883,-115.1517,-72.1601,323.4296,-56.0613,-75.8874,338.3599,-73.8867,-91.2731,343.0004,-93.4044,-95.4764,344.1801,-71.5309,-70.6175,352.9188,-90.7254,-90.6299,356.945,-107.7346,-103.9708,361.0328,-73.0916,-60.0655,368.6046,-91.5995,-81.1001,374.6756,-108.8357,-94.7544,373.9892,-73.5091,-46.2679,381.7784,-86.213,-62.7402,387.8792,-98.4422,-75.9038,386.799
-50.1412,37.2182,341.427,-45.7917,35.3568,327.9589,-25.7742,-32.6249,343.4739,-35.3813,-26.8385,362.4006,-43.2106,-19.8796,375.79,-51.2502,-10.983,387.9502,-79.8001,-12.9474,338.0217,-103.3508,-46.3979,344.9902,-116.6459,-70.1104,351.6952,-60.2659,-71.0357,359.315,-77.7011,-86.1719,365.8655,-97.0428,-90.3117,368.8252,-74.0323,-65.9035,374.7163,-93.0103,-85.0849,380.7634,-109.2804,-98.6034,386.8075,-75.0251,-54.8497,389.4596,-93.2403,-74.8717,397.2861,-110.1641,-88.8811,398.436,-74.306,-41.7001,402.2284,-86.6589,-58.1579,409.8785,-98.8687,-71.3791,410.2276
-52.5211,39.3939,358.811,-48.4343,37.0755,345.3316,-26.8192,-29.8695,363.0538,-36.1147,-23.5059,381.9509,-43.7765,-16.1598,395.2298,-51.7115,-6.9304,407.2094,-81.3218,-10.227,361.4724,-104.0566,-42.9268,372.6303,-117.3946,-66.1207,380.885,-63.5796,-64.9754,382.1401,-80.2743,-80.9186,390.8081,-99.2244,-85.0626,395.6785,-75.0927,-60.4339,398.4771,-94.082,-78.4246,406.5284,-109.4919,-91.992,414.4317,-75.309,-49.0555,412.7976,-93.0742,-67.5888,422.6951,-109.5942,-81.775,425.8323,-74.1074,-36.1053,424.7402,-85.936,-51.5141,433.9991,-98.1102,-64.6266,435.9615
-52.975,42.6215,374.3694,-48.5218,39.7445,361.1155,-26.2365,-25.898,382.5016,-36.0958,-18.8183,400.8502,-44.2011,-10.9928,413.5807,-52.579,-1.3524,424.9177,-81.2762,-6.7088,381.0943,-104.0896,-39.0634,395.0094,-117.5991,-61.7622,404.2971,-64.1017,-59.2942,403.8321,-81.9047,-74.9961,413.8611,-100.6962,-78.9455,419.4541,-75.8901,-53.4045,420.4579,-95.3574,-70.324,430.0499,-110.57,-83.4061,439.074,-76.6992,-42.0594,433.1474,-95.1639,-59.7108,444.2649,-111.5204,-73.7766,448.5793,-75.5542,-28.4578,444.4391,-87.531,-42.5875,454.6153,-99.823,-55.3835,457.6431
-52.8893,45.6092,386.6098,-48.3522,42.0515,373.5511,-24.9252,-21.822,398.7361,-34.9566,-13.8736,416.63,-43.2343,-5.4739,428.8744,-51.8142,4.6516,439.6222,-80.0351,-3.5964,396.7266,-102.0852,-35.3655,412.8559,-115.3126,-57.7205,423.3102,-62.6295,-54.0928,422.0034,-80.3601,-69.2683,432.945,-99.0075,-73.2395,438.987,-74.3446,-47.2959,438.553,-93.465,-63.5204,449.1952,-108.4524,-76.2572,459.0517,-75.5982,-34.7853,450.468,-93.731,-51.2077,462.5664,-109.8129,-65.2268,467.9364,-75.1975,-20.4208,461.0592,-87.2997,-33.3973,472.1541,-99.5474,-46.002,476.042
-51.9426,47.7678,393.6478,-47.6624,43.86,380.6025,-23.6115,-19.268,407.0476,-33.296,-10.8462,424.9161,-41.3417,-2.1256,437.0906,-49.7229,8.2788,447.7282,-78.743,-1.2792,405.6003,-100.386,-32.7118,423.0075,-113.4751,-54.9131,433.9517,-61.6926,-50.1515,431.5364,-79.5926,-64.6683,443.0473,-98.154,-68.6113,449.3663,-72.5091,-43.8601,447.5131,-91.4374,-59.796,458.4207,-106.2606,-72.4137,468.6709,-73.8784,-30.9561,459.0042,-92.0843,-47.0882,471.2659,-107.9854,-61.1116,477.1394,-73.4229,-16.4577,469.296,-85.7278,-29.3008,480.4939,-97.9394,-41.8264,484.7351
-50.96,49.057,394.819,-46.3933,45.3291,381.8183,-21.4319,-17.4575,408.2324,-31.5723,-9.3632,425.9991,-39.9913,-0.897,438.1005,-48.757,9.256,448.6709,-76.9363,0.3736,407.6931,-98.1891,-30.9078,425.6976,-111.0659,-53.165,436.7796,-59.3509,-48.7168,432.9609,-77.4104,-63.6046,444.7382,-95.8223,-67.6839,451.3987,-70.7964,-41.9539,449.1738,-89.7254,-57.6817,460.3576,-104.3587,-70.3671,470.7953,-71.8923,-29.2483,461.266,-89.643,-45.0239,474.156,-105.3715,-59.132,480.2858,-71.6768,-15.1553,471.2507,-83.5006,-27.7484,482.8991,-95.5723,-40.3375,487.3477
-49.101,48.7077,390.1532,-44.332,45.2881,377.1404,-18.5319,-17.4978,402.7377,-29.0016,-9.8947,420.5304,-37.6971,-1.7906,432.684,-46.7535,8.0202,443.3323,-74.5936,-0.7486,401.5917,-95.6804,-32.8277,418.6297,-108.2732,-55.5845,429.0004,-56.3245,-49.8598,426.2914,-74.3629,-65.3062,437.5336,-92.7651,-69.7541,443.9816,-67.743,-43.7103,442.778,-86.4547,-60.043,453.5235,-100.951,-73.1935,463.5695,-69.4189,-31.6408,454.6926,-87.2636,-48.4327,467.0733,-102.7767,-62.9715,472.7272,-68.8864,-17.0829,465.4986,-80.1102,-29.8129,476.7394,-91.848,-42.7724,481.0146
-47.8652,45.5146,378.5691,-42.4419,42.6882,365.6706,-15.9743,-20.2354,390.2267,-27.4175,-13.5541,407.7885,-36.8598,-6.1247,419.8154,-46.6465,3.053,430.3815,-72.6794,-4.6238,387.4923,-93.7367,-37.5719,402.689,-105.8834,-61.044,411.9364,-52.7778,-55.2639,411.5741,-70.411,-72.0467,421.802,-89.0364,-77.0617,427.0881,-65.5776,-49.6227,427.7806,-84.1754,-67.2012,437.5241,-99.0436,-80.8842,446.2253,-68.3502,-37.8552,440.2391,-86.3313,-55.9734,451.9011,-101.9287,-70.9034,456.122,-68.8298,-23.7222,451.3518,-80.4416,-37.7378,462.3287,-91.7839,-51.312,465.6593
