j0_x,j0_y,j0_z,j1_x,j1_y,j1_z,j2_x,j2_y,j2_z,j3_x,j3_y,j3_z,j4_x,j4_y,j4_z,j5_x,j5_y,j5_z,j6_x,j6_y,j6_z,j7_x,j7_y,j7_z,j8_x,j8_y,j8_z,j9_x,j9_y,j9_z,j10_x,j10_y,j10_z,j11_x,j11_y,j11_z,j12_x,j12_y,j12_z,j13_x,j13_y,j13_z,j14_x,j14_y,j14_z,j15_x,j15_y,j15_z,j16_x,j16_y,j16_z,j17_x,j17_y,j17_z,j18_x,j18_y,j18_z,j19_x,j19_y,j19_z,j20_x,j20_y,j20_z
86.0243,-19.7691,436.553,81.265,-17.4769,423.6807,99.9383,-85.741,406.0553,104.0326,-86.523,425.6161,105.0214,-79.6614,441.1384,106.9608,-75.3397,457.5905,46.5016,-52.7722,391.6377,48.7125,-86.3603,396.4278,46.2561,-116.2592,396.2687,67.6101,-105.153,432.4004,57.6717,-85.2834,438.3524,56.3856,-67.3366,437.845,68.5564,-105.6158,449.8216,57.2963,-81.3073,453.1846,59.4426,-61.8435,449.1159,74.7778,-97.2975,467.7898,65.5359,-78.7326,471.0961,67.4677,-58.5707,465.5493,88.2596,-87.9704,484.3437,76.3109,-71.9399,483.8425,72.1142,-56.1637,476.2596
83.7386,-23.6365,433.4146,79.4975,-21.129,420.402,99.3816,-88.9188,402.2777,102.6715,-90.049,421.9729,102.9689,-83.4801,437.6496,104.1965,-79.4621,454.2465,46.2318,-56.8222,387.23,48.5117,-90.4053,392.0236,46.8926,-120.3595,392.3828,67.03,-107.9596,428.8638,57.2449,-87.9463,434.584,56.2658,-69.9937,433.72,66.8892,-109.1142,445.7457,55.785,-84.6531,448.4577,58.6533,-65.4082,443.8312,72.0465,-99.9169,464.2885,64.0192,-80.7289,467.184,67.359,-60.8759,461.2087,84.7088,-92.2571,480.3524,73.5865,-75.6349,480.3879,71.0174,-59.5279,472.7746
80.9254,-27.456,429.9466,77.0147,-24.8899,416.8422,97.9095,-92.3962,398.7969,100.6794,-93.6394,418.5651,100.5053,-87.1785,434.2885,101.2563,-83.2678,450.9394,43.6199,-60.3412,383.5408,46.1092,-93.865,388.6353,45.1489,-123.8282,389.7682,64.7535,-109.8298,425.4943,54.3433,-90.2003,431.4366,53.612,-72.2548,430.2438,64.2626,-111.0185,442.6645,53.1212,-86.5377,445.0221,56.4731,-67.5057,439.8698,68.1168,-101.427,460.4412,60.031,-82.3151,463.6589,64.8647,-62.9156,457.2328,80.3361,-94.2096,476.7777,69.8202,-77.2254,477.7537,68.8883,-61.0154,469.9841
79.2428,-31.6129,426.303,75.8979,-28.891,413.074,97.579,-96.1796,395.1432,99.4973,-97.6577,414.996,98.6446,-91.3841,430.7731,98.6775,-87.6715,447.4861,43.104,-64.8459,379.7152,46.0073,-98.2506,385.3451,45.5046,-128.2015,386.9845,64.0719,-113.2095,421.6622,53.2992,-93.7861,427.6353,52.725,-75.8509,426.2209,63.0067,-114.7023,439.2225,52.569,-89.8476,440.7393,56.1937,-70.9736,435.2047,65.706,-105.0372,456.5536,58.0795,-85.7592,459.8991,64.1445,-66.7929,453.2284,77.2108,-99.047,472.6809,67.6369,-81.5172,473.7055,67.8905,-65.2053,466.0991
80.5586,-37.324,422.0521,77.1948,-34.6078,408.8268,98.7627,-101.9363,390.9094,100.7125,-103.4021,410.7601,99.8941,-97.1158,426.5339,99.9597,-93.3909,443.2441,45.533,-71.6849,375.6029,48.3761,-105.0948,381.2324,48.2748,-135.0252,383.2732,65.364,-118.9816,417.555,54.8185,-99.3694,423.3127,54.3927,-81.4446,421.7249,64.1099,-119.7677,435.2839,53.9509,-94.7786,436.4418,57.8194,-76.0468,430.5978,66.6576,-109.5349,452.555,59.833,-89.9496,455.8478,66.6647,-71.3066,449.009,77.7509,-104.0242,468.1179,68.3353,-86.4579,469.7827,69.3001,-70.1102,462.3111
79.9632,-42.0638,419.4089,76.4521,-39.5544,406.181,98.1199,-107.0482,389.0221,100.28,-108.2165,408.8707,99.5972,-101.7042,424.5591,99.8188,-97.7359,441.2118,45.0511,-76.715,372.8033,48.6641,-109.832,379.6011,48.7436,-139.7312,382.0578,65.0328,-123.3237,416.5239,55.5292,-102.9687,421.4591,55.1478,-85.0656,419.6338,63.4485,-123.9571,433.4609,53.6529,-98.8081,434.2196,57.5695,-80.1251,428.2526,65.7974,-113.2011,450.2767,59.2947,-93.4867,453.4482,66.7383,-75.1198,446.5018,77.3749,-108.7495,465.7061,68.1905,-91.0933,467.6823,69.7565,-74.7444,460.3161
80.396,-44.7739,416.7988,77.4101,-42.2814,403.4393,99.6755,-109.8189,387.2445,101.0521,-110.9593,407.1644,99.7586,-104.4231,422.8043,99.3287,-100.4301,439.447,45.6985,-80.7156,371.8452,49.6472,-113.6986,379.093,49.828,-143.5653,381.9128,66.5867,-126.2203,414.6694,56.3187,-106.3119,419.8871,55.9096,-88.4329,417.8443,64.5868,-126.2626,432.563,55.3143,-100.908,432.9716,59.1273,-82.2727,426.7919,66.034,-116.5862,448.3132,59.4202,-96.957,451.7704,67.3354,-78.8319,444.7113,77.6025,-112.5303,464.0754,69.2378,-94.4654,465.996,71.3156,-78.1836,458.6076
81.0322,-47.124,415.1663,78.4895,-44.6322,401.7153,101.1035,-112.2341,386.2903,101.8273,-113.3658,406.2452,100.041,-106.8169,421.8311,99.0787,-102.8128,438.4489,45.8577,-84.3095,372.7002,49.2654,-117.42,379.6339,49.3253,-147.2502,382.8207,68.0827,-127.9073,414.2185,57.0988,-108.5276,419.9439,56.7,-90.6767,417.6664,65.5319,-128.7545,431.8348,55.6593,-103.6325,432.4768,59.3708,-85.0142,426.1852,66.3375,-118.0029,447.8109,59.8214,-98.3828,451.498,68.0933,-80.5158,444.1943,77.4099,-113.9456,463.579,69.6393,-95.6369,465.6783,72.34,-79.5824,457.9998
80.3102,-49.4983,413.657,77.6907,-47.0558,400.2117,99.7107,-114.8953,384.9716,100.567,-115.932,404.9263,98.9375,-109.2923,420.491,98.121,-105.198,437.0946,43.3638,-86.8828,373.4447,46.7811,-119.9548,380.5559,46.5946,-149.7601,383.9629,66.883,-130.0982,413.3831,55.8619,-110.6895,418.9362,55.4018,-92.8745,416.4034,64.6888,-130.2427,431.7023,54.8248,-105.1144,432.2212,58.3418,-86.5857,425.5642,65.687,-119.1048,447.5856,59.6771,-99.3245,451.2759,68.1797,-81.7655,443.5048,76.3502,-114.8384,462.7479,68.8105,-96.4699,465.146,72.1007,-80.755,457.0087
77.2102,-51.8385,412.3647,74.388,-49.3686,398.9656,94.5011,-117.7478,383.5033,95.7207,-118.7543,403.4407,94.5513,-112.0387,419.0142,94.1548,-107.8845,435.6183,37.8464,-89.2574,375.4156,40.4068,-122.5571,381.7854,39.5577,-152.3706,385.0153,62.5796,-131.7658,413.5118,51.469,-112.5361,419.4929,50.9698,-94.7718,416.6326,60.1901,-131.0342,431.6503,50.296,-105.9178,432.174,53.6851,-87.5351,425.0612,61.7217,-121.0803,446.8793,56.1737,-101.1011,450.2038,64.9376,-83.9589,441.8171,72.6419,-115.4433,462.1712,65.5646,-96.8973,464.6126,69.3543,-81.6785,455.7793
