j0_x,j0_y,j0_z,j1_x,j1_y,j1_z,j2_x,j2_y,j2_z,j3_x,j3_y,j3_z,j4_x,j4_y,j4_z,j5_x,j5_y,j5_z,j6_x,j6_y,j6_z,j7_x,j7_y,j7_z,j8_x,j8_y,j8_z,j9_x,j9_y,j9_z,j10_x,j10_y,j10_z,j11_x,j11_y,j11_z,j12_x,j12_y,j12_z,j13_x,j13_y,j13_z,j14_x,j14_y,j14_z,j15_x,j15_y,j15_z,j16_x,j16_y,j16_z,j17_x,j17_y,j17_z,j18_x,j18_y,j18_z,j19_x,j19_y,j19_z,j20_x,j20_y,j20_z
175.4817,40.462,493.4139,159.7654,39.1724,493.5036,163.92,14.9448,568.3485,185.3892,19.5058,566.8419,202.0906,24.9434,559.5965,217.2419,28.9915,555.868,151.2734,57.7585,546.4156,145.776,69.7903,580.6684,166.5875,77.7728,597.6143,175.1918,45.0918,595.3318,182.5215,69.7939,606.2901,186.1549,89.1091,602.586,201.8316,48.428,602.8163,205.2204,77.7833,607.9912,203.4129,100.8255,601.5268,225.6,49.3919,587.6246,230.3784,75.7634,595.7309,227.3216,100.571,595.2373,233.1742,53.5598,572.2559,243.3906,69.314,582.7646,242.8892,90.7112,587.8545
175.3369,39.8236,493.4964,159.6443,38.2779,493.6488,164.4639,14.4163,568.5714,185.8501,19.3213,566.9684,202.4342,25.0024,559.6407,217.5038,29.2826,555.841,151.1836,57.3403,546.4837,145.6956,69.7049,580.7544,166.636,77.7759,597.4983,175.3465,43.5188,596.8312,182.4093,69.1663,605.5673,186.0902,88.4448,601.7216,202.3044,47.3325,603.6512,205.2384,76.8797,607.9355,203.3907,99.9018,601.4112,226.2441,49.1178,587.7038,230.1654,75.9287,594.7605,227.1171,100.7344,594.1414,233.2978,53.7473,571.6894,243.2469,69.1581,581.6726,242.8083,90.5824,586.6533
174.5427,38.2166,493.3997,158.902,36.2123,493.5572,164.4709,12.2771,568.4044,185.7035,17.81,566.8028,202.1091,23.9955,559.4819,217.0444,28.7258,555.6855,151.6559,56.3773,546.1437,146.9578,69.4516,580.2386,168.0829,77.5342,596.7432,175.6372,46.4702,590.6314,183.1433,69.4553,605.5727,186.7979,88.7025,601.5488,202.2801,47.9347,601.7129,205.8211,77.2856,606.8105,203.9371,100.2585,600.1247,226.1294,49.1105,586.4682,230.6095,75.8075,593.6237,227.5665,100.6111,592.9028,232.4477,53.4156,570.788,241.9831,68.6997,580.1371,241.5953,90.1493,585.0117
173.9482,37.7174,493.3665,158.2788,35.9848,493.7391,164.382,12.6958,568.7483,185.6843,17.8457,566.8266,202.0996,23.6749,559.24,217.0646,28.1093,555.2104,151.4632,56.8413,546.1306,147.0425,70.3691,580.1126,168.3258,78.592,596.3423,176.2137,46.308,590.9795,184.0711,69.2438,604.9871,187.6938,88.4617,600.7982,202.0069,50.71,599.2998,206.7189,79.4301,606.5768,204.716,102.3231,599.656,225.0955,50.3564,585.6082,229.7663,76.9778,592.9215,226.6886,101.7709,592.011,232.4762,52.5123,570.7977,242.0242,67.6308,580.4546,241.7062,89.1065,585.2183
173.1921,37.4806,493.7741,157.5555,35.4823,494.1945,164.2575,12.5074,569.2494,185.4636,18.0142,567.2552,201.7567,24.1012,559.6077,216.6329,28.7788,555.525,151.2101,56.2739,546.3795,147.1214,69.6708,580.0044,168.5008,77.9563,596.0753,177.1822,46.0931,590.9047,185.7069,69.2222,604.1852,189.2478,88.4244,599.8564,202.4476,48.8889,601.3036,206.1516,78.2414,606.275,204.1246,101.1247,599.3292,226.2343,48.7881,586.5782,230.7705,75.5247,593.5478,227.6715,100.3144,592.6164,232.3252,53.3634,570.4408,242.0262,68.5619,579.6618,241.7376,90.0813,584.226
172.8901,36.5716,493.1976,157.2948,34.2834,493.6702,164.6703,11.4612,568.7086,185.7637,17.3602,566.6428,201.9156,23.7463,558.9398,216.6888,28.698,554.8067,150.8394,56.1968,546.2085,146.6037,70.5756,580.6823,168.0457,79.053,596.5685,177.2112,46.6002,589.7733,185.7736,70.5915,604.1553,189.1853,89.7822,599.6746,203.43,49.3005,599.3341,207.7577,78.4518,604.9443,205.5851,101.2958,597.9137,226.3164,50.1609,584.2946,232.3903,76.3362,592.1664,229.2182,101.1119,591.1162,232.8424,53.8179,569.7391,243.1269,69.8108,579.2461,242.7797,91.3596,583.6652
173.4316,35.7719,493.1853,157.8094,33.7366,493.8749,165.8186,11.1151,568.909,186.9743,16.6656,566.5374,203.1222,22.7588,558.5927,217.9164,27.4551,554.2421,151.4905,54.9188,546.2434,147.3878,68.6718,580.2447,168.9731,77.1071,595.9585,178.1106,45.5058,589.6499,186.2941,68.5255,603.3291,189.6601,87.7157,598.8116,204.2622,49.3665,598.6743,208.4527,78.5538,604.2008,206.1826,101.3653,597.0958,228.1248,47.8111,584.7319,232.2206,74.8195,590.8776,229.0278,99.592,589.8155,233.9544,52.2597,569.256,244.0483,67.8712,578.7055,243.7476,89.4202,583.1273
173.8811,35.0467,492.5689,158.2406,33.2425,493.4588,166.8177,11.0905,568.5702,188.0211,16.3165,565.9053,204.1589,22.1142,557.7226,218.9661,26.5625,553.1606,151.9971,53.2773,545.9639,147.973,66.1903,579.805,169.6922,74.5784,595.3586,178.6605,44.1796,591.5671,186.3065,68.535,603.0715,189.6258,87.7105,598.458,205.5672,45.6352,601.0272,208.0015,75.4323,603.5183,205.7083,98.2563,596.461,228.5775,47.2393,584.3395,232.1127,74.3905,590.1974,228.8781,99.1545,589.0662,234.1911,51.2376,568.332,243.5869,66.4654,577.6947,243.2636,88.012,582.1263
172.7602,34.0375,492.7187,157.1239,32.2112,493.6376,165.8486,10.2992,568.8024,187.0397,15.5508,566.09,203.156,21.3494,557.8655,217.9493,25.8074,553.268,151.7428,52.2093,546.0319,148.2922,65.0324,579.628,170.1017,73.4959,595.0136,178.4784,43.1724,591.69,186.5232,67.5912,602.7807,189.8004,86.7493,598.0658,205.9432,44.7474,600.604,209.0769,74.4184,603.7368,206.6935,97.2161,596.6246,228.56,46.5738,583.4461,232.7887,73.5837,589.4949,229.4833,98.3385,588.3675,233.843,50.9136,567.4449,243.7474,66.5589,576.2794,243.4099,88.1196,580.6406
171.5196,32.0125,492.6887,155.9116,29.9639,493.619,165.044,7.8074,568.6635,186.1561,13.367,565.9493,202.1788,19.4299,557.7324,216.9021,24.1162,553.1376,151.4928,50.5537,546.1481,148.6413,63.8407,580.0464,170.6048,72.2976,595.2149,178.0836,41.5775,589.9601,186.6361,64.9496,602.7898,189.8818,84.1127,598.0738,205.3029,43.7718,599.2652,208.8596,73.3397,602.8826,206.4021,96.1194,595.7378,228.8236,44.8225,581.842,234.0303,71.6233,588.0552,230.7006,96.3765,586.9629,233.3921,49.6834,566.7902,243.8704,65.9297,575.4655,243.5638,87.5119,579.7213
170.7165,30.0899,492.5669,155.1395,27.842,493.5537,164.8313,5.7666,568.552,185.8606,11.5965,565.7629,201.7741,17.8674,557.4902,216.4194,22.7434,552.8436,151.3763,48.4208,546.1971,148.9445,61.7187,580.2151,171.0811,70.1202,595.1612,177.4444,40.6717,589.1741,185.9653,64.2522,603.1054,189.2026,83.3955,598.3041,203.6016,45.8117,596.0214,208.8414,74.5457,602.8695,206.3451,97.2577,595.5255,228.7241,41.5894,582.9257,232.5099,68.8324,588.1684,229.2434,93.5912,587.0152,233.3211,47.5072,566.4354,243.8516,62.9361,574.9037,243.6508,84.5229,579.1429
