j0_x,j0_y,j0_z,j1_x,j1_y,j1_z,j2_x,j2_y,j2_z,j3_x,j3_y,j3_z,j4_x,j4_y,j4_z,j5_x,j5_y,j5_z,j6_x,j6_y,j6_z,j7_x,j7_y,j7_z,j8_x,j8_y,j8_z,j9_x,j9_y,j9_z,j10_x,j10_y,j10_z,j11_x,j11_y,j11_z,j12_x,j12_y,j12_z,j13_x,j13_y,j13_z,j14_x,j14_y,j14_z,j15_x,j15_y,j15_z,j16_x,j16_y,j16_z,j17_x,j17_y,j17_z,j18_x,j18_y,j18_z,j19_x,j19_y,j19_z,j20_x,j20_y,j20_z
109.2012,106.1821,427.5381,96.1619,105.3459,422.7546,84.0612,50.43,469.1997,102.4693,55.3959,475.2397,116.6803,64.6827,474.3448,131.899,72.4174,475.6395,115.1067,104.8935,478.6284,96.6723,88.5319,502.0478,87.5114,77.2464,528.2912,75.2115,50.6044,514.34,75.41,55.6476,536.7794,76.297,60.3388,554.1347,98.8908,50.0267,521.7947,91.9316,68.8313,539.8768,86.7334,88.1381,540.3508,121.1049,78.3787,515.9242,115.5938,96.8878,507.6755,110.6547,103.8379,488.4844,136.4424,99.5008,497.3386,125.1035,107.7393,483.0713,117.345,102.6266,467.6548
102.1057,102.2432,427.672,88.7232,103.3747,424.0345,72.931,49.3388,470.4034,92.2992,51.5093,474.8939,107.5547,58.7461,472.9192,123.7689,64.2415,473.0105,112.8724,98.7066,477.6631,93.2865,84.3865,501.4818,84.9628,73.8115,528.2938,63.5994,48.1869,515.4322,69.6051,55.0954,536.5321,72.2828,59.1514,553.8635,89.948,44.3006,521.2782,85.9977,63.4406,539.9075,83.2228,83.2184,540.9759,115.8866,70.9667,514.3588,112.087,90.5302,507.7383,106.7847,98.333,488.9766,133.046,89.3519,495.5583,121.3279,98.7173,482.3305,111.8991,94.9133,467.4769
95.3223,93.8619,425.5861,81.9156,96.2583,422.7363,63.891,43.1213,469.3292,83.5979,43.4575,472.7236,99.3148,49.3163,469.9567,115.9421,53.3206,469.1777,107.96,90.4363,475.3556,87.9625,76.9339,499.3095,80.3084,66.742,526.4671,59.4074,44.3482,515.0938,65.3774,49.2881,536.7492,69.2129,52.7272,553.9962,85.1283,36.9657,519.2479,84.1989,55.8093,538.5625,82.7837,75.7135,539.9122,110.828,61.3651,510.6786,108.5142,81.2434,504.3147,102.9596,89.4837,485.8149,128.0718,77.6635,491.207,116.8045,88.6408,478.8561,106.4654,85.7869,464.4007
88.3637,84.4126,423.1447,75.0684,88.0405,421.2279,55.354,35.0354,467.2836,75.1855,33.5728,469.4226,91.1552,38.1646,465.8334,107.9898,40.7627,464.1142,103.2308,78.3769,472.164,82.6355,65.5999,496.009,75.7614,55.0732,523.2475,49.0678,33.5032,512.8263,59.2314,38.5411,532.8343,63.9625,41.1013,550.0117,76.929,24.8221,515.5678,77.4049,43.7323,534.8338,77.2495,63.6434,536.7109,103.7313,47.9589,506.8445,101.8218,67.9201,500.6072,96.2638,76.9393,482.4754,121.0809,64.2002,486.571,109.8291,75.8798,474.867,99.0523,74.0961,460.5604
80.214,75.4642,420.11,67.1683,80.1923,419.0817,45.9253,27.6601,464.9993,65.6632,24.5624,465.9061,81.7173,27.9654,461.4695,98.5788,29.2607,458.8007,95.5838,66.6597,468.9859,75.5949,54.5153,493.6629,69.2348,43.6314,520.8859,41.5487,23.8063,510.6282,53.4429,27.9793,529.8666,59.0547,29.5986,546.8926,69.1917,14.3686,511.6514,71.7909,32.6339,531.3649,72.9331,52.4737,533.6189,96.104,35.3433,502.3912,95.0069,55.584,496.9038,89.2803,65.279,479.1777,113.8364,50.7522,481.8294,102.7284,63.0405,470.6218,91.4335,62.4372,456.6196
71.5107,66.4914,417.6386,58.6189,71.6803,416.9451,36.6401,19.6864,463.1284,56.2725,15.8925,463.5466,72.3261,18.7527,458.7402,89.1542,19.4688,455.6724,87.8962,57.26,466.0969,67.4153,45.5807,490.5944,61.5373,34.7208,517.935,33.521,18.4613,509.0062,45.8144,20.9407,528.2864,51.909,22.0837,545.1846,60.3817,6.2976,509.3729,64.1811,24.7206,528.7419,66.2483,44.4758,531.0789,88.4914,25.3533,499.1273,87.9895,45.6413,493.7287,82.0406,55.7766,476.325,105.2885,40.128,478.8647,94.1988,52.652,467.9026,82.6669,52.6769,454.0818
63.0966,62.3959,415.7767,50.3123,67.8591,415.2136,27.9161,16.9305,462.3732,47.4649,12.7098,462.5415,63.5012,15.1562,457.457,80.2917,15.4633,454.1259,79.4347,53.3823,464.4407,60.2431,42.1774,490.1726,54.6972,31.7559,517.7523,25.0176,15.7541,508.2667,36.7179,17.6875,527.9737,42.9774,18.6352,544.8236,50.5343,3.9997,508.6252,54.3495,20.9796,529.2681,56.8474,40.7033,531.444,79.8917,21.3634,497.8157,79.6781,41.7967,492.9748,73.6561,51.8543,475.5512,97.1672,35.6984,477.164,85.952,47.8665,465.9321,74.2809,47.8747,452.2287
54.0361,60.1096,416.3784,41.385,65.8884,415.9786,18.8238,16.6822,464.8568,38.2575,11.9601,464.676,54.226,13.8687,459.1656,70.9353,13.661,455.4417,71.0028,52.1892,465.1327,51.8711,42.0535,491.348,46.7417,32.4792,519.3127,17.146,17.657,510.8158,28.866,19.3614,530.5323,35.4025,20.4553,547.2678,42.1666,4.7389,510.9532,46.8697,22.6437,530.6077,49.9049,42.3429,532.26,71.4246,21.0,499.0322,71.4089,41.2297,493.3965,65.3202,51.0569,475.865,88.4356,34.2489,477.6876,77.1722,46.3161,466.3951,65.2501,46.2619,452.9095
45.7897,59.5286,417.5863,33.213,65.4734,417.2905,10.9018,17.6714,467.6543,30.2629,12.6754,467.2219,46.1503,14.2394,461.3785,62.7829,13.7167,457.3543,64.1045,52.7731,465.9261,45.6766,43.4425,492.9325,40.9767,34.6062,521.2138,11.11,20.3894,513.5734,23.1355,21.9373,533.118,30.0101,23.1422,549.7098,35.6713,5.7189,513.3885,41.4358,23.7778,532.6147,44.9055,43.4362,533.8431,64.6902,21.7829,500.5622,65.2301,41.9314,494.6675,58.917,51.4639,477.0528,80.9608,34.0562,479.283,69.75,46.3098,468.14,57.6463,46.0974,454.8188
38.7442,59.5184,420.665,26.1267,65.3624,420.1628,4.0385,18.9599,471.9146,23.4351,14.0901,471.6739,39.3241,15.5877,465.8176,55.9689,15.0603,461.8449,57.2042,53.2271,468.8242,39.4029,44.7985,496.5383,35.0166,36.7108,525.0926,3.128,21.963,517.8075,17.0965,23.911,535.9758,24.0839,25.3798,552.499,29.0224,6.089,517.6496,35.1425,24.2,536.7162,38.76,43.8516,537.5698,57.9717,23.1547,504.9457,58.4864,43.1445,498.5313,52.1042,52.2406,480.712,74.2228,35.6158,483.5074,62.5045,46.5479,471.5421,50.3965,46.0695,458.2317
