j0_x,j0_y,j0_z,j1_x,j1_y,j1_z,j2_x,j2_y,j2_z,j3_x,j3_y,j3_z,j4_x,j4_y,j4_z,j5_x,j5_y,j5_z,j6_x,j6_y,j6_z,j7_x,j7_y,j7_z,j8_x,j8_y,j8_z,j9_x,j9_y,j9_z,j10_x,j10_y,j10_z,j11_x,j11_y,j11_z,j12_x,j12_y,j12_z,j13_x,j13_y,j13_z,j14_x,j14_y,j14_z,j15_x,j15_y,j15_z,j16_x,j16_y,j16_z,j17_x,j17_y,j17_z,j18_x,j18_y,j18_z,j19_x,j19_y,j19_z,j20_x,j20_y,j20_z
1.9073,29.005,455.6134,-8.2693,28.3123,446.5328,-7.4493,-41.1958,450.5838,6.4154,-36.0931,465.508,17.9961,-29.9236,477.8297,28.0618,-18.2394,488.0618,-26.869,-0.4297,486.1683,-38.2001,-17.9395,510.3146,-27.5351,-34.3344,531.7264,-26.8819,-74.7677,463.9044,-38.5083,-94.8536,471.874,-50.1818,-97.3929,489.1448,-5.0982,-73.9799,483.6485,-13.1251,-100.3934,496.2955,-25.8842,-96.8196,512.5876,11.3268,-68.3021,491.1918,6.5888,-95.567,500.6846,-6.7734,-98.7095,516.5772,40.285,-51.6196,500.3292,49.1933,-75.9473,509.2697,50.0477,-91.1756,518.8283
2.6459,31.3853,449.2546,-8.1868,32.3588,440.9961,-14.2052,-37.0085,440.3475,1.1674,-34.3962,454.4138,14.1926,-30.3103,466.1462,26.1271,-20.4492,476.2882,-26.4772,4.0536,480.884,-37.5635,-13.1028,505.0609,-26.0572,-32.1668,523.6397,-37.7911,-67.601,453.6718,-51.8082,-85.782,461.5905,-62.8898,-88.4032,479.2349,-14.0958,-71.2969,471.4525,-24.7006,-96.9355,483.291,-35.9883,-93.3688,500.6365,4.0799,-68.0229,477.6781,-3.0221,-94.5081,485.7769,-15.5815,-97.7027,502.3013,36.3401,-55.0203,484.9262,43.687,-79.8896,491.1401,44.7017,-96.0976,498.9035
2.9846,32.4673,442.7183,-8.6052,35.2266,436.0429,-22.0335,-32.8917,430.7479,-4.8746,-33.0629,442.8534,9.8416,-31.3351,453.0733,23.9052,-23.6331,462.3161,-25.8066,6.1809,475.5333,-36.14,-11.2678,499.2565,-24.8685,-32.9699,514.8441,-47.4632,-61.1408,444.4191,-62.2489,-77.5658,452.3681,-72.4509,-80.3945,470.5042,-22.7918,-69.2569,458.5194,-35.2104,-94.3434,469.3777,-44.8076,-91.3526,487.8153,-2.9546,-68.774,463.1135,-11.9653,-95.1377,470.1837,-23.664,-98.9758,487.1957,30.8103,-59.7739,467.4372,35.7876,-85.8252,471.1286,36.2271,-102.9109,476.7753
2.9486,31.8646,435.8487,-8.9289,36.0714,430.5832,-28.4769,-30.1024,421.236,-10.3591,-32.6366,431.5474,5.3227,-32.9339,440.3788,20.7709,-27.1622,448.7797,-25.0972,5.654,469.2081,-34.7439,-12.4945,492.2534,-23.9746,-36.3903,504.6635,-55.801,-56.1013,434.8853,-71.4669,-71.0074,442.7109,-80.7693,-74.3059,461.247,-30.6432,-67.8448,446.043,-44.6399,-92.1396,456.0454,-52.8515,-89.8921,475.2422,-10.615,-69.8392,447.8691,-21.858,-95.8736,453.153,-32.9654,-100.4924,470.3662,26.7436,-63.7363,450.4406,31.0431,-90.0648,451.6363,30.5625,-107.6643,455.3813
3.8169,28.1151,427.8047,-7.8943,33.5607,423.3672,-32.6692,-30.112,409.9335,-14.432,-34.7341,419.2631,1.4918,-36.842,427.3865,17.622,-32.8647,435.5433,-24.3673,1.4905,461.043,-34.3284,-17.902,483.8253,-24.2912,-43.435,493.2233,-61.8762,-53.7589,424.8992,-78.9049,-67.546,433.6247,-87.5117,-71.4947,452.3686,-36.6444,-69.0209,433.0553,-51.9627,-92.6658,442.5667,-58.9366,-91.4372,462.3367,-16.512,-72.9143,433.6866,-29.1852,-98.3063,438.1214,-39.7675,-103.6867,455.4439,20.7712,-70.3471,432.9618,23.0717,-97.727,431.076,21.3792,-115.5503,432.9383
4.955,24.2893,420.2495,-6.9067,30.6079,417.8256,-36.4155,-30.418,401.9029,-17.4499,-36.6533,408.4165,-0.7922,-40.1781,414.2557,16.392,-37.6626,420.6522,-23.1697,-3.5101,453.1874,-32.8744,-23.8696,474.2891,-23.5834,-50.5506,480.8315,-66.4685,-52.8864,416.0852,-83.7022,-65.7707,424.2179,-91.6581,-70.4497,443.0808,-40.7504,-70.3635,421.1456,-56.7327,-93.4861,429.8768,-62.7497,-93.2575,449.995,-20.3959,-75.6936,418.778,-34.1999,-100.7019,421.9623,-44.3356,-106.9186,439.2718,17.9826,-74.8309,416.2181,19.138,-101.8304,412.9972,16.3896,-119.6108,413.5491
5.5299,18.6653,411.7756,-6.1029,25.6526,410.241,-39.0157,-32.8054,391.5899,-20.1369,-40.2979,396.9243,-3.4593,-44.9409,401.8538,14.0483,-43.6236,407.7091,-22.4948,-9.9407,444.3689,-32.346,-31.3316,464.879,-23.5943,-58.6847,468.9058,-69.6822,-54.0393,406.68,-87.3768,-66.2913,415.3871,-94.745,-71.6899,434.2965,-45.1818,-73.3128,408.6952,-62.4358,-96.0576,416.8045,-67.7271,-96.8787,437.1103,-24.6405,-79.7319,405.0532,-39.5697,-104.2537,407.3082,-49.5192,-111.2545,424.4253,14.4646,-80.4005,400.4769,14.7672,-107.127,395.2211,11.1222,-124.7446,394.6443
4.4467,13.9914,403.8452,-6.9806,21.4151,402.9492,-42.2477,-34.9579,382.2907,-23.5074,-43.3071,386.7732,-6.8813,-48.7212,391.0466,10.7938,-48.258,396.5158,-23.3199,-15.2715,435.9946,-33.1543,-37.3527,455.8841,-24.9216,-65.0808,457.9758,-73.1888,-55.5082,397.6657,-91.009,-67.344,406.5208,-97.9055,-73.408,425.4065,-49.2036,-75.9481,398.0686,-66.8934,-98.4188,405.8446,-71.6934,-100.1119,426.2184,-28.7993,-82.9543,392.5123,-44.1776,-106.9732,393.5407,-53.9849,-114.6822,410.4341,10.7494,-84.5903,387.541,10.7171,-110.9563,381.0282,6.5695,-128.4121,379.5825
3.4849,10.0028,396.8857,-7.8682,17.5924,396.9526,-44.8626,-37.1552,374.9851,-26.0467,-45.9487,378.0892,-9.3118,-51.7767,381.2478,8.6098,-51.8144,385.8688,-24.2647,-19.8707,428.5714,-34.0263,-42.1741,447.3955,-25.925,-70.0147,447.917,-76.2049,-56.8444,390.1445,-94.0706,-68.0675,398.7856,-100.6411,-74.6327,417.6198,-52.7355,-77.9991,388.5044,-71.0791,-100.0277,395.6629,-75.5661,-102.3603,416.0449,-32.1321,-85.2341,382.1526,-48.0754,-108.6091,382.7847,-57.8468,-116.7398,399.5003,7.696,-87.7134,375.749,7.0347,-113.6925,368.4256,2.3787,-130.967,366.447
1.6184,6.8912,391.784,-9.5949,14.6745,392.2102,-47.7912,-38.6922,368.9398,-29.106,-47.9103,371.565,-12.4475,-54.1297,374.3599,5.5166,-54.6297,378.7846,-26.6607,-24.0669,422.3624,-36.9203,-47.3574,440.4894,-28.6978,-75.1483,439.4609,-79.5649,-58.4261,383.761,-97.8944,-69.8101,392.3109,-104.2418,-76.9092,411.0275,-56.0412,-80.3141,381.3182,-74.6787,-102.7357,388.0668,-78.8906,-105.6272,408.4358,-36.1465,-87.3113,373.8832,-52.8178,-110.6532,373.5479,-62.6662,-119.1457,390.0369,3.8106,-90.0131,367.4806,2.5799,-115.5405,359.3253,-2.9817,-132.5519,357.4065
