j0_x,j0_y,j0_z,j1_x,j1_y,j1_z,j2_x,j2_y,j2_z,j3_x,j3_y,j3_z,j4_x,j4_y,j4_z,j5_x,j5_y,j5_z,j6_x,j6_y,j6_z,j7_x,j7_y,j7_z,j8_x,j8_y,j8_z,j9_x,j9_y,j9_z,j10_x,j10_y,j10_z,j11_x,j11_y,j11_z,j12_x,j12_y,j12_z,j13_x,j13_y,j13_z,j14_x,j14_y,j14_z,j15_x,j15_y,j15_z,j16_x,j16_y,j16_z,j17_x,j17_y,j17_z,j18_x,j18_y,j18_z,j19_x,j19_y,j19_z,j20_x,j20_y,j20_z
75.9762,120.5948,408.0788,78.8684,112.9997,396.3432,117.7813,66.2022,435.8237,109.5465,78.9991,451.7117,101.9849,90.32,461.8931,93.5564,102.6409,470.1883,70.7744,74.9427,441.957,65.1665,48.575,473.5603,68.2366,30.37,494.6114,90.7191,44.3589,479.2053,77.3767,33.5896,500.5936,58.1493,35.5287,505.7461,82.6088,53.4765,493.6516,58.9343,50.1036,506.1872,38.3764,57.5677,503.8079,90.161,67.5149,502.4408,66.3542,63.2199,511.9692,47.7147,69.755,502.2808,78.5367,85.7637,502.1392,71.519,77.8781,517.0677,54.7484,77.4071,510.5466
76.3266,118.6148,407.792,79.1281,111.0957,395.9858,118.0525,63.8505,434.918,109.9508,76.5619,450.9425,102.4871,87.837,461.2462,94.151,100.1296,469.6756,70.9475,72.6296,441.4571,65.2629,45.8999,473.0546,68.2613,27.4822,493.9303,91.1793,42.0045,478.3015,77.9966,31.2878,499.5834,58.8065,33.2885,504.8499,82.8592,50.6219,492.5257,59.3418,46.9653,505.2757,38.8118,54.5552,503.0595,90.5334,64.6822,501.557,66.6948,60.4161,511.0186,48.0428,67.1016,501.458,79.2623,83.0266,501.5231,72.329,75.0623,516.3536,55.521,74.6787,509.9237
76.5744,116.8789,406.9137,79.4426,109.5916,394.9789,118.3812,61.7486,433.1595,110.1808,74.131,449.3899,102.6436,85.1868,459.8761,94.2373,97.2924,468.5042,71.0335,70.6365,439.9484,65.1933,43.5818,471.1801,68.176,24.8972,491.8196,91.2349,40.3544,476.7707,77.8167,29.7794,498.3275,58.6727,31.885,503.7194,82.9117,48.3173,490.9357,59.5899,44.6073,504.025,39.1013,52.3739,502.0515,91.3377,61.2635,499.9242,67.4842,57.018,509.3576,48.7904,63.9648,500.0687,79.4514,80.059,500.3088,72.5765,72.0463,515.0966,55.7224,71.801,508.7818
76.0904,115.1757,405.9681,78.3474,107.9523,393.8644,116.6228,58.2392,430.2859,109.3473,70.6864,446.9032,102.5203,81.8618,457.743,94.8093,94.1422,466.7645,70.0187,68.8471,438.1922,64.2753,41.881,468.7598,67.1326,22.7748,489.0278,89.8647,36.8343,473.7871,76.8403,26.4156,494.961,57.8437,28.9047,500.6997,83.3854,44.3123,488.9316,59.2934,42.5153,500.9876,38.9734,50.814,499.4948,90.7879,57.8958,497.6427,66.9994,54.2606,507.4862,48.3367,61.8734,498.6689,84.4474,77.2712,500.3651,73.7633,69.9687,512.8759,56.7885,70.1594,506.891
75.4288,114.8343,404.4972,76.9825,107.6882,392.2379,113.9048,55.704,426.84,107.7219,68.239,443.8295,101.7563,79.5661,455.0147,94.907,92.0648,464.4234,68.5071,67.5586,435.7529,62.6516,39.8337,465.8167,65.2069,20.1307,485.5464,86.9713,34.0483,470.0124,73.9188,23.5535,490.9346,55.1217,26.5603,497.0688,81.5588,41.2393,485.3327,58.2222,38.8254,498.6959,38.227,47.9671,497.9077,89.5245,54.284,493.9403,65.9635,50.6278,504.3092,47.4205,59.1606,496.1026,84.6413,73.9637,497.4077,73.7406,66.4888,509.6266,56.645,67.4912,504.0825
73.7631,112.8399,402.5361,74.6812,105.8515,390.1228,110.0991,51.6668,422.872,104.9207,64.1596,440.2247,99.7572,75.5397,451.7499,93.7187,88.1611,461.5423,65.9612,65.1484,432.6243,59.971,37.1872,461.8209,62.1601,16.9404,481.0374,83.5765,30.0267,466.0596,70.8712,19.6603,486.7481,52.3019,23.1911,493.2836,78.4174,37.6459,481.8252,54.8042,36.6472,494.8797,35.0913,46.4084,494.534,88.2023,50.1695,490.8247,64.4443,47.7942,501.1163,46.0388,57.0805,493.4348,78.5375,69.8909,492.6292,71.4496,61.3608,507.1433,54.3213,63.0541,501.8749
72.3063,110.4524,400.6279,72.9338,103.71,388.0614,107.2058,47.9357,419.3277,102.5063,60.1841,436.9881,97.742,71.4449,448.7989,92.1204,84.0062,458.9117,63.1564,62.6457,430.1672,56.4232,34.367,459.1631,58.1918,13.6836,477.9532,80.73,25.6018,462.4194,67.9102,14.7876,483.2849,49.5008,18.6169,490.0988,77.0919,33.1415,478.9262,53.1975,33.7633,491.4828,33.7532,44.0542,491.6053,86.0526,46.2233,487.9298,62.2379,44.8195,498.2685,44.0075,54.7208,490.9461,77.5397,66.0278,490.2993,69.6509,57.9508,504.3181,52.5118,60.1662,499.2842
69.6962,109.0255,399.3475,69.2763,102.2975,386.7646,101.6183,44.4405,416.2518,98.5716,56.896,434.1286,95.105,68.3883,446.1664,90.7773,81.2362,456.5519,60.1254,60.538,427.8198,53.8652,31.9704,455.9056,55.2771,10.8674,474.2542,76.1545,22.4509,459.5158,64.1847,12.1143,479.853,46.0441,16.489,487.0491,72.6975,29.5895,475.6122,49.2232,29.9867,488.9462,30.1358,40.9092,489.5547,83.6339,42.0039,484.5888,59.9912,40.7692,495.3359,41.9894,51.446,488.558,74.9824,62.27,487.0617,67.5277,53.3187,501.4612,50.3921,56.1957,496.7607
69.0214,106.6873,398.1484,68.2551,100.4005,385.3553,98.9304,40.5537,412.5641,96.475,52.4995,430.8744,93.5111,63.692,443.3221,89.716,76.3222,454.1724,57.6092,57.7941,425.6177,50.2838,28.4768,453.3222,51.1639,6.7996,471.0232,72.789,18.4976,455.7613,60.2737,7.9381,476.4422,42.5071,12.8833,484.1813,69.8378,25.5344,472.0975,46.8322,26.2378,486.213,28.2667,37.9574,487.6165,79.8873,37.5555,481.2071,56.7905,36.3657,493.0866,39.1237,47.9684,486.9827,75.8501,57.8591,485.6026,65.8235,50.4878,498.6076,48.7167,54.1584,494.3786
67.6595,103.9094,398.0802,65.9511,98.0096,385.1943,93.8824,35.6879,409.6644,92.9736,47.2958,428.3308,91.2603,58.3325,441.147,88.742,70.8963,452.437,54.4713,55.4056,424.5739,46.6378,26.3335,451.4457,46.9157,4.179,468.5657,68.275,14.0091,453.0113,56.231,3.8128,473.3987,39.0106,9.4331,481.8765,66.5076,20.8273,469.9837,43.835,23.2383,484.4455,25.9758,35.8766,486.7524,78.8393,31.3954,478.8844,55.6841,32.226,490.6804,38.474,44.9418,485.5699,76.5415,51.6509,484.0876,65.4799,44.9028,496.5818,48.4448,49.5376,493.0715
