j0_x,j0_y,j0_z,j1_x,j1_y,j1_z,j2_x,j2_y,j2_z,j3_x,j3_y,j3_z,j4_x,j4_y,j4_z,j5_x,j5_y,j5_z,j6_x,j6_y,j6_z,j7_x,j7_y,j7_z,j8_x,j8_y,j8_z,j9_x,j9_y,j9_z,j10_x,j10_y,j10_z,j11_x,j11_y,j11_z,j12_x,j12_y,j12_z,j13_x,j13_y,j13_z,j14_x,j14_y,j14_z,j15_x,j15_y,j15_z,j16_x,j16_y,j16_z,j17_x,j17_y,j17_z,j18_x,j18_y,j18_z,j19_x,j19_y,j19_z,j20_x,j20_y,j20_z
-6.797,-15.8841,343.8878,-15.509,-8.9325,335.5585,-60.5701,-66.2611,337.0607,-47.1134,-72.7406,350.3623,-32.7834,-71.1476,359.3685,-19.0351,-72.1154,369.5252,-50.9427,-39.9212,371.1274,-82.4714,-48.1808,380.8084,-108.0861,-58.3764,392.6379,-94.0074,-78.396,366.2274,-102.0342,-71.5481,386.6645,-106.5036,-64.4363,402.5845,-84.2613,-87.1842,375.2706,-101.5634,-82.2911,395.4124,-111.6019,-74.4046,410.8082,-59.7712,-93.0628,386.3385,-73.2016,-96.8243,402.0381,-81.2679,-83.7504,416.3562,-32.4523,-81.2991,401.5257,-40.4988,-86.8068,420.7171,-52.2638,-74.5616,426.687
-5.9498,-16.3144,343.8165,-14.6793,-9.3639,335.5044,-59.6816,-66.7386,337.0126,-46.2015,-73.2167,350.2913,-31.8616,-71.6175,359.2807,-18.0995,-72.5807,369.419,-49.7488,-40.651,371.173,-81.3661,-48.7343,380.713,-106.9552,-58.9587,392.5728,-92.9712,-79.1804,366.2189,-100.7314,-72.1441,386.6949,-105.1756,-65.0538,402.6315,-83.3413,-88.3836,374.7781,-100.2704,-82.8881,395.0809,-110.283,-75.0101,410.4979,-58.1665,-94.932,385.7474,-71.3717,-97.5042,401.8721,-79.394,-84.4322,416.2167,-31.239,-81.9279,401.3302,-39.0637,-87.4943,420.3336,-50.8293,-75.2699,426.3446
-4.794,-16.8272,343.6614,-13.555,-9.8813,335.3788,-58.4639,-67.3279,336.936,-44.9406,-73.7994,350.1739,-30.5808,-72.1877,359.1292,-16.7919,-73.1405,369.2321,-48.6163,-41.3256,370.917,-80.1554,-49.5113,380.6267,-105.7064,-59.785,392.5262,-91.6217,-79.7704,366.2915,-99.6051,-73.0015,386.7719,-104.0489,-65.926,402.7152,-81.8923,-89.2045,374.7962,-98.7187,-83.6401,395.1655,-108.7239,-75.7754,410.5941,-57.1971,-94.5223,386.1244,-70.4847,-97.9477,402.0212,-78.4994,-84.8611,416.3567,-30.2933,-82.735,401.0625,-38.3854,-88.4855,420.1403,-50.1585,-76.2775,426.1703
-3.7206,-17.2461,343.5183,-12.5119,-10.3048,335.264,-57.3529,-67.8019,336.9088,-43.7864,-74.2665,350.1058,-29.404,-72.6444,359.0228,-15.5865,-73.5881,369.0874,-47.4841,-41.5385,371.0746,-78.9398,-49.8841,380.9177,-104.4481,-60.1768,392.8922,-90.5255,-79.9187,366.3836,-98.5257,-73.1812,386.8678,-102.9294,-66.0965,402.8181,-80.8091,-88.9143,375.0811,-97.9698,-83.9617,395.3291,-107.9424,-76.0969,410.7787,-55.8715,-94.6949,386.3951,-69.0674,-98.1267,402.3667,-77.0528,-85.0195,416.6997,-29.0036,-83.1288,400.9941,-37.0541,-88.8532,420.1385,-48.8244,-76.6559,426.1953
-3.1847,-17.5579,343.2261,-11.8909,-10.7221,334.7953,-56.5786,-68.3391,336.4168,-43.162,-74.6368,349.8456,-28.899,-72.886,358.9287,-15.2079,-73.6919,369.1764,-46.7357,-41.8927,370.7846,-78.0705,-50.4928,380.7931,-103.5379,-60.8485,392.8002,-89.4335,-80.3718,366.2793,-97.4544,-73.7494,386.7929,-101.8213,-66.6758,402.7583,-79.9839,-89.4473,375.0208,-96.9935,-84.3468,395.3594,-106.9471,-76.481,410.8208,-55.1739,-95.2112,386.2639,-68.3022,-98.3708,402.347,-76.2804,-85.2592,416.68,-28.1349,-83.2083,401.1326,-35.8359,-88.8775,420.1699,-47.6046,-76.6863,426.2421
-2.7144,-17.9503,343.2887,-11.5369,-11.0207,335.0578,-56.2498,-68.6164,336.7382,-42.6436,-75.0635,349.9028,-28.2473,-73.4181,358.7933,-14.4082,-74.3409,368.83,-46.4893,-42.494,370.6774,-77.8671,-50.9742,380.6535,-103.3039,-61.3863,392.6766,-89.3429,-80.9683,366.2047,-97.227,-74.1831,386.7182,-101.6047,-67.1168,402.6839,-79.3682,-90.3747,374.9202,-96.323,-85.2462,395.2974,-106.2932,-77.4144,410.7654,-54.5903,-95.488,386.27,-67.7414,-99.1425,402.2291,-75.7254,-86.053,416.5791,-27.4715,-83.5551,400.8902,-35.2787,-89.0619,420.0507,-47.0574,-76.8876,426.1374
-3.003,-18.0582,343.0266,-11.7203,-11.224,334.6061,-56.3631,-68.8758,336.2252,-42.9321,-75.1714,349.6406,-28.664,-73.4152,358.7145,-14.9649,-74.2168,368.9519,-46.9569,-42.4159,370.1933,-78.2024,-51.1259,380.3841,-103.6469,-61.5209,392.4059,-89.2232,-80.9765,366.0545,-97.4507,-74.5845,386.5594,-101.8314,-67.5297,402.5294,-79.5882,-90.2148,374.9197,-96.674,-85.3722,395.2574,-106.6252,-77.5251,410.7299,-54.9215,-95.8062,386.0126,-68.069,-99.5008,401.9655,-76.0614,-86.4221,416.3206,-27.8425,-83.6562,400.9345,-35.5085,-89.2754,419.9735,-47.2797,-77.0966,426.0657
-3.9195,-18.0867,342.8874,-12.6097,-11.2176,334.4672,-57.4669,-68.7035,336.0599,-44.0622,-75.053,349.4762,-29.7894,-73.3526,358.5535,-16.0955,-74.2082,368.7934,-48.6932,-41.8058,369.7283,-79.8718,-50.5985,380.0522,-105.3671,-60.8994,392.0474,-90.5135,-80.7468,365.7058,-98.6834,-74.2252,386.1929,-103.068,-67.1431,402.1497,-81.047,-88.9783,374.9165,-98.5711,-84.6484,394.9953,-108.5145,-76.7,410.4209,-56.501,-94.897,386.0913,-69.7718,-98.9135,401.8632,-77.7373,-85.7858,416.1884,-29.278,-83.7562,400.8433,-37.2042,-89.4971,420.1139,-48.9213,-77.2604,426.1943
-5.0476,-18.0545,342.8638,-13.6992,-11.1583,334.4261,-58.7869,-68.4638,336.0096,-45.4253,-74.8548,349.4492,-31.1579,-73.2032,358.5439,-17.4811,-74.1043,368.8027,-49.6165,-41.3806,370.1691,-80.9738,-49.9112,380.1664,-106.4958,-60.1206,392.1828,-91.7366,-80.0495,365.9443,-99.9336,-73.524,386.4193,-104.2919,-66.4012,402.3652,-82.3417,-89.1125,374.8044,-99.5726,-84.2187,395.0071,-109.5142,-76.2243,410.4102,-57.9037,-94.6688,386.11,-71.1652,-98.3226,401.9776,-79.0721,-85.1295,416.2753,-30.7451,-83.413,400.7931,-38.6864,-88.9863,419.9464,-50.3666,-76.7029,426.0037
-5.5899,-17.765,342.8879,-14.225,-10.8512,334.4478,-59.4455,-68.0516,336.0443,-46.0996,-74.4698,349.4865,-31.8289,-72.8488,358.5816,-18.1549,-73.7787,368.8415,-50.2484,-40.8504,370.2719,-81.6403,-49.2987,380.2305,-107.1824,-59.4412,392.2607,-92.3191,-79.9235,365.9507,-100.2976,-73.2019,386.4485,-104.6316,-66.0618,402.3933,-83.0072,-88.5209,374.9696,-100.3735,-83.8351,395.1056,-110.3026,-75.7875,410.489,-58.7497,-94.0221,386.2035,-72.0706,-97.9752,401.9491,-79.9635,-84.7596,416.2337,-31.3566,-82.9666,400.8921,-39.2605,-88.4674,420.0808,-50.9166,-76.1538,426.1232
