j0_x,j0_y,j0_z,j1_x,j1_y,j1_z,j2_x,j2_y,j2_z,j3_x,j3_y,j3_z,j4_x,j4_y,j4_z,j5_x,j5_y,j5_z,j6_x,j6_y,j6_z,j7_x,j7_y,j7_z,j8_x,j8_y,j8_z,j9_x,j9_y,j9_z,j10_x,j10_y,j10_z,j11_x,j11_y,j11_z,j12_x,j12_y,j12_z,j13_x,j13_y,j13_z,j14_x,j14_y,j14_z,j15_x,j15_y,j15_z,j16_x,j16_y,j16_z,j17_x,j17_y,j17_z,j18_x,j18_y,j18_z,j19_x,j19_y,j19_z,j20_x,j20_y,j20_z
34.6422,31.1954,309.4088,37.5962,23.6461,298.4188,35.9025,-34.0696,337.3353,29.5661,-19.6308,351.2051,24.3597,-5.9842,361.7247,20.12,11.1349,367.3371,-3.5398,-7.0109,322.8328,-31.6097,-27.9301,339.492,-56.9802,-41.5638,342.8773,-5.3704,-43.6689,350.1403,-33.022,-50.1001,358.7192,-52.4699,-42.4471,356.6676,-10.4206,-31.8044,367.0544,-39.0354,-40.5159,378.3963,-59.7509,-38.4324,375.653,-12.5948,-16.7794,373.0014,-38.1455,-24.2433,380.7982,-58.5342,-21.4798,376.5954,-4.2141,-5.2671,393.4046,-22.5807,-17.6468,413.0796,-38.0601,-24.4173,419.2884
33.3549,31.209,308.8008,36.1875,23.7681,297.7054,34.1868,-34.398,335.9306,28.0465,-20.074,350.0061,23.0123,-6.5112,360.7163,18.9504,10.5747,366.5566,-5.0828,-7.3715,320.9935,-33.1797,-28.5714,336.8481,-58.8282,-41.9915,338.5957,-7.1798,-44.6431,348.0719,-34.9287,-51.5155,356.2163,-54.3036,-43.7882,353.7868,-12.0569,-32.7519,364.9307,-40.7099,-41.8099,375.5941,-61.381,-39.7239,372.5362,-13.965,-18.076,371.7815,-39.653,-26.11,379.4684,-60.0408,-23.4805,375.1764,-5.449,-6.5055,392.3524,-23.9177,-19.4339,411.878,-39.4029,-26.4426,417.8014
32.2366,31.0328,307.735,35.17,23.6926,296.5988,32.7297,-34.8259,334.2565,26.4671,-20.6267,348.4044,21.3429,-7.1587,359.1911,17.2425,9.8767,365.151,-6.4993,-7.7022,318.5789,-34.8157,-29.0366,333.5155,-60.5782,-42.3489,333.7975,-8.9415,-45.9091,345.7494,-37.1328,-53.407,353.5246,-56.5925,-46.0009,350.7913,-13.709,-33.6434,362.7005,-42.3876,-42.935,372.9054,-63.0182,-40.8539,369.5813,-15.7761,-19.3801,370.0609,-41.7453,-27.9304,377.6655,-62.0839,-25.3624,373.1107,-7.1775,-7.4172,390.8215,-25.6702,-20.5135,410.2613,-41.2031,-27.6137,415.946
31.0761,30.486,306.5638,34.1061,23.2028,295.4161,30.9262,-35.5433,332.6619,24.5651,-21.404,346.8258,19.3788,-7.9799,357.6377,15.2917,9.0372,363.6585,-8.0571,-8.2025,316.4008,-36.7056,-29.5414,330.6592,-62.5147,-42.7509,330.027,-10.9542,-47.2007,343.5559,-39.4297,-55.1269,350.963,-59.027,-48.1444,348.1012,-15.8411,-34.504,360.59,-44.7243,-43.868,370.4288,-65.3087,-41.75,366.852,-17.6721,-20.4499,368.4782,-43.5972,-29.1754,376.0635,-63.877,-26.56,371.2792,-9.5474,-8.8325,389.0144,-28.4671,-22.4436,408.3277,-44.0992,-29.5758,413.6914
29.702,29.8337,305.2305,32.6305,22.6118,294.0159,28.7694,-36.4149,330.7501,22.5975,-22.3233,345.0447,17.588,-8.9319,355.9797,13.7166,8.0807,362.1539,-9.6205,-9.1891,313.9606,-38.2753,-30.7567,327.4872,-64.0603,-43.9504,326.0513,-13.0703,-48.4738,341.1768,-41.4862,-56.6637,348.2583,-61.3064,-50.3196,345.4457,-17.7305,-35.9232,358.2878,-46.5088,-45.6281,367.7382,-67.0828,-43.5971,364.0528,-19.417,-21.9246,366.6132,-45.3547,-31.0315,374.0665,-65.5857,-28.4151,369.0805,-11.5625,-9.8773,386.8209,-30.7764,-23.5265,405.5694,-46.4902,-30.6505,410.7
28.2033,28.8854,303.2721,31.2043,21.7248,292.0374,27.256,-37.4911,328.4566,20.9828,-23.482,342.7881,15.891,-10.1542,353.7628,11.9559,6.8204,360.0009,-10.8865,-10.0356,312.056,-39.3635,-31.5234,325.5998,-65.1902,-44.6068,323.9234,-14.4985,-49.9767,338.8026,-42.8706,-58.4606,345.8327,-62.8562,-52.5814,343.1851,-19.3615,-36.985,356.1011,-48.1552,-46.6221,365.6027,-68.732,-44.6447,361.9034,-20.9706,-23.3315,364.459,-46.7719,-32.5549,371.9458,-66.9797,-29.921,366.8755,-12.9234,-10.9862,385.013,-31.7965,-24.494,403.9869,-47.5313,-31.6432,409.0172
26.7693,27.4501,301.5438,29.6618,20.3682,290.2311,25.3111,-39.1487,326.1096,19.221,-25.2182,340.596,14.2932,-11.9483,351.7147,10.5374,5.0021,358.1266,-12.424,-11.863,309.6403,-40.9277,-33.6924,322.7857,-66.6219,-47.1273,322.2266,-16.5852,-52.0889,336.0253,-45.1739,-60.9189,342.7915,-65.3676,-55.7016,340.3432,-21.2726,-39.1656,353.5449,-50.2748,-49.1549,362.8191,-70.8728,-47.331,359.1591,-22.7354,-25.7453,362.18,-48.8479,-35.4749,369.5601,-69.0889,-32.9144,364.5858,-14.8932,-13.0272,382.7503,-34.2585,-26.7565,401.501,-49.9605,-33.9899,406.5135
25.3721,26.0916,300.3735,28.3714,19.1471,289.0035,23.9946,-40.7818,324.1865,17.7493,-27.0365,338.7831,12.6925,-13.9098,350.0134,8.827,2.954,356.5866,-13.4378,-13.5654,308.1487,-41.7429,-35.7121,321.1102,-67.2345,-49.5354,320.8027,-17.8491,-53.9241,333.7793,-46.3577,-62.8782,340.315,-66.7308,-58.2502,338.1893,-22.6686,-41.208,351.0895,-51.5054,-51.319,359.8697,-72.1093,-49.5656,356.2087,-24.2365,-27.9217,360.4089,-50.2564,-37.7944,367.7334,-70.5105,-35.3467,362.7556,-16.373,-15.733,380.9337,-35.5579,-29.9596,399.4693,-51.158,-37.3923,404.5084
24.4953,24.8688,299.678,27.5241,17.993,288.2741,22.8963,-42.1563,323.0463,16.6225,-28.4946,337.7091,11.549,-15.4317,349.0061,7.6915,1.3963,355.6751,-14.5678,-14.7552,307.013,-43.1204,-36.9697,319.7243,-68.6764,-50.644,318.7734,-19.0964,-55.5648,332.5344,-47.8489,-64.7456,339.031,-68.3343,-60.5276,337.1449,-23.9102,-42.7505,349.8483,-52.8821,-52.9404,358.525,-73.4763,-51.1392,354.8327,-25.4272,-29.6255,359.2375,-51.5215,-39.6422,366.4579,-71.7795,-37.1998,361.4933,-17.969,-17.2394,379.9653,-37.5876,-31.4872,398.5362,-53.1967,-38.8451,403.6565
23.5236,23.1885,298.9845,26.3254,16.2521,287.5594,20.5579,-43.7955,322.337,14.6856,-30.0033,337.0439,9.9786,-16.8351,348.3772,6.5435,0.0722,355.0765,-16.1638,-16.2015,305.8343,-44.9713,-38.2048,318.2246,-70.7503,-51.3184,316.1085,-21.3235,-57.1546,331.6966,-49.8943,-66.268,338.0815,-70.4418,-62.3102,336.311,-25.8859,-44.1227,349.2552,-54.8927,-54.2174,357.9857,-75.4842,-52.3748,354.2983,-27.2252,-31.0489,358.6783,-53.6274,-41.1359,365.9886,-73.8964,-38.6492,361.0913,-19.1308,-18.4611,379.59,-38.7937,-32.655,398.364,-54.3491,-39.9048,403.7927
