j0_x,j0_y,j0_z,j1_x,j1_y,j1_z,j2_x,j2_y,j2_z,j3_x,j3_y,j3_z,j4_x,j4_y,j4_z,j5_x,j5_y,j5_z,j6_x,j6_y,j6_z,j7_x,j7_y,j7_z,j8_x,j8_y,j8_z,j9_x,j9_y,j9_z,j10_x,j10_y,j10_z,j11_x,j11_y,j11_z,j12_x,j12_y,j12_z,j13_x,j13_y,j13_z,j14_x,j14_y,j14_z,j15_x,j15_y,j15_z,j16_x,j16_y,j16_z,j17_x,j17_y,j17_z,j18_x,j18_y,j18_z,j19_x,j19_y,j19_z,j20_x,j20_y,j20_z
120.7872,204.9555,404.8179,131.7504,197.6899,400.9541,158.5519,201.1109,468.3399,138.5462,210.2226,469.2063,122.9896,217.0546,468.6439,106.0771,222.8684,460.1599,135.9319,183.723,448.2226,138.9785,173.547,482.6615,147.9308,168.591,509.7962,145.8212,196.7062,510.0642,136.9646,193.6419,539.0911,129.8294,188.6261,559.2884,129.8231,207.991,518.1049,123.6051,206.4002,552.9611,114.0536,198.0454,569.6933,115.5293,218.4057,514.6188,109.8142,219.4408,549.8387,103.814,207.5687,566.0884,103.3037,229.569,499.3504,101.1709,234.722,529.4897,95.9817,226.3112,548.0189
120.9123,198.6823,409.1887,132.6687,192.869,405.2008,157.7147,195.3233,473.3003,136.8245,202.1665,474.1784,120.63,207.3065,473.6134,103.342,211.7396,465.0527,136.3905,176.5135,452.215,139.1237,164.5028,486.7397,148.4267,158.5306,513.5499,144.386,188.407,515.6775,134.8746,183.4715,545.9181,128.8765,178.5864,566.5132,128.5384,199.9116,523.5997,122.5819,198.2907,559.1259,114.2483,190.1974,576.6201,112.0051,207.5869,519.8011,105.3594,207.803,555.39,100.7366,196.3411,572.3681,100.8707,220.2638,504.8545,98.9411,226.9198,535.9339,94.7573,219.099,554.9689
116.2376,189.7825,415.8343,127.7738,183.4019,412.0774,150.4604,182.4659,481.0361,129.9827,190.4988,481.4053,114.1431,196.5964,480.4422,97.4586,202.2773,471.4331,132.7339,165.564,458.322,136.37,152.4881,492.2213,145.748,145.4572,518.7471,139.5305,175.4857,523.5419,131.8197,170.5613,553.5289,126.4713,165.5113,574.2627,121.6511,185.6736,530.6906,115.6559,182.2015,566.1552,108.3043,174.1478,584.1021,105.9507,195.5897,527.1205,99.6007,194.8095,563.3013,96.2526,183.7345,580.8266,94.7181,207.5256,511.8125,92.5771,211.6257,543.3586,89.2029,204.1687,562.6979
113.353,179.5633,422.1614,125.2798,173.9302,418.4294,145.98,170.1929,487.916,125.1457,177.2574,488.0751,109.0719,182.6757,486.9456,92.4068,188.0871,477.7366,130.3148,153.0917,463.8916,134.0338,137.6993,497.4721,143.5794,129.3431,523.55,133.9792,161.0211,529.8737,125.4836,154.5281,559.5765,120.3921,149.2001,580.3054,116.3691,169.1836,537.8327,109.9464,163.2752,574.2453,103.4449,155.1212,592.4728,100.8381,178.5585,533.7147,94.4326,175.3554,570.099,92.3439,164.5564,587.9881,89.1988,192.694,518.2112,86.6905,196.296,549.8567,84.1555,189.348,569.5112
106.649,166.6926,430.9086,118.2158,160.3012,427.2659,136.0985,151.5265,497.0804,115.897,160.2374,496.9525,100.3528,166.9869,495.6022,84.5031,174.1704,486.1683,123.6416,137.6174,470.5589,127.5741,121.1771,501.936,137.0169,111.2859,527.5094,124.144,141.4019,538.1379,115.8073,134.3415,566.7698,110.7627,128.357,587.3304,108.2695,151.0817,546.5941,102.6986,144.3946,582.8507,97.0517,136.2317,601.3569,92.8108,161.7959,542.8106,86.9101,157.7346,579.745,85.8335,147.1452,597.8477,81.1477,175.7968,526.9213,78.5217,177.0697,558.8148,76.3404,170.1883,578.535
100.2746,152.5077,439.7202,112.0122,146.411,436.1192,127.1111,132.8912,505.8337,106.8856,141.5405,505.485,91.3733,148.3286,503.972,75.8794,156.1058,494.4187,116.1857,121.5194,478.4619,119.217,103.4399,509.2167,128.5681,91.9392,534.1424,115.3761,120.5236,546.6845,107.1304,111.8332,575.389,102.3248,105.196,595.806,99.0548,130.4903,554.783,93.3283,122.4097,590.8334,88.4438,114.1336,609.5055,82.3176,141.4968,551.4513,75.1667,136.1019,588.9443,74.6875,125.5364,607.0866,70.6452,157.3598,535.0766,66.5433,158.3425,566.9394,64.1432,151.016,586.473
93.9437,139.6514,449.5222,105.8956,133.8738,446.1043,117.7111,115.8177,515.4241,97.451,124.3583,514.6591,81.9712,131.1459,512.8413,66.8913,139.4568,503.0771,110.0072,106.7877,486.7886,112.9801,87.2028,516.2058,122.6043,74.0582,540.1973,104.4975,101.5886,555.452,95.1652,91.539,583.7223,90.5605,84.5967,604.0841,90.2333,111.2437,563.9565,84.9202,101.5897,600.2455,80.7266,93.07,618.976,74.4726,122.1875,559.7146,68.5891,115.1586,596.4918,68.8807,104.4495,614.5536,60.8454,137.7439,543.9883,56.0803,136.3938,576.2325,53.5712,128.4451,595.5074
85.8822,125.6027,460.3753,97.4228,119.094,456.8596,105.594,95.4453,525.0126,86.1302,105.6783,524.3437,71.3181,113.8413,522.6212,57.2725,124.0256,513.0915,102.2869,90.4074,495.5644,105.7619,69.9136,523.2153,115.289,55.195,546.315,93.2083,80.987,564.0515,84.6797,71.0311,590.9333,79.9703,63.5335,611.073,78.7896,90.8408,572.0529,73.48,80.1087,606.5613,69.5186,71.2056,625.1635,62.6138,102.917,568.9317,55.7788,94.3387,605.2972,56.2125,83.3693,623.1993,50.0739,120.0479,554.0417,44.3693,116.8958,586.4929,41.7794,108.691,605.6494
78.1496,115.4499,469.923,89.919,109.1803,466.7478,94.1874,81.8286,533.8635,74.7333,92.024,532.6012,59.9981,100.2248,530.4516,46.4778,110.8772,520.6772,93.346,78.1797,503.789,95.7943,56.0319,530.2525,104.7092,40.0885,552.7765,81.5896,65.0167,572.051,72.8817,53.396,598.4471,67.7979,45.3732,618.2912,66.6205,75.4433,580.3102,60.6846,63.3118,615.217,56.4382,53.9971,633.5529,51.999,87.7888,576.0584,45.7526,78.0779,611.6717,46.1511,66.8347,629.4039,40.5761,105.8572,560.8543,35.9578,101.9289,592.2943,33.1681,93.3655,611.2649
73.0221,106.2062,478.624,84.9042,100.0718,475.6085,86.2724,69.0563,541.2365,66.9078,79.3861,539.7166,52.2919,87.7536,537.4013,39.2177,98.9829,527.6657,85.6456,67.0594,510.8988,86.1743,43.5182,536.0643,94.793,26.4163,557.8415,71.9656,51.867,578.8649,62.0303,39.9298,604.9961,56.6738,31.6135,624.6467,56.0376,61.4128,586.4216,48.0768,48.2501,620.6259,43.4984,38.5992,638.7063,41.188,73.5162,582.2668,32.4695,62.3375,617.4938,32.6856,50.8169,635.0502,30.4733,92.8947,566.9313,23.6554,88.1478,597.5466,20.2032,78.991,616.1271
