j0_x,j0_y,j0_z,j1_x,j1_y,j1_z,j2_x,j2_y,j2_z,j3_x,j3_y,j3_z,j4_x,j4_y,j4_z,j5_x,j5_y,j5_z,j6_x,j6_y,j6_z,j7_x,j7_y,j7_z,j8_x,j8_y,j8_z,j9_x,j9_y,j9_z,j10_x,j10_y,j10_z,j11_x,j11_y,j11_z,j12_x,j12_y,j12_z,j13_x,j13_y,j13_z,j14_x,j14_y,j14_z,j15_x,j15_y,j15_z,j16_x,j16_y,j16_z,j17_x,j17_y,j17_z,j18_x,j18_y,j18_z,j19_x,j19_y,j19_z,j20_x,j20_y,j20_z
87.8331,55.1087,377.1172,78.5839,59.5487,368.1041,58.4029,-6.0179,356.1792,72.0597,-8.7655,371.8936,84.0443,-9.2609,385.3146,96.3753,-3.7273,397.9583,46.5045,23.7961,388.5415,27.0711,2.1376,400.9223,11.6846,-20.6793,410.0681,36.4621,-20.4299,386.0781,24.0937,-28.5541,402.9325,16.9197,-23.2509,421.9433,49.8193,-18.4265,405.4441,35.2179,-24.7692,427.4709,27.3996,-12.0764,442.2617,61.2945,-16.3497,413.8578,47.0433,-20.7904,431.7382,40.2211,-4.9797,443.7582,72.9288,-9.0392,420.3743,58.3551,-12.341,434.3075,52.1069,4.2957,437.1682
88.6608,57.8761,377.9905,79.4894,61.8285,368.6759,61.401,-4.5578,357.9928,74.7848,-6.5286,374.0548,86.4847,-6.3529,387.7326,98.3801,-0.1618,400.4882,47.9054,25.3872,387.954,28.9435,3.5091,399.528,14.5529,-20.0168,408.497,39.3129,-19.4809,386.8244,27.224,-27.6483,402.604,20.2905,-20.2664,421.0005,51.9447,-15.175,407.2467,37.04,-20.8173,428.9065,29.203,-7.1371,442.7785,63.3187,-15.2001,415.1928,48.8632,-16.4289,433.0402,41.996,-0.104,444.3246,74.269,-5.2343,422.0688,59.367,-8.3694,435.4067,53.0097,8.3407,437.4942
87.4805,58.065,378.5655,78.8502,61.4202,368.5276,63.4955,-5.8185,358.9537,75.81,-6.8416,375.9333,86.5437,-5.8511,390.3488,97.3576,1.1248,403.6504,47.9841,24.1515,387.3796,29.4538,1.7773,398.6974,15.7586,-22.2128,407.5244,40.9159,-21.5183,387.3867,28.3483,-30.2568,403.2123,21.2058,-20.8701,420.5868,52.2229,-15.2734,408.6894,36.8168,-20.7807,430.0842,28.6025,-6.5394,443.1498,62.943,-15.6013,417.1245,48.0394,-16.2689,434.6299,40.7755,0.4742,445.0176,72.8202,-4.3594,424.056,57.9412,-7.685,436.4295,51.4909,9.0919,437.3935
85.0808,57.5263,379.6008,77.0357,60.2234,368.9003,65.0078,-7.845,360.5047,76.1581,-7.8548,378.2999,85.8302,-5.995,393.3661,95.4253,1.8128,407.1325,47.1315,21.7435,386.6328,29.224,-1.2993,397.2515,16.4032,-25.944,405.5739,41.9215,-23.8274,388.41,29.0503,-32.7381,403.968,21.5285,-21.8107,420.2473,51.4051,-15.1263,410.0607,35.4077,-19.8257,430.587,26.9477,-4.7872,442.5567,61.9793,-18.052,418.9544,46.6769,-14.7841,435.8114,38.9989,2.5225,444.8959,71.722,-6.8887,426.7905,56.2224,-6.3383,437.7659,49.9937,10.5388,437.1614
83.0365,56.4881,380.4748,75.6884,58.5284,369.146,67.5561,-10.2316,361.7707,77.3439,-9.2658,380.3251,85.7728,-6.5713,395.9997,93.9395,2.0272,410.2091,46.695,19.0207,385.9881,29.3576,-4.6039,396.0593,18.3434,-30.0177,404.6515,43.8658,-26.5376,389.1234,30.582,-35.6808,404.4607,22.6085,-23.6853,419.7424,51.2013,-16.0307,411.1751,34.2597,-20.4148,431.1673,24.9303,-5.0192,441.9812,60.968,-17.8039,421.0507,44.7022,-14.1285,436.891,35.9906,3.3776,444.5489,70.3577,-8.4475,429.1347,54.0671,-5.5478,438.4734,47.6411,11.1413,436.4282
82.2641,55.1649,380.5595,75.7307,56.5444,368.6469,71.542,-12.703,362.6713,79.796,-10.7757,381.8848,86.8375,-7.2638,398.0738,93.4457,2.0925,412.611,48.1065,15.9651,385.144,31.6056,-8.2744,394.9983,22.2623,-34.1947,404.0447,47.467,-29.5941,389.7429,33.762,-39.2096,405.1538,25.3727,-26.3568,419.4865,53.3084,-16.6932,411.9945,36.4175,-20.4667,431.1952,26.4053,-4.7337,440.8508,62.3072,-19.9834,422.6802,45.6731,-14.3992,437.5504,36.3938,3.3077,443.9815,71.5041,-11.4927,431.5321,54.9697,-5.4383,438.6706,48.5212,11.0239,435.2923
81.7288,53.0365,381.1455,75.5773,54.0574,368.9957,73.9878,-15.3551,363.7193,81.4857,-12.9316,383.1849,87.825,-8.9999,399.5664,93.5889,0.7392,414.211,49.0083,12.5719,385.267,33.0859,-12.2897,395.0181,24.6234,-38.4976,404.1026,49.6779,-32.5174,390.612,35.7412,-42.3564,406.0293,26.9798,-29.2415,419.8942,54.6507,-19.1169,412.7938,37.6006,-23.0469,431.6063,27.4708,-7.0102,440.618,63.7236,-23.5267,423.5892,46.875,-16.7305,437.6937,37.4919,1.1991,443.305,72.2038,-14.3736,432.6036,55.3637,-8.1132,438.7857,49.2356,8.2814,434.5827
80.0295,51.5592,382.0762,74.2688,52.318,369.7175,74.971,-17.1411,364.8808,81.722,-14.3719,384.5724,87.3751,-10.1493,401.1317,92.3363,-0.1502,415.8945,48.6332,9.9488,385.5458,33.2136,-15.5359,395.0663,25.2358,-41.9775,403.9092,50.1371,-35.0881,391.5964,35.5197,-45.6519,407.3215,26.5232,-32.4121,420.9146,54.217,-20.627,413.6107,36.7113,-24.6082,432.0923,26.5839,-8.2462,440.5019,63.7505,-25.9891,424.7955,46.7693,-18.5825,438.4257,37.381,-0.4804,443.4428,71.7582,-16.1376,434.4672,54.9406,-9.2057,439.9551,49.0746,7.114,435.1324
78.4181,51.3283,382.8187,72.9879,51.9638,370.3044,75.3214,-17.4637,365.5249,81.4614,-14.5512,385.3949,86.5601,-10.209,402.1026,90.8926,-0.1066,416.9924,47.4997,9.1829,385.9533,32.0606,-16.7308,395.4324,23.8593,-43.3262,403.5826,49.2687,-35.7,392.2239,33.3445,-46.8465,408.5432,24.4269,-33.1434,421.7228,53.642,-21.2197,413.8267,36.0333,-25.4407,431.8232,25.9872,-8.7086,439.5766,62.8367,-26.528,425.3382,45.4739,-19.075,438.4526,36.1192,-0.7475,442.6469,71.1409,-17.0069,435.6539,54.3424,-9.4805,440.3614,48.7581,6.7464,434.9296
75.7159,51.1151,383.6506,70.3895,51.7152,371.09,73.3438,-17.6866,366.2812,79.2866,-14.7386,386.2059,84.2035,-10.3673,402.9604,88.3221,-0.2408,417.8946,44.9833,8.3678,386.1973,29.4597,-18.1183,395.4281,19.9821,-44.6576,402.2724,45.523,-36.4534,392.0318,28.0068,-48.2692,408.2447,19.025,-34.4764,421.2863,51.0286,-22.1725,414.1679,33.0697,-26.897,431.9387,23.0251,-9.918,439.1373,60.5951,-27.5067,425.7175,42.8392,-20.6678,438.6387,33.5149,-2.2035,442.2622,68.0478,-17.2375,435.8964,50.6769,-11.2966,440.791,45.3275,4.8632,434.9392
72.9375,50.6258,383.9215,67.6076,51.2123,371.3617,70.693,-18.1851,366.5714,76.6339,-15.2204,386.4941,81.5457,-10.8351,403.2465,85.6478,-0.6967,418.1771,42.5101,7.5989,385.9236,27.2157,-18.979,394.7975,16.8104,-45.4251,400.5714,42.2529,-36.5215,392.3527,24.1933,-48.1652,408.724,13.5005,-35.5866,421.7025,48.5871,-23.1815,414.031,30.9876,-28.1772,431.3106,20.7821,-11.2447,438.3915,58.6567,-29.4448,425.5798,40.8983,-21.632,437.9328,31.3738,-3.2368,441.3827,65.82,-18.442,435.9526,48.3972,-12.2225,440.2843,42.9553,3.8643,434.3178
72.7985,50.308,382.828,67.6988,50.937,370.1751,70.9733,-18.4364,365.1678,76.5436,-15.5427,385.2077,81.1411,-11.2172,402.0646,84.9539,-1.1326,417.1079,43.0128,7.1601,384.301,28.0567,-19.3623,392.8592,17.5396,-45.8616,398.1676,42.4062,-36.1453,391.4854,24.1738,-47.4478,408.2822,12.1345,-36.5051,421.5605,48.2535,-24.6181,412.2081,30.4723,-30.3224,429.1787,20.1924,-13.5097,436.4351,58.5799,-30.8977,423.8057,40.5567,-23.8172,436.2165,30.8576,-5.529,439.7477,65.3646,-19.4833,434.5294,47.8607,-13.3851,438.7039,42.3406,2.7133,432.8415
75.668,49.6872,381.1922,70.8116,50.2895,368.4426,74.4149,-19.0762,363.5563,79.5874,-16.1486,383.6976,83.8439,-11.7951,400.6366,87.3316,-1.6863,415.7424,45.7796,6.7025,382.4082,30.6327,-19.6722,390.8588,20.3149,-46.2854,395.9853,45.3147,-35.9648,390.5026,26.483,-46.894,407.9404,13.7576,-36.4091,420.9455,50.9805,-25.531,410.4979,32.8909,-31.4639,427.445,22.3556,-14.756,434.5761,61.1293,-31.5577,422.1422,42.8191,-24.9577,434.3968,32.899,-6.7523,437.737,67.8262,-20.2928,432.986,50.2768,-14.2693,437.0771,44.7368,1.8324,431.2425
78.1909,49.0259,380.1217,74.0039,49.4026,367.1284,78.9794,-19.9438,363.2823,83.0356,-16.7025,383.6303,86.3228,-12.087,400.7151,88.8461,-1.7511,415.8591,48.9246,5.6435,381.6046,33.5975,-21.0997,390.4516,23.8544,-47.8279,396.0797,49.0589,-36.3082,390.6741,29.3126,-47.1081,408.7516,16.1863,-36.4514,421.2069,54.3018,-26.5595,410.1675,36.1121,-32.7995,426.9667,25.0607,-16.2211,433.6016,64.1239,-32.5738,422.081,45.4503,-25.9598,433.7665,35.0791,-7.8998,436.4636,69.7707,-21.0435,432.8278,52.0622,-15.2291,436.5161,46.4871,0.781,430.4666
79.0207,48.9208,380.4202,75.1936,48.9498,367.311,82.0432,-20.3024,364.9278,85.4397,-16.5837,385.315,88.1249,-11.5714,402.3932,89.9554,-0.8972,417.4014,51.1038,4.9556,382.3816,36.4285,-21.8452,391.5624,27.8009,-48.7277,398.1875,52.3418,-36.7288,392.2474,32.8408,-47.514,410.1846,19.444,-36.3699,421.9036,56.1743,-26.552,411.4453,37.5501,-32.8956,428.0743,25.7645,-16.4294,433.6387,65.6944,-32.0292,423.544,46.4741,-26.0036,434.6468,35.7921,-8.0139,436.4536,70.8521,-20.3967,434.0995,53.0087,-14.5691,437.0409,47.5916,1.3051,430.5088
