j0_x,j0_y,j0_z,j1_x,j1_y,j1_z,j2_x,j2_y,j2_z,j3_x,j3_y,j3_z,j4_x,j4_y,j4_z,j5_x,j5_y,j5_z,j6_x,j6_y,j6_z,j7_x,j7_y,j7_z,j8_x,j8_y,j8_z,j9_x,j9_y,j9_z,j10_x,j10_y,j10_z,j11_x,j11_y,j11_z,j12_x,j12_y,j12_z,j13_x,j13_y,j13_z,j14_x,j14_y,j14_z,j15_x,j15_y,j15_z,j16_x,j16_y,j16_z,j17_x,j17_y,j17_z,j18_x,j18_y,j18_z,j19_x,j19_y,j19_z,j20_x,j20_y,j20_z
-0.8376,34.8096,296.7122,-12.8082,40.7809,293.7195,-48.6846,-17.2139,318.6261,-27.4287,-20.7604,323.054,-10.7533,-22.4042,325.9229,8.3085,-17.0968,325.3842,-33.9758,15.109,332.9685,-49.9064,-4.2116,362.5071,-55.6736,-22.3706,384.37,-64.529,-39.0566,353.7772,-75.6747,-54.4218,378.5044,-81.8956,-58.4323,399.2219,-38.178,-53.2204,359.2671,-45.8529,-76.3967,385.1233,-46.7622,-68.2424,404.4541,-17.784,-51.1334,359.8702,-23.0336,-72.5847,385.2178,-27.614,-59.0085,400.5706,5.1519,-43.986,354.7522,2.7207,-64.6963,377.3718,-5.7227,-53.6721,393.1253
2.9216,37.2361,298.7198,-9.0308,43.5488,296.4392,-45.0008,-13.4222,323.4821,-23.6289,-17.5768,326.6414,-6.8661,-19.6975,328.5151,12.2735,-14.9348,326.8397,-29.4734,18.7675,336.6157,-44.8553,0.1212,366.846,-49.4313,-18.6981,388.4306,-59.4744,-34.6934,359.2575,-69.5971,-49.5701,384.2783,-74.7994,-53.5034,405.2894,-33.774,-49.1555,363.6107,-40.9982,-71.6424,389.9362,-40.7899,-63.0109,409.0792,-13.402,-47.8355,362.8697,-18.2702,-68.7936,388.4581,-21.7129,-54.798,403.7313,9.4692,-41.3438,356.5934,7.3115,-61.6629,379.4859,-0.1763,-50.035,395.2885
7.1689,43.2495,298.3455,-4.9495,48.9625,295.4449,-39.4305,-8.6846,322.9899,-18.0315,-11.8048,327.0329,-1.2737,-13.134,329.5644,17.6945,-7.5927,328.4169,-25.7692,24.811,335.8491,-41.4417,6.6304,366.2645,-44.4169,-12.7436,387.6373,-53.6709,-29.0864,359.1404,-63.5872,-43.2933,384.314,-68.8443,-46.4895,405.4362,-27.8506,-42.6932,364.8136,-34.8578,-64.7359,391.7748,-35.3346,-54.683,410.206,-7.0385,-40.1366,364.9507,-11.3322,-60.2484,391.3067,-15.655,-45.5754,405.6948,15.4672,-32.803,359.2661,13.7529,-52.2065,383.0096,5.5624,-40.0206,398.0236
12.0993,50.5422,296.0038,-0.1525,55.8778,292.9488,-33.2388,-1.8375,322.0195,-11.7734,-4.3245,326.149,5.0097,-5.1755,328.7187,23.8377,0.7951,327.4272,-19.9224,33.6183,334.453,-34.7165,16.9612,365.5113,-35.1649,-2.6761,386.8461,-45.7574,-20.5973,359.5563,-54.4549,-33.6311,385.6358,-58.931,-35.681,407.0779,-19.6133,-33.7113,365.1647,-25.1743,-54.5558,392.8391,-25.49,-43.3859,410.6193,1.074,-31.3039,364.6728,-1.8433,-50.6714,391.3236,-6.04,-35.511,405.2358,22.9778,-24.0194,358.4359,22.318,-43.0592,382.2284,14.1708,-30.5295,396.9807
21.436,60.5699,291.9705,8.9874,65.6559,289.3109,-21.975,8.0396,320.8158,-0.324,5.9632,324.1202,16.5603,5.4195,326.0242,35.2232,11.6488,323.8553,-9.3921,43.8829,332.2022,-23.2323,27.4874,364.5003,-21.2354,7.7438,385.6475,-32.6547,-10.2506,359.1249,-40.0716,-22.9529,385.7299,-43.3467,-24.114,407.4537,-6.2192,-23.3127,363.9589,-10.427,-44.2091,392.3947,-10.1748,-32.2576,409.6602,14.5645,-20.1108,362.3232,13.0904,-38.9661,389.1317,9.3463,-23.3512,402.6653,36.4496,-12.9634,354.9657,37.39,-31.8358,378.8208,29.6441,-19.0367,393.558
32.0937,68.0989,286.636,19.4405,72.6835,284.0308,-9.0476,15.968,319.2819,12.728,14.6814,322.1399,29.6616,14.7159,323.6406,48.0754,21.3456,320.6758,2.9155,53.5719,329.0521,-9.5526,39.1523,363.0207,-4.3405,20.1541,384.3022,-16.2246,0.8756,359.7212,-21.2067,-9.6012,387.7933,-22.9536,-8.6228,409.702,10.057,-12.0797,363.7404,8.16,-31.0868,393.2874,8.8809,-17.5643,409.338,30.5353,-9.27,360.9604,31.1799,-26.9677,388.4965,27.9652,-10.3405,400.9142,51.5029,-2.1491,352.2487,54.1225,-20.1059,376.3795,46.5761,-6.4198,390.406
42.9799,72.3423,278.9593,30.0679,76.432,276.8464,5.5417,23.31,319.8276,27.4915,22.6665,321.1662,44.4841,23.1194,321.3838,62.4749,29.6828,316.3773,16.4959,61.3813,325.242,6.1333,49.8897,362.1936,13.9592,32.8735,384.3342,1.347,11.9486,362.3062,-1.594,3.9829,392.089,-1.4516,7.4507,413.8134,27.8265,-0.7544,365.2979,28.0664,-17.5274,396.9029,29.7782,-2.4014,411.3693,48.4091,2.3298,360.7352,51.3217,-13.097,389.9358,48.768,4.7337,400.7314,68.1731,8.1769,349.483,72.5576,-8.371,374.9565,65.8344,6.5045,388.1671
51.6039,72.6284,272.8734,38.5615,76.4343,271.051,16.6866,26.8838,319.3945,38.681,26.5138,319.7289,55.6588,27.1072,319.0943,73.3188,33.3638,312.7074,28.8108,65.3212,321.4546,21.3599,56.8292,359.9705,30.255,42.4513,383.5322,15.3506,19.2588,363.2818,14.4055,13.8643,394.3307,15.3006,18.7342,415.7663,42.1305,7.3456,365.9722,44.6109,-6.4374,399.2234,47.0139,9.4834,412.705,62.1188,9.6572,360.1133,66.9438,-3.3762,390.7506,64.5124,15.2179,400.203,81.7668,15.1695,347.1256,88.2617,1.1817,373.5864,82.1026,17.0955,385.8264
57.1865,70.7158,270.5956,44.0808,74.1942,268.5828,22.7342,23.9154,316.4078,44.7229,24.1063,317.0844,61.6878,25.1358,316.7171,79.2788,31.866,310.6283,32.9031,62.7802,318.468,24.3787,54.0757,356.5117,32.6749,40.3604,380.6791,20.2795,15.4885,360.0367,18.5453,9.535,390.86,18.369,14.2872,412.3399,48.1395,5.8106,363.402,50.5841,-7.2806,396.5436,51.909,8.6849,410.1211,67.3201,8.2772,358.0488,71.5232,-4.3033,388.8922,68.0312,14.336,397.9135,87.6723,14.7539,345.5776,94.1221,1.6047,372.4332,87.0508,17.6531,383.9851
57.4157,66.4468,269.9118,44.3119,69.5744,267.3784,22.395,15.9496,311.1378,44.2945,16.8687,313.0261,61.2039,18.5085,313.6447,78.8237,26.1828,308.9055,30.4072,54.4284,315.2147,19.8492,42.9279,351.5371,25.7398,28.7418,376.135,16.3508,3.4331,353.2972,12.0915,-5.3873,383.0068,9.9754,-2.4335,404.7046,45.3415,-4.0056,358.1767,46.0882,-18.8947,390.3816,45.466,-3.7503,404.9164,64.1603,-0.3513,354.3107,66.3639,-14.4082,384.6207,61.113,3.5098,394.2318,85.1292,8.4339,343.8163,89.9624,-5.1711,370.5762,81.1732,10.15,381.9347
52.9563,59.3227,270.7066,39.9541,62.2991,267.5457,16.9146,4.865,305.511,38.6063,6.1995,308.9296,55.381,8.2226,310.8052,73.0251,16.6975,307.8594,23.3521,42.4708,312.4873,10.7848,27.4613,346.5067,13.4522,12.0642,370.9365,7.8858,-11.4174,345.7507,1.531,-22.8776,374.0729,-2.4366,-22.1656,395.7005,36.4507,-18.5046,352.1408,34.9111,-36.1485,383.0029,32.4389,-22.8041,399.0283,55.5503,-13.3317,350.4304,55.6769,-29.4494,380.061,48.8862,-12.8709,391.0173,76.9198,-2.7435,342.046,79.8974,-17.6063,368.1819,69.6204,-3.7181,380.1192
45.9434,51.648,273.2019,33.0552,54.8289,269.7837,8.9461,-5.6727,301.8643,30.4757,-4.5461,306.2469,47.1482,-2.6229,308.9542,64.8336,6.1366,307.4347,14.6969,30.4574,311.6533,0.8088,12.0204,343.3276,0.4699,-4.8135,366.9391,-2.8229,-26.6581,339.3505,-11.145,-41.4974,365.858,-16.4646,-43.1734,387.1392,26.0554,-33.3584,346.7069,22.8956,-53.9545,375.6293,19.3934,-42.7223,393.0239,44.9128,-27.7869,346.486,43.2374,-46.6476,374.6165,35.4768,-31.644,387.093,66.658,-16.4771,340.2308,68.0617,-33.875,365.4624,57.0404,-21.7724,378.6176
34.8689,43.1297,277.7048,22.1238,46.7106,274.1484,-3.4617,-16.0149,300.259,17.9183,-15.4686,305.4163,34.5051,-13.9412,308.8141,52.2926,-5.2593,308.6067,3.3437,19.8464,313.3022,-10.7065,-0.2518,342.5949,-13.0007,-18.355,365.134,-16.2774,-39.492,335.701,-25.3108,-56.0403,360.6831,-31.3642,-59.5627,381.5386,11.8232,-47.7181,342.9709,7.4655,-70.775,369.8207,3.5255,-61.2455,388.1145,31.188,-41.6426,344.1697,28.7105,-62.3312,370.5749,20.6691,-48.3273,383.9997,52.8463,-30.3775,339.258,53.2705,-49.619,362.738,41.9637,-38.4895,376.4964
24.0883,35.8197,282.3786,11.4956,39.9774,278.9076,-16.2488,-23.2501,301.3439,5.0819,-23.6405,306.7148,21.6703,-22.8094,310.3391,39.7131,-14.6798,310.7629,-8.7122,11.1699,316.3378,-23.9021,-10.4843,344.4735,-27.9696,-29.4766,366.0083,-30.7428,-48.1033,335.3322,-40.989,-65.6725,359.3593,-47.4846,-70.3204,379.8582,-2.3325,-57.5515,342.4786,-7.6299,-81.7798,368.0307,-11.4338,-73.4118,386.9121,16.5473,-52.5935,343.9647,12.7096,-74.905,369.1537,5.095,-61.5442,383.4543,39.0114,-41.5289,339.9148,38.4739,-62.0986,362.2488,27.5316,-51.4455,376.6633
14.1454,30.2982,287.9157,1.7056,35.0671,284.6882,-28.3968,-27.7022,305.297,-7.061,-29.12,310.4715,9.5729,-29.0713,313.9801,27.9306,-21.6872,314.5143,-19.2072,5.7316,321.284,-34.9221,-16.3128,348.7841,-39.8104,-35.7699,369.7251,-43.1414,-52.9951,338.6352,-53.5265,-70.8097,362.1163,-60.0584,-75.9205,382.4931,-15.5749,-64.142,344.785,-21.649,-89.1275,369.265,-24.9356,-81.5775,388.5833,3.9956,-60.0362,346.1759,-0.1683,-83.1537,370.2123,-6.9825,-70.225,385.2926,26.2364,-50.0527,342.306,24.9359,-71.8259,363.6387,14.6858,-61.5428,378.8109
8.7936,27.4828,292.6496,-3.5531,32.8709,290.1126,-35.5048,-28.8104,311.2165,-14.032,-31.2919,315.3107,2.7369,-32.0646,317.9955,21.4221,-25.5373,317.7372,-24.2535,3.919,327.1915,-39.819,-17.851,355.0725,-44.1489,-37.6559,375.8093,-50.1005,-53.6663,344.9029,-60.373,-71.1598,368.6111,-66.1599,-76.1836,389.2333,-22.3855,-66.5272,349.3435,-28.337,-91.631,373.5906,-30.4396,-83.9424,393.0191,-3.1505,-63.2266,350.0217,-7.55,-86.5135,373.9543,-12.738,-73.3246,389.4508,19.3089,-54.0266,345.1883,17.6904,-75.8454,366.212,8.637,-65.2994,381.9542
8.0686,26.6006,296.2241,-4.224,32.3823,294.3878,-36.8778,-28.2707,317.3182,-15.2974,-31.44,320.1891,1.5636,-32.7499,321.9185,20.4028,-26.8215,320.5952,-23.4141,4.0826,332.8516,-37.8586,-17.2188,361.8035,-40.9109,-37.3167,382.4858,-49.8769,-52.6759,351.6151,-58.9659,-69.7401,375.5955,-63.606,-74.4211,396.585,-22.9064,-66.777,354.2931,-28.3277,-91.9539,378.5914,-28.9074,-84.0891,398.0544,-3.2466,-64.185,353.666,-6.8326,-87.6197,377.3336,-10.5657,-74.2973,393.1317,19.242,-55.8883,347.7255,18.3505,-78.2117,368.5616,10.6963,-67.4988,384.9215
11.8993,27.7398,297.5966,-0.4109,33.6317,296.3106,-32.4385,-26.1872,322.133,-10.7704,-29.5582,323.9029,6.144,-31.0356,324.7502,24.9478,-25.3574,322.3033,-18.8993,6.2855,335.955,-32.8411,-14.3356,365.8499,-34.8529,-34.6658,386.4324,-44.1926,-50.0801,357.2155,-52.4088,-66.7815,381.7384,-56.1584,-71.0694,402.9882,-17.5794,-64.2509,358.9083,-22.436,-88.9961,383.8766,-22.1905,-80.6598,403.1495,2.1532,-61.7672,357.3437,-0.8241,-84.6933,381.6588,-3.8,-71.0078,397.3065,24.0751,-54.0368,349.939,23.4042,-76.0855,371.1854,16.6712,-65.0188,387.714
