j0_x,j0_y,j0_z,j1_x,j1_y,j1_z,j2_x,j2_y,j2_z,j3_x,j3_y,j3_z,j4_x,j4_y,j4_z,j5_x,j5_y,j5_z,j6_x,j6_y,j6_z,j7_x,j7_y,j7_z,j8_x,j8_y,j8_z,j9_x,j9_y,j9_z,j10_x,j10_y,j10_z,j11_x,j11_y,j11_z,j12_x,j12_y,j12_z,j13_x,j13_y,j13_z,j14_x,j14_y,j14_z,j15_x,j15_y,j15_z,j16_x,j16_y,j16_z,j17_x,j17_y,j17_z,j18_x,j18_y,j18_z,j19_x,j19_y,j19_z,j20_x,j20_y,j20_z
43.9024,132.7855,405.5958,43.8363,121.8652,397.3102,37.8224,77.657,454.5845,36.359,98.1504,462.4509,35.3887,114.3982,467.3568,35.4023,134.0489,464.9772,20.0709,98.6536,440.172,1.5154,80.5305,473.6375,-8.7644,64.2666,495.3357,11.3513,70.9287,486.7467,-6.2638,66.4513,508.1489,-26.8971,73.9385,506.6623,10.2505,86.0181,498.3279,-17.096,90.9025,509.6554,-30.3401,103.7036,499.5695,12.6483,108.2852,500.9203,-14.397,109.0547,508.1284,-26.271,114.233,491.5998,14.1479,126.4614,493.3159,-0.9634,121.0669,513.4639,-17.819,119.9224,500.9908
39.8627,133.8986,408.8782,38.6604,123.2642,400.3125,33.3218,77.7206,456.5987,33.5515,98.0095,465.1022,33.8461,114.1255,470.5047,34.9042,133.8064,468.6729,16.3262,99.0821,443.3609,-1.1044,80.2094,476.9578,-10.9452,63.4172,498.4561,8.7968,69.4412,489.1402,-7.2151,64.0358,510.3858,-27.8629,71.5929,509.6383,9.0233,84.5239,501.6057,-18.1911,89.4723,513.22,-31.6929,102.4491,503.7172,11.2227,106.4064,503.8153,-15.6464,106.288,511.6917,-27.9343,111.8587,495.599,12.6808,125.1004,496.8451,-3.4056,118.7986,517.2376,-20.5101,117.9234,505.0857
36.496,135.7459,411.189,36.1814,125.0824,402.5809,33.2969,79.0797,458.6728,31.9521,99.3036,467.2275,31.0153,115.3808,472.6725,30.6901,135.0932,470.9039,14.2609,99.7763,445.6794,-2.9233,79.9379,479.4658,-12.0165,62.748,500.9791,8.6977,69.673,491.3397,-7.5564,63.4575,512.9245,-28.3189,70.728,512.6822,8.0882,85.0302,503.8715,-19.1013,89.5949,515.6993,-33.0285,102.4472,506.6521,10.6161,106.5879,507.1335,-16.1405,106.0026,515.3642,-28.8887,111.5462,499.6241,10.7805,125.8918,499.6613,-3.3517,119.3605,520.0738,-20.7297,118.3686,508.3255
31.9562,137.8301,414.047,31.3979,127.411,405.1566,30.6478,79.8351,459.9912,29.5009,99.8028,469.1551,28.675,115.715,475.0811,28.1968,135.4672,473.8825,10.7434,102.3045,448.6711,-5.4003,82.6811,482.6823,-13.5871,65.0543,504.2061,6.5901,71.5881,493.5172,-9.3641,66.1189,515.7506,-29.9928,73.7047,516.7072,6.8271,85.0685,506.3679,-19.5356,89.3412,520.0337,-33.717,102.6652,512.1368,8.4188,107.8913,509.8586,-17.6795,108.0344,520.0005,-31.1246,114.0618,505.0373,9.349,126.9107,503.4916,-4.0149,120.8438,524.4857,-21.948,120.203,513.5772
27.385,141.8805,416.3679,25.8071,131.6562,407.3745,23.9583,83.4085,461.5926,24.478,103.2675,471.045,24.9285,119.1083,477.1987,25.7139,138.8651,476.2688,5.535,106.5781,451.0575,-10.3056,86.982,485.1915,-18.671,69.3608,506.6511,0.8454,75.7704,495.69,-14.3954,70.7338,518.1739,-34.6636,79.1301,519.8179,1.4156,88.7056,508.0866,-24.2067,92.6704,523.1788,-38.0589,106.7038,515.955,5.3435,111.7765,512.4645,-20.5707,113.0839,522.9879,-34.22,119.862,508.5396,7.3046,130.1493,506.2113,-5.7791,123.9548,527.4918,-24.1312,124.2502,517.2883
22.8887,145.3635,418.3509,21.3249,135.0161,409.4967,18.2612,87.6434,464.4267,18.8599,107.6416,473.5761,19.3919,123.5713,479.489,20.3927,143.3022,478.2635,0.308,110.476,452.8002,-16.0628,91.361,486.5307,-24.9396,74.143,508.1118,-4.9371,79.267,498.2496,-20.2178,73.7494,520.5289,-40.4639,82.2652,521.7845,-3.2238,92.88,511.1315,-29.407,98.6364,524.5963,-43.1854,112.5929,517.0881,-0.6576,116.51,514.5484,-26.8899,118.006,524.2243,-40.3258,124.6097,509.4978,0.7104,135.2061,508.0478,-13.4237,129.3922,529.4364,-31.6297,129.7382,518.9759
18.3539,147.8702,419.6901,17.0749,137.4889,410.8301,14.0451,90.136,465.7791,14.1999,110.1518,474.9084,14.3965,126.0948,480.8061,15.0955,145.8379,479.5671,-4.6703,114.6485,454.9302,-21.6461,96.8178,489.3577,-30.6269,79.8125,511.0641,-9.2028,83.7916,499.8705,-24.4624,79.6272,522.2477,-44.5644,88.4516,523.6752,-9.0224,98.2173,512.7805,-34.5474,104.3253,527.312,-48.2839,118.3939,519.9374,-4.6991,120.2204,516.6091,-30.9177,122.8643,526.0746,-44.5472,129.4888,511.5366,-3.8711,138.9003,509.7673,-17.3933,133.9542,531.2987,-35.7552,134.4762,521.1219
17.282,150.4885,420.3965,15.7154,140.1546,411.5271,13.2973,92.6285,466.3567,13.8466,112.6068,475.5524,14.3297,128.5245,481.5019,15.211,148.2637,480.3194,-4.947,116.1011,455.5675,-21.0874,97.3118,489.9697,-29.7497,80.1344,511.67,-9.9543,84.9502,500.5631,-25.3679,79.8603,523.2387,-45.4353,88.7211,524.9087,-9.1686,99.9145,513.3043,-34.7265,105.7512,527.8894,-48.5252,119.8672,520.7246,-5.0334,122.9896,517.2151,-31.085,125.6997,527.1129,-44.8946,132.3543,512.7598,-3.9131,140.8201,510.717,-17.6708,135.4652,532.5847,-36.2386,136.0006,522.7893
16.3222,152.7403,420.9121,15.5432,142.2135,412.1663,14.2988,95.3974,467.6422,13.5328,115.5027,476.5411,13.003,131.5047,482.2556,12.8462,151.2442,480.7926,-4.8906,117.8951,456.5512,-20.9104,98.8299,491.3482,-29.1978,81.6147,513.1647,-9.8633,88.2179,501.6113,-25.9918,83.4255,524.2862,-46.4291,91.4912,525.4094,-9.9574,103.0289,514.0726,-35.7391,107.9069,528.616,-49.9057,121.4327,521.0422,-6.5264,125.1325,517.738,-32.6244,126.549,527.7824,-46.4172,132.5978,513.1478,-5.8797,143.8812,511.2619,-19.2948,138.6063,533.09,-37.7349,138.3349,523.0456
16.9183,153.3088,420.7993,16.084,142.7558,412.0902,15.3543,96.0976,467.708,14.6311,116.2273,476.5552,14.1243,132.2449,482.2281,13.9273,151.9798,480.7099,-3.7058,118.6971,456.4623,-19.155,99.9154,491.102,-27.2059,82.7804,513.0697,-8.2185,88.8325,501.9538,-23.9096,83.9965,524.7492,-44.4552,91.7955,525.7752,-8.6951,103.4995,514.1037,-34.6899,108.1903,528.3258,-49.06,121.4226,520.6181,-5.0689,125.594,517.8425,-31.2631,126.6722,527.6762,-45.1263,132.4504,512.9989,-4.5735,144.1642,511.0792,-17.7913,138.5804,532.7764,-36.207,137.9889,522.7009
