j0_x,j0_y,j0_z,j1_x,j1_y,j1_z,j2_x,j2_y,j2_z,j3_x,j3_y,j3_z,j4_x,j4_y,j4_z,j5_x,j5_y,j5_z,j6_x,j6_y,j6_z,j7_x,j7_y,j7_z,j8_x,j8_y,j8_z,j9_x,j9_y,j9_z,j10_x,j10_y,j10_z,j11_x,j11_y,j11_z,j12_x,j12_y,j12_z,j13_x,j13_y,j13_z,j14_x,j14_y,j14_z,j15_x,j15_y,j15_z,j16_x,j16_y,j16_z,j17_x,j17_y,j17_z,j18_x,j18_y,j18_z,j19_x,j19_y,j19_z,j20_x,j20_y,j20_z
7.2388,73.2673,293.7163,1.967,72.783,280.4594,-37.0101,14.0917,297.7527,-28.588,19.2656,317.4072,-20.7937,25.3546,331.2337,-12.0638,33.0687,343.7211,-46.6341,49.6017,304.7936,-79.7655,33.7991,321.3823,-106.1592,24.5135,320.3119,-83.5847,-4.1329,318.116,-102.5718,8.8384,324.9887,-113.2048,25.4741,328.1813,-79.465,5.1508,336.0701,-90.0986,29.7253,339.5367,-79.9205,48.8169,335.5466,-65.0305,20.2861,349.1617,-68.5148,44.7973,341.2204,-59.9773,62.5668,331.4555,-42.1226,7.9584,365.637,-61.2701,-8.0369,379.5974,-79.1908,-8.9605,381.0093
0.9821,79.3237,291.0121,-3.4589,78.6775,277.461,-42.6891,19.6105,292.7909,-35.5556,25.0316,312.8838,-28.702,31.3186,327.1142,-20.8527,39.233,340.0527,-53.1416,55.8422,300.0285,-87.0523,40.2561,315.4318,-113.3961,30.9313,313.6846,-90.1126,2.4954,312.1321,-109.372,15.0773,318.9712,-119.9252,31.7549,322.21,-87.0022,11.7252,330.5526,-97.5839,36.3803,333.5783,-86.7641,55.0984,329.5086,-73.4113,26.4952,343.9017,-76.4938,51.1633,336.2871,-67.7821,69.126,327.0432,-50.6761,13.4387,361.6322,-69.7155,-3.0285,375.4087,-86.8849,-7.6202,378.2597
-5.0391,85.051,288.6312,-8.9419,84.2873,274.9215,-48.2131,24.9527,289.0674,-41.9176,30.5529,309.3899,-35.6809,36.983,323.8384,-28.4132,45.0423,337.0249,-59.1047,61.1757,295.9363,-93.3034,45.4192,310.2632,-119.3475,35.3013,308.4388,-95.8919,6.9715,306.9395,-115.4671,19.2,313.5177,-126.0718,35.8572,316.6928,-93.632,17.1272,326.1641,-104.0823,41.9409,328.1821,-92.4866,60.0835,323.6669,-81.3419,34.2607,338.387,-84.3104,58.917,330.689,-75.3133,76.8941,321.7517,-60.9259,22.0088,358.5335,-81.9001,7.1498,372.4088,-98.4698,1.1326,376.0472
-9.4854,89.4245,286.5592,-12.1434,87.6927,272.6413,-50.5541,27.8689,287.0863,-46.2516,34.9122,307.4795,-41.519,42.4287,321.9745,-35.7023,51.5336,335.2003,-63.2127,65.1545,292.83,-98.2083,49.7099,306.6644,-123.7376,38.3301,305.0043,-99.068,11.8121,304.5387,-119.7793,22.2744,310.6693,-130.733,38.8348,313.0711,-98.2211,21.3965,323.3696,-109.4162,45.9373,324.5589,-98.0548,64.1764,319.8414,-87.5598,39.8811,335.3072,-90.3164,64.3483,326.9551,-81.3843,82.2906,317.8837,-69.2607,29.4533,356.6281,-91.0745,15.1005,370.5567,-106.4719,7.0312,375.2265
-12.792,94.2043,286.9486,-15.2078,92.2857,273.0111,-53.693,32.5381,287.5727,-49.7578,39.856,307.9434,-45.2936,47.5724,322.4184,-39.7282,56.8641,335.6225,-66.2829,69.4865,291.9802,-101.0818,53.9527,304.9044,-125.6082,40.4732,304.0343,-102.1601,15.6826,304.3901,-123.367,25.5198,309.8211,-134.7917,41.8483,311.5118,-102.0447,26.4902,322.8915,-114.0772,50.6608,322.8611,-103.1968,69.0882,317.7576,-91.862,45.6008,333.8857,-96.0341,69.8109,325.3729,-87.3562,87.8819,316.3103,-72.9525,33.8116,356.4791,-94.5308,18.8396,370.0249,-108.7627,9.1021,375.1856
-14.9407,98.2269,288.078,-16.9131,96.162,274.0916,-56.4731,36.981,288.0751,-53.1398,44.508,308.4769,-49.0783,52.3563,322.9996,-43.858,61.7532,336.2699,-67.9634,73.7231,291.3478,-102.2656,58.6457,302.9428,-125.9732,43.9465,305.3691,-105.2176,21.068,305.0089,-127.0077,29.7034,310.1684,-139.2286,45.4883,311.3874,-105.7846,32.0428,322.9388,-119.2421,55.4492,322.7493,-109.0425,74.2371,317.5547,-95.8992,50.5439,333.4167,-101.8453,74.5392,325.3625,-93.698,92.9712,316.5374,-76.2483,36.7474,355.4682,-97.0916,20.6561,367.8224,-110.6709,9.8286,372.5521
-15.8115,101.5895,288.9969,-17.7227,99.6753,274.9806,-58.6848,41.2798,288.2094,-55.3411,48.5757,308.6933,-51.2177,56.2214,323.3063,-45.892,65.3991,336.6877,-68.901,78.0937,289.4981,-102.5739,63.8939,299.0499,-124.9819,49.4378,307.5884,-107.8808,28.2329,306.2521,-130.4101,34.0464,312.1371,-144.2584,48.4041,313.5794,-108.2536,37.6886,323.4492,-123.3073,60.1022,323.3136,-114.2693,79.3963,317.8315,-98.2304,55.7742,332.9811,-107.3811,79.0122,325.7518,-99.9167,97.7327,316.9299,-78.6647,40.669,355.1607,-99.6349,24.845,366.981,-112.7708,13.5082,371.7691
-17.1464,105.3556,289.7049,-18.725,103.3211,275.6643,-60.3013,45.2556,288.4213,-57.4204,52.7243,308.9132,-53.615,60.4845,323.5521,-48.5698,69.7593,336.9752,-69.5845,81.8388,284.166,-101.7929,68.2343,289.5501,-122.9799,57.711,304.529,-109.9966,35.9799,307.4039,-132.7529,36.1768,315.027,-148.73,47.9323,317.5841,-110.0116,41.721,324.6959,-127.2982,62.4615,324.613,-119.5741,82.1001,318.3952,-100.5133,58.7608,333.631,-111.6128,81.1313,326.3948,-104.3881,99.7181,317.1032,-81.038,44.8444,355.2193,-101.6706,29.0118,366.8128,-114.2974,17.1614,371.7251
-18.5361,111.1564,290.5319,-19.6551,109.0558,276.4568,-59.8395,49.8015,288.164,-57.7632,57.3817,308.7122,-54.6058,65.2723,323.4353,-50.2199,74.7118,336.9747,-68.2245,84.1786,269.5911,-98.5205,71.9153,278.9593,-119.1014,66.3977,297.1246,-110.1638,41.6245,307.5304,-133.4058,37.848,316.4746,-151.0477,45.8736,321.4092,-108.767,42.0087,325.983,-129.9539,58.6742,327.5245,-125.3967,79.2724,321.2836,-101.0838,59.3901,333.8848,-117.6765,78.6717,328.5087,-112.7772,98.0894,319.4011,-82.3136,48.8523,355.2134,-102.8822,32.2792,366.9025,-115.6323,20.5818,371.863
-20.4207,118.9963,291.178,-21.6484,117.8067,277.0059,-59.4028,56.3904,285.1036,-57.3387,62.6443,306.0947,-54.2845,69.6416,321.2838,-50.0771,78.3103,335.3837,-68.2067,92.4464,262.3711,-98.4932,80.0863,271.6424,-117.9094,75.1609,291.2064,-108.9057,44.4108,305.4059,-132.21,38.7713,314.9635,-150.1436,43.8276,322.2311,-104.6767,38.5757,323.866,-129.7753,45.9717,330.5267,-132.1825,67.7241,328.2825,-98.5393,55.2987,333.1069,-121.6521,67.1767,332.2619,-120.0098,87.7225,324.5697,-82.5267,52.9176,353.304,-103.2309,36.7159,364.7379,-116.8564,25.8516,369.2451
