j0_x,j0_y,j0_z,j1_x,j1_y,j1_z,j2_x,j2_y,j2_z,j3_x,j3_y,j3_z,j4_x,j4_y,j4_z,j5_x,j5_y,j5_z,j6_x,j6_y,j6_z,j7_x,j7_y,j7_z,j8_x,j8_y,j8_z,j9_x,j9_y,j9_z,j10_x,j10_y,j10_z,j11_x,j11_y,j11_z,j12_x,j12_y,j12_z,j13_x,j13_y,j13_z,j14_x,j14_y,j14_z,j15_x,j15_y,j15_z,j16_x,j16_y,j16_z,j17_x,j17_y,j17_z,j18_x,j18_y,j18_z,j19_x,j19_y,j19_z,j20_x,j20_y,j20_z
78.4848,42.4624,284.1647,65.5349,38.8127,281.5399,72.0765,-18.4815,325.647,90.7513,-7.0229,327.6358,104.7257,2.6332,328.3241,116.4332,17.881,323.6067,57.0228,24.9245,330.1033,50.6389,14.5087,366.5245,61.2161,3.4445,391.1559,91.0447,-45.6407,358.8616,105.1019,-65.7681,383.4767,111.1011,-75.552,402.246,108.0417,-24.5147,367.938,119.6985,-36.3073,395.1087,105.8156,-20.6029,393.8282,120.6456,-14.027,362.9964,131.7033,-25.5989,387.0793,117.9146,-10.5426,382.1623,129.3688,3.1692,355.5547,138.8559,-7.6207,378.9858,124.0613,7.0973,376.6405
78.2011,36.1213,282.8074,65.6609,31.7572,279.4007,73.2333,-25.9026,322.8617,91.04,-13.3906,326.0825,104.3431,-2.9325,327.7117,115.3447,13.0774,323.9089,55.2947,17.8272,327.7097,47.5072,7.3623,364.0017,58.4088,-3.4011,388.625,90.862,-48.7266,359.2234,103.8095,-65.4899,385.9296,107.2105,-71.0759,406.935,107.1721,-30.0167,365.9991,117.7397,-40.9078,392.1471,103.7084,-26.5678,385.9433,119.0433,-18.7257,362.695,129.1107,-29.5418,386.6534,115.1746,-15.3981,379.8168,127.7824,-1.3312,356.1932,136.9048,-11.8991,379.8721,121.2843,1.8103,376.8632
76.8276,30.9869,281.8191,65.0665,25.7463,277.1158,73.2866,-32.5156,319.6463,89.6151,-18.7296,324.8742,101.7946,-7.2985,328.0346,111.7394,9.6573,325.7077,52.151,10.7016,324.5929,42.4313,-0.6203,360.3221,53.8603,-11.0212,384.8618,87.2397,-51.8371,358.6747,97.3558,-65.8454,386.9705,94.3274,-64.8762,408.7395,109.5834,-40.6921,360.0156,112.8041,-46.5058,389.2702,99.5655,-33.2722,379.7511,117.6883,-24.9703,361.4427,124.2607,-33.7151,387.2173,109.94,-20.474,379.4334,122.3691,-4.2853,358.9032,130.1767,-14.5262,383.2854,113.6248,-2.2438,379.2634
76.2193,24.0684,280.2323,65.3441,18.23,274.2698,74.3102,-41.335,314.7974,89.0216,-26.6793,322.0626,99.9707,-14.5668,326.7961,108.7495,3.1609,326.1089,50.191,1.0458,320.6988,38.7333,-11.9477,355.8051,51.0654,-22.3056,379.9222,85.3889,-60.247,353.568,93.2219,-73.6182,380.9798,83.9573,-66.0489,399.4426,109.487,-50.3588,355.7738,109.7453,-55.6034,385.3107,97.4059,-42.8681,374.0611,111.3034,-30.7622,362.8349,119.0651,-41.8542,387.5176,104.1461,-29.5461,379.3363,116.8275,-10.6106,360.4035,122.799,-20.7911,385.7555,105.3751,-9.807,381.662
76.6469,15.609,278.1392,66.817,9.4968,270.796,76.2391,-52.0073,308.2037,89.1264,-36.9567,317.7639,98.6938,-24.5094,324.2852,106.2052,-6.2402,325.562,49.4271,-10.3742,316.0081,36.1692,-25.5236,350.4773,49.3233,-36.0012,374.1034,84.81,-72.7842,345.6395,90.7462,-87.1742,371.5675,79.4881,-77.493,387.8011,108.3728,-61.9972,351.2086,108.2604,-69.8364,380.1661,96.2338,-56.8259,368.8928,108.8517,-42.4537,360.734,115.9513,-54.9957,386.2094,99.652,-43.6832,379.3276,111.7721,-21.1211,360.2869,115.9192,-32.2066,386.1552,97.6486,-22.6397,382.198
77.8432,5.5954,274.6325,69.8525,-0.7015,265.4452,79.369,-64.0348,299.6387,89.1853,-48.7846,312.0915,96.438,-36.151,320.8545,101.8997,-17.4815,324.5198,48.2376,-24.9519,306.9511,31.6805,-43.5277,338.7447,44.5582,-54.0877,362.486,84.468,-87.0202,335.4159,87.9234,-102.5963,359.6602,74.1136,-91.5356,372.735,100.0655,-72.711,350.3548,107.2473,-88.5045,375.612,93.1554,-75.3912,367.2179,104.2075,-56.8093,359.4335,109.9482,-72.0731,387.9385,90.6112,-64.1554,385.8432,104.0896,-33.7044,360.5396,105.7652,-46.1168,388.0991,85.4339,-40.8987,388.739
78.5131,-4.1677,270.9945,72.9132,-10.6239,260.2769,83.0286,-74.7354,292.8078,88.9216,-59.4096,307.45,93.2073,-46.7022,317.8976,95.9769,-27.8564,323.2809,47.9951,-39.0416,297.5264,28.8174,-60.9128,326.1948,41.2224,-70.9411,350.4135,86.7902,-100.6677,325.6007,89.2769,-117.8106,347.279,73.0255,-105.4859,355.5247,97.8822,-85.9713,347.0557,104.1131,-104.4412,374.5961,85.8073,-94.6921,371.3019,94.6744,-67.6981,359.5953,95.8002,-83.8096,391.5926,75.2597,-82.7534,395.8317,92.2762,-42.6227,360.1651,89.4279,-53.9878,388.5536,69.743,-54.9182,395.8089
77.2236,-15.3608,268.3829,74.6371,-21.7719,256.5458,87.9358,-85.9891,287.6933,88.8155,-71.0364,303.8067,89.2649,-58.6046,315.3933,88.2586,-39.966,321.9815,47.7014,-53.7901,289.944,26.8464,-78.5801,315.8025,38.8736,-88.1642,340.3889,89.5899,-113.4658,317.9931,90.6466,-131.0174,337.3481,72.8945,-118.7461,341.6235,91.0124,-97.3139,345.4012,92.5637,-115.8697,374.7731,72.6562,-109.3951,373.1084,77.1632,-76.0016,356.4434,67.9492,-89.2475,387.6983,47.3325,-89.8706,391.6434,74.4769,-52.3144,354.6461,64.3539,-61.3845,378.6389,43.7023,-62.2851,382.3402
75.2048,-25.5536,266.4257,74.8829,-31.7761,254.2157,90.1434,-95.4582,285.5618,87.3623,-81.0451,301.9487,85.016,-69.0274,313.7414,81.2944,-50.8033,320.5124,46.7374,-65.2137,285.0467,24.9593,-91.0866,308.9027,35.9031,-101.003,333.8606,89.8964,-123.0449,314.7943,89.743,-140.1842,332.956,71.0511,-128.8192,335.2903,78.0358,-105.6593,344.093,71.3917,-123.1939,374.1158,50.8408,-119.224,375.8194,60.8019,-82.0555,348.6492,42.9141,-91.6799,374.4368,21.9532,-90.495,374.9233,63.7774,-61.1126,349.0057,43.4613,-65.2154,361.1064,22.7199,-63.6822,358.2006
73.3792,-31.8341,265.4671,74.7221,-37.7845,253.1912,90.7127,-101.0939,284.9257,85.3324,-87.2591,301.163,81.0125,-75.6825,312.8386,75.4489,-57.884,319.4775,45.2462,-72.1868,282.0596,22.3728,-98.883,304.4615,32.1308,-108.7254,329.9352,88.3647,-129.7938,313.0214,86.9037,-147.6504,330.5022,67.2487,-137.9778,332.532,67.854,-110.5213,341.3676,55.4173,-127.0734,369.975,34.7882,-124.4058,372.8605,50.7826,-85.2498,342.0014,29.0536,-92.1267,362.9634,8.3549,-89.7556,360.3289,56.9513,-67.8164,347.4808,33.2544,-68.6257,351.1957,12.8485,-66.4805,346.7237
