j0_x,j0_y,j0_z,j1_x,j1_y,j1_z,j2_x,j2_y,j2_z,j3_x,j3_y,j3_z,j4_x,j4_y,j4_z,j5_x,j5_y,j5_z,j6_x,j6_y,j6_z,j7_x,j7_y,j7_z,j8_x,j8_y,j8_z,j9_x,j9_y,j9_z,j10_x,j10_y,j10_z,j11_x,j11_y,j11_z,j12_x,j12_y,j12_z,j13_x,j13_y,j13_z,j14_x,j14_y,j14_z,j15_x,j15_y,j15_z,j16_x,j16_y,j16_z,j17_x,j17_y,j17_z,j18_x,j18_y,j18_z,j19_x,j19_y,j19_z,j20_x,j20_y,j20_z
34.3625,157.4726,318.046,23.1356,158.5386,310.2531,4.3969,90.3827,326.8211,22.0885,95.0419,339.04,35.7805,99.7708,347.9374,50.2515,111.9554,353.7633,7.2412,119.2486,340.6024,-4.838,89.3897,363.6667,-22.2847,69.2391,375.0934,-10.4204,68.6654,360.5403,-20.4413,53.978,383.3445,-29.1194,63.3893,401.2363,5.9896,71.902,375.3907,-7.8072,68.8592,401.8556,-15.2476,86.3491,410.7855,17.7396,87.125,383.1388,5.2424,78.3649,407.5234,-6.246,95.8176,409.6264,37.1584,96.4397,385.6949,27.4773,84.9674,409.3053,10.5951,94.5299,417.3395
35.2474,155.8786,317.689,24.0116,156.9305,309.907,5.6095,88.6007,326.1325,23.2845,93.2821,338.3668,36.9581,98.0311,347.282,51.3732,110.255,353.1637,8.4226,117.394,340.0878,-3.4237,87.3494,363.0228,-20.744,67.0488,374.376,-8.8642,66.5729,359.7747,-18.6475,51.6834,382.5148,-27.3806,60.9583,400.4511,7.7862,69.6654,374.6718,-5.793,66.7262,401.2606,-13.2641,84.1521,410.2896,19.141,85.0803,382.3425,6.8383,76.1378,406.5518,-4.7125,93.5355,408.7646,38.6876,94.725,385.0515,29.343,83.2851,408.5409,12.46,92.7569,416.6802
36.4668,153.7299,317.2033,25.2169,154.7672,309.4397,7.1556,86.2727,325.3508,24.8229,90.9772,337.5874,38.4846,95.7467,346.5098,52.849,108.0094,352.4347,9.7586,115.0403,339.4829,-1.9929,84.8399,362.3219,-19.1974,64.3971,373.5957,-7.3453,64.0962,359.0516,-17.1828,49.0517,381.9143,-25.9449,58.1946,399.9041,9.0948,67.6506,373.981,-4.4936,64.2209,400.5063,-12.048,81.5837,409.5872,20.2587,82.9211,381.6696,7.6003,74.0135,406.0889,-4.0486,91.3386,408.3562,39.8282,92.249,384.3079,30.1949,80.5888,407.8889,13.2292,89.9209,416.0177
37.4587,151.4799,317.0007,26.2229,152.4709,309.2106,8.5123,83.838,324.918,26.1212,88.6148,337.2107,39.7326,93.4415,346.1791,54.0116,105.7722,352.169,10.7554,112.6081,339.0696,-1.0032,82.3041,361.7686,-18.2093,61.8025,372.9323,-5.871,61.6357,358.5066,-15.5979,46.621,381.2213,-24.3817,55.7015,399.2321,11.132,64.3335,373.2903,-2.3872,61.2904,399.8981,-10.0616,78.5797,409.0184,21.7371,80.3031,381.25,9.2638,71.1965,405.5587,-2.49,88.4455,407.8652,41.3523,89.7512,383.8907,32.0154,77.9349,407.2871,15.0008,87.1549,415.4417
38.4301,148.485,317.4294,27.0598,149.5613,309.8485,9.1645,81.0384,325.8244,27.0298,85.6813,337.7942,40.8374,90.405,346.514,55.3098,102.6306,352.2496,11.7103,109.6788,339.5672,0.0578,79.4023,362.1278,-17.1378,58.9429,373.3848,-5.2664,58.7296,359.3034,-15.0217,43.6491,381.9351,-23.7514,52.7651,399.9542,11.4362,61.8862,373.9416,-2.2182,58.3153,400.4143,-9.8988,75.6132,409.5132,22.7754,77.3151,381.4581,10.2866,68.2643,405.6197,-1.4573,85.5151,407.9632,42.3099,86.8486,384.0565,32.7034,75.1861,407.5608,15.7045,84.3945,415.761
38.7034,144.6377,317.9363,27.3183,145.7598,310.3846,8.5844,77.7069,327.3757,26.5568,82.2775,339.2121,40.4602,86.9377,347.8132,55.1153,99.0486,353.3239,11.7593,106.6675,340.9223,-0.0415,77.0176,364.0839,-17.4811,57.0917,375.9085,-5.9284,56.3798,361.4442,-15.7368,41.9659,384.4694,-24.235,51.4562,402.4058,11.2443,58.8926,375.7452,-2.1887,56.1168,402.4258,-9.5392,73.7012,411.2439,22.8983,74.4006,382.9223,10.8354,65.7891,407.0383,-0.6945,83.1997,409.2596,42.6484,83.2487,385.3913,33.4261,71.5609,409.113,16.5923,80.9291,417.4712
37.5864,141.2138,318.4473,26.2388,142.3591,310.8427,5.7471,75.4577,330.2118,23.8237,79.9825,341.9063,37.837,84.5866,350.3581,52.7957,96.5047,355.4578,9.8013,104.8281,342.9023,-2.6721,76.3478,367.2306,-20.5742,57.3757,379.9024,-9.4276,56.3289,365.3587,-19.7013,43.3782,389.154,-27.9754,53.8954,406.6162,7.9641,58.1484,379.1587,-5.7228,58.012,405.8542,-12.4488,76.3303,413.6131,19.6512,74.0928,386.0964,7.0793,66.8385,410.8024,-3.8212,84.7353,412.1745,39.9365,82.1848,387.9928,30.4362,71.6053,412.0294,13.8519,81.5037,420.2747
35.8868,139.3092,319.871,24.5226,140.6292,312.3197,1.4083,75.506,334.5806,19.7763,79.7244,345.9306,34.0557,84.0642,354.0708,49.5563,95.5289,358.5547,6.0337,105.1661,345.5947,-7.9967,78.2545,370.8457,-26.8089,60.736,384.2697,-14.9298,58.3304,370.123,-25.9686,46.7259,394.137,-33.9893,58.156,411.1376,2.1726,60.2037,383.6804,-12.1166,61.6947,410.0166,-18.2177,80.64,416.7138,14.948,75.6507,389.9379,1.7209,69.8265,414.7666,-8.5134,88.1579,415.2361,35.4049,82.7521,391.6768,24.8562,73.228,416.3668,8.5305,83.8988,424.1517
33.7316,137.1278,321.8333,22.5233,138.435,314.0504,-3.0296,75.2793,339.1358,15.3075,79.4647,350.5477,29.6074,83.7428,358.6848,45.4129,94.912,362.8378,2.555,105.3863,348.7118,-12.5684,80.3563,374.9633,-32.1363,64.4461,389.2798,-20.87,61.0674,375.0572,-32.8658,51.5114,399.2107,-40.8086,63.8777,415.581,-3.259,62.2847,388.9682,-17.7532,65.4314,415.0453,-23.3121,84.8665,420.7352,9.9422,77.7446,394.7191,-3.6658,73.5939,419.6542,-13.3065,92.2409,419.067,30.4848,83.9572,396.3817,19.3344,75.7747,421.4368,3.2425,87.2528,428.5292
30.9398,134.8714,324.4078,19.7165,136.3657,316.6804,-7.9593,75.0131,343.8975,10.6278,78.8449,355.0257,25.1536,82.8229,362.9108,41.4062,93.506,366.5903,-1.4808,105.4101,352.5379,-17.5371,81.9621,379.699,-37.7491,67.6535,394.7901,-26.1743,62.8666,380.4611,-38.445,54.684,405.0924,-45.8025,67.6861,421.2421,-8.3738,63.832,394.1352,-22.6463,68.6095,420.0866,-27.5896,88.3649,425.2138,5.3442,78.8672,399.2109,-8.3834,76.126,424.3663,-17.4795,95.02,423.2362,26.747,84.6798,400.6384,15.8453,78.116,425.9591,0.2442,90.4292,432.7409
