j0_x,j0_y,j0_z,j1_x,j1_y,j1_z,j2_x,j2_y,j2_z,j3_x,j3_y,j3_z,j4_x,j4_y,j4_z,j5_x,j5_y,j5_z,j6_x,j6_y,j6_z,j7_x,j7_y,j7_z,j8_x,j8_y,j8_z,j9_x,j9_y,j9_z,j10_x,j10_y,j10_z,j11_x,j11_y,j11_z,j12_x,j12_y,j12_z,j13_x,j13_y,j13_z,j14_x,j14_y,j14_z,j15_x,j15_y,j15_z,j16_x,j16_y,j16_z,j17_x,j17_y,j17_z,j18_x,j18_y,j18_z,j19_x,j19_y,j19_z,j20_x,j20_y,j20_z
8.5383,76.4119,300.6901,-2.2661,81.333,294.1524,-38.9709,26.3453,312.3609,-21.9736,21.3537,323.6382,-5.7602,20.963,331.4467,11.5368,26.5618,335.7183,-40.9981,51.863,327.1053,-71.0996,28.9596,352.7154,-91.1953,13.9774,362.7501,-61.1235,9.7489,348.2959,-73.6177,0.3884,368.5634,-80.8848,8.8193,387.54,-48.1544,12.9068,361.9281,-62.1572,8.3889,382.4075,-67.1569,26.3298,394.1177,-32.3055,19.5166,365.6914,-47.8497,18.6697,385.7442,-51.1778,38.331,392.3287,-15.4808,25.7081,364.5711,-30.1875,25.2434,380.2767,-35.1927,42.4425,382.0483
8.2946,77.6017,300.0012,-2.4603,81.6698,292.8266,-37.2095,25.8512,312.2999,-20.4608,22.2416,324.4428,-4.5739,23.0204,332.869,12.2516,29.6622,337.5132,-39.7338,52.3094,327.7245,-68.7419,29.4596,354.8838,-89.6323,15.597,364.9048,-59.2039,9.421,348.6719,-71.7308,0.0633,369.3874,-79.8871,8.1133,388.167,-46.8584,13.4821,362.6325,-61.0489,8.7732,383.1621,-67.0785,26.5255,394.673,-31.7684,20.8192,366.5147,-47.6681,19.5323,386.1862,-51.9861,39.0083,392.7468,-15.1278,28.2039,365.7436,-29.8654,27.419,380.9393,-35.5619,44.4487,382.1797
7.7867,77.7089,298.6536,-3.0905,80.849,291.2023,-35.6685,25.1214,314.3443,-18.8424,23.0142,326.7316,-3.0365,24.9966,335.1126,13.4899,32.6063,339.3258,-37.9309,53.1347,329.81,-65.0539,31.5595,359.8657,-85.7964,19.2942,372.044,-56.3409,10.0106,351.9984,-68.0964,1.4177,373.4107,-76.5346,10.1667,391.7478,-44.0836,15.6768,365.6977,-57.48,11.7826,386.3783,-63.4797,30.629,396.0123,-29.3475,24.6834,369.0747,-44.4829,24.5033,388.6113,-48.8764,44.5661,392.9913,-13.4921,33.2464,367.3412,-27.5929,33.5809,381.982,-32.5598,50.8135,380.4431
8.5646,75.3789,296.9147,-2.2669,77.3386,289.0069,-32.9249,22.525,316.5385,-16.3077,22.3074,329.3768,-0.7953,25.7498,337.8335,15.288,34.4459,341.6393,-36.6273,53.162,330.2729,-63.3654,34.3486,362.3847,-82.4768,23.0568,377.7551,-53.6677,10.1013,355.2338,-65.5131,3.0066,377.3312,-74.4751,13.6123,394.3959,-42.1065,17.4418,368.1579,-55.6701,14.8838,388.5468,-62.2897,34.4229,396.1889,-27.7295,27.3506,371.0172,-43.0805,28.2629,389.9299,-47.943,48.5921,391.9495,-11.8797,36.433,368.9824,-25.7747,37.4493,382.9672,-31.0544,54.3087,379.5197
9.0229,72.1666,295.6609,-1.8906,73.3871,287.7174,-31.2286,19.8344,318.9236,-14.5409,20.7901,331.636,0.9409,25.0922,339.7481,16.8566,34.3483,342.8776,-35.5276,52.1689,330.8744,-61.6437,35.6949,364.3819,-80.7535,26.4598,381.0711,-51.8423,10.6348,358.067,-63.3721,5.4893,379.9609,-72.47,19.0162,394.7342,-40.7261,18.2581,370.398,-54.5038,16.9258,390.7933,-62.2168,36.6669,396.6925,-26.7496,28.7834,372.5215,-42.7538,30.9168,391.4634,-48.4235,51.1216,392.2518,-10.8236,37.3589,369.9384,-25.2156,38.9242,384.0084,-31.3224,55.3551,379.9181
9.0174,68.9629,295.3936,-2.0404,69.8323,287.6049,-30.2764,16.949,320.8993,-13.3886,18.4572,333.29,2.1804,23.1591,341.0035,18.0466,32.6668,343.5814,-34.4789,49.82,332.0785,-59.6317,34.3025,366.5632,-77.9424,25.7191,384.4529,-50.6591,10.6145,359.9019,-61.6405,7.2018,380.915,-70.2748,23.8228,392.4557,-39.7872,18.7765,371.8686,-53.5999,18.9436,392.0545,-61.6362,39.0232,396.083,-25.9319,28.4687,373.4676,-42.3343,31.5667,392.409,-48.9837,51.4794,392.928,-9.3655,36.2359,370.8765,-23.6391,38.0944,385.0892,-30.522,54.2109,380.9801
8.6326,66.0564,295.7844,-2.5094,66.5376,288.0826,-29.1931,13.5506,322.4744,-12.2398,15.6586,334.6868,3.2789,20.8517,342.1835,18.9365,30.7721,344.4655,-33.456,46.7262,333.1589,-57.3374,31.4378,367.9441,-74.1569,22.5071,387.0843,-48.6468,8.5208,361.8124,-58.9584,5.8547,382.6639,-67.2363,23.5359,392.8056,-38.1435,17.2373,373.2884,-51.5157,18.0524,393.2155,-59.5471,38.3409,396.0208,-24.6597,26.7788,374.546,-40.881,30.2201,393.3358,-48.9619,49.603,393.3795,-8.0105,34.0869,371.9508,-21.8303,35.787,386.0468,-29.7251,51.3876,381.7695
9.5719,63.3213,296.4063,-1.7772,63.821,289.0142,-27.8012,11.2115,324.4745,-10.5026,13.2943,336.1972,5.2488,18.4412,343.226,21.0212,28.2816,345.008,-32.166,44.2992,334.3163,-55.5569,29.2728,369.1865,-70.6932,19.8558,389.4649,-47.1524,6.0248,363.654,-57.3087,3.3026,384.2172,-64.9778,21.7385,393.4531,-35.8582,14.7704,374.9616,-48.8142,15.5246,394.7693,-56.5859,36.0128,396.727,-22.4505,24.7428,375.853,-38.6041,28.4177,394.8803,-47.1975,47.5772,395.142,-5.8196,31.5752,372.7284,-19.6762,33.2755,387.0391,-28.0986,48.6301,382.8796
10.8425,61.5676,297.0647,-0.5683,61.9888,289.7633,-26.1153,9.4753,325.7093,-8.729,11.68,337.2789,7.0609,16.9187,344.1516,22.8124,26.8234,345.7531,-30.884,42.5847,334.8113,-54.1416,27.6984,369.3711,-68.3285,17.9946,390.1934,-45.2541,3.6709,364.7831,-55.2325,0.6446,385.155,-62.3123,19.5237,393.956,-33.9163,12.6777,376.0147,-46.6844,13.1834,395.6509,-54.1674,33.8092,397.2583,-20.6357,22.117,377.1402,-36.8782,25.1655,396.4861,-45.5323,44.287,397.1756,-4.1086,29.9557,373.4738,-18.0484,31.5776,387.8276,-26.6056,46.8618,383.6839
12.8579,59.1582,297.975,1.372,59.5959,290.7933,-24.0178,7.3594,327.2508,-6.5001,9.541,338.6248,9.3846,14.742,345.3052,25.1949,24.5851,346.6936,-29.6658,40.4129,335.1599,-53.4137,25.7354,369.1061,-66.3322,15.7922,390.6292,-43.7196,1.5346,365.9908,-53.9638,-1.4941,386.1342,-60.5032,17.8216,394.3889,-32.0495,10.1402,377.2465,-45.0786,10.4457,396.942,-52.7137,31.0568,397.8836,-19.0968,20.0915,377.9829,-36.0092,23.268,397.3871,-44.9719,42.2297,398.4474,-2.0333,27.6756,374.5314,-16.4178,29.3084,389.238,-25.4503,44.4168,385.4766
14.5475,57.7399,298.0094,3.2252,57.8244,290.5599,-21.8715,5.5603,327.1804,-4.6747,8.2855,338.9211,10.9338,13.9273,345.8884,26.4909,24.1337,347.4965,-28.5743,38.9325,334.1581,-52.8237,24.5261,367.4048,-64.5064,14.5795,389.6215,-42.1409,0.0891,365.6463,-52.662,-2.7508,385.6126,-58.8444,16.8341,393.4998,-30.3072,8.944,377.4031,-43.3226,9.2784,396.9431,-51.2881,29.7847,397.141,-17.6476,19.2397,378.5665,-34.6627,22.4023,398.0205,-44.4991,40.8824,399.6732,-1.1622,27.1726,375.0664,-15.8714,28.7891,389.7312,-25.9631,43.4414,386.9992
15.5558,58.0311,297.4416,4.3937,57.7648,289.7585,-20.3057,5.434,326.5534,-3.4242,8.6967,338.6104,11.9056,14.7772,345.8232,27.1959,25.3495,347.6155,-27.5596,39.0404,333.1446,-51.886,24.7854,366.1748,-63.117,14.7672,388.5913,-40.768,-0.2453,364.9031,-51.3986,-3.1958,384.8265,-57.3152,16.5363,392.549,-29.2349,8.8021,377.207,-42.4938,8.8563,397.0339,-50.8045,29.2258,397.1519,-16.7892,19.7976,378.6316,-33.9687,22.8034,398.274,-44.6308,40.7363,400.6677,-0.6136,28.071,375.0603,-15.4055,29.5186,389.6581,-26.4117,43.6574,387.9384
