j0_x,j0_y,j0_z,j1_x,j1_y,j1_z,j2_x,j2_y,j2_z,j3_x,j3_y,j3_z,j4_x,j4_y,j4_z,j5_x,j5_y,j5_z,j6_x,j6_y,j6_z,j7_x,j7_y,j7_z,j8_x,j8_y,j8_z,j9_x,j9_y,j9_z,j10_x,j10_y,j10_z,j11_x,j11_y,j11_z,j12_x,j12_y,j12_z,j13_x,j13_y,j13_z,j14_x,j14_y,j14_z,j15_x,j15_y,j15_z,j16_x,j16_y,j16_z,j17_x,j17_y,j17_z,j18_x,j18_y,j18_z,j19_x,j19_y,j19_z,j20_x,j20_y,j20_z
-78.6052,-19.8891,299.4601,-90.1432,-14.0893,295.0176,-112.5833,-75.8511,271.9875,-94.8527,-81.3702,281.794,-79.414,-84.2747,290.5809,-63.9105,-81.147,300.1931,-116.8863,-58.6636,312.1422,-134.3022,-87.6917,323.2943,-152.2434,-106.6438,335.9407,-132.7808,-98.3575,303.8199,-146.1749,-113.2827,324.9297,-152.6606,-117.5336,344.4454,-117.168,-107.4504,306.8674,-132.3092,-125.1461,323.88,-138.1446,-116.6856,342.193,-100.6544,-114.9076,308.9238,-115.8723,-136.8549,322.0659,-124.6015,-134.4751,341.0168,-72.4809,-120.9384,299.8666,-79.1186,-151.7569,299.6137,-83.9432,-169.0966,299.3702
-78.6277,-18.0561,304.0268,-90.132,-11.9763,299.8814,-112.4737,-72.1532,272.8988,-94.8113,-78.2951,282.4547,-79.4319,-81.761,291.1416,-63.9881,-79.2582,301.0291,-117.1024,-56.9555,314.11,-134.4946,-85.9609,323.2856,-152.402,-105.5666,334.9449,-132.7086,-95.7706,303.6996,-146.0744,-111.3706,324.0445,-152.6936,-116.892,343.1939,-117.4595,-105.1147,306.0194,-132.729,-123.1966,321.9068,-138.3354,-115.9336,340.7964,-101.2392,-112.2603,308.1747,-116.7315,-133.9274,320.2753,-125.4849,-131.9611,339.2624,-73.3502,-118.639,298.7944,-80.5813,-149.0564,297.0684,-86.0822,-166.1688,296.1151
-77.8766,-16.3281,308.2339,-89.3279,-9.9821,304.3486,-111.5756,-68.4148,273.7035,-94.0155,-75.157,283.0407,-78.7237,-79.1702,291.6463,-63.3636,-77.295,301.7994,-116.4201,-55.4479,315.7359,-133.7976,-84.6106,323.04,-151.8063,-104.7091,333.6576,-132.1768,-93.3843,303.1094,-145.7693,-109.8589,322.511,-152.5932,-116.3983,341.2639,-117.3796,-102.8375,304.7739,-133.1154,-121.4805,319.4114,-138.6074,-115.4603,338.7658,-101.1005,-110.3186,306.8512,-117.0258,-132.4866,317.6723,-125.9531,-131.2406,336.6394,-73.5068,-116.4128,297.5891,-81.3532,-146.6724,294.3322,-87.3679,-163.5571,292.6789
-77.9402,-16.3589,311.6744,-89.2115,-9.6905,307.8029,-111.1877,-66.2303,273.6159,-93.968,-73.6423,283.0786,-78.967,-78.2655,291.8874,-63.8804,-77.0874,302.5432,-116.5407,-55.2924,316.8371,-133.9719,-84.3783,322.5994,-152.0971,-104.9753,331.993,-132.2611,-91.918,301.9524,-146.1382,-108.8336,320.6124,-153.1759,-116.2501,338.9554,-117.754,-101.7282,303.5275,-133.7102,-120.5689,317.2451,-139.1337,-115.5621,336.9052,-101.9523,-109.2946,305.6215,-118.2043,-131.234,315.3323,-127.2911,-130.5238,334.2513,-74.5507,-115.7785,296.2727,-82.8037,-145.7041,291.4228,-89.3142,-162.3212,289.0808
-77.5283,-15.3237,315.0206,-88.7236,-8.4558,311.2795,-110.2764,-63.3307,274.2299,-93.2228,-71.2108,283.6149,-78.3716,-76.2691,292.4385,-63.452,-75.6158,303.3707,-116.1265,-54.1172,318.2468,-133.5,-83.0666,322.6641,-151.8135,-103.9341,331.0405,-131.5003,-90.2622,301.4654,-145.5269,-108.061,319.4652,-152.7145,-116.0642,337.5009,-117.3263,-99.7693,302.7806,-133.4458,-118.8682,315.598,-138.923,-114.7298,335.4442,-101.7071,-107.4417,305.0656,-118.1867,-129.4559,313.983,-127.4147,-129.1279,332.844,-74.7011,-113.6627,295.8386,-83.367,-142.9728,290.0362,-90.3241,-159.3298,287.1999
-76.1335,-13.0731,318.17,-87.17,-6.0076,314.3264,-108.0786,-59.59,275.0807,-91.3508,-67.8808,284.6955,-76.7885,-73.3169,293.7723,-62.1752,-73.1069,305.1276,-114.2384,-51.7388,319.8726,-131.2668,-80.5078,323.3617,-149.7337,-101.5506,330.9231,-129.5942,-87.0189,301.6285,-143.8257,-105.1617,319.1885,-151.2307,-113.7194,336.8784,-115.8219,-96.9412,302.723,-132.2126,-116.4058,314.7977,-137.8086,-113.009,334.7514,-100.4854,-104.4285,305.1402,-117.1338,-126.2861,313.1268,-126.6502,-126.3317,331.8467,-73.6614,-110.6818,296.3983,-82.4897,-139.5618,289.6891,-89.7494,-155.7101,286.444
-73.5613,-10.7993,321.5601,-84.4451,-3.4544,317.8057,-105.3013,-55.2277,276.1764,-88.8423,-64.0893,285.7458,-74.5051,-70.0507,294.851,-60.0896,-70.4586,306.4512,-111.802,-49.2244,321.3957,-129.0183,-78.0283,323.6549,-147.7023,-99.164,330.3772,-127.1464,-83.4808,301.7041,-141.6297,-102.2127,318.629,-149.1446,-111.3306,335.9896,-113.6286,-93.4294,302.6105,-130.1799,-113.0215,313.872,-135.6779,-110.4663,333.9778,-98.63,-101.0867,304.8069,-115.503,-122.7934,311.7701,-125.0908,-123.2895,330.4471,-72.006,-107.4565,296.1019,-81.1608,-135.8804,288.151,-88.8646,-151.7123,284.409
-70.8725,-9.1218,323.7493,-81.7213,-1.6497,320.1478,-102.2846,-52.0376,276.7119,-85.9076,-61.2179,286.1202,-71.6467,-67.4826,295.1413,-57.3234,-68.277,306.8353,-108.7652,-47.4903,322.1283,-125.695,-76.1869,323.3681,-144.5392,-97.4452,329.1973,-124.3412,-80.6854,301.2126,-138.8686,-99.554,317.3498,-146.5508,-109.1145,334.3962,-110.7668,-91.0472,301.9967,-127.368,-110.9675,312.5991,-132.9339,-109.1478,332.7661,-96.1725,-98.4411,304.03,-113.2963,-120.0561,310.2361,-122.9916,-120.8902,328.8453,-69.7347,-104.7885,295.4721,-79.2663,-132.8285,286.7454,-87.2899,-148.4151,282.6612
-68.0531,-7.1013,324.8895,-78.7599,0.5081,321.153,-98.4496,-48.878,276.1887,-82.3805,-58.345,285.8406,-68.3998,-64.8763,295.108,-54.3967,-65.9919,307.158,-105.6573,-45.3929,322.1735,-122.4712,-74.086,322.8115,-141.3526,-95.4619,328.062,-120.822,-78.0116,300.2612,-135.6632,-97.3381,316.2302,-143.5253,-107.2905,332.9674,-107.5355,-88.1908,300.8483,-124.2683,-108.0438,310.8311,-130.0116,-106.7633,330.9899,-93.0474,-96.1037,303.1526,-110.3025,-117.9652,308.7844,-120.1714,-119.0816,327.2873,-66.6329,-102.1734,295.0786,-76.0066,-129.8907,285.825,-84.154,-145.3631,281.5557
-65.4183,-5.429,326.0522,-76.0113,2.41,322.4694,-95.8449,-45.3276,275.8195,-79.96,-55.2668,285.3,-66.1287,-62.237,294.4713,-52.2408,-63.8818,306.5939,-103.0085,-43.3666,322.1466,-119.8523,-71.927,321.9453,-138.7893,-93.398,326.5704,-118.0568,-75.2381,299.1487,-132.8084,-95.1027,314.6424,-140.5292,-105.6392,331.0853,-105.2673,-85.6784,299.5886,-122.2249,-106.0562,309.163,-127.8072,-105.4592,329.3986,-90.8082,-93.3724,301.5433,-107.9811,-115.0376,306.4643,-117.756,-116.6581,324.9798,-64.9124,-99.3228,293.4281,-74.5879,-126.3839,283.3754,-83.1177,-141.5519,278.7739
-61.8247,-4.4935,326.9265,-72.4122,3.4486,323.5608,-92.5105,-43.1632,275.8968,-76.6159,-53.3516,285.0923,-62.7693,-60.5603,294.0537,-48.8441,-62.5128,306.0876,-99.6108,-42.1293,322.3616,-116.5524,-70.519,321.6146,-135.6256,-91.9602,325.796,-115.1703,-73.1603,298.6912,-130.2223,-93.0863,313.8328,-137.9952,-103.8918,330.0755,-102.1428,-83.649,298.7727,-119.171,-103.8595,307.8986,-124.7162,-103.6984,328.1526,-88.0333,-91.475,300.5926,-105.6599,-113.0443,305.1548,-115.4436,-114.965,323.637,-62.0017,-97.4313,292.4831,-72.0197,-124.018,282.1247,-80.8204,-138.9715,277.3351
-58.2757,-2.8261,327.3427,-68.6974,5.3103,323.924,-88.8454,-40.4767,275.4878,-73.2296,-51.0019,284.7812,-59.6138,-58.5144,293.8461,-45.8824,-60.806,306.0418,-96.1801,-40.1721,322.1592,-113.3392,-68.5694,321.0573,-132.5847,-89.9032,324.9914,-111.6089,-70.6095,298.0123,-126.733,-90.6298,312.9775,-134.5756,-101.5434,329.114,-98.8987,-81.4678,298.0259,-116.057,-101.8324,306.8791,-121.6136,-101.9023,327.1305,-84.876,-89.2515,299.9214,-102.4043,-110.5787,304.1367,-112.2187,-112.6768,322.5832,-59.138,-95.3728,291.9615,-69.2105,-121.6388,281.2624,-78.2032,-136.4278,276.321
-54.7764,-0.7783,327.1276,-65.1674,7.4331,323.7962,-85.4135,-37.7007,274.7912,-69.8426,-48.3886,283.9736,-56.2616,-56.0548,292.9617,-42.5512,-58.5385,305.1433,-92.6916,-37.7953,321.539,-109.7865,-65.8859,320.1371,-129.2456,-87.0824,323.7494,-108.3,-68.2405,296.7028,-123.5212,-88.5517,311.2757,-131.4792,-99.5292,327.312,-95.7873,-78.7972,296.8385,-113.1345,-99.1291,305.4403,-118.773,-99.4403,325.6667,-81.8331,-86.7946,298.7123,-99.6465,-108.2082,302.7182,-109.4784,-110.4569,321.1377,-56.2247,-92.8835,290.779,-66.6244,-119.0056,279.8539,-75.727,-133.6813,274.7777
-51.4294,1.4476,325.6196,-61.7498,9.7123,322.2016,-81.5548,-35.1115,272.734,-66.1352,-45.8995,282.0537,-52.6924,-53.6577,291.1696,-39.1408,-56.2495,303.5055,-89.5911,-35.4304,319.2303,-106.9488,-63.5749,317.3778,-126.9123,-84.3902,320.4078,-105.2069,-65.3762,294.0882,-120.9104,-85.47,308.2661,-129.5314,-96.2032,324.124,-92.5851,-76.1848,294.3853,-110.3045,-96.4736,302.6465,-116.3208,-96.8872,322.762,-78.4023,-84.4323,296.4796,-96.3374,-105.9005,300.1838,-106.361,-108.23,318.4896,-52.974,-90.7804,289.2915,-63.5264,-117.1215,278.4486,-72.5974,-131.798,273.3186
-48.702,5.3168,322.798,-58.9237,13.6837,319.3325,-78.8369,-30.8589,269.6548,-63.5765,-41.8078,279.0485,-50.2632,-49.7083,288.2321,-36.8132,-52.4497,300.6464,-87.0887,-31.2975,315.9792,-104.6776,-59.388,313.8852,-125.0566,-79.8372,316.6283,-102.9895,-60.9474,290.8123,-119.0512,-80.9565,304.8822,-128.077,-91.3541,320.7387,-90.538,-71.7883,290.9535,-108.5915,-91.8633,298.9251,-114.8119,-92.196,318.9799,-76.0164,-80.3362,293.4962,-93.9393,-101.6518,297.1597,-104.0277,-103.9345,315.4357,-50.5706,-86.6189,285.7998,-61.0446,-112.6333,274.4965,-70.2375,-127.2011,269.2746
-46.7802,9.2551,319.0591,-57.0858,17.6159,315.8357,-78.1559,-26.9533,266.6615,-62.6703,-37.8915,275.6921,-49.1378,-45.7823,284.5581,-35.3941,-48.5129,296.6491,-85.9971,-26.7256,312.7215,-103.971,-54.2921,310.7854,-124.8074,-74.2503,313.7037,-102.7412,-56.4956,287.6712,-118.9952,-76.0268,301.5612,-128.187,-86.0811,317.5431,-90.2528,-67.4192,287.8001,-108.7973,-87.2715,295.9406,-114.9959,-87.4114,316.0045,-75.5455,-76.0856,289.883,-94.013,-97.2775,293.6068,-104.0391,-99.5734,311.9155,-49.8447,-82.7549,282.2163,-60.8777,-108.8985,271.197,-70.2487,-123.3651,266.0105
-46.1671,12.7924,315.8729,-56.27,21.3615,312.5562,-78.3367,-23.1769,263.7929,-63.1214,-34.3878,272.9477,-49.7867,-42.508,281.9059,-36.1226,-45.4432,294.039,-86.0216,-22.6693,309.8474,-104.6186,-50.1918,308.1543,-125.8652,-69.6815,311.2734,-103.5213,-52.1334,285.0948,-120.2156,-71.3279,299.2152,-129.6003,-81.0706,315.2778,-91.299,-63.3349,285.2236,-110.2651,-82.8188,293.4863,-116.5063,-82.7021,313.5371,-76.6253,-72.5289,287.0519,-95.4181,-93.5501,290.6551,-105.453,-95.8112,308.9633,-51.1283,-79.3221,279.3776,-62.5805,-105.1783,268.188,-72.173,-119.483,262.9573
-44.7896,15.3622,313.8064,-54.8517,24.0493,310.678,-78.6691,-20.4614,262.7197,-63.3936,-31.8265,271.5794,-49.961,-40.0766,280.2685,-36.0536,-43.1287,292.0924,-85.6829,-19.1678,308.6547,-104.9077,-46.1157,307.3931,-126.553,-65.0685,311.0363,-104.083,-48.7287,284.4809,-120.884,-67.416,298.8671,-130.2083,-76.9209,315.1064,-91.9987,-60.3278,284.431,-111.3374,-79.5962,293.1194,-117.3402,-79.2476,313.2402,-77.6936,-69.3395,285.7851,-97.1601,-89.8801,289.6574,-107.0657,-91.9372,308.0597,-52.3507,-76.6792,277.7026,-64.8175,-102.3444,266.6948,-74.6978,-116.4277,261.3996
-43.3695,16.8298,313.0861,-53.3883,25.643,310.1792,-78.8317,-18.5707,262.7846,-63.5071,-30.1267,271.3062,-49.9893,-38.5448,279.6969,-35.861,-41.7706,291.2088,-84.9242,-17.216,308.6566,-104.6501,-44.0245,307.7042,-126.5746,-62.5798,311.7066,-104.4593,-46.42,284.8684,-121.4106,-64.8408,299.4756,-130.6869,-74.1863,315.8345,-92.5015,-57.8932,284.7442,-112.0804,-76.643,293.8184,-117.8121,-76.0874,314.0134,-78.5636,-67.2839,285.3544,-98.7351,-87.5718,289.3482,-108.5391,-89.5288,307.8158,-53.3175,-74.8538,276.9029,-66.6877,-100.1928,265.9458,-76.8587,-114.0214,260.531
-42.0509,17.6722,313.3097,-52.0358,26.5809,310.583,-78.9466,-17.5279,263.9067,-63.567,-29.2157,272.1444,-49.9632,-37.7471,280.2779,-35.628,-41.0819,291.4992,-84.3918,-15.6647,309.9508,-104.6211,-42.0772,309.5555,-126.7656,-60.2576,314.0381,-104.5524,-44.6179,286.6174,-121.4047,-62.4472,301.5644,-130.5311,-71.5837,318.1244,-92.7288,-56.414,286.2185,-112.3947,-74.7557,295.7097,-117.7874,-73.9959,315.9912,-79.0933,-65.8629,286.1697,-99.6532,-85.7068,290.3281,-109.3099,-87.5064,308.8891,-53.9304,-73.7836,277.2609,-67.9585,-98.848,266.3479,-78.3845,-112.4666,260.8861
-41.2116,18.819,314.3862,-51.1574,27.8163,311.8114,-79.4651,-16.2664,265.9436,-64.0427,-28.0685,273.9349,-50.3653,-36.6963,281.8398,-35.8402,-40.1185,292.7873,-84.0054,-13.9949,311.7119,-104.515,-40.1009,311.6498,-126.7979,-57.992,316.5873,-104.9875,-42.8541,289.1083,-121.7246,-60.2899,304.2992,-130.7049,-69.211,321.0553,-93.2989,-54.7818,288.6154,-113.007,-72.7771,298.5048,-118.0821,-71.7609,318.8569,-79.8819,-64.4519,288.1707,-100.7637,-84.088,292.6495,-110.2566,-85.6553,311.3158,-54.9778,-72.5325,278.9216,-69.6526,-97.3875,268.2894,-80.3813,-110.8254,262.9677
-40.804,19.8926,315.507,-50.7397,28.9262,313.0221,-79.8141,-15.1921,267.6711,-64.3481,-27.036,275.5147,-50.6133,-35.698,283.2817,-35.9697,-39.1474,294.0614,-83.9984,-12.5136,313.5854,-104.7446,-38.363,313.9367,-127.1129,-56.0622,319.1711,-105.351,-41.3208,291.3932,-122.1132,-58.4716,306.9643,-131.0188,-67.221,323.8503,-93.6635,-53.4138,290.6371,-113.4038,-71.176,300.8201,-118.3086,-69.9824,321.2044,-80.2963,-63.0482,289.9265,-101.2431,-82.3488,294.6157,-110.5831,-83.751,313.372,-55.6246,-71.3512,280.464,-70.6932,-96.0405,270.0395,-81.62,-109.3564,264.8155
-40.134,20.4788,316.2885,-50.054,29.5389,313.8374,-79.7246,-14.737,269.0294,-64.2374,-26.5974,276.8062,-50.4689,-35.269,284.5022,-35.7422,-38.7134,295.1698,-83.534,-11.5817,314.947,-104.356,-37.1554,315.637,-126.7601,-54.7202,321.1628,-105.133,-40.5802,293.053,-121.7701,-57.5021,308.7835,-130.5964,-66.0794,325.7989,-93.5906,-52.6341,292.4708,-113.3632,-70.1727,303.0227,-118.0939,-68.7612,323.4342,-80.3336,-62.4032,291.6496,-101.4465,-81.5856,296.7024,-110.706,-82.8152,315.5106,-55.7698,-70.8849,281.898,-71.1373,-95.5706,271.7144,-82.19,-108.8319,266.6178
-39.5302,20.4139,316.9367,-49.4113,29.5344,314.5532,-79.6347,-14.5428,269.919,-64.1692,-26.4993,277.5911,-50.4036,-35.2568,285.1949,-35.6295,-38.7941,295.766,-83.2958,-11.311,315.7331,-104.398,-36.7481,316.4679,-126.8917,-54.1666,322.0917,-105.1748,-39.9949,294.0569,-121.8517,-56.6142,309.8181,-130.6444,-65.1089,326.8923,-93.6736,-52.3024,293.3263,-113.5414,-69.6778,303.9221,-118.1436,-68.2238,324.3599,-80.4853,-62.1992,292.3616,-101.77,-81.2627,297.4324,-110.9844,-82.4197,316.2674,-56.0533,-70.7037,282.6427,-71.7088,-95.1637,272.5831,-82.9115,-108.3314,267.572
-39.9841,20.7903,317.1188,-49.8102,29.993,314.8263,-80.6707,-13.7277,270.2775,-65.2468,-25.8238,277.8134,-51.4986,-34.7078,285.3009,-36.6818,-38.3876,295.763,-84.0225,-10.5976,315.9957,-105.338,-35.887,316.7243,-127.9493,-53.1312,322.4137,-106.4271,-39.0242,294.3545,-123.2467,-55.5435,310.0774,-132.065,-63.9548,327.1796,-94.9311,-51.4351,293.6053,-114.9374,-68.6963,304.2485,-119.4516,-67.2104,324.7037,-81.9778,-61.3348,292.2157,-103.5669,-80.1953,297.1135,-112.729,-81.2737,315.9787,-57.5799,-70.08,282.7376,-73.6103,-94.3905,272.746,-85.0061,-107.4133,267.792
