j0_x,j0_y,j0_z,j1_x,j1_y,j1_z,j2_x,j2_y,j2_z,j3_x,j3_y,j3_z,j4_x,j4_y,j4_z,j5_x,j5_y,j5_z,j6_x,j6_y,j6_z,j7_x,j7_y,j7_z,j8_x,j8_y,j8_z,j9_x,j9_y,j9_z,j10_x,j10_y,j10_z,j11_x,j11_y,j11_z,j12_x,j12_y,j12_z,j13_x,j13_y,j13_z,j14_x,j14_y,j14_z,j15_x,j15_y,j15_z,j16_x,j16_y,j16_z,j17_x,j17_y,j17_z,j18_x,j18_y,j18_z,j19_x,j19_y,j19_z,j20_x,j20_y,j20_z
-8.4467,47.3263,369.1305,2.2221,40.4998,364.0242,7.5133,4.1015,423.1481,-10.0764,15.0221,426.6612,-24.8854,25.1682,427.9845,-38.1442,37.3824,423.7947,-7.8504,-2.3506,390.512,-13.7786,-27.5703,406.1016,-8.1302,-52.8424,419.1561,-2.8746,-18.9277,455.5765,-9.1152,-32.7623,475.0577,-22.8389,-46.8341,482.4499,-23.4147,3.8497,467.7706,-32.9468,-4.1347,497.1492,-48.3538,-18.0636,500.2497,-43.6669,16.6172,462.0279,-56.5424,10.7551,485.3663,-73.3359,-1.6145,482.9226,-58.0918,18.8844,446.4223,-71.7742,6.1963,461.9431,-83.2126,-6.2497,468.1284
-11.4215,39.3256,373.5271,-0.899,32.3009,368.3862,4.0058,-4.0821,427.5528,-13.3706,7.1567,431.1237,-27.9902,17.5677,432.4939,-41.0477,30.0091,428.3404,-11.2894,-10.3425,394.9846,-17.3931,-35.3925,410.6094,-11.5447,-60.7853,423.3375,-7.5907,-26.3769,460.0175,-14.5411,-39.7396,479.4756,-28.4592,-53.6949,486.7237,-27.6294,-3.233,472.1791,-37.8293,-10.6652,501.5478,-53.3641,-24.5114,504.3681,-47.3828,8.4772,465.9803,-60.6546,2.2558,488.8976,-77.4966,-9.9575,486.0368,-62.0664,10.8856,450.018,-76.6436,-2.3772,465.0521,-88.2248,-14.7876,471.0403
-10.5933,31.7529,378.079,-0.0986,24.7196,372.8932,5.135,-11.5539,432.0988,-12.2224,-0.3099,435.7446,-26.8352,10.1025,437.176,-39.9164,22.5352,433.0716,-9.6928,-17.9295,399.6891,-15.3188,-42.9387,415.4021,-8.8524,-68.3761,427.7361,-5.4583,-34.0357,464.714,-11.7938,-47.4812,484.2198,-25.6522,-61.4095,491.6324,-26.1628,-10.7769,476.5845,-36.0744,-18.219,505.6218,-51.669,-32.004,508.4114,-46.1372,1.2729,470.504,-59.2566,-4.7285,493.1567,-76.1353,-16.867,490.1959,-60.6619,3.2019,454.6363,-74.9991,-10.1592,469.5396,-86.5682,-22.5604,475.57
-5.7581,24.1002,382.8134,4.7863,17.2218,377.5217,11.2923,-18.8088,436.7495,-6.1988,-7.8337,440.5717,-20.9585,2.3478,442.1495,-34.284,14.5594,438.169,-4.971,-25.1765,404.3363,-10.6567,-49.8822,419.9613,-3.6985,-75.3736,431.9099,-0.4458,-40.9235,469.2161,-7.4641,-54.1461,488.6283,-21.2993,-68.0148,496.1944,-20.0191,-19.2003,481.2959,-29.8619,-27.2958,510.2999,-45.4286,-41.0916,513.1903,-40.4185,-6.4027,475.6938,-53.7385,-12.3923,498.6544,-70.6456,-24.5185,495.8071,-54.7694,-4.1265,459.9933,-68.7764,-16.9031,474.9157,-80.2374,-29.2719,481.2131
-3.1981,17.8921,386.8063,7.2612,10.999,381.3668,14.8264,-24.7387,440.6462,-2.6085,-13.7633,444.7164,-17.3501,-3.5895,446.4993,-30.7558,8.589,442.6903,-1.7597,-31.4854,408.6578,-7.0535,-56.4171,424.6733,0.3819,-81.9199,436.3062,4.3672,-46.8716,473.4849,-1.8755,-60.0818,493.0849,-15.5315,-73.936,500.9953,-15.4765,-23.806,486.1093,-24.6438,-30.9605,515.5981,-40.112,-44.7802,518.8765,-36.2452,-12.5219,480.3314,-49.1829,-18.6381,503.4966,-66.106,-30.8033,500.9246,-50.6746,-10.2341,465.1835,-64.3673,-23.1737,480.6461,-75.6782,-35.5334,487.2263
-2.4645,13.5663,391.0546,7.9365,6.6714,385.5068,16.6448,-28.4823,444.9782,-0.7726,-17.5499,449.2347,-15.5309,-7.4278,451.1671,-29.055,4.6534,447.4682,-0.7402,-35.4739,413.4344,-5.8327,-60.2096,429.8256,2.1327,-85.7202,441.0843,7.0945,-50.3885,478.2359,1.3958,-63.46,498.0809,-12.1069,-77.2764,506.3139,-13.9054,-27.216,490.7722,-23.2874,-34.1214,520.4465,-38.6649,-47.9876,523.9479,-33.6578,-15.7328,485.3353,-45.9955,-21.3856,508.5914,-62.914,-33.612,506.2941,-48.5721,-14.5694,470.2768,-62.0689,-27.8626,486.0497,-73.1891,-40.1612,493.0558
-1.2863,10.8718,394.737,9.1681,4.0302,389.2237,18.7607,-30.0639,449.174,1.2273,-19.2998,453.3831,-13.6524,-9.3468,455.2621,-27.3634,2.4927,451.4713,1.356,-37.5979,418.085,-3.2214,-61.9897,434.9962,5.1132,-87.4029,446.2078,9.4108,-51.1908,483.0635,3.8164,-63.8319,503.3409,-9.5803,-77.4442,512.072,-11.1215,-28.3879,495.0988,-19.9091,-34.8551,524.7845,-35.1926,-48.7024,528.7428,-31.6553,-17.4789,489.7563,-43.9761,-23.0443,513.3635,-60.9548,-35.2386,511.3576,-46.1087,-16.0474,475.1507,-58.9881,-28.7857,491.42,-69.9811,-40.8695,498.9789
2.618,8.9616,397.6148,13.0202,2.1046,392.0224,23.8967,-31.0016,452.3063,6.3672,-20.2889,456.6601,-8.5446,-10.4057,458.65,-22.4004,1.2844,454.9222,4.9504,-38.858,421.9785,0.1989,-62.9771,439.6168,8.7596,-88.3468,450.7564,15.3156,-51.9512,486.8258,10.1224,-64.6294,507.7163,-3.0885,-77.9879,517.0983,-5.0944,-28.1625,499.1282,-13.2935,-33.7949,529.5083,-28.5692,-47.4093,534.2307,-26.074,-17.8924,493.8426,-38.163,-23.0556,518.1128,-55.2876,-35.1311,516.723,-40.8879,-16.3857,479.4038,-53.5762,-28.5129,496.2059,-64.4594,-40.3012,504.3663
6.4861,8.453,400.9867,16.6931,1.4514,395.2165,28.9471,-30.9121,455.6392,11.6073,-20.0241,460.3064,-3.1835,-10.0148,462.5532,-17.0581,1.7169,459.0323,8.7254,-39.2562,425.7341,4.0148,-63.3229,443.7765,12.7016,-88.8147,454.5331,20.0427,-51.2387,490.5012,14.6439,-63.563,511.6385,1.5954,-76.6537,521.6069,0.3939,-27.9388,502.6228,-7.5932,-33.5764,532.7638,-22.8789,-46.959,538.0793,-19.8566,-16.9792,498.2063,-31.3384,-21.7751,522.7584,-48.5572,-33.7749,522.0383,-35.4173,-15.4924,484.1702,-48.0831,-27.3649,501.5125,-58.7912,-38.9482,510.1821
10.5102,8.5512,403.9932,20.2836,1.1027,398.035,33.347,-30.6279,458.6236,16.5458,-19.0677,463.6319,2.1838,-8.5153,466.1576,-11.3882,3.628,462.8594,12.9901,-38.8801,429.4614,8.6971,-62.4141,447.9591,17.6065,-87.8507,458.6643,26.0793,-49.8708,494.0399,21.7421,-61.3547,515.1759,8.9282,-74.2551,525.6823,6.9853,-25.4338,506.6285,0.1729,-29.9699,537.2661,-15.0296,-43.2049,543.1584,-12.9468,-14.203,502.2538,-23.2422,-18.0731,526.8149,-40.4983,-30.0403,526.7065,-29.3428,-13.5337,488.2503,-41.7103,-25.3551,505.74,-52.2533,-36.7756,514.8182
