j0_x,j0_y,j0_z,j1_x,j1_y,j1_z,j2_x,j2_y,j2_z,j3_x,j3_y,j3_z,j4_x,j4_y,j4_z,j5_x,j5_y,j5_z,j6_x,j6_y,j6_z,j7_x,j7_y,j7_z,j8_x,j8_y,j8_z,j9_x,j9_y,j9_z,j10_x,j10_y,j10_z,j11_x,j11_y,j11_z,j12_x,j12_y,j12_z,j13_x,j13_y,j13_z,j14_x,j14_y,j14_z,j15_x,j15_y,j15_z,j16_x,j16_y,j16_z,j17_x,j17_y,j17_z,j18_x,j18_y,j18_z,j19_x,j19_y,j19_z,j20_x,j20_y,j20_z
60.4762,91.5277,349.5302,46.5039,94.3742,342.7964,23.8849,21.6852,363.062,43.0782,20.5378,373.753,60.1604,25.4184,380.4893,74.6497,27.1423,387.3407,34.4736,54.6966,391.2333,25.6311,25.5332,426.835,17.2987,9.3119,448.0821,14.2285,4.6395,404.1108,7.2232,-7.7266,433.8903,3.3191,-5.5262,453.3817,37.9427,-13.8277,408.3021,32.427,-20.4843,437.0296,27.731,-6.6856,456.0964,55.5144,2.627,418.1639,52.5308,-12.0088,442.3569,44.8711,2.699,461.0655,69.7843,12.52,419.5409,66.4144,2.3923,441.8436,57.2082,11.8923,459.4219
61.99,95.1364,348.0072,48.0604,98.0913,341.2318,24.7769,25.6215,361.5293,43.9309,24.3269,372.2739,61.0352,29.0727,379.0503,75.5199,30.6838,385.9387,36.6496,58.1938,390.1669,28.218,28.713,426.3257,20.4963,12.607,447.8889,15.2552,9.1279,403.1164,8.3129,-2.8976,433.4376,4.4929,-0.182,452.8806,38.6243,-9.7835,407.0493,32.9668,-16.4149,435.755,28.1119,-2.8972,454.9826,56.0823,6.728,417.0588,52.8924,-7.6626,441.5373,45.2125,6.8706,460.3735,69.3516,16.9541,418.1847,65.0938,7.477,440.4426,55.7199,16.4028,458.2319
63.21,97.9401,346.1848,49.4578,100.8781,339.049,26.0729,28.0694,357.9709,44.9253,26.7837,369.2376,61.8019,31.5653,376.5393,76.0768,33.1953,383.8484,38.5479,61.1114,388.1141,30.4936,31.7537,424.3362,23.1032,15.4464,445.8642,17.0,13.1225,400.858,10.3134,2.1071,432.4646,6.625,5.6196,451.8052,38.7441,-5.7071,405.3919,32.9571,-13.947,433.6517,27.9577,-0.4799,452.8778,56.3814,10.1193,414.7225,52.9173,-3.5861,439.124,45.0208,10.7647,458.0106,69.0136,19.8254,416.2468,64.1133,10.5495,438.7245,54.4759,19.1253,456.5451
63.4946,100.6307,344.9224,49.6787,103.7891,338.0075,26.0636,30.7681,355.7913,45.0378,29.1508,366.8079,62.028,33.6884,374.0012,76.397,35.0905,381.1716,39.1968,63.5235,386.5125,31.4774,33.8701,422.2338,24.2044,17.4487,443.715,18.021,15.6829,398.6985,12.1076,4.5912,430.2467,8.4049,7.8592,449.6273,39.2132,-3.7043,402.6912,33.5707,-11.0954,431.2137,28.768,2.4686,450.4218,56.2021,12.0251,412.074,52.4714,-1.8473,436.4545,44.4859,12.2053,455.5269,69.2791,21.674,413.44,64.3541,12.391,435.7669,54.7043,20.6934,453.7099
63.8037,102.4236,343.8016,49.9996,105.7445,336.9392,26.1742,32.4807,353.3939,45.1388,30.6123,364.3871,62.1383,34.9722,371.6679,76.508,36.2048,378.8682,39.495,64.8858,384.7992,31.7698,34.8379,419.9958,24.5921,18.2434,441.3758,18.6156,17.3999,396.5398,13.044,6.2833,428.344,9.3186,9.2514,447.7685,39.2674,-2.4589,400.0637,33.7739,-10.0017,428.5756,29.2566,3.4505,447.931,56.063,13.6199,409.7283,52.1889,0.0043,433.9982,44.3161,13.9943,453.1633,68.3906,22.9483,411.0317,62.7641,13.7596,433.3258,53.0804,21.944,451.3047
63.9067,103.2186,342.8506,50.2318,106.5608,335.7443,26.8457,32.6663,349.8401,45.566,30.7293,361.2331,62.3395,35.0888,369.0205,76.521,36.2962,376.5888,38.9934,65.177,382.3012,30.7847,34.9496,416.3071,22.8265,18.2922,437.3593,19.0066,17.5869,392.734,13.248,6.5096,424.2436,9.0342,9.199,443.6088,39.2755,-3.0516,396.1656,33.1029,-9.5967,424.7848,28.0817,3.7399,444.096,56.9132,9.6207,404.4878,51.1312,0.4011,430.2864,42.7859,14.396,449.247,67.434,23.7909,408.3477,61.2138,15.2308,430.0874,51.14,23.4684,447.826
63.9179,103.3324,341.0324,50.2983,106.6848,333.8255,27.412,32.3414,346.2861,46.0132,30.3591,357.8648,62.6539,34.7213,365.9306,76.7337,35.9135,373.6888,38.5486,65.0255,379.7102,29.9925,34.6891,413.1235,21.3995,18.1522,434.0207,19.5924,17.0438,389.0916,13.8496,5.809,420.5283,9.4059,8.2248,439.8782,39.9172,-3.2646,392.9829,33.415,-9.3555,421.6294,27.8042,3.808,440.897,56.9713,8.7068,400.9585,50.5463,0.4606,426.9339,41.8882,14.251,445.9039,66.5721,23.7494,405.2159,59.6239,15.432,426.7733,49.2879,23.449,444.4622
63.1009,102.9736,338.8181,49.6314,106.2724,331.3107,26.9984,31.6936,342.7883,45.3348,29.7739,354.7921,61.7481,34.2057,363.2751,75.6316,35.4512,371.3712,37.7491,64.5696,376.6717,29.1365,34.3418,409.551,19.9184,18.1664,430.4647,19.3257,16.3572,386.0746,13.6462,5.0049,418.116,9.0652,7.1937,437.4608,39.273,-2.967,390.7405,32.8611,-9.8923,419.2173,27.0355,3.3739,438.3502,56.5485,7.5163,397.8676,49.9762,0.1183,424.0606,41.2832,13.9623,442.9756,65.3718,23.5221,402.7692,58.3946,15.4097,424.1213,48.0099,23.4487,441.7716
62.082,102.5813,336.5534,48.6438,105.7707,328.9433,26.6045,30.966,340.1022,44.8603,29.1918,352.2504,61.1633,33.7579,360.8739,74.969,35.1153,369.0842,36.9335,64.0251,374.1386,28.4606,33.8204,406.8392,18.72,18.0547,427.8288,19.4883,16.431,383.6001,14.2348,5.7004,415.7127,9.5933,8.0808,435.0205,39.156,-3.8607,387.9714,32.5776,-10.193,416.5481,26.4596,3.295,435.433,56.5728,7.1309,395.6004,49.9668,0.676,422.0332,41.1044,14.683,440.7485,64.2555,23.7346,400.3188,57.0168,16.0451,421.4227,46.4799,24.086,438.9817
61.4528,102.5379,334.5412,48.042,105.5427,326.8087,26.802,30.5157,338.0253,44.9749,28.9977,350.3315,61.1493,33.7851,359.0762,74.8684,35.333,367.3974,36.512,64.1909,372.1471,28.193,34.3549,404.8595,17.8102,19.3202,426.0763,19.9153,16.3054,381.871,14.8137,5.7786,414.3513,10.0624,8.6771,433.5613,39.526,-3.4443,386.6471,32.8374,-9.3339,415.2928,26.3718,4.4721,433.829,56.7739,6.8074,393.559,49.7384,1.5714,420.1501,40.6583,15.7371,438.6402,63.9785,24.3577,398.7153,56.6207,16.9424,419.875,45.8545,24.7736,437.3895
60.6955,103.2148,332.5441,47.3331,105.9533,324.6309,27.1397,30.6814,336.1361,45.185,29.537,348.6683,61.1761,34.6403,357.5701,74.7682,36.463,366.0425,36.1555,64.8753,370.2744,28.0935,35.2469,403.1958,17.4196,20.6851,424.5973,20.3092,16.9898,380.2359,15.2425,6.8336,412.9482,10.333,10.2411,432.0345,39.8896,-2.054,385.7489,33.2206,-8.4968,414.2799,26.3245,5.4564,432.5487,56.9724,8.0577,392.3795,49.7968,3.3152,419.0257,40.434,17.5806,437.2968,63.5226,26.2108,397.3618,55.9521,19.3091,418.4455,44.847,26.8737,435.8654
60.1123,104.4247,331.0091,46.8048,107.0077,322.9525,27.1281,31.6335,334.6807,45.0602,30.7089,347.3925,60.9212,35.9947,356.4195,74.415,37.9776,365.0123,36.0205,66.0767,368.6385,28.2576,36.6132,401.5248,17.3345,22.2706,422.9486,20.5183,18.3088,379.008,15.6086,8.4115,411.9334,10.6625,12.1048,430.957,39.7758,-0.4612,384.8291,33.1894,-7.3827,413.2669,26.1506,6.6139,431.448,57.3127,9.3024,391.2117,50.2085,4.8358,417.9246,40.6902,19.1324,436.0907,63.2792,27.9756,396.422,55.7895,21.2487,417.5471,44.556,28.7069,434.9305
59.5378,106.0596,329.5304,46.2761,108.4431,321.3378,27.4684,32.857,333.128,45.2875,32.2069,346.0142,60.9909,37.7278,355.1753,74.3743,39.9138,363.8905,35.4276,67.5913,366.7944,27.643,38.2772,399.4126,16.049,23.8418,420.4173,20.5798,19.3794,377.5823,15.4451,9.3333,410.7183,10.2316,12.7596,429.7204,40.8619,1.1954,383.6931,34.3788,-4.4742,412.4303,27.257,9.8422,430.3278,57.4754,11.8898,390.616,50.4963,7.171,417.3185,40.6513,21.7466,435.0845,63.2753,30.1368,395.2834,55.8342,23.582,416.3299,44.4831,31.1294,433.598
58.6079,107.6437,328.7482,45.3508,109.8147,320.4894,27.7282,33.9215,332.1372,45.4897,33.5554,345.1139,61.0533,39.3273,354.3585,74.3544,41.7269,363.1433,35.1765,68.381,365.73,27.8631,38.5985,398.2489,16.1786,23.9214,419.0349,20.7523,20.1728,376.5129,15.551,9.9216,409.5999,10.117,13.4907,428.5137,40.9664,3.2732,383.37,34.5315,-3.3838,411.9055,26.988,10.8729,429.6775,57.3162,14.1741,390.266,50.537,8.3503,416.8014,40.274,22.6533,434.5522,63.3517,31.7964,394.5805,55.9615,25.1263,415.6961,44.3519,32.0714,433.045
57.5478,108.6835,328.1593,44.3833,110.5759,319.6866,28.0584,34.3817,331.2596,45.6161,34.3929,344.5158,60.9162,40.4892,353.9891,74.0275,43.1686,362.9761,35.1906,69.3126,365.004,28.604,39.747,397.4745,17.177,24.8405,418.2403,21.7387,20.5598,375.9466,17.009,10.2153,409.3911,11.5861,14.1587,428.2337,41.6103,5.1052,383.595,35.8425,-2.9217,411.9199,28.0653,11.1542,429.7351,58.7359,15.2832,389.9877,52.3724,9.7032,416.678,41.7204,23.7223,434.4263,63.4889,32.9061,394.3077,56.4462,26.0479,415.246,44.6362,32.2128,432.7536
57.441,109.2663,327.5429,44.2361,110.6981,319.0427,30.0044,34.2218,331.4858,47.5447,34.8687,344.7493,62.6638,41.4924,354.1589,75.6893,44.6349,363.1206,36.5313,69.704,364.8243,31.0141,40.3496,397.6069,19.9168,25.4306,418.5419,24.4124,20.4202,376.3057,20.2253,10.086,409.8654,14.692,14.3565,428.6043,44.425,5.5446,383.8819,38.8464,-2.3827,412.2727,30.6626,11.6959,429.9027,60.5361,16.8185,390.5274,54.6576,9.9161,417.0189,43.5271,23.9212,434.4823,65.184,34.4865,394.4504,58.175,27.7157,415.3534,46.076,33.4271,432.8174
57.551,109.06,327.5862,44.4161,110.1187,318.9244,32.0034,33.3511,331.5208,49.3617,34.5006,344.988,64.1925,41.5474,354.5478,77.0252,45.0587,363.6497,37.8298,69.1735,364.8595,33.1171,39.8754,397.728,22.4345,24.7645,418.7409,26.9246,19.9019,376.5976,23.1164,9.8174,410.397,17.4698,14.0443,429.112,47.2388,5.472,384.4067,42.0802,-2.541,412.8528,33.5838,11.515,430.3526,64.1108,15.6667,390.1313,58.0462,10.2985,416.9343,46.7111,24.2295,434.3252,67.719,34.8379,394.8885,61.6034,28.1214,415.4169,49.4197,33.506,432.9258
58.2654,109.4787,328.1085,45.0527,110.3167,319.5414,34.1327,33.307,332.0416,51.5615,34.7431,345.3898,66.3281,42.0382,354.8624,79.1583,45.763,363.8826,39.5757,69.1411,365.4069,35.657,39.6813,398.2222,25.4229,24.3685,419.312,29.761,19.774,377.0055,26.4914,9.6528,410.634,20.8508,13.6878,429.3931,50.7389,5.0568,384.3647,45.8441,-2.4378,412.9981,37.2805,11.5603,430.5115,67.3258,15.3543,389.8334,60.8513,11.1207,416.7435,49.324,24.9337,434.1023,70.0762,35.7146,394.8025,64.2031,29.2167,414.797,51.9885,34.4462,432.3314
59.4949,110.4508,328.2718,46.455,110.7607,319.4097,37.4775,33.6862,333.0085,54.5606,35.8517,346.7008,68.9001,43.7305,356.3601,81.4169,47.9771,365.5876,41.7249,70.1353,365.9708,38.3358,41.0271,399.3318,28.3252,25.7878,420.5815,32.8025,20.7191,378.1548,29.3035,11.0138,411.9447,23.377,15.1168,430.6006,54.6617,6.1073,385.64,49.5938,-0.631,414.4308,40.4803,13.3745,431.6585,71.0956,17.0624,391.2884,64.7437,13.1119,418.2708,52.8374,26.9006,435.3914,72.7632,37.7705,396.1961,67.25,31.268,415.6964,54.8346,36.4819,433.0939
