j0_x,j0_y,j0_z,j1_x,j1_y,j1_z,j2_x,j2_y,j2_z,j3_x,j3_y,j3_z,j4_x,j4_y,j4_z,j5_x,j5_y,j5_z,j6_x,j6_y,j6_z,j7_x,j7_y,j7_z,j8_x,j8_y,j8_z,j9_x,j9_y,j9_z,j10_x,j10_y,j10_z,j11_x,j11_y,j11_z,j12_x,j12_y,j12_z,j13_x,j13_y,j13_z,j14_x,j14_y,j14_z,j15_x,j15_y,j15_z,j16_x,j16_y,j16_z,j17_x,j17_y,j17_z,j18_x,j18_y,j18_z,j19_x,j19_y,j19_z,j20_x,j20_y,j20_z
134.7713,-59.4708,422.9985,123.2743,-65.3408,417.8056,146.0878,-129.653,443.5509,160.3736,-118.0874,451.4347,167.9695,-103.1025,454.0333,177.4956,-89.5102,458.2302,92.925,-78.431,466.6785,92.6163,-85.1039,500.0158,110.5897,-87.867,523.8763,175.332,-142.6205,476.6057,181.7685,-143.4345,498.6717,179.7249,-139.7945,516.1809,192.3269,-140.3031,477.7871,202.5642,-139.4454,502.7563,208.3372,-136.6174,521.695,200.6091,-124.3259,477.2278,217.6339,-135.3961,489.3261,214.3011,-126.657,508.1283,207.6363,-101.3473,478.6356,227.5576,-109.171,492.1223,229.8126,-110.4804,509.9325
138.938,-60.74,420.5073,127.6221,-66.6006,414.9209,150.5606,-131.2794,439.6151,164.5437,-119.7617,448.0896,171.9178,-104.7667,451.2154,181.2015,-91.1827,455.9479,97.3726,-84.1163,462.4516,97.4979,-92.6517,495.3625,115.2844,-95.845,519.3092,178.8703,-144.8164,473.2501,183.0237,-144.8971,495.8718,179.5231,-140.9219,513.0748,196.8857,-140.9875,474.7816,205.5348,-138.5753,500.2448,211.0901,-135.8503,519.2636,203.9317,-123.5932,475.9834,219.9321,-133.0025,488.3623,215.5859,-124.1788,506.9164,210.2905,-102.7158,477.3537,229.2774,-110.2436,491.3256,230.9866,-112.0713,509.1508
141.265,-61.5099,416.4318,130.4389,-67.5381,410.1025,154.1769,-132.2196,434.0222,167.3381,-120.5476,443.5379,174.0591,-105.4379,447.4781,182.6511,-91.7294,453.0784,103.1001,-87.255,458.526,101.881,-96.9007,491.1063,119.6025,-100.0804,515.1029,179.6771,-144.057,470.4312,186.389,-146.2619,492.3193,181.5058,-142.2319,509.169,199.6573,-138.9699,472.2623,209.3249,-138.0839,497.4565,214.3927,-135.3294,516.6068,205.9516,-121.8213,474.1559,221.9448,-130.0371,487.534,216.3025,-121.203,505.7308,211.6112,-102.2806,474.8125,230.3793,-109.1186,488.8976,231.356,-111.2788,506.7408
144.2476,-61.7015,411.8869,133.7113,-67.9217,405.2614,158.4507,-132.2552,429.1046,171.1156,-120.3692,439.0204,177.3852,-105.1441,443.25,185.5214,-91.2918,449.1682,110.8299,-88.6262,455.5482,105.5618,-99.4957,487.3303,123.0314,-102.5914,511.5218,182.6377,-142.3005,466.921,190.1699,-144.9027,488.4963,184.1773,-141.0237,505.0203,203.1261,-136.494,469.4229,212.7171,-135.7764,494.6518,217.1834,-132.8515,513.9261,207.9646,-120.2026,471.5161,222.8693,-127.5423,485.2932,216.1361,-118.8152,503.1678,213.2549,-101.1746,472.3462,231.0651,-107.5213,487.2308,231.4894,-109.7212,505.0908
146.4504,-60.8523,407.4727,136.3705,-67.2844,400.3575,161.9828,-131.187,424.4365,173.8941,-119.0731,434.9898,179.5486,-103.7311,439.6429,187.0395,-89.7296,446.0425,117.0499,-88.0461,452.0941,108.7919,-99.5961,482.9875,125.9764,-102.594,507.3945,184.5782,-140.291,463.4566,191.6686,-142.8193,485.1898,184.5635,-138.9749,501.2751,205.0647,-133.8673,466.9041,213.6209,-132.8436,492.492,217.2355,-129.8051,511.9266,210.2698,-117.7505,468.59,225.4539,-124.6797,482.8972,218.0176,-116.0563,500.542,214.1643,-98.7626,469.955,231.4502,-104.5191,485.1938,231.4185,-106.7248,503.0581
147.93,-59.3879,402.6965,138.2026,-66.0015,395.2642,164.4344,-129.4485,419.8754,175.7706,-117.1295,430.8177,180.9603,-101.6911,435.688,187.9619,-87.5612,442.3539,116.8684,-86.8019,446.1876,109.4763,-97.9948,477.4298,126.1557,-100.6699,502.2217,186.9228,-139.2516,458.7877,193.0024,-141.8734,480.8142,184.8347,-138.2393,496.4373,206.1103,-129.8184,464.3959,215.5739,-129.7904,489.683,218.4696,-126.6083,509.2147,210.466,-113.9016,467.0025,225.2955,-120.0386,482.7412,217.0368,-111.3947,500.0061,213.6588,-96.3469,467.646,229.9304,-101.9101,483.6614,229.3382,-104.1965,501.5058
148.0543,-58.0146,398.4504,138.8782,-64.7945,390.4859,165.5312,-127.8115,415.7409,175.9926,-115.3255,427.3452,180.5317,-99.8129,432.6135,186.8267,-85.5815,439.7514,119.8855,-85.7048,442.6386,108.8258,-97.8811,473.0077,124.8005,-100.3591,498.2796,187.1948,-137.1991,455.2195,192.5795,-139.7557,477.4337,183.6447,-136.4517,492.7063,204.4109,-127.627,462.7017,212.2511,-127.1754,488.5343,214.308,-123.9816,508.1702,207.8922,-110.7209,465.6122,221.1803,-116.0186,481.6386,212.0304,-107.4764,498.5001,211.5478,-94.4017,465.9474,227.1841,-99.9806,482.5166,225.931,-102.4501,500.3023
148.0912,-56.8625,394.2858,139.1298,-63.6311,386.0711,165.5315,-126.6927,411.4782,175.6676,-114.2377,423.4,180.0092,-98.7404,428.8761,186.0708,-84.5289,436.2516,119.4766,-84.4905,438.3216,107.9273,-96.7487,469.027,123.4828,-99.187,494.5629,187.1656,-137.9742,450.4743,191.4882,-141.058,472.8529,181.9904,-137.9304,487.8199,202.8078,-125.1569,460.1856,210.4808,-124.8619,486.0707,211.998,-121.6237,505.7484,206.359,-109.8151,462.6951,219.2006,-115.2124,479.1769,209.6345,-106.7687,495.856,209.8878,-92.1018,463.3367,224.8106,-96.8467,480.3072,223.0821,-99.333,498.0507
146.719,-55.3915,388.5726,137.8902,-62.1225,380.1853,163.7835,-125.2982,405.831,173.7307,-112.8942,417.9632,177.997,-97.4201,423.5624,183.9495,-83.2399,431.0857,117.5877,-81.8715,432.8849,105.5687,-93.5628,464.0829,120.8207,-95.674,489.8302,181.2415,-133.2925,447.6318,188.7334,-136.8209,469.0893,178.9122,-133.3839,483.777,199.7807,-122.665,455.8437,207.6834,-122.5811,481.6611,208.9683,-119.2729,501.3437,203.847,-108.1069,458.3361,216.7555,-113.4435,475.7008,206.9535,-104.8481,492.1641,206.6534,-91.0473,458.9948,220.8556,-95.9312,476.4529,218.7785,-98.4825,494.1497
143.2882,-53.7515,383.2167,134.4763,-60.3972,374.744,159.5742,-123.8205,400.5688,169.5209,-111.5148,412.8012,173.8735,-96.0836,418.4521,179.8833,-81.9627,426.0411,113.9299,-81.0507,426.9471,101.784,-93.2598,457.8065,116.704,-95.2485,483.7572,175.9665,-133.1154,442.7402,184.263,-137.8198,464.0843,174.1531,-134.3801,478.5743,193.3834,-120.3466,452.3181,202.76,-121.7746,477.5973,203.759,-118.3684,497.2798,199.4571,-106.1521,453.7816,212.3513,-111.2267,471.5879,202.1764,-102.5066,487.7566,202.4049,-90.0285,454.606,216.7502,-95.1662,472.8006,214.3674,-97.8538,490.4386
