j0_x,j0_y,j0_z,j1_x,j1_y,j1_z,j2_x,j2_y,j2_z,j3_x,j3_y,j3_z,j4_x,j4_y,j4_z,j5_x,j5_y,j5_z,j6_x,j6_y,j6_z,j7_x,j7_y,j7_z,j8_x,j8_y,j8_z,j9_x,j9_y,j9_z,j10_x,j10_y,j10_z,j11_x,j11_y,j11_z,j12_x,j12_y,j12_z,j13_x,j13_y,j13_z,j14_x,j14_y,j14_z,j15_x,j15_y,j15_z,j16_x,j16_y,j16_z,j17_x,j17_y,j17_z,j18_x,j18_y,j18_z,j19_x,j19_y,j19_z,j20_x,j20_y,j20_z
224.1825,83.2543,491.1928,225.5908,70.6853,485.3928,241.758,43.6178,551.1598,237.1142,62.2634,556.7073,232.2783,78.2361,553.4686,227.6066,94.7014,553.0494,196.9304,51.4857,533.2567,183.7809,32.0525,557.8625,183.6597,2.985,565.283,238.7008,33.8092,595.9978,218.1323,30.5811,605.7711,200.3128,29.1527,607.8745,237.5542,48.3846,601.6093,215.3088,41.2069,615.1232,195.5097,38.4143,615.5672,207.0999,83.018,589.2342,191.0045,80.059,576.0743,178.1388,76.7349,559.8132,213.7928,100.5535,584.6711,194.4565,97.3875,580.6605,182.7855,92.9923,567.6809
222.7169,82.0593,492.3923,223.9727,69.4911,486.5555,239.9792,42.0674,552.2143,235.5551,60.7485,557.8219,230.8902,76.7826,554.6366,226.4011,93.3,554.2718,196.5459,44.8808,532.9295,180.6167,30.5874,559.8628,180.0745,1.5185,567.2592,235.6745,32.8072,597.0665,215.1728,29.95,607.0923,197.2831,28.8882,608.7754,234.1412,47.7488,602.9662,211.6393,41.2231,616.3856,191.7844,38.8193,616.4237,205.3649,83.4187,589.8562,189.1056,80.8959,576.8075,176.3591,77.7464,560.4182,212.6543,99.0703,585.9377,193.1792,96.2212,582.3873,181.4229,92.0355,569.4154
221.6492,82.6736,493.0231,222.7186,70.0545,487.2595,238.5581,42.8174,553.0363,234.4018,61.5898,558.5429,229.9423,77.6654,555.2738,225.6737,94.239,554.8216,195.2247,47.0695,534.1292,179.8646,32.4431,560.7024,178.9919,3.4455,568.3428,233.1408,33.2891,597.7114,213.0885,30.523,608.6317,195.1721,29.7759,610.1949,234.6866,48.0182,603.54,212.0501,41.6039,616.7855,192.1631,39.4812,616.8023,204.7869,83.8732,590.836,187.4009,81.7731,579.2463,174.6642,78.8309,562.8111,212.2039,100.3398,586.5445,192.6284,97.8186,583.3126,180.7771,93.7603,570.3868
220.2752,82.4095,493.9826,220.5243,69.6729,488.3862,236.1764,42.4966,554.233,233.1819,61.5451,559.5424,229.5549,77.7982,556.1245,226.2039,94.5763,555.5116,190.6773,56.2061,537.4657,177.9122,35.8412,561.5141,176.5484,7.0022,569.6659,233.7812,33.9089,599.3607,213.0911,32.0166,609.2268,195.1771,31.6754,610.951,234.4604,49.036,604.8291,211.5839,43.4355,618.0314,191.6584,41.7174,618.188,204.5286,84.8314,591.6241,187.3066,82.935,579.758,174.3542,80.1413,563.4659,211.8527,100.3261,586.9119,192.1526,98.0802,584.2918,180.1435,94.2182,571.4517
219.9979,79.5474,494.7112,220.0733,66.8053,489.1223,236.175,39.5333,554.8209,233.4083,58.6115,560.147,229.8918,74.8943,556.7552,226.6856,91.7015,556.1649,190.6556,52.4945,538.2222,176.6388,34.7466,563.61,174.6198,6.0258,572.0385,232.6542,33.7571,600.3208,211.8306,32.9261,610.0514,193.9395,33.0327,612.0259,233.5315,47.5725,605.8321,210.6755,43.0034,619.4603,190.7149,41.8028,619.824,204.8884,84.2922,591.7196,187.4483,82.8937,580.1056,174.276,80.2111,563.9719,212.0423,98.7462,587.164,192.1719,97.4392,585.3046,179.9506,93.777,572.607
216.3516,78.9588,496.5158,215.412,66.1489,491.1654,231.1189,38.9459,556.9881,229.8078,58.2588,562.0172,227.3506,74.6869,558.401,225.305,91.6643,557.5683,188.9115,45.3825,539.7527,173.5818,33.3699,567.8587,170.8051,4.7909,576.5496,231.3261,31.8806,602.4418,210.9189,31.2594,613.0324,193.0576,31.8194,615.1907,232.1379,45.0675,607.0679,209.91,40.3102,621.6379,189.9294,39.6976,622.2697,203.7837,82.9362,594.6301,186.1282,81.6055,583.338,172.7524,79.1423,567.3374,210.745,97.9231,588.7746,190.7843,96.761,588.3051,178.3765,93.2741,575.7397
214.6117,79.0225,500.0912,213.9226,66.1839,494.7717,229.8724,39.4401,560.724,228.1954,58.7394,565.6966,225.4564,75.1111,562.0274,223.1088,92.0467,561.1417,185.8899,50.229,544.1743,170.6248,37.2456,571.6408,167.4205,8.8517,580.7797,227.5424,32.5816,606.1502,206.6586,32.5343,615.7868,188.8119,33.4318,617.9524,229.4108,45.8424,610.8762,206.2258,42.0427,624.181,186.2381,41.8489,624.8554,201.3289,84.5626,597.5876,184.4122,83.2167,585.2177,170.9104,80.8523,569.3083,209.0478,99.5294,592.3074,189.101,98.7879,591.0517,176.5444,95.4096,578.6052
212.6485,80.4761,502.5349,212.2856,67.6134,497.2414,228.4596,41.3876,563.3469,226.3107,60.654,568.2649,223.2178,76.9505,564.5419,220.487,93.8256,563.6033,183.3147,49.3021,545.4964,166.5137,38.6829,573.4808,162.7751,10.3981,582.7541,224.6795,35.6937,608.8364,203.9173,36.0063,618.7275,186.0899,37.0985,620.9618,225.3215,48.693,613.7067,202.3296,45.4057,627.475,182.342,45.5191,628.1699,199.7491,87.3833,600.2683,183.1182,86.0155,587.5191,169.5228,83.6527,571.6893,206.8467,102.4682,594.6557,186.9524,102.0209,592.6512,174.3463,98.6651,580.2486
209.1806,79.9975,503.2682,208.4784,67.1202,498.0447,224.0935,40.8426,564.264,222.4481,60.1838,569.0815,219.7674,76.534,565.2756,217.4684,93.4684,564.2505,180.1453,49.6086,547.2379,163.5942,39.379,575.9748,159.3424,11.1999,585.3481,217.1575,36.1048,609.4906,198.2726,36.2981,622.6178,180.4624,37.6914,624.8216,222.6577,49.1543,614.7685,200.5986,46.1561,630.0462,180.6225,46.5649,630.9332,197.2088,88.3778,601.1481,179.6021,87.6628,589.7248,166.0009,85.3405,573.8941,204.3124,102.2551,595.4709,184.3612,102.152,594.0784,171.7297,98.9112,581.671
205.9196,78.5951,506.0939,204.8619,65.7532,500.8433,220.1889,38.9181,566.9061,219.0609,58.2822,571.7802,216.7727,74.7048,568.03,214.8968,91.6945,567.0596,176.0061,52.7305,550.6303,160.9009,37.6892,577.1179,156.3575,9.4958,586.3097,216.2122,34.8294,612.5511,196.0527,35.9108,623.5704,178.276,37.6017,625.8355,220.0398,46.6059,617.2962,197.2246,44.0958,631.5148,177.2601,44.8403,632.4446,192.8549,85.8333,603.2449,175.0833,85.415,592.0648,161.5217,83.3808,576.1605,202.0812,101.3164,598.1752,182.264,101.3841,595.4781,169.5519,98.3258,583.1069
