j0_x,j0_y,j0_z,j1_x,j1_y,j1_z,j2_x,j2_y,j2_z,j3_x,j3_y,j3_z,j4_x,j4_y,j4_z,j5_x,j5_y,j5_z,j6_x,j6_y,j6_z,j7_x,j7_y,j7_z,j8_x,j8_y,j8_z,j9_x,j9_y,j9_z,j10_x,j10_y,j10_z,j11_x,j11_y,j11_z,j12_x,j12_y,j12_z,j13_x,j13_y,j13_z,j14_x,j14_y,j14_z,j15_x,j15_y,j15_z,j16_x,j16_y,j16_z,j17_x,j17_y,j17_z,j18_x,j18_y,j18_z,j19_x,j19_y,j19_z,j20_x,j20_y,j20_z
23.904,64.6695,440.4699,13.306,70.3323,433.9804,-14.2585,7.2561,423.4898,2.2241,2.5216,435.6103,16.7641,0.2987,445.9857,31.9625,4.1062,455.837,-17.8921,36.0366,457.7727,-36.7348,15.3231,472.1425,-53.384,-3.0257,487.2133,-46.9852,-13.6809,440.0895,-67.5519,-26.8386,450.5214,-81.025,-32.0614,465.7595,-20.2512,-29.3285,454.8816,-35.8934,-51.4954,468.2939,-47.3645,-48.5891,485.6424,-3.0792,-25.7678,465.6524,-16.0102,-42.7544,478.4685,-21.6642,-33.2509,496.3211,15.3331,-18.814,476.7462,3.9944,-34.4421,491.0031,-7.3736,-23.2223,499.3029
20.7779,49.6447,439.8102,9.977,55.2134,433.579,-16.0218,-8.2341,421.4573,0.6882,-12.8851,433.2955,15.3748,-15.0264,443.4798,30.557,-11.1093,453.3131,-20.4026,19.3912,456.1486,-38.7507,-2.2439,469.7798,-55.1194,-21.4988,484.0034,-47.9137,-30.9591,437.1509,-67.9115,-45.2089,446.9917,-81.4013,-51.3658,461.8617,-20.6989,-45.3182,451.9621,-35.4416,-67.6753,464.8295,-47.0585,-65.8391,482.2271,-3.8395,-41.6238,462.7412,-16.2879,-58.8554,475.2202,-22.3264,-49.973,493.2656,14.3686,-34.3541,473.9788,3.3802,-50.1322,488.0062,-8.3109,-39.3758,496.4689
19.7938,35.4689,438.9316,8.9006,40.9133,432.7515,-15.3818,-22.8562,418.885,1.3539,-27.3711,430.7397,16.015,-29.3887,440.9858,31.0196,-25.3305,451.0321,-19.9325,3.2503,454.3195,-37.3437,-19.4929,467.3436,-53.144,-39.7444,480.8056,-46.7993,-46.8888,433.4291,-66.4685,-61.9345,442.5346,-79.6828,-68.7976,457.3427,-19.1393,-61.6123,447.8754,-33.3824,-85.4105,459.785,-45.0325,-84.879,477.249,-2.5903,-57.725,458.9159,-14.7736,-76.2804,470.6571,-21.0352,-68.4952,489.1283,15.8754,-50.2039,470.6591,5.5774,-67.1178,484.0053,-6.5974,-57.3168,492.9337
19.9818,22.7846,439.5493,8.7982,27.8153,433.5396,-12.8924,-36.8028,419.3102,4.1513,-40.7078,430.9405,18.998,-42.1915,441.009,33.9263,-37.5888,450.9335,-18.0444,-11.0832,454.7861,-34.0951,-34.3428,467.4906,-49.1584,-55.3917,480.5688,-42.8834,-62.3049,433.1928,-61.3763,-78.0299,441.753,-73.9849,-85.5002,456.7935,-14.2369,-76.5131,447.3543,-27.0297,-101.4231,458.7734,-38.5605,-101.9638,476.3161,2.1373,-71.6148,458.7465,-8.8736,-90.8296,470.33,-15.4866,-83.9694,489.0438,20.9322,-63.55,470.4682,12.1334,-81.1295,483.6959,-0.6335,-72.5125,493.0101
22.9407,14.4295,441.2673,11.6947,18.7146,434.8125,-5.9795,-47.2729,421.3315,10.876,-49.9987,433.557,25.4562,-50.4599,444.1024,39.7904,-44.8434,454.3748,-12.0466,-22.0875,456.8753,-26.384,-46.7278,470.199,-40.3486,-68.4987,483.3145,-34.1005,-75.0877,435.1525,-51.5441,-92.3413,443.7257,-63.5556,-100.412,458.9437,-4.7741,-87.2456,450.0871,-15.7105,-113.2738,461.6384,-27.1798,-114.6905,479.1726,10.0663,-81.0019,461.5233,-0.0232,-101.0248,472.9443,-7.2677,-94.915,491.6843,28.1555,-71.8698,473.6724,20.2254,-90.2903,486.8251,6.769,-83.1453,496.4102
28.8529,9.0692,444.2605,17.7346,12.7713,437.2478,3.6286,-54.0933,423.8834,20.0128,-55.9197,436.8919,34.1029,-55.6052,448.0889,47.6912,-49.2337,458.9193,-3.6606,-29.0642,460.4641,-16.7105,-54.5815,474.6248,-29.5247,-76.9863,487.8468,-22.9381,-83.2602,438.8565,-39.603,-101.5563,448.2489,-50.9875,-110.0702,463.7055,5.9711,-94.115,453.3577,-3.899,-120.9628,464.9317,-15.3048,-123.0604,482.439,20.8819,-87.0117,465.9145,12.1921,-107.6545,477.6309,4.6233,-102.2252,496.4521,38.0955,-76.9947,478.2463,31.5612,-95.8989,491.4073,17.7166,-90.0149,501.2919
40.4507,8.9627,448.848,29.1853,11.866,441.6953,18.9095,-55.9875,429.915,35.2922,-56.5786,443.0398,49.2757,-55.2051,454.2903,62.4227,-47.8228,465.0232,10.0501,-30.8288,465.5507,-1.6609,-56.9587,480.1507,-12.9755,-79.8236,493.9411,-6.4294,-86.1159,445.1257,-22.3275,-105.0189,454.6691,-32.8927,-113.6232,470.6485,23.7596,-94.7029,460.5302,15.7299,-121.2474,472.7081,4.7255,-123.5501,490.445,37.9273,-87.1058,472.0849,30.5214,-107.9238,483.6974,22.8322,-102.7433,502.5399,54.754,-74.7601,484.701,49.7013,-92.5087,497.6663,35.6825,-87.4903,507.7802
51.4573,12.2857,453.7052,40.3236,14.455,446.1005,33.45,-54.1253,436.203,49.3893,-53.57,449.8644,62.91,-51.2194,461.5119,75.3484,-42.9228,472.42,23.5341,-28.4475,471.5166,13.2265,-54.7868,487.1204,3.1946,-77.8126,501.6177,10.1947,-85.4296,452.3824,-4.4048,-105.0823,462.5397,-14.3833,-113.5125,478.9823,39.6135,-92.0567,468.1892,32.7688,-119.0034,481.0195,21.8604,-121.3106,498.8151,53.5573,-83.738,480.0176,47.387,-105.1917,492.2266,39.3913,-100.0259,510.9451,69.1048,-70.2877,492.3345,64.9622,-88.4442,505.5478,50.7572,-84.1098,515.7178
64.3053,21.1932,458.4873,53.1778,22.7587,450.7267,48.5347,-46.2936,443.066,64.326,-44.7859,456.8269,77.6621,-41.6273,468.4962,89.7377,-32.5874,479.2198,38.2829,-19.7581,477.9339,29.1349,-45.8707,494.6438,20.1848,-68.7205,510.0964,26.6888,-78.061,461.1122,12.8033,-98.2526,472.5825,3.3095,-106.3749,489.4614,56.319,-82.9987,476.7672,50.6987,-109.8213,490.7638,40.1091,-111.8242,508.7874,69.8064,-74.1159,488.0877,64.5932,-95.6759,501.0891,56.5287,-90.1984,519.6891,85.0886,-59.472,500.091,82.0113,-77.2674,513.906,67.762,-73.1928,524.1214
72.788,33.1314,462.4783,61.7573,34.2187,454.5009,58.5,-35.1316,449.1737,74.0425,-32.8536,463.1107,87.1333,-29.0444,474.8633,98.8712,-19.4146,485.4476,48.4271,-8.0877,483.5135,40.1456,-34.3708,501.5377,31.8147,-56.8799,517.8146,36.3527,-66.8279,468.0336,22.0597,-87.2833,480.205,12.6398,-94.8538,497.3792,66.9301,-71.2819,484.559,61.8539,-98.7088,499.867,51.3315,-100.3141,517.9696,80.1305,-61.5469,494.9295,75.4695,-83.1802,508.2853,67.2904,-77.2751,526.7036,94.1768,-46.3653,506.8395,91.0269,-64.4493,521.1936,76.6456,-60.4067,531.2353
