j0_x,j0_y,j0_z,j1_x,j1_y,j1_z,j2_x,j2_y,j2_z,j3_x,j3_y,j3_z,j4_x,j4_y,j4_z,j5_x,j5_y,j5_z,j6_x,j6_y,j6_z,j7_x,j7_y,j7_z,j8_x,j8_y,j8_z,j9_x,j9_y,j9_z,j10_x,j10_y,j10_z,j11_x,j11_y,j11_z,j12_x,j12_y,j12_z,j13_x,j13_y,j13_z,j14_x,j14_y,j14_z,j15_x,j15_y,j15_z,j16_x,j16_y,j16_z,j17_x,j17_y,j17_z,j18_x,j18_y,j18_z,j19_x,j19_y,j19_z,j20_x,j20_y,j20_z
-9.3553,98.1778,290.9108,-14.0522,92.0687,279.7613,-5.4004,30.703,309.1184,-0.4113,41.9085,326.1638,3.1256,55.0655,337.9274,5.2169,72.4992,344.2893,-41.3417,62.6812,317.4819,-61.5561,40.9127,345.423,-57.2759,31.0972,370.2088,-21.444,14.16,344.2315,-31.6787,20.6847,358.8493,-42.6033,35.5293,370.8614,-19.1945,29.6249,366.3173,-37.826,37.3289,377.386,-51.6846,53.1739,370.9925,-18.5203,38.1767,369.7114,-39.1927,47.8518,372.5481,-48.6924,63.3627,362.052,-18.6139,56.4589,365.9873,-32.5153,58.0619,365.5633,-36.1984,69.5704,352.222
-11.621,94.7774,293.3541,-16.9639,88.8633,282.3919,-8.8365,27.1233,311.1069,-2.8031,38.0926,327.9673,1.6107,51.0816,339.6208,4.473,68.415,345.9565,-43.4844,57.9945,318.2013,-62.8728,35.4274,344.3805,-58.1543,26.1077,369.2779,-25.5128,8.1335,344.6523,-34.6638,17.4947,358.4228,-43.8617,33.1942,370.7891,-21.3776,25.0791,367.9878,-40.3669,35.0849,376.2516,-52.9166,51.2956,368.2691,-20.7389,34.6046,371.1328,-40.8298,45.7839,371.7462,-48.9074,61.3473,360.1905,-19.3826,52.6289,367.813,-32.6031,55.9803,364.6527,-34.2189,67.1763,350.6514
-12.9056,91.8341,295.4529,-18.2669,86.1257,284.391,-9.8618,23.8451,311.8303,-3.8055,34.491,328.8886,0.608,47.2561,340.787,3.4397,64.467,347.4613,-43.8433,53.4847,318.684,-62.4203,29.7764,343.5921,-56.7587,20.7548,368.4025,-27.6848,3.9889,344.2659,-36.2363,13.7133,358.1694,-44.1132,30.2753,370.3207,-22.9389,21.4467,368.6348,-41.9836,32.1853,375.7751,-53.7147,48.5304,366.8747,-22.1354,30.7962,372.025,-41.7135,42.8412,371.239,-48.8854,58.4377,359.143,-20.2319,48.3586,369.2827,-32.655,52.7932,364.5923,-33.1696,64.0369,350.5454
-12.3025,89.4911,298.7698,-18.3133,84.1062,287.8808,-10.3406,21.1869,313.9583,-3.2304,31.3906,330.8795,2.0612,43.8399,342.7545,5.6545,60.8596,349.5515,-42.8765,50.2836,320.9495,-60.563,25.93,344.7603,-54.0949,17.3061,369.5149,-27.9882,-0.4477,345.3351,-35.5857,10.1761,359.1342,-42.2946,27.141,371.4298,-21.0573,16.6542,370.6418,-39.804,28.5992,376.5477,-50.8238,45.2848,367.3741,-19.6017,26.3539,374.2022,-38.2457,39.6519,372.066,-44.369,55.4195,359.6207,-17.2811,43.4404,371.1508,-29.3489,48.0794,365.7796,-29.1301,59.5297,351.8928
-9.6529,86.2397,301.7381,-16.5436,81.2699,291.178,-9.1522,17.637,315.6455,-0.6031,27.2714,332.2314,5.8862,39.3067,343.9379,10.5167,56.0622,350.7636,-40.0147,46.7995,323.7695,-56.8036,22.1429,347.0821,-49.1079,13.472,371.4664,-25.8697,-5.0303,346.8019,-32.222,6.669,360.3582,-37.8906,23.7461,373.0168,-16.6356,12.0504,372.5709,-34.8311,24.992,378.0882,-45.6031,41.9016,369.0311,-14.3564,21.1177,375.9285,-32.2462,35.2873,373.0687,-37.8755,51.1145,360.4667,-12.1673,38.1253,372.2043,-23.3126,43.5891,365.729,-22.59,55.1506,351.9519
-8.0971,84.3428,302.6919,-15.6593,79.6447,292.4726,-8.7349,15.6408,316.0946,0.9226,24.9086,332.2761,8.3354,36.6709,343.7085,13.7669,53.2408,350.3955,-38.5444,44.3735,324.506,-54.8934,19.1757,347.3907,-46.4835,9.5094,371.157,-24.4948,-9.4271,345.8809,-30.446,1.9081,359.9199,-35.4489,19.0683,372.7457,-14.0917,8.4808,372.534,-32.0658,21.6946,378.1311,-42.8368,38.8411,369.5298,-11.3235,17.8202,375.6801,-29.1058,32.1776,373.1002,-34.5915,48.1976,360.6798,-9.0841,34.7081,371.1407,-20.1997,40.0917,364.5483,-19.0941,51.8473,350.9622
-7.6378,82.033,301.7589,-15.0211,77.5226,291.3264,-8.6891,13.1237,314.023,0.6898,22.1004,330.5292,7.9183,33.6546,342.2872,13.2652,50.0985,349.3431,-38.6914,43.0752,323.1554,-55.5014,18.6117,345.7595,-47.3331,7.5892,369.0143,-24.8715,-11.0302,344.3334,-31.4787,-1.2138,359.1989,-36.1747,16.6552,371.1424,-14.0702,5.1971,370.6842,-31.922,18.26,376.983,-42.5274,35.6226,368.6124,-11.5213,14.6463,374.2995,-29.2275,29.1664,372.1419,-33.7526,45.2496,359.4196,-9.5882,31.8997,370.3794,-19.9467,38.1979,363.3769,-17.9494,49.9979,349.9318
-7.372,82.2406,301.3509,-14.6204,77.7412,290.8195,-8.6207,13.3237,313.5533,0.5461,22.2841,330.187,7.6261,33.8265,342.0465,12.889,50.2627,349.183,-38.9008,44.0861,323.3781,-56.2118,20.0913,346.5911,-48.584,7.8651,369.4239,-24.8801,-9.7675,344.6407,-32.3055,-2.7165,360.6453,-36.8274,15.6746,371.8398,-13.9276,5.3458,370.4313,-31.8769,17.9913,377.2807,-42.627,35.2829,368.9479,-11.0914,14.6184,374.3684,-28.8796,29.071,372.4443,-32.9935,45.0205,359.4177,-9.5732,31.5202,370.1633,-19.5526,38.1958,362.9627,-17.0824,50.1632,349.7461
-7.5577,82.88,301.6458,-15.0298,78.4026,291.2623,-9.3133,14.0433,314.2328,0.2262,22.9927,330.6616,7.6253,34.5211,342.3385,13.1783,50.9379,349.2978,-39.3847,44.8704,324.2223,-56.8137,20.874,347.8093,-49.7247,7.8025,370.3455,-25.8329,-9.1488,345.1073,-33.6873,-2.7569,361.1837,-38.6658,15.4361,372.5075,-13.9045,6.0984,371.0461,-31.9276,18.1835,378.6695,-43.0866,35.3886,370.7032,-11.1317,15.1255,374.5252,-29.1881,29.262,372.7571,-33.2086,45.158,359.6364,-9.7776,32.1292,369.6757,-20.1234,38.6816,362.891,-17.604,50.8751,349.8921
-9.4771,84.0124,301.7478,-16.7565,79.3387,291.3142,-10.3595,15.2627,314.889,-1.152,24.4882,331.3545,5.9341,36.2214,343.0215,11.1583,52.776,349.9086,-40.5113,46.5784,325.532,-57.5235,23.1167,350.0375,-50.2081,10.1943,372.5874,-26.4656,-6.9991,346.6538,-34.1242,-0.3137,362.7054,-39.3426,17.5915,374.3747,-14.3029,7.9761,372.2251,-32.1299,20.2122,380.0659,-43.5111,37.3467,372.2635,-12.1487,17.1105,375.7596,-30.1525,31.2575,373.5855,-34.1956,46.8376,360.0979,-11.6831,33.6877,370.1548,-21.6344,40.5142,363.0577,-18.9875,52.7754,350.148
